"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"NFIA","NFIA","MA0670.1","3.11352",0.000922455,0.900887,0.843625,0.0705071,12,"False",0.48617017,8.79916146963893e-16,2.25743347443487e-15,0.585843292687877,0.581218498331388,0.296176834585805,8.87727106316702e-05,0.0405858069237962,0.657894834943736,0.861345070027022,NA,0.311574679510827
"RFX1","RFX1","MA0509.2","3.02876",0.00122461,0.818558,0.773599,0.0665794,12,"False",0.48617017,3.35853441992237e-07,0.0128090816827861,0.941200125031097,0.939445627928346,-0.112857054942679,0.201235989930155,0.886522385147264,NA,NA,NA,NA
"RFX3","RFX3","MA0798.2","2.43202",0.00749354,0.808496,0.773022,0.0674779,12,"False",0.980572901749663,4.51376617082003e-14,0.000161924535885965,0.387901296629761,0.388421252773043,-0.224295768961868,7.86053152827165e-05,0.00539621024039314,NA,NA,NA,NA
"NFIC","NFIC","MA0161.2","2.37205",0.0088361,0.872976,0.833577,0.0566871,12,"False",0.980572901749663,3.73093590121451e-16,1.39297506557345e-07,0.818476583769866,0.817190798898952,0.0814151928728418,0.0281512682236517,0.816377479084564,0.512555377113181,0.811313715497116,NA,0.274939862818154
"GLIS3","GLIS3","MA0737.1","2.12073",0.016961,0.767766,0.742723,0.0361485,12,"False",0.980572901749663,2.14665265793778e-14,1.65076169401578e-06,0.921398696029701,0.91985930325741,-0.0887971822829168,0.000193122578316557,0.034511982172472,NA,NA,NA,NA
"NFIX","NFIX","MA0671.1","2.06151",0.0196128,0.951689,0.93025,0.0342623,12,"False",0.980572901749663,0.0502104385242616,0.591392801513845,NA,NA,NA,0.090105434098702,0.0150156809389203,0.668050366211779,0.808627534012811,NA,0.683656697468662
"NFKB2","NFKB2","MA0778.1","2.0432",0.0204915,0.788685,0.755761,0.0702104,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB6","ZBTB6","MA1581.1","2.04204",0.0205635,0.856503,0.826086,0.0403588,12,"False",0.980572901749663,5.99689248000721e-08,1.73132666303645e-09,0.396153571435978,0.396745959444107,0.41056293168418,0.104841566215086,0.198102240755045,NA,NA,NA,NA
"Ascl2","Ascl2","MA0816.1","2.00224",0.0226138,0.867755,0.83739,0.0497587,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHLH1","NHLH1","MA0048.2","1.98032",0.0238083,0.860486,0.828809,0.0667707,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZSCAN29","ZSCAN29","MA1602.1","1.96654",0.0245933,0.809655,0.784442,0.0528109,12,"False",0.980572901749663,0.490590613146968,0.519443549228507,NA,NA,NA,0.76336804165157,0.851036977892323,NA,NA,NA,NA
"MYOG","MYOG","MA0500.2","1.95617",0.0252035,0.863562,0.827764,0.0650249,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THAP1","THAP1","MA0597.1","1.91696",0.0275936,0.938436,0.921664,0.0366273,12,"False",0.980572901749663,2.12000907241335e-05,0.0986097431323576,0.902731054888768,0.900712316296897,-0.27756525999661,0.953310433323004,0.578124922884984,NA,NA,NA,NA
"Plagl1","Plagl1","MA1615.1","1.86617",0.0309912,0.858639,0.825969,0.054529,12,"False",0.980572901749663,0.623331996799719,0.489789468932317,NA,NA,NA,0.96083330611598,0.448969519061067,NA,NA,NA,NA
"RARA","RARA","MA0729.1","1.85296",0.0319185,0.717173,0.694408,0.0470497,12,"False",0.980572901749663,0.105400024295046,0.0320540632243249,0.791082006631051,0.788151961830166,0.734769972380136,0.492292015860037,0.338782370207313,NA,NA,NA,NA
"ASCL1","ASCL1","MA1100.2","1.80983",0.0351341,0.900889,0.874797,0.0548071,12,"False",0.980572901749663,2.05389948712679e-18,3.26824637138207e-08,0.831328541345274,0.82981920303434,-0.176700613966291,0.0866127831958007,0.0565890241405954,NA,NA,NA,NA
"TFAP2B","TFAP2B","MA0812.1","1.80035",0.0358947,0.881754,0.853532,0.0285809,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHLHA15","BHLHA15","MA1472.1","1.77748",0.0377261,0.8976,0.87435,0.0401849,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rarb","Rarb","MA0857.1","1.72743",0.0419927,0.707645,0.683853,0.0706863,12,"False",0.980572901749663,1.73802066358319e-13,1.25077128812133e-08,0.99848526912565,0.998343818702512,-0.0137732929202183,0.00210579566091573,0.110922858065432,NA,NA,NA,NA
"TFAP2A","TFAP2A","MA0810.1","1.72395",0.0423278,0.898425,0.873406,0.0559274,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCF7","TCF7","MA0769.2","1.69974",0.044576,0.855616,0.825329,0.0438793,12,"False",0.980572901749663,9.72638975430472e-09,0.00228206136899839,0.767469475955264,0.763717404132188,-0.332546341704639,0.17272057286367,0.317615940210256,NA,NA,NA,NA
"ZNF382","ZNF382","MA1594.1","1.6805",0.0464007,0.696571,0.680435,0.0351902,12,"False",0.980572901749663,6.06892944098577e-09,0.00366148051049028,NA,NA,NA,0.962905442647303,0.160417230742424,NA,NA,NA,NA
"TFAP2B","TFAP2B","MA0811.1","1.6792",0.0465208,0.881002,0.857551,0.0567757,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SP4","SP4","MA0685.1","1.66063",0.0483574,0.821543,0.791926,0.0729428,12,"False",0.980572901749663,3.27268497984432e-08,0.000107445432123604,0.910100250821878,0.908236435939167,-0.061909282791949,0.0336713670587018,0.959505624562338,NA,NA,NA,NA
"SP1","SP1","MA0079.4","1.62016",0.0525554,0.842447,0.812589,0.0812457,12,"False",0.980572901749663,1.89385903187207e-13,5.21948349402696e-05,0.715210205630728,0.712082065104014,-0.301860768447438,0.0514164193064915,0.66167174480926,NA,NA,NA,NA
"Rarg","Rarg","MA0859.1","1.62002",0.0525683,0.726039,0.703576,0.0621639,12,"False",0.980572901749663,0.478495790005848,0.812102459687071,NA,NA,NA,0.868273112259752,0.574335297289334,NA,NA,NA,NA
"NFKB1","NFKB1","MA0105.4","1.57978",0.0570221,0.747109,0.722064,0.0779237,12,"False",0.980572901749663,1.34689165570293e-17,6.37350632044989e-14,0.764587661428928,0.760777677495345,0.123767521413173,2.28675745636449e-08,0.000298939166064787,0.651094097430347,0.876243297421722,NA,0.99089712194382
"TFAP2E","TFAP2E","MA1569.1","1.57436",0.0576872,0.905162,0.876258,0.0442789,12,"False",0.980572901749663,0.684484170434398,0.961088652631514,NA,NA,NA,0.445606493798608,0.212605003630426,NA,NA,NA,NA
"TFAP2C","TFAP2C","MA0814.2","1.56327",0.0589763,0.851851,0.825276,0.0454378,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRF6","IRF6","MA1509.1","1.55958",0.0593799,0.814146,0.792275,0.0643151,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,0.619965354801263,0.737452778377744,NA,0.991477350967068
"ZNF16","ZNF16","MA1654.1","1.54935",0.0606017,0.715577,0.700343,0.0431961,12,"False",0.980572901749663,0.03797541405788,0.00172013696114742,0.534491838125397,0.532052056916645,0.778704448889435,0.447731098828575,0.0497408920351625,NA,NA,NA,NA
"GLIS2","GLIS2","MA0736.1","1.52767",0.0632672,0.808387,0.7882,0.0450953,12,"False",0.980572901749663,0.0449304713172789,0.575156645077951,NA,NA,NA,0.796340595609947,0.423874565323833,NA,NA,NA,NA
