Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_APICAL_SURFACE	0	NA	NA	NA	NA	NA	NA
HALLMARK_HEDGEHOG_SIGNALING	0	NA	NA	NA	NA	NA	NA
HALLMARK_PANCREAS_BETA_CELLS	0	NA	NA	NA	NA	NA	NA
HALLMARK_MYC_TARGETS_V2	0	NA	NA	NA	NA	NA	NA
HALLMARK_ANGIOGENESIS	2	NA	NA	NA	NA	NA	NA
HALLMARK_E2F_TARGETS	2	NA	NA	NA	NA	NA	NA
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	2	NA	NA	NA	NA	NA	NA
HALLMARK_TGF_BETA_SIGNALING	3	NA	NA	NA	NA	NA	NA
HALLMARK_SPERMATOGENESIS	3	NA	NA	NA	NA	NA	NA
HALLMARK_MITOTIC_SPINDLE	3	NA	NA	NA	NA	NA	NA
HALLMARK_HEME_METABOLISM	3	NA	NA	NA	NA	NA	NA
HALLMARK_NOTCH_SIGNALING	3	NA	NA	NA	NA	NA	NA
HALLMARK_WNT_BETA_CATENIN_SIGNALING	3	NA	NA	NA	NA	NA	NA
HALLMARK_PROTEIN_SECRETION	3	NA	NA	NA	NA	NA	NA
HALLMARK_KRAS_SIGNALING_DN	4	NA	NA	NA	NA	NA	NA
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	4	NA	NA	NA	NA	NA	NA
HALLMARK_MYC_TARGETS_V1	4	NA	NA	NA	NA	NA	NA
HALLMARK_DNA_REPAIR	5	0.3	0.4411764705882352	0.2	0.30000000000000004	0.37578245878212285	19.99371453424272
HALLMARK_APICAL_JUNCTION	5	0.2	0.33333333333333337	0.2	0.30000000000000004	0.5113889523887762	9.932502187380017
HALLMARK_BILE_ACID_METABOLISM	5	0.5	0.6578947368421053	0.4	0.5142857142857143	0.466029882834572	11.968045929836439
HALLMARK_PI3K_AKT_MTOR_SIGNALING	6	0.1	0.19230769230769232	0.5	0.5625	0.5224817954998604	14.33951376651285
HALLMARK_G2M_CHECKPOINT	6	1.0	1.0	0.3	0.405	0.2644640096703325	17.245618612245455
HALLMARK_UV_RESPONSE_UP	7	0.0292	0.10428571428571427	0.0101	0.0303	0.5613028878933901	11.410334921887252
HALLMARK_ADIPOGENESIS	7	0.8813	0.9375000000000001	0.4213	0.51705	0.3076324940305894	12.583985545658312
HALLMARK_XENOBIOTIC_METABOLISM	8	0.8	0.9090909090909092	0.4	0.5142857142857143	0.37226718904395584	15.391406243969966
HALLMARK_COAGULATION	8	0.3	0.4411764705882352	0.25	0.35526315789473684	0.334561096102276	11.502257212147283
HALLMARK_PEROXISOME	8	0.0286	0.10428571428571427	0.03	0.0675	0.616132247141468	14.69118609631619
HALLMARK_FATTY_ACID_METABOLISM	8	0.2544	0.3975	0.2	0.30000000000000004	0.48601289493264715	11.065027112837875
HALLMARK_CHOLESTEROL_HOMEOSTASIS	9	0.0656	0.15295454545454545	0.1	0.1588235294117647	0.5086967871660264	11.010802007864479
HALLMARK_GLYCOLYSIS	9	0.0673	0.15295454545454545	0.0145	0.039150000000000004	0.6858649554467834	15.757222037925118
HALLMARK_MYOGENESIS	9	0.7208	0.8580952380952381	0.4612	0.5414086956521739	0.3065838436331895	10.126479127343561
