Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_APICAL_SURFACE	0	NA	NA	NA	NA	NA	NA
HALLMARK_TGF_BETA_SIGNALING	1	NA	NA	NA	NA	NA	NA
HALLMARK_ANGIOGENESIS	1	NA	NA	NA	NA	NA	NA
HALLMARK_HEDGEHOG_SIGNALING	1	NA	NA	NA	NA	NA	NA
HALLMARK_MYC_TARGETS_V2	1	NA	NA	NA	NA	NA	NA
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1	NA	NA	NA	NA	NA	NA
HALLMARK_BILE_ACID_METABOLISM	2	NA	NA	NA	NA	NA	NA
HALLMARK_PANCREAS_BETA_CELLS	2	NA	NA	NA	NA	NA	NA
HALLMARK_NOTCH_SIGNALING	2	NA	NA	NA	NA	NA	NA
HALLMARK_E2F_TARGETS	3	NA	NA	NA	NA	NA	NA
HALLMARK_SPERMATOGENESIS	3	NA	NA	NA	NA	NA	NA
HALLMARK_MITOTIC_SPINDLE	3	NA	NA	NA	NA	NA	NA
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	3	NA	NA	NA	NA	NA	NA
HALLMARK_APICAL_JUNCTION	3	NA	NA	NA	NA	NA	NA
HALLMARK_CHOLESTEROL_HOMEOSTASIS	3	NA	NA	NA	NA	NA	NA
HALLMARK_PROTEIN_SECRETION	3	NA	NA	NA	NA	NA	NA
HALLMARK_HEME_METABOLISM	4	NA	NA	NA	NA	NA	NA
HALLMARK_DNA_REPAIR	6	0.2	0.3125	0.076	0.14114285714285715	0.5425178248725934	10.80711494551146
HALLMARK_PEROXISOME	6	0.6	0.6818181818181818	0.3379	0.4183523809523809	0.3722560094288989	16.026787375910942
HALLMARK_PI3K_AKT_MTOR_SIGNALING	6	0.3	0.4166666666666667	0.4802	0.5202166666666667	0.21761631602944842	16.532931004601043
HALLMARK_UV_RESPONSE_DN	6	0.7	0.7291666666666666	0.364	0.43018181818181817	0.5150664201512617	13.088764925463485
HALLMARK_G2M_CHECKPOINT	6	0.7	0.7291666666666666	0.2615	0.3578421052631579	0.446743540972429	13.91941360422894
HALLMARK_KRAS_SIGNALING_DN	7	0.2	0.3125	0.4	0.4521739130434783	0.3687934506115798	2.978048333114702
HALLMARK_UV_RESPONSE_UP	7	0.1133	0.21788461538461537	0.1	0.1625	0.6502157761878222	17.55293393650875
HALLMARK_XENOBIOTIC_METABOLISM	8	0.2	0.3125	0.063	0.13	0.5714398835036222	15.350438255524274
HALLMARK_INTERFERON_ALPHA_RESPONSE	8	0.0327	0.1021875	0.0105	0.0455	0.6798489533804237	17.078824159414122
HALLMARK_ANDROGEN_RESPONSE	8	0.0681	0.17024999999999998	0.2877	0.37401	0.40376506707130205	23.635519019729113
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	9	0.3	0.4166666666666667	0.1	0.1625	0.42373002584505326	8.73248064290564
HALLMARK_COAGULATION	9	0.5	0.5952380952380952	0.1	0.1625	0.4060774771303892	9.308762705089496
HALLMARK_ESTROGEN_RESPONSE_EARLY	10	0.4	0.5263157894736842	0.8	0.8	0.16139334544229028	1.2093230525852126
HALLMARK_GLYCOLYSIS	10	0.4	0.5263157894736842	0.0145	0.05385714285714286	0.6191876739831627	14.402486752156523
HALLMARK_FATTY_ACID_METABOLISM	10	0.0928	0.20833333333333334	0.0858	0.14872000000000002	0.447346144760485	11.558105624461625
HALLMARK_ESTROGEN_RESPONSE_LATE	10	0.9961	0.9961	0.7888	0.8	0.17719205104853414	13.055331829628654
HALLMARK_ADIPOGENESIS	10	0.0379	0.10527777777777779	0.029	0.0754	0.6429205679398763	11.485083811018718
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	11	3.0E-4	0.0025	0.0	0.0	0.8714603834844044	14.630544447080805
HALLMARK_MYOGENESIS	11	0.4802	0.5952380952380952	0.2172	0.31373333333333336	0.4180619919614904	11.399380599726332
HALLMARK_KRAS_SIGNALING_UP	12	0.6	0.6818181818181818	0.2	0.3058823529411765	0.3639188198299675	14.010908622160349
HALLMARK_IL6_JAK_STAT3_SIGNALING	12	0.0014	0.008749999999999999	1.0E-4	8.666666666666666E-4	0.6308810928934683	16.786810518947803
HALLMARK_APOPTOSIS	12	3.0E-4	0.0025	0.0	0.0	0.7633510369760723	17.023335193889164
HALLMARK_P53_PATHWAY	15	0.1	0.20833333333333334	0.065	0.13	0.37345369350282304	15.861265003219255
HALLMARK_MYC_TARGETS_V1	15	0.0	0.0	0.0	0.0	0.951653278978483	13.00591001525235
HALLMARK_INFLAMMATORY_RESPONSE	15	0.0074	0.026428571428571426	0.0012	0.007799999999999999	0.5311198614827478	16.965580189910984
HALLMARK_ALLOGRAFT_REJECTION	15	0.16	0.2857142857142857	0.0337	0.07965454545454546	0.4414809630723626	15.013557703438366
HALLMARK_HYPOXIA	15	0.6799	0.7291666666666666	0.0216	0.0702	0.4512389373691743	14.878517613005071
HALLMARK_MTORC1_SIGNALING	18	0.007	0.026428571428571426	0.0	0.0	0.7289328093443816	15.069468542903703
HALLMARK_TNFA_SIGNALING_VIA_NFKB	18	0.2916	0.4166666666666667	0.0268	0.0754	0.2824199861984374	14.43882944870148
