"Ensembl","Gene_Symbols"
"ENSG00000097021","ACOT7"
"ENSG00000057757","PITHD1"
"ENSG00000142686","C1orf216"
"ENSG00000196912","ANKRD36B"
"ENSG00000157103","SLC6A1"
"ENSG00000131389","SLC6A6"
"ENSG00000170011","MYRIP"
"ENSG00000197584","KCNMB2"
"ENSG00000109775","UFSP2"
"ENSG00000132563","REEP2"
"ENSG00000164574","GALNT10"
"ENSG00000146083","RNF44"
"ENSG00000028839","TBPL1"
"ENSG00000122674","CCZ1"
"ENSG00000136261","BZW2"
"ENSG00000106089","STX1A"
"ENSG00000127990","SGCE"
"ENSG00000147533","GOLGA7"
"ENSG00000076554","TPD52"
"ENSG00000147862","NFIB"
"ENSG00000095261","PSMD5"
"ENSG00000213390","ARHGAP19"
"ENSG00000185742","C11orf87"
"ENSG00000150782","IL18"
"ENSG00000177675","CD163L1"
"ENSG00000092094","OSGEP"
"ENSG00000168952","STXBP6"
"ENSG00000140470","ADAMTS17"
"ENSG00000006116","CACNG3"
"ENSG00000108924","HLF"
"ENSG00000126247","CAPNS1"
"ENSG00000105516","DBP"
"ENSG00000182871","COL18A1"
