Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytoplasmic Ribosomal Proteins WP477,1.9262364741648358e-08,4.279166666666667,76.01987791643225,"['RPL34', 'RPLP1', 'RPL36A', 'RPL10A', 'RPL9', 'RPL7', 'RPS15A', 'RPS18', 'RPL38', 'RPS2', 'RPS11', 'RPS27A', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPL19', 'RPL41', 'RPL35A', 'RPS3A', 'RPL23A', 'RPS26', 'RPS25', 'RPS29', 'RPL37A', 'RPL26', 'FAU', 'RPS21']",8.956999604866487e-06,0,0,28
2,Complement system WP2806,4.783308990702102e-06,6.451620648259304,79.03479161179132,"['SELPLG', 'CD93', 'PROS1', 'C5AR1', 'FPR1', 'F13A1', 'FCGR3A', 'ITGAX', 'SPP1', 'VSIG4', 'CALR', 'CD55', 'TLR2']",0.0011121193403382387,0,0,13
3,NRF2 pathway WP2884,1.5425321799119634e-05,4.6922843716840985,51.988165288291306,"['HSP90AA1', 'PDGFB', 'SLC2A3', 'NRG1', 'SLC2A5', 'SLC6A1', 'SLC5A3', 'SLC6A6', 'DNAJB1', 'FTH1', 'HMOX1', 'FGF13', 'FTL', 'PPARD', 'HSPA1A']",0.002390924878863543,0,0,15
4,Nuclear Receptors Meta-Pathway WP2882,2.6264178905066456e-05,2.76799291479371,29.194864308831775,"['PDGFB', 'TNFAIP3', 'SLC2A3', 'SLC6A1', 'SLC2A5', 'SLC5A3', 'DNAJB1', 'SEC14L1', 'FTH1', 'ENC1', 'PDE4B', 'HMOX1', 'PLTP', 'HSP90AA1', 'STAT3', 'NRG1', 'SLC6A6', 'SLC7A5', 'SCD', 'BHLHE40', 'BAX', 'FGF13', 'CPEB4', 'PPARD', 'HSPA1A', 'FKBP5', 'FTL']",0.0030532107977139754,0,0,27
5,Electron Transport Chain (OXPHOS system in mitochondria) WP111,5.901657546047258e-05,3.067874590902623,29.87401851584783,"['UQCRB', 'NDUFB10', 'NDUFA4', 'COX4I1', 'NDUFA3', 'NDUFB3', 'NDUFA1', 'ATP5MC3', 'UQCR11', 'UQCR10', 'COX5B', 'COX6C', 'COX7A1', 'COX7C', 'ATP5F1E', 'ATP5MC1', 'UQCRQ', 'NDUFS6', 'UQCRFS1', 'SLC25A5', 'ATP5MF']",0.00548854151782395,0,0,21
6,Complement and Coagulation Cascades WP558,0.00047446271033848816,7.332995951417004,56.12181979438537,"['C1QB', 'C1QA', 'PROS1', 'C5AR1', 'PLAT', 'CD55', 'C1QC']",0.03504496719811965,0,0,7
7,Complement Activation WP545,0.0006035356891164205,33.424731182795696,247.7676847399627,"['C1QB', 'C1QA', 'CD55', 'C1QC']",0.03504496719811965,0,0,4
8,"GPCRs, Class A Rhodopsin-like WP455",0.0006595448894503523,5.590990990990991,40.94819729821474,"['P2RY12', 'CX3CR1', 'P2RY13', 'CHRM3', 'CYSLTR1', 'HRH2', 'GPR65', 'FPR1']",0.03504496719811965,0,0,8
9,Endochondral Ossification with Skeletal Dysplasias WP4808,0.0007536552085617128,4.720737483085251,33.944819654212814,"['HDAC4', 'SCIN', 'HMGCS1', 'SPP1', 'ENPP1', 'PLAT', 'IGF1', 'SLC38A2', 'CALM2']",0.03504496719811965,0,0,9
10,Endochondral Ossification WP474,0.0007536552085617128,4.720737483085251,33.944819654212814,"['HDAC4', 'SCIN', 'HMGCS1', 'SPP1', 'ENPP1', 'PLAT', 'IGF1', 'SLC38A2', 'CALM2']",0.03504496719811965,0,0,9
11,Genes targeted by miRNAs in adipocytes WP1992,0.0016564085284792257,16.70967741935484,106.99379492858094,"['HDAC4', 'GJA1', 'TMSB4X', 'IGF1']",0.07002090597662182,0,0,4
12,Nonalcoholic fatty liver disease WP4396,0.0021692436128527984,2.160676532769556,13.252243183779777,"['XBP1', 'UQCRB', 'NDUFB10', 'NDUFA4', 'INSR', 'COX4I1', 'NDUFA3', 'NDUFB3', 'NDUFA1', 'UQCR11', 'UQCR10', 'COX5B', 'COX6C', 'COX7A1', 'COX7C', 'VMP1', 'UQCRQ', 'NDUFS6', 'MLX', 'CYCS', 'UQCRFS1', 'BAX']",0.08405818999804594,0,0,22
13,Spinal Cord Injury WP2431,0.0026608800455763383,2.965473145780051,17.582581985148398,"['C1QB', 'GJA1', 'ZFP36', 'GAP43', 'FCGR2A', 'APEX1', 'TNFSF13', 'MIF', 'TLR4', 'AIF1', 'TNFSF13B', 'RHOB']",0.09517763239946132,0,0,12
14,Arrhythmogenic Right Ventricular Cardiomyopathy WP2118,0.0041228936768681855,3.4299421823102474,18.83449855745553,"['RYR2', 'GJA1', 'CACNB4', 'CACNA2D3', 'ITGAV', 'CACNA1D', 'CTNNA3', 'CACNA1C', 'ACTG1']",0.13693896855312188,0,0,9
15,Photodynamic therapy-induced unfolded protein response WP3613,0.0046681271932293225,5.019946091644205,26.942037205450344,"['DNAJC3', 'XBP1', 'HSPA5', 'DNAJB11', 'CALR', 'HSP90B1']",0.1400563912640264,0,0,6
16,Oxidative Damage WP3941,0.004819144645643919,4.186234817813765,22.334227636291573,"['C1QB', 'C1QA', 'CDKN1A', 'C5AR1', 'CYCS', 'TNFRSF1B', 'C1QC']",0.1400563912640264,0,0,7
17,Mitochondrial CIV Assembly WP4922,0.006425313783566664,3.906522717049033,19.71821174309082,"['PET100', 'NDUFA4', 'COX4I1', 'COX14', 'COX5B', 'COX6C', 'COX7C']",0.17575122996226464,0,0,7
18,Mitochondrial complex III assembly WP4921,0.00868187378057997,5.223755047106326,24.794646837707933,"['UQCRB', 'UQCRQ', 'UQCRFS1', 'UQCR11', 'UQCR10']",0.21965628590429856,0,0,5
19,Lung fibrosis WP3624,0.008975203079960586,4.181940700808625,19.710698104609314,"['CEBPB', 'PDGFB', 'SPP1', 'HMOX1', 'ATP11A', 'IGF1']",0.21965628590429856,0,0,6
20,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932,0.00970575987867582,1.8292257644762524,8.478526845688595,"['IFNAR2', 'CDKN1A', 'HSP90AA1', 'IL4R', 'PFKFB3', 'ANGPT2', 'INSR', 'PDGFB', 'SLC2A3', 'IGF1', 'HIF1A', 'HSP90B1', 'GNG10', 'GNG3', 'FGF14', 'DDIT4', 'SPP1', 'ITGAX', 'GRB2', 'ITGAV', 'FGF13', 'JAK3', 'CREB5']",0.2231285757421455,0,0,23
21,PI3K-Akt signaling pathway WP4172,0.010637056277733384,1.8118337093135675,8.231906109124331,"['IFNAR2', 'CDKN1A', 'HSP90AA1', 'IL4R', 'ANGPT2', 'INSR', 'PDGFB', 'IGF1', 'HSP90B1', 'GNG10', 'CCND3', 'GNG3', 'FGF14', 'DDIT4', 'SPP1', 'GRB2', 'ITGAV', 'FGF13', 'PIK3AP1', 'JAK3', 'TLR4', 'TLR2', 'CREB5']",0.2231285757421455,0,0,23
22,Vitamin D Receptor Pathway WP2877,0.011153163032199168,2.493344090359016,11.210155169543917,"['CDKN1A', 'DUSP10', 'BCL6', 'SATB1', 'CREG2', 'S100A6', 'SPP1', 'TNFAIP3', 'CD14', 'HIF1A', 'PPARD']",0.2231285757421455,0,0,11
23,Monoamine GPCRs WP58,0.011516313586691381,inf,inf,"['CHRM3', 'HRH2']",0.2231285757421455,0,0,2
24,Osteoblast Signaling WP322,0.011516313586691381,inf,inf,"['PDGFB', 'ITGAV']",0.2231285757421455,0,0,2
25,Differentiation Pathway WP2848,0.016302659592452064,5.566308243727598,22.913301652223165,"['NOTCH1', 'WNT5A', 'PDGFB', 'IGF1']",0.2807680263144522,0,0,4
26,"GPCRs, Other WP117",0.016302659592452064,5.566308243727598,22.913301652223165,"['CHRM3', 'ADGRE2', 'P2RY13', 'ADGRL2']",0.2807680263144522,0,0,4
27,Iron metabolism in placenta WP2007,0.016302659592452064,5.566308243727598,22.913301652223165,"['STEAP3', 'FTH1', 'SLC40A1', 'HAMP']",0.2807680263144522,0,0,4
28,FGF23 signaling in hypophosphatemic rickets and related disorders WP4790,0.019226128101723187,8.342281879194632,32.96440243233851,"['CDKN1A', 'SPP1', 'ENPP1']",0.2883919215258478,0,0,3
29,Macrophage markers WP4146,0.019226128101723187,8.342281879194632,32.96440243233851,"['CD163', 'CD83', 'CD14']",0.2883919215258478,0,0,3
30,Platelet-mediated interactions with vascular and circulating cells WP4462,0.019226128101723187,8.342281879194632,32.96440243233851,"['SELPLG', 'TLR4', 'TLR2']",0.2883919215258478,0,0,3
31,Pyrimidine metabolism and related diseases WP4225,0.019226128101723187,8.342281879194632,32.96440243233851,"['NT5C', 'DPYD', 'TYMP']",0.2883919215258478,0,0,3
32,Adipogenesis WP236,0.02299290083648205,2.1947405828002844,8.279811975623838,"['CDKN1A', 'CEBPB', 'CEBPD', 'SCD', 'NAMPT', 'STAT3', 'RORA', 'MIF', 'IGF1', 'HIF1A', 'PPARD']",0.3308621584438938,0,0,11
33,Genes controlling nephrogenesis WP4823,0.02348054027666343,4.770353302611367,17.896377662137823,"['ROBO2', 'CXCL12', 'PDGFB', 'NCK2']",0.3308621584438938,0,0,4
34,Ferroptosis WP4313,0.02528575682410672,2.7876743139901037,10.251711353812896,"['STEAP3', 'MAP1LC3A', 'ACSL1', 'FTH1', 'SLC40A1', 'HMOX1', 'FTL']",0.3458199095061654,0,0,7
35,Glucocorticoid Receptor Pathway WP2880,0.03034529676220234,2.660532450006134,9.298863522089395,"['HSP90AA1', 'SEC14L1', 'ENC1', 'BHLHE40', 'PDE4B', 'TNFAIP3', 'CPEB4']",0.3543654196518801,0,0,7
