Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,"GPCRs, Class A Rhodopsin-like WP455",1.1740992629615622e-05,9.276118197965445,105.30642867613233,"['P2RY12', 'CX3CR1', 'P2RY13', 'CHRM3', 'CYSLTR1', 'GPR34', 'HRH2', 'GPR65', 'OPRM1']",0.005072108815993948,0,0,9
2,Complement system WP2806,0.0004737692006863294,4.8513067749302206,37.135735913218404,"['FCGR3A', 'CD93', 'PROS1', 'ITGAX', 'SPP1', 'F13A1', 'VSIG4', 'CD55', 'TLR2']",0.06534793991621754,0,0,9
3,Endochondral Ossification with Skeletal Dysplasias WP4808,0.0006050735177427549,5.320817688777638,39.42811354600794,"['HDAC4', 'HMGCS1', 'STAT1', 'SPP1', 'ENPP1', 'PLAT', 'IGF1', 'SLC38A2']",0.06534793991621754,0,0,8
4,Endochondral Ossification WP474,0.0006050735177427549,5.320817688777638,39.42811354600794,"['HDAC4', 'HMGCS1', 'STAT1', 'SPP1', 'ENPP1', 'PLAT', 'IGF1', 'SLC38A2']",0.06534793991621754,0,0,8
5,Spinal Cord Injury WP2431,0.000972396911054463,3.5624649859943975,24.708354030009318,"['C1QB', 'GJA1', 'ZFP36', 'GAP43', 'FCGR2A', 'PTPRZ1', 'TNFSF13', 'AQP4', 'AIF1', 'TNFSF13B', 'RHOB']",0.07947292115800432,0,0,11
6,Development and heterogeneity of the ILC family WP3893,0.001287755666912107,15.002347417840376,99.83843725733499,"['IL15', 'ZBTB16', 'ID2', 'IL18']",0.07947292115800432,0,0,4
7,Differentiation of white and brown adipocyte WP2895,0.001287755666912107,15.002347417840376,99.83843725733499,"['PLAC8', 'CEBPA', 'CEBPB', 'PPARGC1B']",0.07947292115800432,0,0,4
8,Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718,0.004008174126413389,4.156963204471356,22.94402365277454,"['FADS2', 'HMGCS1', 'ACSL1', 'SCD', 'CYP51A1', 'DHCR24', 'ABCG1']",0.2077198872362313,0,0,7
9,Complement Activation WP545,0.004856484400877603,16.850615114235502,89.77064902422107,"['C1QB', 'C1QA', 'CD55']",0.2077198872362313,0,0,3
10,HIF1A and PPARG regulation of glycolysis WP2456,0.004856484400877603,16.850615114235502,89.77064902422107,"['LDHA', 'TPI1', 'HIF1A']",0.2077198872362313,0,0,3
11,Complement and Coagulation Cascades WP558,0.005498652617185759,5.62962962962963,29.292382729937316,"['C1QB', 'C1QA', 'PROS1', 'PLAT', 'CD55']",0.2077198872362313,0,0,5
12,NRF2 pathway WP2884,0.006079617504233213,3.0813822057161313,15.723718704032372,"['SLC2A9', 'SLC6A6', 'FGF13', 'SLC2A5', 'SLC6A1', 'SLC5A3', 'FTL', 'PPARD', 'HSPA1A']",0.2077198872362313,0,0,9
13,"GPCRs, Other WP117",0.00632542891848232,7.497652582159624,37.96194535798102,"['CHRM3', 'ADGRE2', 'P2RY13', 'ADGRL2']",0.2077198872362313,0,0,4
14,Monoamine GPCRs WP58,0.006731663012285274,inf,inf,"['CHRM3', 'HRH2']",0.2077198872362313,0,0,2
15,Nuclear Receptors Meta-Pathway WP2882,0.007915784487266216,2.0753075656301463,10.042198467118812,"['STAT3', 'SLC6A1', 'SLC2A5', 'SLC5A3', 'SLC2A9', 'SLC6A6', 'SCD', 'ENC1', 'PDE4B', 'BAX', 'FGF13', 'PLTP', 'CPEB4', 'PPARD', 'HSPA1A', 'FKBP5', 'FTL']",0.22797459323326702,0,0,17
16,FGF23 signaling in hypophosphatemic rickets and related disorders WP4790,0.009122789315351636,11.231985940246046,52.75640967881097,"['CDKN1A', 'SPP1', 'ENPP1']",0.23182617554305335,0,0,3
17,Genes targeted by miRNAs in adipocytes WP1992,0.009122789315351636,11.231985940246046,52.75640967881097,"['HDAC4', 'GJA1', 'IGF1']",0.23182617554305335,0,0,3
18,PPAR signaling pathway WP3942,0.011167614178379371,3.7550058892815077,16.8777649595154,"['FADS2', 'ACSL1', 'SCD', 'OLR1', 'PLTP', 'PPARD']",0.25460873847102955,0,0,6
19,Arrhythmogenic Right Ventricular Cardiomyopathy WP2118,0.011198069516086947,3.28834808259587,14.771305229859845,"['RYR2', 'GJA1', 'CACNB4', 'CACNA2D3', 'CTNNA3', 'CACNA1C', 'CACNG3']",0.25460873847102955,0,0,7
20,Lung fibrosis WP3624,0.012770610969405826,4.328449328449328,18.87467408466149,"['CEBPB', 'FAM13A', 'SPP1', 'ATP11A', 'IGF1']",0.27584519693916587,0,0,5
21,Development of pulmonary dendritic cells and macrophage subsets WP3892,0.01499908322336851,8.422671353251317,35.373250447846715,"['ID2', 'STAT3', 'TCF4']",0.2945274523861453,0,0,3
22,IL-10 Anti-inflammatory Signaling Pathway  WP4495,0.01499908322336851,8.422671353251317,35.373250447846715,"['IL10RB', 'STAT1', 'STAT3']",0.2945274523861453,0,0,3
23,TYROBP causal network in microglia WP3945,0.01678284145334151,2.539342806394316,10.379305359667201,"['IGSF6', 'ADAP2', 'DPYD', 'ITGAX', 'IL18', 'SPP1', 'HCLS1', 'TCIRG1', 'TNFRSF1B']",0.2945791750095067,0,0,9
24,IL-9 signaling pathway WP22,0.017664547891678047,4.996087636932708,20.16518689718426,"['STAT1', 'STAT3', 'GRB2', 'JAK3']",0.2945791750095067,0,0,4
25,Notch Signaling Pathway Netpath WP61,0.018503481042931355,2.9215994755817767,11.656587070256375,"['CDKN1A', 'NOTCH1', 'FHL1', 'STAT3', 'RBPJ', 'HIF1A', 'SAP30']",0.2945791750095067,0,0,7
26,LncRNA-mediated mechanisms of therapeutic resistance WP3672,0.0190930946765421,22.431578947368422,88.79380240478643,"['CDKN1A', 'HIF1A']",0.2945791750095067,0,0,2
27,Mammary gland development pathway - Involution (Stage 4 of 4) WP2815,0.0190930946765421,22.431578947368422,88.79380240478643,"['STAT3', 'BAX']",0.2945791750095067,0,0,2
28,miR-517 relationship with ARCN1 and USP1 WP3596,0.0190930946765421,22.431578947368422,88.79380240478643,"['CDKN1A', 'ID2']",0.2945791750095067,0,0,2
29,IL-4 signaling pathway WP395,0.02154515475549461,2.8168141592920355,10.80981820054463,"['CEBPA', 'CEBPB', 'IL4R', 'STAT1', 'STAT3', 'GRB2', 'JAK3']",0.2952424422900935,0,0,7
30,Acute viral myocarditis WP4298,0.021897628286708805,2.57710233029382,9.848079431011172,"['STAT1', 'STAT3', 'CASP1', 'CYCS', 'BAX', 'TLR5', 'AIF1', 'CD55']",0.2952424422900935,0,0,8
31,Cori Cycle WP1946,0.02255324211938214,6.737082601054482,25.546184847700445,"['LDHA', 'TPI1', 'PGAM1']",0.2952424422900935,0,0,3
32,Deregulation of Rab and Rab Effector Genes in Bladder Cancer WP2291,0.02255324211938214,6.737082601054482,25.546184847700445,"['RAB27A', 'MYRIP', 'UNC13D']",0.2952424422900935,0,0,3
