Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Adipose Tissue Development (GO:0060612),3.906986698242156e-05,72.7605633802817,738.5312911320843,"['XBP1', 'NAMPT', 'SH3PXD2B']",0.01821754002605734,0,0,3
2,Positive Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:1903265),6.203475604786835e-05,58.2,563.8308765667168,"['CASP4', 'HSPA1B', 'HSPA1A']",0.01821754002605734,0,0,3
3,Multicellular Organismal-Level Iron Ion Homeostasis (GO:0060586),6.203475604786835e-05,58.2,563.8308765667168,"['SLC11A1', 'HMOX1', 'HAMP']",0.01821754002605734,0,0,3
4,Response To Interleukin-4 (GO:0070670),0.00011133528595538787,inf,inf,"['XBP1', 'JAK3']",0.02247949917558252,0,0,2
5,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),0.0002358101965003374,6.382546725830308,53.31011512176423,"['PXN', 'DDIT4', 'NAMPT', 'PLAT', 'NRG1', 'IGF1', 'PTPN2']",0.02247949917558252,0,0,7
6,Connective Tissue Development (GO:0061448),0.0002363596704142997,32.31455399061033,269.8315632052599,"['XBP1', 'NAMPT', 'SH3PXD2B']",0.02247949917558252,0,0,3
7,Monoatomic Cation Homeostasis (GO:0055080),0.0002608939471667009,15.09010989010989,124.5144809264831,"['SLC11A1', 'HMOX1', 'FAM20A', 'HAMP']",0.02247949917558252,0,0,4
8,Negative Regulation Of Growth (GO:0045926),0.00029568571559198325,9.720090934924695,78.98753358726172,"['BCL6', 'NRG1', 'PRDM11', 'HSPA1B', 'HSPA1A']",0.02247949917558252,0,0,5
9,Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0010803),0.0002971500458022914,14.529100529100528,117.99479681041102,"['CASP4', 'HSPA1B', 'PTPN2', 'HSPA1A']",0.02247949917558252,0,0,4
10,Negative Regulation Of Fibrinolysis (GO:0051918),0.00033170657126285215,191.41666666666666,1533.48864697426,"['NRG1', 'PLAT']",0.02247949917558252,0,0,2
11,Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway (GO:0070432),0.00033170657126285215,191.41666666666666,1533.48864697426,"['HSPA1B', 'HSPA1A']",0.02247949917558252,0,0,2
12,Cellular Heat Acclimation (GO:0070370),0.00033170657126285215,191.41666666666666,1533.48864697426,"['HSPA1B', 'HSPA1A']",0.02247949917558252,0,0,2
13,Heat Acclimation (GO:0010286),0.00033170657126285215,191.41666666666666,1533.48864697426,"['HSPA1B', 'HSPA1A']",0.02247949917558252,0,0,2
14,Chaperone Cofactor-Dependent Protein Refolding (GO:0051085),0.0003851334505205205,26.431498079385403,207.80234079885932,"['HSPA5', 'HSPA1B', 'HSPA1A']",0.024235897850612753,0,0,3
15,Negative Regulation Of Cell Growth (GO:0030308),0.00047675703749263906,8.68929570302568,66.4601090507323,"['BCL6', 'NRG1', 'PRDM11', 'HSPA1B', 'HSPA1A']",0.02800153000206767,0,0,5
16,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237),0.0005944133679153895,11.877056277056276,88.2220088472193,"['HMOX1', 'IGF1', 'HSPA1B', 'HSPA1A']",0.03055872597851873,0,0,4
17,Regulation Of Fibrinolysis (GO:0051917),0.0006588471958421653,95.69444444444444,700.9636163932086,"['NRG1', 'PLAT']",0.03055872597851873,0,0,2
18,Heme Transport (GO:0015886),0.0006588471958421653,95.69444444444444,700.9636163932086,"['FLVCR2', 'NRG1']",0.03055872597851873,0,0,2
19,Wound Healing (GO:0042060),0.0006590417634413801,11.526050420168067,84.4251341210692,"['SLC11A1', 'HMOX1', 'NRG1', 'IGF1']",0.03055872597851873,0,0,4
20,'De Novo' Post-Translational Protein Folding (GO:0051084),0.0007031812287678537,20.758551307847082,150.70492165361867,"['HSPA5', 'HSPA1B', 'HSPA1A']",0.030975133127223956,0,0,3
21,Defense Response To Fungus (GO:0050832),0.0010905251585360872,63.78703703703704,435.0974969305989,"['CX3CR1', 'NRG1']",0.04575012688906156,0,0,2
22,Macrophage Activation (GO:0042116),0.0015329221898845813,15.284655300222386,99.05342284242703,"['FCGR3A', 'CD93', 'SLC11A1']",0.05963425240291011,0,0,3
23,Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900101),0.0016245426307262684,47.833333333333336,307.21096862645356,"['XBP1', 'HSPA5']",0.05963425240291011,0,0,2
24,Cellular Response To Interleukin-4 (GO:0071353),0.0016245426307262684,47.833333333333336,307.21096862645356,"['XBP1', 'JAK3']",0.05963425240291011,0,0,2
25,Cellular Response To Heat (GO:0034605),0.001984247855901825,13.824949698189135,86.02596171759609,"['HMOX1', 'HSPA1B', 'HSPA1A']",0.06419180677034697,0,0,3
26,Positive Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001961),0.002237733401398638,13.194622279129321,80.5174353351423,"['CASP4', 'HSPA1B', 'HSPA1A']",0.06419180677034697,0,0,3
27,Negative Regulation Of Inclusion Body Assembly (GO:0090084),0.002258735539024695,38.26111111111111,233.12304147000737,"['HSPA1B', 'HSPA1A']",0.06419180677034697,0,0,2
28,Regulation Of Inclusion Body Assembly (GO:0090083),0.002258735539024695,38.26111111111111,233.12304147000737,"['HSPA1B', 'HSPA1A']",0.06419180677034697,0,0,2
29,Regulation Of Transmembrane Transporter Activity (GO:0022898),0.002258735539024695,38.26111111111111,233.12304147000737,"['CHRM3', 'PIM1']",0.06419180677034697,0,0,2
30,Positive Regulation Of Blood Coagulation (GO:0030194),0.002258735539024695,38.26111111111111,233.12304147000737,"['NRG1', 'PLAT']",0.06419180677034697,0,0,2
31,Positive Regulation Of Microtubule Nucleation (GO:0090063),0.002258735539024695,38.26111111111111,233.12304147000737,"['HSPA1B', 'HSPA1A']",0.06419180677034697,0,0,2
32,Negative Regulation Of Apoptotic Process (GO:0043066),0.002376927394448006,3.764341085271318,22.743947957315118,"['CX3CR1', 'RNF144B', 'XBP1', 'HSPA5', 'PIM1', 'IGF1', 'HSPA1B', 'HSPA1A']",0.06459994667591276,0,0,8
33,Positive Regulation Of Cell Population Proliferation (GO:0008284),0.0025233762123318664,4.156230680914952,24.863226570102025,"['XBP1', 'NAMPT', 'TBC1D8', 'PIM1', 'HMOX1', 'NRG1', 'IGF1']",0.06459994667591276,0,0,7
34,Regulation Of Apoptotic Process (GO:0042981),0.002553029673442059,3.177728328173375,18.97254600791539,"['RNF144B', 'XBP1', 'BCL6', 'HSPA5', 'PIM1', 'NRG1', 'IGF1', 'JAK3', 'HSPA1B', 'HSPA1A']",0.06459994667591276,0,0,10
35,Positive Regulation Of Cytokine Production (GO:0001819),0.0025663996976809838,4.776705882352942,28.494250774236345,"['SLC7A5', 'XBP1', 'SLC11A1', 'HMOX1', 'HSPA1B', 'HSPA1A']",0.06459994667591276,0,0,6
36,Positive Regulation Of Cardiac Muscle Tissue Growth (GO:0055023),0.002990973132774614,31.87962962962963,185.2893959976685,"['PIM1', 'IGF1']",0.07121749540471445,0,0,2
37,Positive Regulation Of Striated Muscle Cell Differentiation (GO:0051155),0.002990973132774614,31.87962962962963,185.2893959976685,"['NRG1', 'IGF1']",0.07121749540471445,0,0,2
38,Intracellular Iron Ion Homeostasis (GO:0006879),0.003115430778973082,11.606197183098592,66.9838653433936,"['SLC11A1', 'HMOX1', 'HAMP']",0.07222880305987593,0,0,3
39,Regulation Of Cell Population Proliferation (GO:0042127),0.0033198239236002475,3.26967032967033,18.662766644682357,"['XBP1', 'BCL6', 'NAMPT', 'TBC1D8', 'NRG1', 'IGF1', 'PTPN2', 'HSPA1B', 'HSPA1A']",0.0749939711972261,0,0,9
40,Negative Regulation Of Programmed Cell Death (GO:0043069),0.0034380047232176383,3.918202284666055,22.22742867832865,"['RNF144B', 'XBP1', 'HSPA5', 'PIM1', 'IGF1', 'HSPA1B', 'HSPA1A']",0.07572205402886847,0,0,7
41,Negative Regulation Of Interleukin-1 Beta Production (GO:0032691),0.00381915754840086,27.321428571428573,152.11821230647593,"['CX3CR1', 'IGF1']",0.08011137619383708,0,0,2
42,Regulation Of Microtubule Nucleation (GO:0010968),0.00381915754840086,27.321428571428573,152.11821230647593,"['HSPA1B', 'HSPA1A']",0.08011137619383708,0,0,2
43,Regulation Of Cell Growth (GO:0001558),0.004060472203269328,5.184591914569031,28.54872728615846,"['BCL6', 'NRG1', 'PRDM11', 'HSPA1B', 'HSPA1A']",0.08319246537395995,0,0,5
44,Cellular Response To Peptide (GO:1901653),0.00417840321419227,10.35814889336016,56.740138475914996,"['XBP1', 'CASP4', 'IGF1']",0.08366302799325885,0,0,3
45,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001240),0.004741223371440618,23.90277777777778,127.91476111080775,"['HSPA1B', 'HSPA1A']",0.08702120396331635,0,0,2
46,Negative Regulation Of Interleukin-1 Production (GO:0032692),0.004741223371440618,23.90277777777778,127.91476111080775,"['CX3CR1', 'IGF1']",0.08702120396331635,0,0,2
47,Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001239),0.004741223371440618,23.90277777777778,127.91476111080775,"['HSPA1B', 'HSPA1A']",0.08702120396331635,0,0,2
48,Negative Regulation Of Signal Transduction In Absence Of Ligand (GO:1901099),0.004741223371440618,23.90277777777778,127.91476111080775,"['HSPA1B', 'HSPA1A']",0.08702120396331635,0,0,2
49,Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557),0.0054290335559761356,6.194104308390022,32.30841179494378,"['XBP1', 'HSPH1', 'NAMPT', 'IGF1']",0.09566558258777273,0,0,4
