"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"HMGA1 (human)",0.00115361960567413,2.85327527451723,19.3019815130753,"['CHRM3', 'MGAM', 'MAMDC2', 'F13A1', 'IGF1', 'CYSLTR1', 'PLCXD3', 'DUSP10', 'BCL6', 'CASP4', 'TBC1D14', 'MS4A14', 'ERC2', 'RBMS3']",0.287251281812858,0,0,14,"HMGA1",0.287251281812858,NA,NA,NA,NA,NA,NA,NA,0.831562797502859,0.788519588188116,NA,0.794334781303155
"NR5A1 (human)",0.00368397794187103,2.48800799467022,13.9422050248415,"['RBFOX1', 'CEBPB', 'GK', 'LIMK2', 'KCNIP4', 'TBC1D8', 'NRG1', 'IGF1', 'TMEM163', 'DUSP10', 'BCL6', 'TBC1D14', 'RNF175', 'CDH18']",0.458655253762943,0,0,14,"NR5A1",0.458655253762943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NR3C1 (mouse)",0.00704794879599475,2.56532932847029,12.7112546798538,"['RALYL', 'HSPH1', 'BCL6', 'DPYD', 'KCNIP4', 'CASP4', 'TBC1D8', 'HMOX1', 'F13A1', 'LTC4S', 'HSPA1A']",0.575626987247935,0,0,11,"NR3C1",0.575626987247935,0.0102669302189404,0.346592813080492,NA,NA,NA,0.931358900785775,0.953763542683698,0.4966454817253,0.787964983501911,NA,0.978612109332399
"STAT1 (mouse)",0.0100157947712964,15.6045454545455,71.8369599147373,"['CASP4', 'HAMP']",0.575626987247935,0,0,2,"STAT1",0.575626987247935,0.731619779720488,0.0462892674691634,0.714904020618162,NA,1.25665296755186,0.891421397223844,0.82473961671859,0.74514749917916,0.767096701955916,NA,0.932075319301075
"BCL6 (human)",0.011558774844336,2.14844431520791,9.58272853084534,"['CX3CR1', 'GK', 'KCNIP4', 'NRG1', 'NAV2', 'IKZF2', 'RNF144B', 'CYSLTR1', 'FAM110B', 'PIM1', 'ZNF385B', 'TBC1D14', 'MS4A14', 'OLR1']",0.575626987247935,0,0,14,"BCL6",0.575626987247935,3.1849626465269e-06,0.0064658445195227,0.978890486760332,0.98006861918218,0.0685874255740931,0.993377497337696,0.999976985188991,NA,NA,NA,NA
"TEAD1 (human)",0.0155348581517487,2.12087912087912,8.83275924552451,"['RBFOX1', 'MGAM', 'GK', 'LIMK2', 'MAMDC2', 'F13A1', 'PLAT', 'CYSLTR1', 'DUSP10', 'MS4A14', 'ERC2', 'PTPN2', 'CDH18']",0.64469661329757,0,0,13,"TEAD1",0.64469661329757,0.362329692065634,0.600336616385313,NA,NA,NA,0.879687358014308,0.971332170590255,NA,NA,NA,NA
"TBX5 (mouse)",0.0283222439217467,2.05667169898966,7.33019960074632,"['CHRM3', 'RBFOX1', 'RALYL', 'CD163', 'SH3PXD2B', 'TBC1D14', 'F13A1', 'ERC2', 'IQGAP2', 'TMEM163', 'TYMP']",0.8063553572849,0,0,11,"TBX5",0.8063553572849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TBP (human)",0.0318637518202485,1.73498845265589,5.97926679946104,"['CX3CR1', 'CHRM3', 'CNTN5', 'CD93', 'CD163L1', 'KCNIP4', 'PXN', 'PLAT', 'NRG1', 'NAV2', 'RNF144B', 'PCP4', 'RALYL', 'HSPH1', 'PIM1', 'ZNF385B', 'MS4A14', 'OLR1']",0.8063553572849,0,0,18,"TBP",0.8063553572849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NR2C2 (human)",0.0350299953206601,7.41883116883117,24.8645878723479,"['TBC1D14', 'MAP3K8']",0.8063553572849,0,0,2,"NR2C2",0.8063553572849,0.00142090371435498,0.304533823084067,0.655825272066486,0.659244035839304,-0.806764401512066,0.864414698887372,0.971332170590255,0.928475964820423,0.808627534012811,NA,0.362579127636926
"TFAP2A (mouse)",0.0358536626666464,1.97426439768631,6.57096305046876,"['CX3CR1', 'CD83', 'FRMPD4', 'LIMK2', 'MAMDC2', 'PIM1', 'HMOX1', 'KCNQ5', 'LTC4S', 'TMEM163', 'TYMP']",0.8063553572849,0,0,11,"TFAP2A",0.8063553572849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
