Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytoplasmic Translation (GO:0002181),9.91412407711571e-07,5.592870544090056,77.31659875947163,"['RPL30', 'EIF2B3', 'RPL21', 'RPL34', 'RPL10A', 'RPL9', 'RPL7', 'RPS4X', 'RPS15A', 'RPL36AL', 'RACK1', 'RPL26', 'FAU', 'RPL18', 'RPL17']",0.0009953780573424172,0,0,15
2,Translation (GO:0006412),2.378320927903227e-06,4.5622559258922895,59.07718034715561,"['GADD45GIP1', 'RPL30', 'RPL21', 'GFM2', 'RPL34', 'RPL10A', 'RPL9', 'MRPS5', 'RPL7', 'RPS4X', 'RPS15A', 'RPL36AL', 'RACK1', 'FAU', 'RPL26', 'RPL18', 'RPL17']",0.00119391710580742,0,0,17
3,Peptide Biosynthetic Process (GO:0043043),2.5875067083190266e-05,4.353372434017595,45.981324031169315,"['RPL30', 'RPL21', 'RPL34', 'RPL10A', 'RPL9', 'MRPS5', 'RPL7', 'RPS4X', 'RPS15A', 'RPL36AL', 'FAU', 'RPL26', 'RPL18', 'RPL17']",0.008659522450507676,0,0,14
4,Gene Expression (GO:0010467),5.76096831398565e-05,3.602267504213268,35.164686587307344,"['RPL30', 'RPL21', 'RPL34', 'RPL10A', 'RPL9', 'MRPS5', 'RPL7', 'RPS4X', 'EXOSC6', 'RPS15A', 'RPL36AL', 'SRSF3', 'FAU', 'RPL26', 'RPL18', 'RPL17']",0.014460030468103981,0,0,16
5,Macromolecule Biosynthetic Process (GO:0009059),0.00013154898289951918,3.666253101736973,32.762119030793656,"['RPL30', 'RPL21', 'RPL34', 'RPL10A', 'RPL9', 'MRPS5', 'RPL7', 'RPS4X', 'RPS15A', 'RPL36AL', 'FAU', 'RPL26', 'RPL18', 'RPL17']",0.026415035766223453,0,0,14
6,B Cell Activation Involved In Immune Response (GO:0002312),0.0018654421161372777,inf,inf,"['EXOSC6', 'MSH2']",0.1872903884601827,0,0,2
7,DNA Modification (GO:0006304),0.0018654421161372777,inf,inf,"['MBD4', 'EXOSC6']",0.1872903884601827,0,0,2
8,Somatic Recombination Of Immunoglobulin Genes Involved In Immune Response (GO:0002204),0.0018654421161372777,inf,inf,"['EXOSC6', 'MSH2']",0.1872903884601827,0,0,2
9,Gamma-Aminobutyric Acid Transport (GO:0015812),0.0018654421161372777,inf,inf,"['SLC6A6', 'SLC6A1']",0.1872903884601827,0,0,2
10,Isotype Switching (GO:0045190),0.0018654421161372777,inf,inf,"['EXOSC6', 'MSH2']",0.1872903884601827,0,0,2
11,Ribosomal Large Subunit Biogenesis (GO:0042273),0.004092465336690563,7.54726368159204,41.49944233477484,"['RPL26', 'WDR12', 'GTPBP4', 'RPL7']",0.36390956902224986,0,0,4
12,Acidic Amino Acid Transport (GO:0015800),0.005436895951527637,44.779411764705884,233.5043462992999,"['SLC6A6', 'SLC6A1']",0.36390956902224986,0,0,2
13,Nucleobase-Containing Compound Catabolic Process (GO:0034655),0.005436895951527637,44.779411764705884,233.5043462992999,"['EXOSC6', 'PNPT1']",0.36390956902224986,0,0,2
14,Outer Mitochondrial Membrane Organization (GO:0007008),0.005436895951527637,44.779411764705884,233.5043462992999,"['TOMM7', 'TOMM5']",0.36390956902224986,0,0,2
15,Protein Insertion Into Mitochondrial Outer Membrane (GO:0045040),0.005436895951527637,44.779411764705884,233.5043462992999,"['TOMM7', 'TOMM5']",0.36390956902224986,0,0,2
16,Ribonucleoprotein Complex Biogenesis (GO:0022613),0.006754334431672163,4.026737967914438,20.12390825744605,"['RPS4X', 'RPS15A', 'RPL26', 'WDR12', 'GTPBP4', 'RPL7']",0.42383448558742826,0,0,6
17,Chromosome Organization (GO:0051276),0.010565052184620043,22.38235294117647,101.84426491113764,"['MSH2', 'KAT6A']",0.4845198728133421,0,0,2
18,Ribosome Biogenesis (GO:0042254),0.013326904799812906,3.415909090909091,14.749794240534705,"['RPS4X', 'RPS15A', 'RPL26', 'WDR12', 'GTPBP4', 'RPL7']",0.4845198728133421,0,0,6
19,Response To Glucose (GO:0009749),0.01654962036937168,6.746666666666667,27.67072547479096,"['EIF2B3', 'RACK1', 'ZNF236']",0.4845198728133421,0,0,3
20,Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158),0.01654962036937168,6.746666666666667,27.67072547479096,"['REST', 'SYT11', 'STX1A']",0.4845198728133421,0,0,3
21,Regulation Of Protein Localization To Centrosome (GO:1904779),0.017110181880814625,14.916666666666666,60.68221661893632,"['NSFL1C', 'CEP250']",0.4845198728133421,0,0,2
22,Maturation Of LSU-rRNA (GO:0000470),0.017110181880814625,14.916666666666666,60.68221661893632,"['WDR12', 'RPL7']",0.4845198728133421,0,0,2
23,"Maturation Of LSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",0.017110181880814625,14.916666666666666,60.68221661893632,"['WDR12', 'RPL7']",0.4845198728133421,0,0,2
24,Protein Localization To Centrosome (GO:0071539),0.017110181880814625,14.916666666666666,60.68221661893632,"['DCTN2', 'CEP250']",0.4845198728133421,0,0,2
25,Protein Localization To Microtubule Organizing Center (GO:1905508),0.017110181880814625,14.916666666666666,60.68221661893632,"['DCTN2', 'CEP250']",0.4845198728133421,0,0,2
26,Regulation Of Cell Cycle Process (GO:0010564),0.021027737043742955,4.299928926794599,16.605950996442992,"['CCP110', 'CEP250', 'CALM1', 'RPL17']",0.4845198728133421,0,0,4
27,Regulation Of Insulin Secretion (GO:0050796),0.02471418507653631,5.618518518518519,20.790641788105795,"['REST', 'MYRIP', 'STX1A']",0.4845198728133421,0,0,3
28,Negative Regulation Of Phagocytosis (GO:0050765),0.024941595779264292,11.183823529411764,41.281934702513105,"['SYT11', 'RACK1']",0.4845198728133421,0,0,2
29,Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002460),0.024941595779264292,11.183823529411764,41.281934702513105,"['MSH2', 'IL18']",0.4845198728133421,0,0,2
30,Negative Regulation Of miRNA Metabolic Process (GO:2000629),0.033937132458034286,8.944117647058823,30.260145882062396,"['REST', 'NFIB']",0.4845198728133421,0,0,2
31,Negative Regulation Of miRNA Transcription (GO:1902894),0.033937132458034286,8.944117647058823,30.260145882062396,"['REST', 'NFIB']",0.4845198728133421,0,0,2
32,Negative Regulation Of Protein Kinase B Signaling (GO:0051898),0.033937132458034286,8.944117647058823,30.260145882062396,"['PPP2R1A', 'RACK1']",0.4845198728133421,0,0,2
33,acyl-CoA Metabolic Process (GO:0006637),0.033937132458034286,8.944117647058823,30.260145882062396,"['ACOT7', 'SUCLG2']",0.4845198728133421,0,0,2
34,Gliogenesis (GO:0042063),0.033937132458034286,8.944117647058823,30.260145882062396,"['CDH2', 'NFIB']",0.4845198728133421,0,0,2
35,Protein Insertion Into Mitochondrial Membrane (GO:0051204),0.033937132458034286,8.944117647058823,30.260145882062396,"['TOMM7', 'TOMM5']",0.4845198728133421,0,0,2
36,Regulation Of DNA Recombination (GO:0000018),0.033937132458034286,8.944117647058823,30.260145882062396,"['MSH2', 'SMARCAD1']",0.4845198728133421,0,0,2
37,Sodium Ion Transport (GO:0006814),0.040329652191614614,4.49037037037037,14.417089777341607,"['SLC6A6', 'SLC6A1', 'SCN3A']",0.4845198728133421,0,0,3
38,Mitochondrial Gene Expression (GO:0140053),0.040329652191614614,4.49037037037037,14.417089777341607,"['GADD45GIP1', 'GFM2', 'MRPS5']",0.4845198728133421,0,0,3
39,Mitochondrial Translation (GO:0032543),0.040329652191614614,4.49037037037037,14.417089777341607,"['GADD45GIP1', 'GFM2', 'MRPS5']",0.4845198728133421,0,0,3
40,'De Novo' AMP Biosynthetic Process (GO:0044208),0.04334150495134051,inf,inf,['GART'],0.4845198728133421,0,0,1
41,AMP Biosynthetic Process (GO:0006167),0.04334150495134051,inf,inf,['GART'],0.4845198728133421,0,0,1
42,DNA Deamination (GO:0045006),0.04334150495134051,inf,inf,['EXOSC6'],0.4845198728133421,0,0,1
43,GMP Biosynthetic Process (GO:0006177),0.04334150495134051,inf,inf,['GART'],0.4845198728133421,0,0,1
44,Regulation Of Interleukin-13 Production (GO:0032656),0.04334150495134051,inf,inf,['IL18'],0.4845198728133421,0,0,1
45,U4 snRNA 3'-End Processing (GO:0034475),0.04334150495134051,inf,inf,['EXOSC6'],0.4845198728133421,0,0,1
46,Regulation Of Mesenchymal Stem Cell Differentiation (GO:2000739),0.04334150495134051,inf,inf,['REST'],0.4845198728133421,0,0,1
47,Regulation Of Natural Killer Cell Proliferation (GO:0032817),0.04334150495134051,inf,inf,['IL18'],0.4845198728133421,0,0,1
48,Regulation Of Necrotic Cell Death (GO:0010939),0.04334150495134051,inf,inf,['SLC6A6'],0.4845198728133421,0,0,1
49,Nitric Oxide Biosynthetic Process (GO:0006809),0.04334150495134051,inf,inf,['CYB5B'],0.4845198728133421,0,0,1
50,Nitric Oxide Metabolic Process (GO:0046209),0.04334150495134051,inf,inf,['CYB5B'],0.4845198728133421,0,0,1
51,Notochord Development (GO:0030903),0.04334150495134051,inf,inf,['COL18A1'],0.4845198728133421,0,0,1
52,Nuclear RNA Surveillance (GO:0071027),0.04334150495134051,inf,inf,['EXOSC6'],0.4845198728133421,0,0,1
53,"Base-Excision Repair, AP Site Formation (GO:0006285)",0.04334150495134051,inf,inf,['MBD4'],0.4845198728133421,0,0,1
54,"Nuclear-Transcribed mRNA Catabolic Process, Exonucleolytic, 3'-5' (GO:0034427)",0.04334150495134051,inf,inf,['EXOSC6'],0.4845198728133421,0,0,1
55,Oxygen Transport (GO:0015671),0.04334150495134051,inf,inf,['GTPBP4'],0.4845198728133421,0,0,1
56,Cellular Biogenic Amine Catabolic Process (GO:0042402),0.04334150495134051,inf,inf,['COMT'],0.4845198728133421,0,0,1
57,Polyadenylation-Dependent snoRNA 3'-End Processing (GO:0071051),0.04334150495134051,inf,inf,['EXOSC6'],0.4845198728133421,0,0,1
58,Positive Regulation Of NK T Cell Activation (GO:0051135),0.04334150495134051,inf,inf,['IL18'],0.4845198728133421,0,0,1
59,Positive Regulation Of NK T Cell Proliferation (GO:0051142),0.04334150495134051,inf,inf,['IL18'],0.4845198728133421,0,0,1
60,Coenzyme A Biosynthetic Process (GO:0015937),0.04334150495134051,inf,inf,['ACOT7'],0.4845198728133421,0,0,1
61,Coenzyme A Metabolic Process (GO:0015936),0.04334150495134051,inf,inf,['ACOT7'],0.4845198728133421,0,0,1
62,Detection Of Light Stimulus Involved In Sensory Perception (GO:0050962),0.04334150495134051,inf,inf,['CEP250'],0.4845198728133421,0,0,1
63,Detection Of Light Stimulus Involved In Visual Perception (GO:0050908),0.04334150495134051,inf,inf,['CEP250'],0.4845198728133421,0,0,1
64,Detection Of Mechanical Stimulus (GO:0050982),0.04334150495134051,inf,inf,['CDH2'],0.4845198728133421,0,0,1
