Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-720,0.006292279912548247,2.8240384615384615,14.313446364688772,"['BCLAF3', 'RNF44', 'PGBD5', 'UQCRB', 'SV2B', 'NFIB', 'ADAMTS17', 'ARHGAP19', 'CHST15', 'BRCC3', 'STX1A']",0.9998717809999875,0,0,11
2,hsa-miR-4788,0.028305719994573802,3.516156462585034,12.53401261464815,"['NDUFAF8', 'HLF', 'UQCRB', 'CAPNS1', 'PDE8B']",0.9998717809999875,0,0,5
3,hsa-miR-3613-5p,0.037076324110151306,1.851188537935526,6.099252819943669,"['MRS2', 'RNF44', 'HLF', 'ARID5A', 'RPL36A', 'ARHGAP19', 'BRCC3', 'SLC6A1', 'GALNT10', 'SGCE', 'SV2B', 'PSMD5', 'NFIB', 'CHST15', 'STX1A']",0.9998717809999875,0,0,15
4,mmu-miR-3081,0.07078112673424655,2.997285067873303,7.937299073613277,"['C11ORF87', 'CHST15', 'PLA2G7', 'GALNT10']",0.9998717809999875,0,0,4
5,hsa-miR-614,0.09398230085543244,2.324263038548753,5.496065812455786,"['ACOT7', 'ARHGAP19', 'UFSP2', 'BRCC3', 'SLC6A1']",0.9998717809999875,0,0,5
6,hsa-miR-590-5p,0.10006627816768322,1.536333985649054,3.5365218164914833,"['C11ORF87', 'CLSTN2', 'UQCRB', 'ATRNL1', 'RPL36A', 'ARHGAP19', 'BRCC3', 'C1ORF216', 'MSH2', 'SV2B', 'NFIB', 'PITHD1', 'KCNMB2', 'RBMS1', 'PDE8B', 'ANKRD36B']",0.9998717809999875,0,0,16
7,hsa-miR-21,0.10006627816768322,1.536333985649054,3.5365218164914833,"['C11ORF87', 'CLSTN2', 'UQCRB', 'ATRNL1', 'RPL36A', 'ARHGAP19', 'BRCC3', 'C1ORF216', 'MSH2', 'SV2B', 'NFIB', 'PITHD1', 'KCNMB2', 'RBMS1', 'PDE8B', 'ANKRD36B']",0.9998717809999875,0,0,16
8,hsa-miR-3940-3p,0.10697182996590522,2.215909090909091,4.952977288103804,"['RNF44', 'C11ORF87', 'SV2B', 'ADAMTS17', 'RPL36A']",0.9998717809999875,0,0,5
9,hsa-miR-371-3p,0.12399960068107664,1.747050754458162,3.646928151927928,"['MRS2', 'BCLAF3', 'PGBD5', 'SV2B', 'CHST15', 'PDE8B', 'SLC6A1', 'GALNT10']",0.9998717809999875,0,0,8
10,hsa-miR-2964a-5p,0.12890360119889263,1.5013620071684588,3.0758259783028423,"['C11ORF87', 'HLF', 'ATRNL1', 'ARHGAP19', 'GALNT10', 'SV2B', 'NFIB', 'KCNMB2', 'ADAMTS17', 'TOMM7', 'CHST15', 'STXBP6', 'PPIB', 'TOMM5']",0.9998717809999875,0,0,14
11,hsa-miR-4787-5p,0.14102667880113678,1.7554721701063165,3.438629762211698,"['PGBD5', 'REEP2', 'RBMS1', 'SLC6A1', 'TMSB10', 'GALNT10', 'STX1A']",0.9998717809999875,0,0,7
12,mmu-miR-3076-3p,0.1566293391824862,1.4824675324675325,2.7483067717881897,"['MRS2', 'C11ORF87', 'PSMD5', 'NFIB', 'ADAMTS17', 'LRIG1', 'CHST15', 'UFSP2', 'PFDN5', 'GALNT10', 'STX1A', 'SELENOH']",0.9998717809999875,0,0,12
13,mmu-miR-2139,0.1703031124025465,2.0359133126934985,3.6039236941825226,"['C11ORF87', 'HLF', 'REEP2', 'GALNT10']",0.9998717809999875,0,0,4
14,hsa-miR-1204,0.1793478932369047,1.6239837398373984,2.7906988405749265,"['BCLAF3', 'COL18A1', 'RNF44', 'NDUFAF8', 'ADAMTS17', 'PDE8B', 'GALNT10']",0.9998717809999875,0,0,7
15,mmu-miR-500,0.18813296755281447,1.4403418803418804,2.4062442078375366,"['BCLAF3', 'C1ORF216', 'C11ORF87', 'HLF', 'CLSTN2', 'SV2B', 'SNRPD1', 'RBMS1', 'STXBP6', 'BRCC3', 'SELENOH']",0.9998717809999875,0,0,11
16,mmu-miR-501-3p,0.18813296755281447,1.4403418803418804,2.4062442078375366,"['BCLAF3', 'C1ORF216', 'C11ORF87', 'HLF', 'CLSTN2', 'SV2B', 'SNRPD1', 'RBMS1', 'STXBP6', 'BRCC3', 'SELENOH']",0.9998717809999875,0,0,11
17,mmu-miR-688,0.21087642667077794,1.8375350140056022,2.8600919609626416,"['COL18A1', 'PGBD5', 'COX14', 'PDE8B']",0.9998717809999875,0,0,4
18,hsa-miR-551a,0.21715935243059337,2.0606312292358804,3.1468391002215284,"['MRS2', 'SLC6A6', 'NFIB']",0.9998717809999875,0,0,3
19,hsa-miR-551b,0.21715935243059337,2.0606312292358804,3.1468391002215284,"['MRS2', 'SLC6A6', 'NFIB']",0.9998717809999875,0,0,3
20,hsa-miR-371b-3p,0.22095282025960516,1.3432132963988919,2.0279916059963767,"['MRS2', 'CLSTN2', 'UQCRB', 'ATRNL1', 'MYRIP', 'GALNT10', 'BCLAF3', 'SLC6A6', 'PGBD5', 'SV2B', 'CHST15', 'PDE8B', 'TMSB10']",0.9998717809999875,0,0,13
21,mmu-miR-3099,0.24369236977933995,1.3415064102564103,1.8940039857571198,"['BCLAF3', 'COL18A1', 'DBP', 'CLSTN2', 'PSMD5', 'NFIB', 'ATRNL1', 'CHST15', 'SLC6A1', 'PLA2G7', 'GALNT10']",0.9998717809999875,0,0,11
22,mmu-miR-532-5p,0.25270653756745315,1.296858216970999,1.7838627067948096,"['COL18A1', 'C11ORF87', 'HLF', 'UQCRB', 'ATRNL1', 'ARID5A', 'BZW2', 'BCLAF3', 'C1ORF216', 'SV2B', 'NFIB', 'CHST15', 'PDE8B']",0.9998717809999875,0,0,13
23,hsa-miR-423-3p,0.2538965293302433,1.6736572890025576,2.294297043717691,"['RNF44', 'C11ORF87', 'ACOT7', 'GALNT10']",0.9998717809999875,0,0,4
24,hsa-miR-1306,0.2538965293302433,1.6736572890025576,2.294297043717691,"['C1ORF216', 'RNF44', 'NFIB', 'ARHGAP19']",0.9998717809999875,0,0,4
25,hsa-miR-147b,0.2538965293302433,1.6736572890025576,2.294297043717691,"['SLC6A6', 'C11ORF87', 'SV2B', 'SLC6A1']",0.9998717809999875,0,0,4
26,hsa-miR-4754,0.2706969947339997,1.7986918604651163,2.3504499135414916,"['PGBD5', 'SV2B', 'ARHGAP19']",0.9998717809999875,0,0,3
27,hsa-miR-548al,0.27534337631192435,1.5048363095238095,1.9408420426711797,"['SLC6A6', 'ATRNL1', 'RPL36A', 'RNF19B', 'RBMS1']",0.9998717809999875,0,0,5
28,hsa-miR-4774-5p,0.28333978054288955,1.2687747035573123,1.6000625170164915,"['MRS2', 'BCLAF3', 'SLC6A6', 'C1ORF216', 'C11ORF87', 'HLF', 'UQCRB', 'SV2B', 'ADAMTS17', 'RPL36A', 'RNF19B', 'SLC6A1']",0.9998717809999875,0,0,12
