Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-1900,0.12494396729851755,2.5833572453371594,5.373098652462,"['ATRNL1', 'CLPTM1L', 'PRR13']",0.9993632788074631,0,0,3
2,hsa-miR-1471,0.17012609674862875,2.8338001867413634,5.0192704499746235,"['CLPTM1L', 'P4HB']",0.9993632788074631,0,0,2
3,hsa-miR-548al,0.28693368284575876,1.6637898686679173,2.0772485726426426,"['ATRNL1', 'RNF19B', 'SLC35F1']",0.9993632788074631,0,0,3
4,hsa-miR-518e,0.28977755889521023,1.9382239382239381,2.4007649717622686,"['SLC35F1', 'CLPTM1L']",0.9993632788074631,0,0,2
5,hsa-miR-937,0.3284281986446534,2.6347975882859602,2.933681223295311,['FARP2'],0.9993632788074631,0,0,1
6,mmu-miR-467a,0.33545983049270955,1.285148785148785,1.4037076931516823,"['FARP2', 'CLSTN2', 'ARNT', 'SLC35F1', 'CLPTM1L', 'FILIP1L', 'PFDN5']",0.9993632788074631,0,0,7
7,mmu-miR-290-3p,0.33545983049270955,1.285148785148785,1.4037076931516823,"['FARP2', 'CLSTN2', 'ARNT', 'SLC35F1', 'CLPTM1L', 'FILIP1L', 'PFDN5']",0.9993632788074631,0,0,7
8,mmu-miR-292-3p,0.33545983049270955,1.285148785148785,1.4037076931516823,"['FARP2', 'CLSTN2', 'ARNT', 'SLC35F1', 'CLPTM1L', 'FILIP1L', 'PFDN5']",0.9993632788074631,0,0,7
9,hsa-miR-4440,0.3678954542883484,1.6035313001605136,1.6034615029050363,"['SLC35F1', 'P4HB']",0.9993632788074631,0,0,2
10,mmu-miR-3077,0.381874484999719,1.2382747700196048,1.1920416735246222,"['ATRNL1', 'ARNT', 'SLC35F1', 'GPD1L', 'P4HB', 'TOMM5']",0.9993632788074631,0,0,6
11,hsa-miR-572,0.38319670626172986,1.549689440993789,1.4864726935034442,"['PPIB', 'TMEM19']",0.9993632788074631,0,0,2
12,mmu-miR-293,0.38826502855378003,1.5325140809011777,1.4498611664145464,"['CLPTM1L', 'PRR13']",0.9993632788074631,0,0,2
13,mmu-miR-701,0.4424562119348285,1.7709302325581395,1.444040907095234,['GPD1L'],0.9993632788074631,0,0,1
14,hsa-miR-1249,0.4619903510138703,1.3130511463844796,1.0139528977493149,"['ATRNL1', 'GPD1L']",0.9993632788074631,0,0,2
15,mmu-miR-1965,0.47145293897441104,1.2883116883116883,0.9687279288826174,"['P4HB', 'PRR13']",0.9993632788074631,0,0,2
16,mmu-miR-714,0.47145293897441104,1.2883116883116883,0.9687279288826174,"['RPL34', 'TMEM19']",0.9993632788074631,0,0,2
17,mmu-miR-467c,0.4717468671122587,1.1544715447154472,0.8673691746022639,"['FARP2', 'ARNT', 'CLPTM1L', 'FILIP1L']",0.9993632788074631,0,0,4
18,mmu-miR-467d,0.4717468671122587,1.1544715447154472,0.8673691746022639,"['FARP2', 'ARNT', 'CLPTM1L', 'FILIP1L']",0.9993632788074631,0,0,4
19,hsa-miR-219-1-3p,0.486971299131044,1.094709782167501,0.7876985240983249,"['CLSTN2', 'DCTN2', 'ATRNL1', 'CEP250', 'SLC35F1', 'TMEM19']",0.9993632788074631,0,0,6
20,mmu-miR-804,0.49472449320402934,1.085123523093448,0.7636602919626274,"['CLSTN2', 'DCTN2', 'ATRNL1', 'SNRPD1', 'SLC35F1', 'FILIP1L']",0.9993632788074631,0,0,6
21,mmu-miR-412-5p,0.4957776735711888,1.503711034141514,1.0550453015888408,['GPD1L'],0.9993632788074631,0,0,1
22,mmu-miR-1946a,0.534923265977349,1.1374807987711213,0.7116443534872227,"['GFM2', 'PRR13']",0.9993632788074631,0,0,2
23,hsa-miR-99a,0.5441046053154904,1.305770887166236,0.794710131202076,['SLC35F1'],0.9993632788074631,0,0,1
24,hsa-miR-100,0.5441046053154904,1.305770887166236,0.794710131202076,['SLC35F1'],0.9993632788074631,0,0,1
25,hsa-miR-99b,0.5441046053154904,1.305770887166236,0.794710131202076,['SLC35F1'],0.9993632788074631,0,0,1
26,mmu-miR-1963,0.547861470333699,1.1094863142107236,0.6676143234457603,"['SLC35F1', 'GPD1L']",0.9993632788074631,0,0,2
27,mmu-miR-487b,0.5506279695824539,1.2816067653276955,0.7647294884341879,['SLC35F1'],0.9993632788074631,0,0,1
28,hsa-miR-3676,0.5647344670713964,1.074154852780807,0.6137716833913622,"['ATRNL1', 'CLPTM1L']",0.9993632788074631,0,0,2
29,hsa-miR-383,0.565252067713037,1.0022556390977444,0.5717703146895415,"['CLSTN2', 'ARNT', 'SLC35F1', 'GPD1L', 'P4HB', 'TMEM19']",0.9993632788074631,0,0,6
30,hsa-miR-1273,0.5771025044792916,1.049040511727079,0.5766946817355301,"['SLC35F1', 'P4HB']",0.9993632788074631,0,0,2
31,hsa-miR-548ad,0.5813970221726923,0.9943262411347518,0.539244411769395,"['GFM2', 'ATRNL1', 'GPD1L', 'FILIP1L']",0.9993632788074631,0,0,4
32,hsa-miR-127-3p,0.5819007241319359,1.1728682170542635,0.6350558564634846,['SLC35F1'],0.9993632788074631,0,0,1
33,hsa-miR-4800-3p,0.6053781809924028,1.098110465116279,0.5511437548669023,['GPD1L'],0.9993632788074631,0,0,1
34,hsa-miR-3171,0.6207299048296427,0.9410949410949411,0.4487698066361333,"['COPS6', 'ATRNL1', 'GPD1L', 'FILIP1L', 'TMEM19']",0.9993632788074631,0,0,5
35,hsa-miR-4636,0.6221358415201599,1.0479000347101701,0.4973300192897815,['CLPTM1L'],0.9993632788074631,0,0,1
36,mmu-miR-509-3p,0.6262772117697635,0.9394071967625506,0.43960703557064673,"['GFM2', 'GPD1L', 'PPIB']",0.9993632788074631,0,0,3
37,hsa-miR-3669,0.6275656153799501,1.0321477428180574,0.48088490702762887,['TOMM7'],0.9993632788074631,0,0,1
38,hsa-miR-2964a-5p,0.6378481605063628,0.9212405631503775,0.4142404409913311,"['ATRNL1', 'TOMM7', 'P4HB', 'PPIB', 'TOMM5']",0.9993632788074631,0,0,5
39,mmu-miR-1306-3p,0.6381973821958029,1.0019933554817275,0.4500028982318373,['ATRNL1'],0.9993632788074631,0,0,1
40,mmu-miR-652,0.6381973821958029,1.0019933554817275,0.4500028982318373,['P4HB'],0.9993632788074631,0,0,1
41,hsa-miR-4665-3p,0.6485323509056976,0.9735142118863049,0.4215738952340176,['SLC35F1'],0.9993632788074631,0,0,1
42,hsa-miR-4431,0.6535910750286564,0.9598598279706912,0.4082028435672557,['ARNT'],0.9993632788074631,0,0,1
43,hsa-miR-4485,0.6585786194357439,0.9465744814582024,0.39535706352893046,['RNF19B'],0.9993632788074631,0,0,1
44,hsa-miR-450a,0.6585786194357439,0.9465744814582024,0.39535706352893046,['SLC35F1'],0.9993632788074631,0,0,1
45,mmu-miR-466h-3p,0.6585786194357439,0.9465744814582024,0.39535706352893046,['TMEM19'],0.9993632788074631,0,0,1
46,mmu-miR-672,0.6730121534059832,0.881083202511774,0.34890180344492705,"['FARP2', 'ATRNL1', 'SLC35F1', 'GPD1L', 'RPL10A']",0.9993632788074631,0,0,5
47,mmu-miR-153,0.6864761351072473,0.8658678005411674,0.32572545467020114,"['ATRNL1', 'ARNT', 'GPD1L', 'P4HB', 'SELENOH']",0.9993632788074631,0,0,5
48,mmu-miR-1957,0.6875642062351834,0.8583850931677018,0.3215511099055146,"['RPL34', 'SLC35F1', 'P4HB', 'TOMM5']",0.9993632788074631,0,0,4
49,mmu-miR-125b-1-3p,0.6915789626998792,0.8627619867929945,0.3181675916001463,['ATRNL1'],0.9993632788074631,0,0,1
50,mmu-miR-877,0.6930760335815983,0.858430845962018,0.31471411324785203,"['CLSTN2', 'DCTN2', 'ATRNL1', 'SLC35F1', 'PPIB']",0.9993632788074631,0,0,5
51,hsa-miR-4442,0.696031215446216,0.8519568916619399,0.30871575516241506,['CLPTM1L'],0.9993632788074631,0,0,1
52,hsa-miR-3687,0.696031215446216,0.8519568916619399,0.30871575516241506,['CLPTM1L'],0.9993632788074631,0,0,1
53,hsa-miR-4718,0.6995870525268292,0.8511043412033511,0.30406982903588303,"['ATRNL1', 'SNRPD1', 'GPD1L', 'P4HB', 'TMEM19']",0.9993632788074631,0,0,5
54,hsa-miR-517c,0.7004206368031147,0.8414121602689829,0.2996051742017153,['TOMM5'],0.9993632788074631,0,0,1
55,hsa-miR-517a,0.7004206368031147,0.8414121602689829,0.2996051742017153,['TOMM5'],0.9993632788074631,0,0,1
56,hsa-miR-4664-3p,0.7004206368031147,0.8414121602689829,0.2996051742017153,['P4HB'],0.9993632788074631,0,0,1
57,hsa-miR-550b,0.7017375495331443,0.8486862931307376,0.30060112557183394,"['GFM2', 'ATRNL1', 'SNRPD1', 'TOMM7', 'ARNT']",0.9993632788074631,0,0,5
58,hsa-miR-4278,0.7041677262246849,0.8379939209726444,0.29391690156908973,"['ATRNL1', 'SLC35F1', 'GPD1L', 'PRR13']",0.9993632788074631,0,0,4
59,mmu-miR-698,0.7087995532268443,0.8323262839879154,0.28647214957422323,"['CLSTN2', 'RPL36AL', 'GPD1L', 'SELENOH']",0.9993632788074631,0,0,4
60,mmu-miR-541,0.7110967464318914,0.8295180722891566,0.282821521924142,"['ATRNL1', 'CLPTM1L', 'FILIP1L', 'PPIB']",0.9993632788074631,0,0,4
61,mmu-miR-1899,0.7214551906991921,0.7922832980972516,0.2586686192739793,['FARP2'],0.9993632788074631,0,0,1
