Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Translation (GO:0006412),2.4054969760769102e-15,19.486486486486488,655.9350088150144,"['GADD45GIP1', 'RPL30', 'RPL21', 'RPL34', 'RPLP1', 'RPL11', 'RPSA', 'RPS3A', 'RPL10A', 'RPL9', 'RPL7', 'RPS4X', 'RPS25', 'RPS15A', 'RPS18', 'RPL36AL', 'RPS3', 'FAU', 'RPL26', 'RPL18', 'RPL17']",5.941577530909968e-13,0,0,21
2,Cytoplasmic Translation (GO:0002181),1.3121966474514643e-14,18.88,603.489547390393,"['RPL30', 'RPL21', 'RPL34', 'RPLP1', 'RPL11', 'RPSA', 'RPS3A', 'RPL10A', 'RPL9', 'RPL7', 'RPS4X', 'RPS25', 'RPS15A', 'RPS18', 'RPL36AL', 'RPS3', 'FAU', 'RPL26', 'RPL18', 'RPL17']",1.6205628596025583e-12,0,0,20
3,Peptide Biosynthetic Process (GO:0043043),1.9843597261935972e-14,18.333333333333332,578.4330749245333,"['RPL30', 'RPL21', 'RPL34', 'RPLP1', 'RPL11', 'RPSA', 'RPS3A', 'RPL10A', 'RPL9', 'RPL7', 'RPS4X', 'RPS25', 'RPS15A', 'RPS18', 'RPL36AL', 'RPS3', 'FAU', 'RPL26', 'RPL18', 'RPL17']",1.6337895078993949e-12,0,0,20
4,Macromolecule Biosynthetic Process (GO:0009059),9.454288670155269e-14,16.42,492.431248964327,"['RPL30', 'RPL21', 'RPL34', 'RPLP1', 'RPL11', 'RPSA', 'RPS3A', 'RPL10A', 'RPL9', 'RPL7', 'RPS4X', 'RPS25', 'RPS15A', 'RPS18', 'RPL36AL', 'RPS3', 'FAU', 'RPL26', 'RPL18', 'RPL17']",5.8380232538208786e-12,0,0,20
5,Gene Expression (GO:0010467),5.544159575475237e-13,14.506666666666666,409.390625952341,"['RPL30', 'RPL21', 'RPL34', 'RPLP1', 'RPL11', 'RPSA', 'RPS3A', 'RPL10A', 'RPL9', 'RPL7', 'RPS4X', 'RPS25', 'RPS15A', 'RPS18', 'RPL36AL', 'RPS3', 'FAU', 'RPL26', 'RPL18', 'RPL17']",2.7388148302847672e-11,0,0,20
6,Ribonucleoprotein Complex Biogenesis (GO:0022613),3.7384004248083235e-06,13.08108108108108,163.47234384465983,"['RPS4X', 'RPS25', 'RPS15A', 'RPL11', 'RPS3A', 'RPL26', 'WDR12', 'RPL7']",0.00013191212927537942,0,0,8
7,Ribosome Biogenesis (GO:0042254),3.7384004248083235e-06,13.08108108108108,163.47234384465983,"['RPS4X', 'RPS25', 'RPS15A', 'RPL11', 'RPS3A', 'RPL26', 'WDR12', 'RPL7']",0.00013191212927537942,0,0,8
8,Ribosomal Large Subunit Biogenesis (GO:0042273),0.0005594801289225755,16.702439024390245,125.0762571689173,"['RPL11', 'RPL26', 'WDR12', 'RPL7']",0.01727394898048452,0,0,4
9,Ribosomal Small Subunit Biogenesis (GO:0042274),0.000700941083466407,9.659090909090908,70.15481491751405,"['RPS4X', 'RPS25', 'RPS15A', 'RPSA', 'RPS3A']",0.019236938624022502,0,0,5
10,rRNA Metabolic Process (GO:0016072),0.0013610774379112667,11.902439024390244,78.54989233302868,"['RPS25', 'RPL11', 'RPL26', 'RPL7']",0.030562375196734805,0,0,4
11,ncRNA Processing (GO:0034470),0.0013610774379112667,11.902439024390244,78.54989233302868,"['RPS25', 'RPL11', 'RPL26', 'RPL7']",0.030562375196734805,0,0,4
12,Outer Mitochondrial Membrane Organization (GO:0007008),0.002414798476206684,inf,inf,"['TOMM7', 'TOMM5']",0.031392380190686894,0,0,2
13,Protein Insertion Into Mitochondrial Outer Membrane (GO:0045040),0.002414798476206684,inf,inf,"['TOMM7', 'TOMM5']",0.031392380190686894,0,0,2
14,Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),0.002414798476206684,inf,inf,"['RPL11', 'RPL17']",0.031392380190686894,0,0,2
15,Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058),0.002414798476206684,inf,inf,"['RPL11', 'RPL17']",0.031392380190686894,0,0,2
