"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"ESR1",2.23857574099466e-09,8.52205882352941,169.737476012719,"['RPL21', 'RPL11', 'RPL36A', 'RPSA', 'RPS3A', 'RPL10A', 'RPL9', 'PLA2G7', 'RPL7', 'RPS4X', 'RPS25', 'RPS15A', 'RPS18', 'RPL36AL', 'SNRPD1', 'RPS3', 'RPL18', 'RPL17', 'RPS12']",7.83501509348129e-08,0,0,19,"ESR1",7.83501509348129e-08,0.293236718481492,0.889547258984489,NA,NA,NA,0.820028840279806,0.862171011458207,NA,NA,NA,NA
"ILF2",6.18780249836404e-08,16.1142857142857,267.466537455607,"['RPS4X', 'RPS15A', 'RPL21', 'RPL11', 'RPS3', 'RPL10A', 'RPL18', 'RPL9', 'RPL17', 'RPL7']",1.08286543721371e-06,0,0,10,"ILF2",1.08286543721371e-06,NA,NA,NA,NA,NA,NA,NA,0.155519112390423,0.811313715497116,NA,0.93470647551083
"ILF3",1.383890677658e-07,10.4326018808777,164.764134505277,"['RPS4X', 'RPS25', 'RPS15A', 'RPL21', 'RPL11', 'RPS3', 'RPS3A', 'RPL10A', 'RPL18', 'RPL9', 'RPL17', 'RPL7']",1.61453912393434e-06,0,0,12,"ILF3",1.61453912393434e-06,0.691811287879503,0.00908380295937195,0.595599695067329,0.595731595266875,1.5227477791157,0.974451289267525,0.991462635049616,0.0650064426958434,0.808627534012811,0.180886570475564,0.500092338319318
"RAD21",1.95949038040496e-06,11.7083333333333,153.880589254846,"['RPS4X', 'RPS25', 'RPL30', 'RPS15A', 'RPS18', 'RPL11', 'RPS3', 'RPS3A', 'RPL17']",1.71455408285434e-05,0,0,9,"RAD21",1.71455408285434e-05,0.365511200277148,0.823670498890043,NA,NA,NA,0.912397188889802,0.847440453903984,0.22153079400454,0.862931513462543,NA,0.337153317938522
"ESR2",6.57229556252849e-05,7.87779083431257,75.8636164641628,"['RPS4X', 'RPS25', 'RPS18', 'RPL36AL', 'RPS3', 'RPL10A', 'RPL17', 'RPL7']",0.000460060689376994,0,0,8,"ESR2",0.000460060689376994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTCF",0.00348910497385018,15.3035714285714,86.5892909969955,"['RPL36A', 'FAU', 'RPL17']",0.0203531123474594,0,0,3,"CTCF",0.0203531123474594,0.0221661326587756,0.26092468804582,0.677092979637917,NA,-0.043640744533342,0.800503405276175,0.956581961764326,0.880616565379577,0.81466781313771,NA,0.561730401026475
"TAF1",0.0142890679304995,7.61607142857143,32.3550555253456,"['RPL30', 'RPS3', 'RPL36A']",0.0714453396524973,0,0,3,"TAF1",0.0714453396524973,0.667820428977261,0.743989891252672,NA,NA,NA,0.812243517263801,0.842710812555845,NA,NA,NA,NA
"UPF1",0.0219300924068511,13.3023255813953,50.8134936657191,"['RPL11', 'RPS3']",0.0959441542799734,0,0,2,"UPF1",0.0959441542799734,0.96453870814201,0.313243422896215,NA,NA,NA,0.944428353199476,0.999976985188991,0.0123338594491643,0.765226432005424,0.159838785586126,0.0457278249572109
"FOS",0.0283831114280112,5.51948051948052,19.6601742332385,"['RPS25', 'ATRNL1', 'TMSB10']",0.110378766664488,0,0,3,"FOS",0.110378766664488,0.818549666195048,0.949499493094805,NA,NA,NA,0.950742070213896,0.999976985188991,NA,NA,NA,NA
"E2F2",0.0318624225184261,9.96511627906977,34.3430586681806,"['RPS3', 'RPS3A']",0.111518478814491,0,0,2,"E2F2",0.111518478814491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAF7",0.0496686606814953,Inf,Inf,"['FAU']",0.158036647622939,0,0,1,"TAF7",0.158036647622939,0.000532727614416148,0.437248961156658,0.595599695067329,0.595731595266875,-0.542667998232769,0.862287188211221,0.999976985188991,0.662497897646215,0.885964564631451,NA,0.227201003403703
"NR4A1",0.0842318259047394,4.9593023255814,12.2702187746467,"['GADD45GIP1', 'RPL7']",0.245676158888823,0,0,2,"NR4A1",0.245676158888823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRIM28",0.0997746765449881,4.4031007751938,10.1484466209412,"['SNRPD1', 'PFDN5']",0.268624129159583,0,0,2,"TRIM28",0.268624129159583,0.555809749350871,0.278111570599489,NA,NA,NA,0.931609862346373,0.971332170590255,0.985998636590079,0.77054572582514,NA,0.965087265725938
"EGR1",0.141876622715637,9.76136363636364,19.0619660485438,"['PFDN5']",0.331045453003152,0,0,1,"EGR1",0.331045453003152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETS1",0.141876622715637,9.76136363636364,19.0619660485438,"['PFDN5']",0.331045453003152,0,0,1,"ETS1",0.331045453003152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERG",0.184640188342318,6.5,10.9807507914739,"['RPS18']",0.358460025069905,0,0,1,"ERG",0.358460025069905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMAD2",0.204951941831293,2.62325581395349,4.15780736364539,"['RPL30', 'RPS3A']",0.358460025069905,0,0,2,"SMAD2",0.358460025069905,0.891191302546562,0.417561945863905,NA,NA,NA,0.555195187987961,0.534669707370083,0.830051986107653,0.884565743562638,NA,0.522059167688065
"TCF3",0.204951941831293,2.62325581395349,4.15780736364539,"['RPS3', 'RPL36A']",0.358460025069905,0,0,2,"TCF3",0.358460025069905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TP53",0.222215723194171,1.97857142857143,2.97598242902825,"['RPL11', 'RPS3', 'RPL26']",0.358460025069905,0,0,3,"TP53",0.358460025069905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POU5F1",0.223649245529997,2.45639534883721,3.67888515277452,"['RPS25', 'RPL30']",0.358460025069905,0,0,2,"POU5F1",0.358460025069905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SIN3A",0.223649245529997,2.45639534883721,3.67888515277452,"['RPL21', 'PFDN5']",0.358460025069905,0,0,2,"SIN3A",0.358460025069905,0.975383960307883,0.156466508304198,NA,NA,NA,0.891421397223844,0.999976985188991,0.41490391130007,0.975664104661591,NA,0.595069355755435
"SMC3",0.22531773004394,4.86931818181818,7.25647093546471,"['RPL30']",0.358460025069905,0,0,1,"SMC3",0.358460025069905,0.0928866908496236,0.283443927028215,NA,NA,NA,0.634086457072075,0.708670870307928,0.71186454656202,0.807653264680958,NA,0.670598556423592
"NFE2L2",0.264008800801555,3.89090909090909,5.18180705026718,"['GADD45GIP1']",0.401752522958888,0,0,1,"NFE2L2",0.401752522958888,0.840377038550557,0.756136507023642,NA,NA,NA,0.992345981784742,0.999976985188991,NA,NA,NA,NA
"NOTCH1",0.300808308727405,3.23863636363636,3.8905157793048,"['WDR12']",0.40493426174843,0,0,1,"NOTCH1",0.40493426174843,0.0709731942026916,0.000755176060844174,0.65824464352463,0.661454681263433,0.581450905389149,0.998257369555358,0.999976985188991,0.816711754177841,0.807653264680958,NA,0.878538624675234
"HDAC8",0.300808308727405,3.23863636363636,3.8905157793048,"['SNRPD1']",0.40493426174843,0,0,1,"HDAC8",0.40493426174843,0.00870426216212478,0.0181276397494158,NA,NA,NA,0.944428353199476,0.999976985188991,0.631226602139252,0.887247701990488,NA,0.5530815609492
"NANOG",0.300808308727405,3.23863636363636,3.8905157793048,"['RPS3']",0.40493426174843,0,0,1,"NANOG",0.40493426174843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EED",0.335806728500041,2.77272727272727,3.02565406073643,"['RPS3A']",0.421153623890939,0,0,1,"EED",0.421153623890939,0.983102735501849,0.420235826931699,NA,NA,NA,0.929722838789457,0.962182333390644,NA,NA,NA,NA
"STAT3",0.336922899112751,1.7737843551797,1.92970205904589,"['GADD45GIP1', 'RPL11']",0.421153623890939,0,0,2,"STAT3",0.421153623890939,1.88544107565214e-05,0.00347064052601373,0.958710108342348,0.960510356170407,0.129565982043106,0.99792158860458,0.999976985188991,0.485221182377541,0.760418850715161,NA,0.796954504789944
"MAX",0.369090303379747,2.42329545454545,2.41533236095154,"['RPL34']",0.436338272716525,0,0,1,"MAX",0.436338272716525,0.58497920211714,0.00744497885695997,0.41631538915493,0.404348269023212,1.47553466816258,0.99792158860458,0.999976985188991,0.566822758613713,0.787723173288058,NA,0.257060886568025
"CTNNB1",0.374004233757021,1.62209302325581,1.59530928510338,"['RPL21', 'SNRPD1']",0.436338272716525,0,0,2,"CTNNB1",0.436338272716525,0.623392027139164,0.0651856912009059,0.654066355933262,NA,1.08209806553066,0.908568719608337,0.939526268174946,0.705855138178514,0.740132378663873,NA,0.139473294589228
"PML",0.430837886387404,1.93409090909091,1.62854979023563,"['RPL11']",0.486429871727714,0,0,1,"PML",0.486429871727714,0.0735673289195576,0.283255230122065,0.957690868298434,0.959136178831017,-0.307291094194993,0.916986136236561,0.969694384102987,0.0536859754779127,0.958643380735505,0.552105383682566,0.93864454864032
"SP1",0.623920119459526,1.06439393939394,0.50210967435895,"['PFDN5']",0.661733460032831,0,0,1,"SP1",0.661733460032831,0.920076535827989,0.525432950546973,NA,NA,NA,0.959448032538383,0.999976985188991,NA,NA,NA,NA
"NFKB1",0.623920119459526,1.06439393939394,0.50210967435895,"['RPS3']",0.661733460032831,0,0,1,"NFKB1",0.661733460032831,0.677379356584798,0.687902818650888,NA,NA,NA,0.987739716382588,0.999976985188991,0.651094097430347,0.876243297421722,NA,0.99089712194382
"AR",0.661131653479191,0.955681818181818,0.395463320834271,"['GADD45GIP1']",0.680576702110931,0,0,1,"AR",0.680576702110931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYC",0.807745810420423,0.656058751529988,0.140073700741979,"['RPL11', 'PFDN5']",0.807745810420423,0,0,2,"MYC",0.807745810420423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
