Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-100-5p,0.00023495506273085238,9.764705882352942,81.5950178371495,"['RPS15A', 'RPLP1', 'RPL36A', 'RPL26', 'RPL10A', 'RPL7']",0.13016510475289222,0,0,6
2,hsa-miR-615-3p,0.002485558953568442,4.7324973876698015,28.382006463330644,"['GADD45GIP1', 'RPL36AL', 'SNRPD1', 'TOMM7', 'TMSB10', 'RPL9', 'RPL7']",0.48766974123107226,0,0,7
3,hsa-miR-6787-3p,0.0029962212960601502,9.277777777777779,53.90763110111939,"['RPS15A', 'RNF19B', 'WDR12', 'RPL10A']",0.48766974123107226,0,0,4
4,hsa-miR-1304-3p,0.0035210811641232654,6.295238095238095,35.561719343105736,"['SNRPD1', 'RPL34', 'RNF19B', 'WDR12', 'RPL10A']",0.48766974123107226,0,0,5
5,hsa-miR-411-5p,0.004844634745189713,13.621621621621621,72.60165529549637,"['UQCRB', 'RNF19B', 'MAP2K6']",0.5367855297670202,0,0,3
6,hsa-miR-4432,0.008817242063914084,35.526315789473685,168.07663950493207,"['SNRPD1', 'WDR12']",0.5903287742352485,0,0,2
7,hsa-miR-6722-5p,0.008817242063914084,35.526315789473685,168.07663950493207,"['RPL34', 'RNF19B']",0.5903287742352485,0,0,2
8,hsa-miR-5001-3p,0.010746203352093074,9.054054054054054,41.043862857262795,"['SNRPD1', 'RNF19B', 'WDR12']",0.5903287742352485,0,0,3
9,hsa-miR-193b-3p,0.013221536676807377,3.6717267552182165,15.88355292454086,"['NDUFS6', 'RPS18', 'RPL26', 'WDR12', 'RPL9', 'TOMM5']",0.5903287742352485,0,0,6
10,hsa-miR-6843-3p,0.017011070823996877,17.736842105263158,72.25796003651251,"['UQCRB', 'RNF19B']",0.5903287742352485,0,0,2
11,hsa-miR-6848-3p,0.017011070823996877,17.736842105263158,72.25796003651251,"['UQCRB', 'RNF19B']",0.5903287742352485,0,0,2
12,hsa-miR-6720-5p,0.019514926952043765,6.77027027027027,26.65168089708982,"['RPS15A', 'SNRPD1', 'WDR12']",0.5903287742352485,0,0,3
13,hsa-miR-6736-3p,0.019514926952043765,6.77027027027027,26.65168089708982,"['RPS15A', 'RNF19B', 'RPL10A']",0.5903287742352485,0,0,3
14,hsa-miR-6512-3p,0.019514926952043765,6.77027027027027,26.65168089708982,"['RPS15A', 'SNRPD1', 'WDR12']",0.5903287742352485,0,0,3
15,hsa-miR-6890-3p,0.021136934615176232,4.583333333333333,17.676694351555344,"['SNRPD1', 'RPL34', 'RNF19B', 'RPL10A']",0.5903287742352485,0,0,4
16,hsa-let-7a-5p,0.02438524682758834,3.5714285714285716,13.263489170585622,"['GADD45GIP1', 'RPS15A', 'RPS3A', 'COX14', 'RPL9']",0.5903287742352485,0,0,5
17,hsa-miR-548ai,0.02735310937533621,11.807017543859649,42.49257142003008,"['EEF1B2', 'TOMM5']",0.5903287742352485,0,0,2
18,hsa-miR-216a-5p,0.02735310937533621,11.807017543859649,42.49257142003008,"['RPS15A', 'RNF19B']",0.5903287742352485,0,0,2
19,hsa-miR-570-5p,0.02735310937533621,11.807017543859649,42.49257142003008,"['EEF1B2', 'TOMM5']",0.5903287742352485,0,0,2
20,hsa-miR-548ba,0.02735310937533621,11.807017543859649,42.49257142003008,"['EEF1B2', 'TOMM5']",0.5903287742352485,0,0,2
21,hsa-miR-548ag,0.02735310937533621,11.807017543859649,42.49257142003008,"['EEF1B2', 'TOMM5']",0.5903287742352485,0,0,2
22,hsa-miR-3663-5p,0.02735310937533621,11.807017543859649,42.49257142003008,"['UQCRB', 'RNF19B']",0.5903287742352485,0,0,2
23,hsa-miR-122-3p,0.02735310937533621,11.807017543859649,42.49257142003008,"['RPL34', 'RNF19B']",0.5903287742352485,0,0,2
24,hsa-miR-423-3p,0.03128140599457976,5.4,18.709549644452572,"['UQCRB', 'RPLP1', 'RPL26']",0.5903287742352485,0,0,3
25,hsa-miR-500a-3p,0.03958974498250132,8.842105263157896,28.55279509317614,"['SNRPD1', 'SELENOH']",0.5903287742352485,0,0,2
26,hsa-miR-342-3p,0.04603672540503922,4.486486486486487,13.810822339488638,"['RPS3A', 'RPL26', 'PLA2G7']",0.5903287742352485,0,0,3
27,hsa-miR-7110-3p,0.04603672540503922,4.486486486486487,13.810822339488638,"['RPS15A', 'RPL34', 'PLA2G7']",0.5903287742352485,0,0,3
28,hsa-miR-640,0.053487814220427136,7.063157894736842,20.68305531124067,"['RNF19B', 'WDR12']",0.5903287742352485,0,0,2
29,hsa-miR-2276-3p,0.053487814220427136,7.063157894736842,20.68305531124067,"['RPL34', 'RNF19B']",0.5903287742352485,0,0,2
30,hsa-miR-3605-3p,0.05586570009685702,inf,inf,['RPLP1'],0.5903287742352485,0,0,1
31,hsa-miR-339-3p,0.05586570009685702,inf,inf,['RPL10A'],0.5903287742352485,0,0,1
32,mmu-miR-668-3p,0.05586570009685702,inf,inf,['PLA2G7'],0.5903287742352485,0,0,1
33,hsa-miR-4473,0.05586570009685702,inf,inf,['UQCRB'],0.5903287742352485,0,0,1
34,hsa-miR-4466,0.05586570009685702,inf,inf,['RPL10A'],0.5903287742352485,0,0,1
35,hsa-miR-3649,0.05586570009685702,inf,inf,['WDR12'],0.5903287742352485,0,0,1
36,hsa-miR-1302,0.05586570009685702,inf,inf,['WDR12'],0.5903287742352485,0,0,1
37,hsa-miR-1244,0.05586570009685702,inf,inf,['UQCRB'],0.5903287742352485,0,0,1
38,hsa-miR-514a-5p,0.05586570009685702,inf,inf,['TOMM5'],0.5903287742352485,0,0,1
