"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"GTF2B",0.00388962827948288,26.3571428571429,146.267427239706,"['POLR3A', 'TBPL1']",0.0974802143418104,0,0,2,"GTF2B",0.0974802143418104,0.503170733208287,0.209800804395506,NA,NA,NA,0.733687135757895,0.674366387237426,0.766917588309557,0.849238229216037,NA,0.319575323753433
"NANOG",0.00746371685289611,18.4,90.1177122219328,"['MSH2', 'PSIP1']",0.0974802143418104,0,0,2,"NANOG",0.0974802143418104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TET1",0.00832700962018853,257,1230.58047524212,"['SAP130']",0.0974802143418104,0,0,1,"TET1",0.0974802143418104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WT1",0.0124663472922278,128.461538461538,563.268195742573,"['DNMT1']",0.0974802143418104,0,0,1,"WT1",0.0974802143418104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYC",0.0128263439923435,5.46315789473684,23.7989039707448,"['PPP6C', 'POLR3A', 'MSH2', 'SAP130']",0.0974802143418104,0,0,4,"MYC",0.0974802143418104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RARA",0.0183376369420316,11.2006802721088,44.7892765498182,"['DNMT1', 'SAP130']",0.116138367299533,0,0,2,"RARA",0.116138367299533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SP1",0.0281128644529772,8.81720430107527,31.4908920226504,"['DNMT1', 'PSIP1']",0.140179743905439,0,0,2,"SP1",0.140179743905439,0.920076535827989,0.525432950546973,NA,NA,NA,0.959448032538383,0.999976985188991,NA,NA,NA,NA
"STAT3",0.0314660958943352,8.27272727272727,28.6140783326292,"['DNMT1', 'MSH2']",0.140179743905439,0,0,2,"STAT3",0.140179743905439,1.88544107565214e-05,0.00347064052601373,0.958710108342348,0.960510356170407,0.129565982043106,0.99792158860458,0.999976985188991,0.485221182377541,0.760418850715161,NA,0.796954504789944
"POU5F1",0.0332004656618146,8.02450980392157,27.3249915905689,"['MSH2', 'SAP130']",0.140179743905439,0,0,2,"POU5F1",0.140179743905439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUZ12",0.0409956193434506,28.4871794871795,90.9963143664262,"['DNMT1']",0.144932419855205,0,0,1,"SUZ12",0.144932419855205,0.313341400918022,0.381016248731315,NA,NA,NA,0.908568719608337,0.989653317047817,NA,NA,NA,NA
