pathway,pval,padj,log2err,ES,NES,size,leadingEdge
sleep_No_Change_wake_No Change,0.0387961203879612,0.387961203879612,0.0718550298668081,0.558248072808078,1.32393443376697,27,RPL17|FAU|GADD45GIP1|PFDN5|ACOT7|REEP2|RPS18|RPL11|UQCR11|RPL35|HCFC1R1|OAZ1|RPS19|CEND1|UQCR10|ATOX1|RPLP0
sleep_UP_wake_DOWN,0.199480051994801,0.880245308802453,0.02890376707745,0.513221592246232,1.17968459829483,19,C11orf87|HMGCS1|TMEM232|B4GAT1|RAMP1|RASGEF1B|KCNIP4|AGBL3|SCG5
sleep_UP_wake_No_Change,0.264073592640736,0.880245308802453,0.0240857125878065,0.421557055492116,1.07398957253867,81,TBPL1|RPL18|MZT2A|SLC6A6|PFDN5|PITHD1|RPS18|TMSB10|NDUFAF8|CCZ1|NSG2|STMN3|RPS15|RPL19|RPL18A|RPS9|RPS10|TEF|NT5C|SUMO3|RAB3A|PSMB10|NHP2|OLFM1|LGMN|COX5B|MCRIP1|PLEKHG5|MZT2B|PTGES2|ID2|CHCHD10|SPATS2L|KCNIP4|ELOB|TCAIM|PINK1
sleep_DOWN_wake_UP,0.537646235376462,0.995000499950005,0.0133789727247561,0.456327104774985,0.980531452501273,10,IQGAP2|SLC36A1|HSP90B1|CBLN2|CALR|PHF21A|LRRTM4|FOXP1
All_DE_sleep_wake_genes,0.60983901609839,0.995000499950005,0.0115397340331895,0.369607032733483,0.9777303852026,237,TBPL1|RPL18|MZT2A|RPL17|FAU|DBP|GADD45GIP1|SLC6A6|PFDN5|UFSP2|ACOT7|REEP2|PITHD1|RPS18|SLC6A1|CAPNS1|C11orf87|TMSB10|NDUFAF8|CCZ1|RPL11|NSG2|HMGCS1|HSPA13|SRP14|STMN3|SLC25A37|UQCR11|FADS2|SLC38A2|PVT1|TMEM232|RPS15|RPL19|RAB3C|RPL18A|RPS9|KIAA0408|IQGAP2|RPS10|TEF|NT5C|NR1D1|SUMO3|RPL35|NAV2|CARHSP1|NAPB|B4GAT1|RAB3A|PSMB10|NHP2|SLC36A1|OLFM1|LGMN|COX5B|FGF14|HCFC1R1|MCRIP1|PLEKHG5|VPS9D1|RAMP1|PDP1|MZT2B|HSP90B1|RASGEF1B|PTGES2|ENC1|ID2|OAZ1|CHCHD10|RPS19|CEND1|SYNDIG1|BHLHE40|PLAT|PDE4D|SPATS2L|KCNIP4|DNAJC3|AGBL3|SCG5|CBLN2|UQCR10|KCNQ5|ELOB|VAMP1|TCAIM|PINK1|ATOX1|RPLP0|CALR|WASHC3|SLC40A1|PHF21A|LRRTM4|UQCRFS1|MGLL|SLC7A1|LSM7|ZFAND5|F13A1|GAB1|CALM3|TMBIM1|RTL8C|PLPP3|DTNBP1
sleep_No_Change_wake_DOWN,0.820917908209179,0.995000499950005,0.00673834310148447,0.349729542349336,0.867498871189715,50,SLC6A6|UFSP2|SLC6A1|CAPNS1|SRP14|FADS2|CARHSP1|NAPB|COX5B|FGF14|HCFC1R1|VPS9D1|KCNQ5|VAMP1|PINK1|WASHC3|CALM3|TMBIM1|PLPP3|VDAC2|GRAMD1A|FOXP1|GUK1|BAX|IDH1|MARCKSL1
sleep_No_Change_wake_UP,0.851614838516148,0.995000499950005,0.00602212902799659,0.339748852448065,0.794769116105716,23,SLC38A2|PVT1|RAB3C|NAV2|ENC1|BHLHE40|AGBL3|CALR|F13A1|SAP30|HTRA1
sleep_DOWN_wake_No_Change,0.972402759724028,0.995000499950005,0.00243043819712916,0.273169027470318,0.647844389121475,27,HSPA13|KIAA0408|IQGAP2|PDP1|PLAT|PDE4D|DNAJC3|CALM3|XBP1|SLC35F3|TCF4
sleep_UP_wake_UP,0.983901609839016,0.995000499950005,0.00184539824942969,0.238241306197074,0.544622440785302,18,DBP|NR1D1|SYNDIG1|ZFAND5|SGK1|SRM|CCND3|PER2|IQGAP1|PER3|CDKN1A
sleep_DOWN_wake_DOWN,0.995000499950005,0.995000499950005,0.00102264813688001,0.205664787608286,0.474924871442916,20,SLC25A37|KIAA0408|DNAJC3|SLC40A1|SLC7A1|GAB1|SEMA6D|POLB|FAM53B|SLC5A3|LAP3|AFF3|CHORDC1|DISP1
