GENE_SYMBOLS,refseq_ids
AZIN2,NM_001293562
SNAP25,NM_001322902
CX3CR1,NM_001171171
NAV2,NM_001111018
LTC4S,NM_000897
PRDM11,NM_001256695
PFN2,NM_002628
IGF1,NM_000618
NRN1,NM_001278710
A2M,NM_000014
NEAT1,NR_002802
MLLT11,NM_006818
FMN1,NM_001103184
ARNTL,NA
ATP5MD,NA
TOMM7,NM_019059
IGF2R,NM_000876
NLRC5,NM_001330552
IFNAR2,NM_000874
ABHD3,NM_001308256
EAF2,NM_001320041
NAP1L5,NM_153757
PLAT,NM_000930
TMSB10,NM_021103
MOAP1,NM_022151
TBC1D8,NM_001102426
MICOS10,NM_001032363
HOPX,NM_001145459
TNFAIP8,NM_001077654
RUNX1,NM_001001890
ITGAX,NM_000887
JAK3,NM_000215
PCP4,NM_006198
P2RY13,NM_023914
COPS9,NM_001163424
ATP6V1G2,NM_001204078
PER3,NM_001289861
STON2,NM_001256430
MGLL,NM_001003794
C1orf162,NM_001300834
MS4A6A,NM_001247999
KBTBD12,NM_001370224
PYGL,NM_001163940
KIF26B,NM_018012
ZNF385B,NM_001113397
P2RY12,NM_022788
MED12L,NM_001393769
PID1,NM_001100818
PMEPA1,NM_001255976
TBC1D14,NM_001113361
DENND3,NM_001352890
PLD4,NM_001308174
CHST15,NM_001270764
NAALADL2,NM_207015
CD163,NM_001370145
TLR5,NM_003268
RPL38,NM_000999
TMTC2,NM_001320321
DPYD,NM_000110
RPS19BP1,NM_194326
LCP1,NM_002298
SNHG8,NR_003584
DSCAM,NM_001271534
RBFOX1,NM_001142333
SH3PXD2B,NM_001017995
NAP1L2,NM_021963
TRPM3,NM_001007470
CHRM3,NM_000740
RNF175,NM_173662
SYNDIG1,NM_001323606
RNF149,NM_173647
CASP4,NM_001225
SLC35G2,NM_001097599
MACORIS,NR_184023
PTPN2,NM_001207013
TRPS1,NM_001282902
CD163L1,NM_001297650
DSE,NM_001080976
ERC2,NM_015576
SPATA6,NM_001286238
SHOC1,NM_001080551
FKBP5,NM_001145775
YBX3,NM_001145426
MAP2K6,NM_001330450
KCNIP4,NM_001035003
CYSLTR1,NM_001282186
