GENE_SYMBOLS,refseq_ids
CX3CR1,NM_001171171
AZIN2,NM_001293562
NAV2,NM_001111018
PRDM11,NM_001256695
LTC4S,NM_000897
PLAT,NM_000930
NEAT1,NR_002802
KIF26B,NM_018012
ZNF385B,NM_001113397
SNHG8,NR_003584
PCP4,NM_006198
IGF1,NM_000618
JAK3,NM_000215
TBC1D8,NM_001102426
RBFOX1,NM_001142333
CHRM3,NM_000740
SHOC1,NM_001080551
CYSLTR1,NM_001282186
TBC1D14,NM_001113361
RNF175,NM_173662
PTPN2,NM_001207013
KCNIP4,NM_001035003
RALYL,NM_001100391
DPYD,NM_000110
KCNQ5,NM_001160130
BCL6,NM_001130845
ERC2,NM_015576
FCGR3A,NM_000569
ADGRE2,NM_001271052
CASP4,NM_001225
HAMP,NM_021175
YBX3,NM_001145426
IQGAP2,NM_001285460
RNF149,NM_173647
CD93,NM_012072
CDH18,NM_001167667
CD163,NM_001370145
PIM1,NM_001243186
NRG1,NM_001159995
FAM20A,NM_001243746
HMOX1,NM_002133
MS4A14,NM_001079692
CD163L1,NM_001297650
MAP3K8,NM_001244134
CEMIP2,NM_001135820
SH3PXD2B,NM_001017995
PXN,NM_001080855
SLC11A1,NM_000578
PVT1,NR_003367
FCGBP,NM_003890
FLVCR2,NM_001195283
FAM157C,NR_126161
XACT,NR_131204
HSPA1A,NM_005345
RNF144B,NM_182757
FAM110B,NM_001377989
TMEM163,NM_030923
MS4A4E,NM_001351235
SLC7A5,NM_003486
XBP1,NM_001079539
F13A1,NM_000129
ACSL1,NM_001286708
LIMK2,NM_001031801
DDIT4,NM_019058
HSPA1B,NM_005346
HSPH1,NM_001286503
CD83,NM_001040280
PLTP,NM_001242920
HSPA5,NM_005347
SMIM35,NM_001354434
DIRC3,NR_026597
CPA6,NM_001127445
NAMPT,NM_005746
GK,NM_000167
