GENE_SYMBOLS,refseq_ids
ACOT7,NM_007274
PITHD1,NM_020362
C1orf216,NM_001348691
PGBD5,NM_001258311
MSH2,NM_000251
ARID5A,NM_001319085
ANKRD36B,NM_001353337
RBMS1,NM_002897
SLC6A1,NM_001348250
SLC6A6,NM_001134367
MYRIP,NM_001284423
KCNMB2,NM_001278911
UFSP2,NM_018359
PDE8B,NM_001029851
REEP2,NM_001271803
GALNT10,NM_017540
RNF44,NM_014901
MRS2,NM_001286264
CCZ1,NM_015622
BZW2,NM_001159767
STX1A,NM_001165903
SGCE,NM_001099400
NFIB,NM_001190737
PSMD5,NM_001270427
HMGA1P4,NA
ARHGAP19,NM_001204300
CHST15,NM_001270764
C11orf87,NM_207645
IL18,NM_001243211
CD163L1,NM_001297650
OSGEP,NM_017807
STXBP6,NM_001304476
SH3GL3,NM_001301108
SV2B,NM_001167580
ADAMTS17,NM_139057
HLF,NM_001330375
CAPNS1,NM_001003962
DBP,NM_001352
COL18A1,NM_001379500
BCLAF3,NM_001367774
BRCC3,NM_001018055
