"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"Wt1","Wt1","MA1627.1","4.36795",5.85054e-06,0.844841,0.828844,0.0587791,288,"False",0.00464532876,NA,NA,NA,NA,NA,NA,NA
"Znf281","Znf281","MA1630.1","4.18051",1.35618e-05,0.835549,0.819408,0.0648238,288,"False",0.0053840346,NA,NA,NA,NA,NA,NA,NA
"EGR1","EGR1","MA0162.4","4.03431",2.58834e-05,0.829135,0.812172,0.0655692,288,"False",0.0055748328,NA,NA,NA,NA,NA,NA,NA
"KLF15","KLF15","MA1513.1","4.0138",2.80848e-05,0.8838,0.860109,0.0969113,288,"False",0.0055748328,NA,NA,NA,NA,NA,NA,NA
"ZNF148","ZNF148","MA1653.1","3.87884",4.97782e-05,0.868605,0.850645,0.0726236,288,"False",0.00709523693333333,0.0719421351824657,0.593364751702459,NA,NA,NA,0.807372254627712,0.995397726935177
"KLF16","KLF16","MA0741.1","3.85944",5.36164e-05,0.885984,0.870747,0.065238,288,"False",0.00709523693333333,NA,NA,NA,NA,NA,NA,NA
"EGR3","EGR3","MA0732.1","3.73676",8.8568e-05,0.794533,0.780667,0.059253,288,"False",0.0100461417142857,NA,NA,NA,NA,NA,NA,NA
"KLF11","KLF11","MA1512.1","3.65199",0.000123359,0.878448,0.865068,0.0610911,288,"False",0.01224338075,NA,NA,NA,NA,NA,NA,NA
"SP9","SP9","MA1564.1","3.60973",0.000145905,0.879228,0.865208,0.0629092,288,"False",0.0128720633333333,NA,NA,NA,NA,NA,NA,NA
"KLF5","KLF5","MA0599.1","3.53476",0.000194919,0.940375,0.92756,0.0578605,288,"False",0.0154765686,NA,NA,NA,NA,NA,NA,NA
"SP3","SP3","MA0746.2","3.40223",0.000318858,0.865793,0.852593,0.0649081,288,"False",0.019584804,0.00668403130228064,0.273407951218111,NA,NA,NA,0.613704027134799,0.636816781010561
"MAZ","MAZ","MA1522.1","3.40242",0.000320043,0.893258,0.877914,0.071843,288,"False",0.019584804,0.302148443241299,0.194181902338888,NA,NA,NA,0.983065549235966,1
"E2F6","E2F6","MA0471.2","3.39874",0.00032443,0.86382,0.852237,0.0542558,288,"False",0.019584804,NA,NA,NA,NA,NA,NA,NA
"HINFP","HINFP","MA0131.2","3.38077",0.000345324,0.830607,0.819262,0.0556363,288,"False",0.019584804,NA,NA,NA,NA,NA,NA,NA
"MZF1","MZF1","MA0057.1","3.24496",0.000564001,0.917353,0.909997,0.0368349,288,"False",0.0298544529333333,0.750159140268479,0.276362816348984,NA,NA,NA,0.558183122734439,0.708364837967364
"KLF4","KLF4","MA0039.4","3.18162",0.00070231,0.892578,0.879556,0.0687713,288,"False",0.0303808598095238,NA,NA,NA,NA,NA,NA,NA
"SPIB","SPIB","MA0081.2","3.16705",0.000734327,0.786772,0.777921,0.0502208,288,"False",0.0303808598095238,NA,NA,NA,NA,NA,NA,NA
"MYOG","MYOG","MA0500.2","3.16353",0.000750188,0.839621,0.827764,0.0604903,288,"False",0.0303808598095238,NA,NA,NA,NA,NA,NA,NA
"ZBTB14","ZBTB14","MA1650.1","3.15327",0.000775366,0.834113,0.820331,0.0727251,288,"False",0.0303808598095238,NA,NA,NA,NA,NA,NA,NA
"EGR4","EGR4","MA0733.1","3.14827",0.000792357,0.789592,0.780201,0.0468323,288,"False",0.0303808598095238,NA,NA,NA,NA,NA,NA,NA
"SP8","SP8","MA0747.1","3.14269",0.000803524,0.880163,0.870403,0.0521803,288,"False",0.0303808598095238,NA,NA,NA,NA,NA,NA,NA
"EWSR1-FLI1","EWSR1-FLI1","MA0149.1","3.05623",0.00107806,0.698674,0.688734,0.0546474,288,"False",0.0389081654545455,NA,NA,NA,NA,NA,NA,NA
"KLF14","KLF14","MA0740.1","3.03927",0.00113946,0.828673,0.818128,0.0593819,288,"False",0.0393361408695652,NA,NA,NA,NA,NA,NA,NA
"KLF2","KLF2","MA1515.1","3.02391",0.0012038,0.905422,0.894352,0.0596697,288,"False",0.0398257166666667,NA,NA,NA,NA,NA,NA,NA
"INSM1","INSM1","MA0155.1","2.99757",0.00130911,0.864453,0.857047,0.0421982,288,"False",0.0415773336,NA,NA,NA,NA,NA,NA,NA
"SPIC","SPIC","MA0687.1","2.95208",0.00150221,0.811677,0.803793,0.0522249,288,"False",0.0458751823076923,NA,NA,NA,NA,NA,NA,NA
"SP4","SP4","MA0685.1","2.9142",0.0017154,0.802577,0.791926,0.0640697,288,"False",0.0504454666666667,0.0347569114072693,0.795992268780344,0.693506164981703,0.704989586522857,-1.08973556750617,0.984215435344917,1
