"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"HNF4A (mouse)",0.00685302505623777,5.74275362318841,28.6165152158487,"['COL18A1', 'FADS2', 'CLSTN2', 'CLEC5A', 'RPL10A']",0.998479585515129,0,0,5,"HNF4A",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPARA (human)",0.0197970067458499,5.18367346938776,20.33153122243,"['FADS2', 'ACOT7', 'RPS3A', 'CREB5']",0.998479585515129,0,0,4,"PPARA",0.998479585515129,0.188036579975709,0.335938845165176,NA,NA,NA,0.880717360936525,0.91714850712122,NA,NA,NA,NA
"THRA (human)",0.0197970067458499,5.18367346938776,20.33153122243,"['DBP', 'TOMM7', 'TBPL1', 'RPL26']",0.998479585515129,0,0,4,"THRA",0.998479585515129,0.000564742599355913,0.00115432118164734,0.929872630899651,0.931842035167272,0.150136807603992,0.989606102926827,1,NA,NA,NA,NA
"JDP2 (human)",0.0351184652583976,2.11305474570781,7.07667995497803,"['RNF44', 'ACOT7', 'CLSTN2', 'UQCRB', 'CD163L1', 'TBPL1', 'RBMS1', 'UFSP2', 'FILIP1L', 'BZW2', 'TMSB10']",0.998479585515129,0,0,11,"JDP2",0.998479585515129,0.00856062213318433,0.800874349895784,0.603768441314799,0.609982259976034,-1.11527250478786,0.679343942147235,0.930362316256601,NA,NA,NA,NA
"NRF1 (human)",0.0506665092085693,2.23691460055096,6.67157577267751,"['SLC6A6', 'FADS2', 'UQCRB', 'CAPNS1', 'NDUFS6', 'RPLP1', 'TOMM7', 'RPL10A']",0.998479585515129,0,0,8,"NRF1",0.998479585515129,3.58224966932471e-05,0.0648675988669415,NA,NA,NA,0.719991786825469,0.995397726935177,NA,NA,NA,NA
"ZNF354C (human)",0.0614505106664614,2.0296435272045,5.66173757032984,"['PRR5', 'COL18A1', 'ACOT7', 'HLF', 'RPS19BP1', 'RPS18', 'RPL26', 'ASTN2', 'TMSB10']",0.998479585515129,0,0,9,"ZNF354C",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RORB (human)",0.0727169284781151,2.04040404040404,5.34826844107308,"['DBP', 'UQCRB', 'TOMM7', 'TBPL1', 'LTBR', 'RPL26', 'FILIP1L', 'RPL7']",0.998479585515129,0,0,8,"RORB",0.998479585515129,0.0775030325395906,0.00690795712614111,0.62948830511187,0.638215769042572,0.538173346861508,0.959799575518654,1,NA,NA,NA,NA
"NR2F1 (human)",0.0812054158983571,1.98198198198198,4.97630751236291,"['DBP', 'UQCRB', 'TOMM7', 'TBPL1', 'LTBR', 'RPL26', 'FILIP1L', 'RPL7']",0.998479585515129,0,0,8,"NR2F1",0.998479585515129,0.803255478311251,0.00333131088822689,0.377222982859643,0.366288665784594,1.80775140271752,0.984357652027108,1,0.799550889518174,0.481015447230776,NA,0.464684454990333
"TFAP2D (human)",0.0812054158983571,1.98198198198198,4.97630751236291,"['PRR5', 'C11ORF87', 'CAPNS1', 'UFSP2', 'CD14', 'C12ORF42', 'RPL9', 'RPS12']",0.998479585515129,0,0,8,"TFAP2D",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2F6 (human)",0.0924613036212447,1.83692307692308,4.37364966630591,"['PRR5', 'COL18A1', 'NFIB', 'CHST15', 'TBPL1', 'RPL26', 'RPL10A', 'GALNT10', 'ANKRD36B']",0.998479585515129,0,0,9,"E2F6",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLI2 (human)",0.0999059648550516,1.87412587412587,4.31709746626681,"['PRR5', 'FADS2', 'ACOT7', 'DBP', 'TOMM7', 'FAU', 'CD14', 'PLA2G7']",0.998479585515129,0,0,8,"GLI2",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TBX5 (human)",0.103351701442066,Inf,Inf,"['ANKRD36B']",0.998479585515129,0,0,1,"TBX5",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PITX1 (human)",0.10737338116513,1.9280868385346,4.30241583152225,"['GADD45GIP1', 'RPS15A', 'CAPNS1', 'KCNMB2', 'ARHGAP19', 'FAU', 'CD14']",0.998479585515129,0,0,7,"PITX1",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SREBF1 (human)",0.108528386145083,1.53131597466573,3.40066002285313,"['PRR5', 'CLSTN2', 'RPL34', 'UFSP2', 'RPL9', 'RPL7', 'SGCE', 'EEF1B2', 'SLC6A6', 'FADS2', 'CAPNS1', 'RPL36AL', 'NDUFS6', 'TBPL1', 'FAU', 'PFDN5']",0.998479585515129,0,0,16,"SREBF1",0.998479585515129,0.876642357604818,0.489658262358932,NA,NA,NA,0.940656087241496,0.985501378612174,NA,NA,NA,NA
"ATF4 (human)",0.110949068936624,1.75286415711948,3.85399441390332,"['SLC25A37', 'RNF44', 'C11ORF87', 'DBP', 'CLSTN2', 'HMGCS1', 'RPL34', 'UFSP2', 'RPS12']",0.998479585515129,0,0,9,"ATF4",0.998479585515129,0.00287022060362636,0.194646092281601,0.824426763257678,0.833036645900166,-0.514671018812951,0.97177514085969,1,NA,NA,NA,NA
"MZF1 1-4 (human)",0.116478476677259,1.55,3.33257559752397,"['SNHG1', 'COL18A1', 'RNF44', 'C11ORF87', 'ACOT7', 'HLF', 'CLSTN2', 'RPL36A', 'SNHG6', 'NFIB', 'NDUFS6', 'RPS18', 'KCNMB2', 'STX1A']",0.998479585515129,0,0,14,"MZF1 1-4",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYOD1 (human)",0.120240296246226,4.43055555555556,9.38508221180674,"['C11ORF87', 'ACOT7']",0.998479585515129,0,0,2,"MYOD1",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NFATC3 (mouse)",0.120932338320319,1.71346153846154,3.61972875539793,"['COL18A1', 'SLC25A37', 'CLEC5A', 'ARHGAP19', 'RBMS1', 'ASTN2', 'WDR12', 'PLA2G7', 'STX1A']",0.998479585515129,0,0,9,"NFATC3",0.998479585515129,0.00574131169356228,0.364692903683268,NA,NA,NA,0.945828923338707,1,NA,NA,NA,NA
"NR5A1 (mouse)",0.131367195498867,1.81194029850746,3.67780187076915,"['RNF44', 'ACOT7', 'RPS19BP1', 'RPL36AL', 'TMSB10', 'STX1A', 'TOMM5']",0.998479585515129,0,0,7,"NR5A1",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TBX5 (mouse)",0.131400071752291,1.6756671899529,3.40078101777532,"['FADS2', 'RNF44', 'ACOT7', 'NDUFS6', 'SNRPD1', 'RPS18', 'GALNT10', 'TOMM5', 'CREB5']",0.998479585515129,0,0,9,"TBX5",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LTF (human)",0.14405948491232,1.68851303735025,3.27154293459096,"['PRR5', 'SLC6A6', 'HLF', 'RPS18', 'RPLP1', 'CHST15', 'ASTN2', 'RPL10A']",0.998479585515129,0,0,8,"LTF",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,0.163843567518491,0.896673694773517,NA,0.635327041234716
"CRTC3 (human)",0.169325073936506,1.60808080808081,2.85584682463149,"['RNF44', 'RPL34', 'CLEC5A', 'FAU', 'C12ORF42', 'RPL9', 'PLA2G7', 'ANKRD36B']",0.998479585515129,0,0,8,"CRTC3",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,0.645326439981343,0.688179500727546,NA,0.2593084662688
"FOXA1 (mouse)",0.171974989488504,1.66064414768264,2.92340829125806,"['FADS2', 'RPS19BP1', 'UQCRB', 'ARHGAP19', 'RPL9', 'STX1A', 'TOMM5']",0.998479585515129,0,0,7,"FOXA1",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YY1 (human)",0.177351039102437,1.32210526315789,2.28674530931056,"['COL18A1', 'RNF44', 'C11ORF87', 'ACOT7', 'CLSTN2', 'UQCRB', 'CD163L1', 'HMGCS1', 'RPL34', 'RPLP1', 'UFSP2', 'RPS3A', 'SNHG6', 'WDR12', 'SLC6A1', 'PLA2G7', 'SLC25A37', 'RPS15A', 'DBP', 'NFIB', 'KCNMB2', 'CLEC5A', 'FILIP1L', 'CREB5']",0.998479585515129,0,0,24,"YY1",0.998479585515129,0.0163808451752743,0.202027356229707,NA,NA,NA,0.348522330692457,0.640267061314599,0.627732509500388,0.969508128147537,NA,0.811269443848896
"PLAU (human)",0.182692688961645,1.57048748353096,2.66974993540284,"['SLC25A37', 'RNF44', 'C11ORF87', 'DBP', 'CLSTN2', 'UQCRB', 'RPS3A', 'RPL9']",0.998479585515129,0,0,8,"PLAU",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREM (human)",0.18418916666825,1.98095238095238,3.35135933058491,"['SLC6A6', 'RPL34', 'RPL9', 'GALNT10']",0.998479585515129,0,0,4,"CREM",0.998479585515129,0.763555529029591,0.364412600915227,NA,NA,NA,0.909320439960587,0.678762205390495,NA,NA,NA,NA
"GATA1 (human)",0.187356617208517,1.39492753623188,2.33614294281734,"['ACOT7', 'UQCRB', 'HMGCS1', 'RPL34', 'RPL36A', 'SLC25A37', 'RPS15A', 'RPS18', 'KCNMB2', 'CLEC5A', 'CD14', 'ASTN2', 'STX1A', 'RPS12']",0.998479585515129,0,0,14,"GATA1",0.998479585515129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
