Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytoplasmic Translation (GO:0002181),2.0159558953987098e-11,18.896003851709196,465.35835968683057,"['RPL30', 'RPL21', 'RPL34', 'RPL10A', 'RPL9', 'RPL7', 'RPS4X', 'RPS15A', 'RPL36AL', 'FAU', 'RPL26', 'RPL18', 'RPL17']",5.201166210128672e-09,0,0,13
2,Translation (GO:0006412),6.192550154543701e-11,15.018637992831541,353.01442330124615,"['RPL30', 'RPL21', 'GFM2', 'RPL34', 'RPL10A', 'RPL9', 'RPL7', 'RPS4X', 'RPS15A', 'RPL36AL', 'FAU', 'RPL26', 'RPL18', 'RPL17']",7.988389699361374e-09,0,0,14
3,Peptide Biosynthetic Process (GO:0043043),1.1054805068030048e-10,16.172043010752688,370.7533176980966,"['RPL30', 'RPL21', 'RPL34', 'RPL10A', 'RPL9', 'RPL7', 'RPS4X', 'RPS15A', 'RPL36AL', 'FAU', 'RPL26', 'RPL18', 'RPL17']",9.507132358505842e-09,0,0,13
4,Macromolecule Biosynthetic Process (GO:0009059),7.050132309378178e-10,13.647265077138849,287.5861495580627,"['RPL30', 'RPL21', 'RPL34', 'RPL10A', 'RPL9', 'RPL7', 'RPS4X', 'RPS15A', 'RPL36AL', 'FAU', 'RPL26', 'RPL18', 'RPL17']",4.547335339548925e-08,0,0,13
5,Gene Expression (GO:0010467),5.782186290845377e-09,11.239465271723336,213.1956168916646,"['RPL30', 'RPL21', 'RPL34', 'RPL10A', 'RPL9', 'RPL7', 'RPS4X', 'RPS15A', 'RPL36AL', 'FAU', 'RPL26', 'RPL18', 'RPL17']",2.983608126076215e-07,0,0,13
6,Ribonucleoprotein Complex Biogenesis (GO:0022613),0.00031445297164202764,10.016436554898092,80.7793157575958,"['RPS4X', 'RPS15A', 'RPL26', 'WDR12', 'RPL7']",0.013521477780607189,0,0,5
7,Outer Mitochondrial Membrane Organization (GO:0007008),0.000574348891457231,146.9047619047619,1096.2435149378532,"['TOMM7', 'TOMM5']",0.01651938025863107,0,0,2
8,Protein Insertion Into Mitochondrial Outer Membrane (GO:0045040),0.000574348891457231,146.9047619047619,1096.2435149378532,"['TOMM7', 'TOMM5']",0.01651938025863107,0,0,2
9,Ribosome Biogenesis (GO:0042254),0.0005762574508824792,8.663817663817664,64.62303503918137,"['RPS4X', 'RPS15A', 'RPL26', 'WDR12', 'RPL7']",0.01651938025863107,0,0,5
10,Ribosomal Large Subunit Biogenesis (GO:0042273),0.001048504826431357,18.74390243902439,128.59048281156475,"['RPL26', 'WDR12', 'RPL7']",0.02705142452192901,0,0,3
11,Maturation Of LSU-rRNA (GO:0000470),0.0018804343265953964,48.93650793650794,307.13788047536434,"['WDR12', 'RPL7']",0.03465371830440087,0,0,2
12,"Maturation Of LSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",0.0018804343265953964,48.93650793650794,307.13788047536434,"['WDR12', 'RPL7']",0.03465371830440087,0,0,2
13,Protein Localization To Centrosome (GO:0071539),0.0018804343265953964,48.93650793650794,307.13788047536434,"['DCTN2', 'CEP250']",0.03465371830440087,0,0,2
14,Protein Localization To Microtubule Organizing Center (GO:1905508),0.0018804343265953964,48.93650793650794,307.13788047536434,"['DCTN2', 'CEP250']",0.03465371830440087,0,0,2
15,Protein Insertion Into Mitochondrial Membrane (GO:0051204),0.003878766308527142,29.34285714285714,162.91853049552134,"['TOMM7', 'TOMM5']",0.06671478050666683,0,0,2
16,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),0.0051256090710391725,24.444444444444443,128.90792243729535,"['RPL30', 'FAU']",0.08265044627050666,0,0,2
17,Antimicrobial Humoral Response (GO:0019730),0.006531403706569188,20.94557823129252,105.37999813953242,"['RPL30', 'FAU']",0.09912365625263825,0,0,2
18,Establishment Of Protein Localization To Mitochondrion (GO:0072655),0.009801902446840016,16.280423280423282,75.29986836608732,"['TOMM7', 'TOMM5']",0.13949252339950774,0,0,2
19,Protein Targeting To Mitochondrion (GO:0006626),0.013655264773872506,13.311688311688311,57.1554660693982,"['TOMM7', 'TOMM5']",0.13949252339950774,0,0,2
20,Translational Termination (GO:0006415),0.01405738607902016,inf,inf,['GFM2'],0.13949252339950774,0,0,1
21,Positive Regulation Of Multicellular Organism Growth (GO:0040018),0.01405738607902016,inf,inf,['PPIB'],0.13949252339950774,0,0,1
22,Positive Regulation By Host Of Viral Genome Replication (GO:0044829),0.01405738607902016,inf,inf,['PPIB'],0.13949252339950774,0,0,1
23,Insulin Processing (GO:0030070),0.01405738607902016,inf,inf,['P4HB'],0.13949252339950774,0,0,1
24,Detection Of Light Stimulus Involved In Sensory Perception (GO:0050962),0.01405738607902016,inf,inf,['CEP250'],0.13949252339950774,0,0,1
25,Detection Of Light Stimulus Involved In Visual Perception (GO:0050908),0.01405738607902016,inf,inf,['CEP250'],0.13949252339950774,0,0,1
26,Detection Of Visible Light (GO:0009584),0.01405738607902016,inf,inf,['CEP250'],0.13949252339950774,0,0,1
27,Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),0.019051553487347012,5.869062901155328,23.24504945488296,"['RPS4X', 'ARNT', 'RPL26']",0.18204817776798257,0,0,3
28,Mitochondrial Transport (GO:0006839),0.025621502124219438,9.136904761904763,33.480573496020256,"['TOMM7', 'TOMM5']",0.1894787247080715,0,0,2
29,Cellular Response To Interleukin-12 (GO:0071349),0.02792165524185802,71.74418604651163,256.72600311716155,['P4HB'],0.1894787247080715,0,0,1
30,Mitochondrial Translational Elongation (GO:0070125),0.02792165524185802,71.74418604651163,256.72600311716155,['GFM2'],0.1894787247080715,0,0,1
31,Regulation Of Integrin Activation (GO:0033623),0.02792165524185802,71.74418604651163,256.72600311716155,['FARP2'],0.1894787247080715,0,0,1
32,Regulation Of Ventricular Cardiac Muscle Cell Membrane Depolarization (GO:0060373),0.02792165524185802,71.74418604651163,256.72600311716155,['GPD1L'],0.1894787247080715,0,0,1
33,Mucosal Immune Response (GO:0002385),0.02792165524185802,71.74418604651163,256.72600311716155,['FAU'],0.1894787247080715,0,0,1
34,"Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator (GO:1902162)",0.02792165524185802,71.74418604651163,256.72600311716155,['RPL26'],0.1894787247080715,0,0,1
35,Innate Immune Response In Mucosa (GO:0002227),0.02792165524185802,71.74418604651163,256.72600311716155,['FAU'],0.1894787247080715,0,0,1
36,Insulin Metabolic Process (GO:1901142),0.02792165524185802,71.74418604651163,256.72600311716155,['P4HB'],0.1894787247080715,0,0,1
37,Interleukin-12-Mediated Signaling Pathway (GO:0035722),0.02792165524185802,71.74418604651163,256.72600311716155,['P4HB'],0.1894787247080715,0,0,1
38,Antibacterial Humoral Response (GO:0019731),0.02792165524185802,71.74418604651163,256.72600311716155,['FAU'],0.1894787247080715,0,0,1
39,Positive Regulation Of Amide Metabolic Process (GO:0034250),0.03125902022806904,8.116402116402117,28.126963776885574,"['RPS4X', 'RPL26']",0.1894787247080715,0,0,2
