"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"NRF1 (human)",0.000372404491578693,4.6056622851365,36.3641445186364,"['SLC6A6', 'IRGQ', 'NUDCD2', 'TEF', 'NDUFS6', 'RPLP1', 'TOMM7', 'RPL10A', 'CKLF', 'HCN1']",0.0871426510294142,0,0,10,"NRF1",0.0871426510294142,1.74930317265553e-05,0.0145843511041578,NA,NA,NA,0.804086977012358,0.863855289393902,NA,NA,NA,NA
"FOXD1 (human)",0.00417296725085698,8.07692307692308,44.2544947810195,"['TEF', 'MGST1', 'PLA2G7', 'CAMK1G']",0.488237168350266,0,0,4,"FOXD1",0.488237168350266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLI2 (human)",0.0168254400488372,2.6189852700491,10.6981966801616,"['ARHGAP9', 'IRGQ', 'TEF', 'ABCB4', 'MIS12', 'TOMM7', 'SLC4A2', 'FAU', 'PLA2G7']",0.997467786331646,0,0,9,"GLI2",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXF2 (human)",0.0172833081005362,2.77777777777778,11.2722613692374,"['ARHGAP9', 'GADD45GIP1', 'MZT2A', 'RPS15A', 'RPS7', 'MGST1', 'SNRPE', 'FAU']",0.997467786331646,0,0,8,"FOXF2",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREM (human)",0.0245273313765837,3.49924585218703,12.9750889035102,"['SLC6A6', 'RPL21', 'RPL34', 'TBC1D17', 'GALNT10']",0.997467786331646,0,0,5,"CREM",0.997467786331646,0.74544622059472,0.335967520741812,NA,NA,NA,0.824935555376482,0.681258506121637,NA,NA,NA,NA
"HNF4A (mouse)",0.0380182783061042,4.852487135506,15.8661200578937,"['FIS1', 'CLSTN2', 'RPL10A']",0.997467786331646,0,0,3,"HNF4A",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Klf4 (mouse)",0.0392309656077731,8.7962962962963,28.4849487018243,"['FIS1', 'HCN1']",0.997467786331646,0,0,2,"Klf4",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2F1 (human)",0.0410373985384204,1.7745483110762,5.66661449135658,"['ARHGAP9', 'FIS1', 'GALNT13', 'MIS12', 'MGST1', 'NDUFB2', 'RPSA', 'SLC4A2', 'GALNT10', 'NME1', 'MZT2A', 'IRGQ', 'RPS15A', 'TEF', 'NDUFS6', 'ADAMTS17', 'TBC1D17', 'CKLF']",0.997467786331646,0,0,18,"E2F1",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRF2 (human)",0.0423794827007749,2.42857142857143,7.67693512160976,"['ARHGAP9', 'NUDCD2', 'GLRB', 'RPS19BP1', 'TOMM7', 'UFSP2', 'NME1']",0.997467786331646,0,0,7,"IRF2",0.997467786331646,0.0013612837112279,0.001518459507127,0.920965030731651,0.924035563097678,0.142192430359195,0.946536070903543,0.919580448949446,NA,NA,NA,NA
"GFI1 (human)",0.0532830871668714,2.29081632653061,6.71698573538897,"['ARHGAP9', 'GADD45GIP1', 'MZT2A', 'RPS7', 'SNRPE', 'FAU', 'CKLF']",0.997467786331646,0,0,7,"GFI1",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRX (human)",0.0571208617405276,2.424,6.93890815995956,"['GADD45GIP1', 'FIS1', 'UFSP2', 'FAU', 'CKLF', 'NME1']",0.997467786331646,0,0,6,"CRX",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STAT1 (human)",0.0672891307826818,2.04166666666667,5.50996130866611,"['ARHGAP9', 'RPS15A', 'RPS19BP1', 'RPL34', 'TMUB1', 'MGST1', 'LRRC6', 'LTBR']",0.997467786331646,0,0,8,"STAT1",0.997467786331646,0.587062624503256,0.194955945043544,NA,NA,NA,0.923756961928995,0.871191930373891,0.74514749917916,0.767096701955916,NA,0.932075319301075
"GATA3 (human)",0.0774113044351568,1.78338164251208,4.56300031978532,"['GLRB', 'TEF', 'RPL34', 'RPLP1', 'MGST1', 'TOMM7', 'LRRC6', 'SNHG6', 'FAU', 'PLA2G7', 'CAMK1G']",0.997467786331646,0,0,11,"GATA3",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YY1 (mouse)",0.0802957791408679,1.95333333333333,4.92638132899795,"['GADD45GIP1', 'FIS1', 'NDUFB2', 'FAU', 'RPL26', 'RPL10A', 'GALNT10', 'NME1']",0.997467786331646,0,0,8,"YY1",0.997467786331646,0.0226150123679071,0.0445968852963553,NA,NA,NA,0.422913539663942,0.42691892801384,0.6233827343592,0.913749535334991,NA,0.979809304931412
"SP3 (mouse)",0.0831103064319152,2.1696,5.39706780135637,"['ARHGAP9', 'FIS1', 'RPL21', 'TBC1D17', 'PLA2G7', 'NME1']",0.997467786331646,0,0,6,"SP3",0.997467786331646,0.0552306503950041,0.00733160661200699,NA,NA,NA,0.58817433612586,0.373120422239371,NA,NA,NA,NA
"NR5A2 (human)",0.0986852787247171,1.5840032702003,3.66826565389483,"['ARHGAP9', 'RPL34', 'MIS12', 'TMUB1', 'NDUFB2', 'SLC4A2', 'RPL10A', 'GALNT10', 'IRGQ', 'TXLNA', 'FAU', 'TBC1D17', 'CKLF', 'KIAA0319', 'CAMK1G']",0.997467786331646,0,0,15,"NR5A2",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myf (human)",0.107868482108045,17.3272727272727,38.5851082224377,"['IRGQ']",0.997467786331646,0,0,1,"Myf",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYC (human)",0.113614588574051,1.86134453781513,4.04831894392679,"['FIS1', 'TEF', 'NDUFS6', 'TMUB1', 'SLC4A2', 'LTBR', 'HCN1']",0.997467786331646,0,0,7,"MYC",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXA3 (human)",0.12046808944658,3.88888888888889,8.2303292516378,"['RPL21', 'RPSA']",0.997467786331646,0,0,2,"FOXA3",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POU2F2 (human)",0.134974642839274,1.54672600127146,3.09757920733144,"['RPS19BP1', 'RPL21', 'NDUFS6', 'RPL34', 'NDUFB2', 'RPSA', 'RPL10A', 'PLA2G7', 'CKLF', 'KIAA0319', 'GALNT10', 'CAMK1G']",0.997467786331646,0,0,12,"POU2F2",0.997467786331646,0.000455303580222102,0.427832083491161,0.927888717061271,0.930297481566641,-0.337553957275542,0.981414067780409,0.977944439927544,NA,NA,NA,NA
"CRTC1 (human)",0.14618946212768,1.93520886615516,3.72111987630589,"['ARHGAP9', 'SNRPE', 'LRRC6', 'KIAA0319', 'CAMK1G']",0.997467786331646,0,0,5,"CRTC1",0.997467786331646,0.84848493846319,0.872338250135493,NA,NA,NA,0.975317134319077,0.999790090091945,0.410163293603008,0.808310985349435,NA,0.10491276159181
"ARID3A (mouse)",0.146557168728372,1.72407045009785,3.31080092474282,"['TXLNA', 'RPS19BP1', 'RPL21', 'ABCB4', 'FAU', 'CKLF', 'GALNT10']",0.997467786331646,0,0,7,"ARID3A",0.997467786331646,0.0268483304015978,0.367710717544431,NA,NA,NA,0.862543492588427,0.856191732133406,NA,NA,NA,NA
"SND1 (mouse)",0.157431274106037,8.65454545454545,16.0002317257222,"['GALNT10']",0.997467786331646,0,0,1,"SND1",0.997467786331646,0.00502530873024459,0.0148249529058175,0.789481138919671,0.796735999040095,0.0469577113877908,0.950505084715365,0.986807664567576,0.740094102048453,0.850003844920546,NA,0.992979544086396
"THRA (human)",0.159319113273769,3.17508417508418,5.83214094092193,"['TOMM7', 'RPL26']",0.997467786331646,0,0,2,"THRA",0.997467786331646,0.0165887441489021,0.0256160265585264,0.826709602663167,0.830470651441971,0.0155293869991075,0.973308583517036,0.856191732133406,NA,NA,NA,NA
"AHR (human)",0.16835390169104,1.65037593984962,2.94045328712675,"['MZT2A', 'NDUFS6', 'RPL34', 'MIS12', 'SLC4A2', 'RPL10A', 'GALNT10']",0.997467786331646,0,0,7,"AHR",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NR5A1 (mouse)",0.173785102648756,1.81072428971589,3.16865123190268,"['FIS1', 'NUDCD2', 'RPS19BP1', 'TMUB1', 'TMSB10']",0.997467786331646,0,0,5,"NR5A1",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REPIN1 (human)",0.175936039089997,1.62708719851577,2.82728328061745,"['GLRB', 'RPLP1', 'MIS12', 'SLC4A2', 'RPL26', 'TMSB10', 'KIAA0319']",0.997467786331646,0,0,7,"REPIN1",0.997467786331646,0.768289597172972,0.534405002272898,NA,NA,NA,0.950125766039052,0.982082903150514,NA,NA,NA,NA
"USF1 (mouse)",0.183418481861988,1.77254901960784,3.00621646167849,"['TIMM8B', 'ARHGAP9', 'TEF', 'RPL21', 'RPLP1']",0.997467786331646,0,0,5,"USF1",0.997467786331646,0.213228899704064,0.590039205805564,NA,NA,NA,0.895933330659808,0.96662498329301,NA,NA,NA,NA
"SREBF1 (human)",0.183621677072719,1.45774533657745,2.47070012289537,"['SLC6A6', 'IRGQ', 'ADCY9', 'TEF', 'CLSTN2', 'NDUFS6', 'TUBB3', 'RPL34', 'UFSP2', 'SLC4A2', 'FAU']",0.997467786331646,0,0,11,"SREBF1",0.997467786331646,0.641585043621709,0.317665165816543,NA,NA,NA,0.905944969046093,0.76224961476055,NA,NA,NA,NA
"NRF1 (mouse)",0.185043190797617,1.66875,2.81545829150511,"['TIMM8B', 'IRGQ', 'TXLNA', 'TEF', 'RPL21', 'RPSA']",0.997467786331646,0,0,6,"NRF1",0.997467786331646,1.74930317265553e-05,0.0145843511041578,NA,NA,NA,0.804086977012358,0.863855289393902,NA,NA,NA,NA
"LTF (human)",0.185043190797617,1.66875,2.81545829150511,"['SLC6A6', 'FIS1', 'GALNT13', 'RPLP1', 'RPSA', 'RPL10A']",0.997467786331646,0,0,6,"LTF",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,0.201249390149889,0.809200500300786,NA,0.411923148133856
"Prrx2 (mouse)",0.191549213481609,1.58227848101266,2.61489005366689,"['GALNT13', 'GLRB', 'RPL21', 'ABCB4', 'RPSA', 'LTBR', 'GALNT10']",0.997467786331646,0,0,7,"Prrx2",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CACYBP (mouse)",0.195075197761736,1.52482269503546,2.49212471999647,"['SLC6A6', 'TEF', 'TUBB3', 'RPLP1', 'ABCA7', 'SLC4A2', 'FAU', 'TMSB10']",0.997467786331646,0,0,8,"CACYBP",0.997467786331646,0.342390016216044,0.123522544546884,NA,NA,NA,0.831681758588996,0.993562127147002,0.681136248476553,0.783264988077183,NA,0.982365551011925
"LEF1 (human)",0.197589129480221,1.35852534562212,2.20293784211433,"['GALNT13', 'RPS19BP1', 'CLSTN2', 'RPL21', 'RPL34', 'MIS12', 'MGST1', 'LRRC6', 'UFSP2', 'IRGQ', 'RPS15A', 'TUBB3', 'TOMM7', 'RPL26', 'CKLF', 'HCN1']",0.997467786331646,0,0,16,"LEF1",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
