Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-3177-3p,0.006494685403262679,3.7510204081632654,18.893031062774668,"['ADCY9', 'RPS19BP1', 'TEF', 'TMUB1', 'KIAA0319', 'GALNT10', 'CAMK1G']",0.9994024446739713,0,0,7
2,hsa-miR-4649-5p,0.02294876446462162,2.8198757763975157,10.643596246395042,"['SLC6A6', 'ADCY9', 'TEF', 'TUBB3', 'ADAMTS17', 'CAMK1G', 'LZTS3']",0.9994024446739713,0,0,7
3,mmu-miR-3099,0.044042619406596796,2.1505728314238954,6.715373327615096,"['TIMM8B', 'ARHGAP9', 'TXLNA', 'RPS19BP1', 'TEF', 'CLSTN2', 'PLA2G7', 'GALNT10', 'HCN1']",0.9994024446739713,0,0,9
4,mmu-miR-3081,0.04569090637833704,4.443396226415095,13.711680843625633,"['PLA2G7', 'KIAA0319', 'GALNT10']",0.9994024446739713,0,0,3
5,mmu-miR-296-5p,0.05002357415231592,2.0126227208976157,6.028330145618462,"['SLC6A6', 'IRGQ', 'ADCY9', 'RPS19BP1', 'TEF', 'CLSTN2', 'TMUB1', 'SLC4A2', 'GALNT10', 'LZTS3']",0.9994024446739713,0,0,10
6,hsa-miR-1973,0.05732937224538539,3.1137123745819397,8.901923650204346,"['SLC6A6', 'ADAMTS17', 'UFSP2', 'LTBR']",0.9994024446739713,0,0,4
7,hsa-miR-369-5p,0.06818430087988317,5.851851851851852,15.715387682047588,"['GALNT13', 'HCN1']",0.9994024446739713,0,0,2
8,hsa-miR-4734,0.08899841116909328,2.124705882352941,5.139954107252074,"['SLC6A6', 'ADCY9', 'NDUFS6', 'TMUB1', 'KIAA0319', 'LZTS3']",0.9994024446739713,0,0,6
9,hsa-miR-483-5p,0.09053105905887737,2.300150829562594,5.525105576211149,"['IRGQ', 'FIS1', 'TEF', 'ADAMTS17', 'TMUB1']",0.9994024446739713,0,0,5
10,mmu-miR-3968,0.09473936930863135,1.8717948717948718,4.411119785042908,"['TIMM8B', 'SLC6A6', 'ADCY9', 'RPS19BP1', 'CLSTN2', 'MGST1', 'KIAA0319', 'HCN1']",0.9994024446739713,0,0,8
11,hsa-miR-4467,0.0976667874579259,2.2401960784313726,5.211130053390004,"['IRGQ', 'ADCY9', 'TMUB1', 'LTBR', 'TBC1D17']",0.9994024446739713,0,0,5
12,hsa-miR-1204,0.11277941034410713,2.1288515406162465,4.6458384639555454,"['ADCY9', 'TEF', 'TUBB3', 'ADAMTS17', 'GALNT10']",0.9994024446739713,0,0,5
13,mmu-miR-453,0.11480291513341452,1.9614545454545456,4.2456436879451,"['SLC6A6', 'TXLNA', 'KIAA0319', 'GALNT10', 'HCN1', 'LZTS3']",0.9994024446739713,0,0,6
14,hsa-miR-3960,0.1177698306700503,2.7855014895729893,5.958252162009585,"['TMUB1', 'LTBR', 'TBC1D17']",0.9994024446739713,0,0,3
15,mmu-miR-1897-3p,0.11984994365035312,1.8322981366459627,3.8872475934138926,"['SLC6A6', 'IRGQ', 'TEF', 'MMRN1', 'TMUB1', 'GALNT10', 'LZTS3']",0.9994024446739713,0,0,7
16,mmu-miR-3960,0.12046808944657993,3.888888888888889,8.2303292516378,"['TMUB1', 'LZTS3']",0.9994024446739713,0,0,2
17,mmu-miR-701,0.12046808944657993,3.888888888888889,8.2303292516378,"['GALNT10', 'LZTS3']",0.9994024446739713,0,0,2
18,hsa-miR-4655-3p,0.12074441861544595,2.077063383492932,4.3910765172356445,"['SLC6A6', 'ADCY9', 'TEF', 'SLC4A2', 'LTBR']",0.9994024446739713,0,0,5
19,mmu-miR-3076-3p,0.1279054732676561,1.7261904761904763,3.5498481881747415,"['IRGQ', 'ADCY9', 'TEF', 'ADAMTS17', 'MGST1', 'UFSP2', 'GALNT10', 'SELENOH']",0.9994024446739713,0,0,8
20,hsa-miR-3621,0.130319921675777,2.6433962264150943,5.386614801698275,"['IRGQ', 'ADCY9', 'ADAMTS17']",0.9994024446739713,0,0,3
21,hsa-miR-4442,0.130319921675777,2.6433962264150943,5.386614801698275,"['IRGQ', 'ADCY9', 'LZTS3']",0.9994024446739713,0,0,3
22,hsa-miR-3687,0.130319921675777,2.6433962264150943,5.386614801698275,"['IRGQ', 'ADCY9', 'LZTS3']",0.9994024446739713,0,0,3
23,hsa-miR-1468,0.14363745105674705,2.1468531468531467,4.165888786908765,"['ADAMTS17', 'UFSP2', 'KIAA0319', 'LZTS3']",0.9994024446739713,0,0,4
24,mmu-miR-1982.1,0.14497188956123366,1.6172319359595535,3.123223253170541,"['SLC6A6', 'GALNT13', 'TXLNA', 'ADAMTS17', 'NDUFB2', 'SLC4A2', 'GALNT10', 'HCN1', 'LZTS3']",0.9994024446739713,0,0,9
25,mmu-miR-541,0.15307960159308787,1.6401515151515151,3.078231805710951,"['SLC6A6', 'TXLNA', 'TEF', 'LTBR', 'GALNT10', 'CAMK1G', 'HCN1', 'LZTS3']",0.9994024446739713,0,0,8
26,mmu-miR-3471,0.15366042612101471,1.6988416988416988,3.181947722076966,"['SLC6A6', 'IRGQ', 'ADCY9', 'ABCA7', 'GALNT10', 'HCN1', 'LZTS3']",0.9994024446739713,0,0,7
27,hsa-miR-564,0.1551609442611726,1.8919482686691698,3.5252527369377344,"['IRGQ', 'GALNT13', 'RPS19BP1', 'TEF', 'GALNT10']",0.9994024446739713,0,0,5
28,hsa-miR-615-3p,0.17056340833648145,2.291222313371616,4.052366117224055,"['IRGQ', 'TMUB1', 'TOMM7']",0.9994024446739713,0,0,3
29,hsa-miR-1471,0.1795359275581669,2.9074074074074074,4.993123151778696,"['FIS1', 'ADCY9']",0.9994024446739713,0,0,2
30,hsa-miR-4798-5p,0.1795359275581669,2.9074074074074074,4.993123151778696,"['ADCY9', 'KIAA0319']",0.9994024446739713,0,0,2
31,hsa-miR-4785,0.18471766714325688,2.193396226415094,3.7044855451529037,"['IRGQ', 'RPS19BP1', 'KIAA0319']",0.9994024446739713,0,0,3
32,mmu-miR-615-3p,0.18471766714325688,2.193396226415094,3.7044855451529037,"['FIS1', 'ADCY9', 'ADAMTS17']",0.9994024446739713,0,0,3
33,hsa-miR-4707-5p,0.19325261884225903,1.7358708189158016,2.8533498791744623,"['ADCY9', 'NDUFS6', 'TUBB3', 'TMUB1', 'LTBR']",0.9994024446739713,0,0,5
34,hsa-miR-3150a-5p,0.19376961339401744,1.6412307692307693,2.6933998295377726,"['GALNT13', 'TXLNA', 'ADCY9', 'RPL34', 'KIAA0319', 'GALNT10']",0.9994024446739713,0,0,6
35,hsa-miR-3150b-5p,0.19376961339401744,1.6412307692307693,2.6933998295377726,"['GALNT13', 'TXLNA', 'ADCY9', 'RPL34', 'KIAA0319', 'GALNT10']",0.9994024446739713,0,0,6
36,mmu-miR-671-3p,0.19918006642385325,2.1033962264150943,3.3939265822544065,"['TEF', 'LTBR', 'GALNT10']",0.9994024446739713,0,0,3
37,mmu-miR-471-5p,0.20012747591628066,2.680911680911681,4.313052685114292,"['TEF', 'HCN1']",0.9994024446739713,0,0,2
38,hsa-miR-551a,0.20012747591628066,2.680911680911681,4.313052685114292,"['SLC6A6', 'ADCY9']",0.9994024446739713,0,0,2
39,hsa-miR-551b,0.20012747591628066,2.680911680911681,4.313052685114292,"['SLC6A6', 'ADCY9']",0.9994024446739713,0,0,2
40,hsa-miR-371b-3p,0.20252893367645053,1.5070175438596491,2.406514903383518,"['SLC6A6', 'TEF', 'CLSTN2', 'HMCES', 'LTBR', 'TMSB10', 'GALNT10', 'LZTS3']",0.9994024446739713,0,0,8
41,mmu-miR-431,0.2035862415526136,1.4692456479690523,2.3385477153595704,"['IRGQ', 'TUBB3', 'RPL34', 'ADAMTS17', 'UFSP2', 'KIAA0319', 'HCN1', 'SELENOH', 'LZTS3']",0.9994024446739713,0,0,9
42,hsa-miR-523,0.20428706943785718,5.763636363636364,9.153974828515905,['TEF'],0.9994024446739713,0,0,1
43,hsa-miR-127-3p,0.20428706943785718,5.763636363636364,9.153974828515905,['CKLF'],0.9994024446739713,0,0,1
44,mmu-miR-688,0.2139143587356933,2.0203193033381712,3.115695087577174,"['TBC1D17', 'HCN1', 'LZTS3']",0.9994024446739713,0,0,3
45,hsa-miR-4479,0.228885072463671,1.9433962264150944,2.8656062762781698,"['ADCY9', 'RPS19BP1', 'CKLF']",0.9994024446739713,0,0,3
46,hsa-miR-486-5p,0.23297319724602789,1.4795918367346939,2.155516535410792,"['SLC6A6', 'IRGQ', 'MMRN1', 'ADAMTS17', 'SNRPE', 'NME1', 'HCN1']",0.9994024446739713,0,0,7
47,mmu-miR-1895,0.2353275987360817,1.7129455909943714,2.4782497667306007,"['TXLNA', 'CLSTN2', 'KIAA0319', 'CAMK1G']",0.9994024446739713,0,0,4
48,mmu-miR-5121,0.2415212805340604,1.4233333333333333,2.022268714403276,"['SLC6A6', 'IRGQ', 'GALNT13', 'TXLNA', 'MMRN1', 'TUBB3', 'TMSB10', 'CAMK1G']",0.9994024446739713,0,0,8
49,mmu-miR-210,0.24405765144125313,1.871967654986523,2.6401310895171552,"['SLC6A6', 'ADCY9', 'KIAA0319']",0.9994024446739713,0,0,3
50,hsa-miR-601,0.24506125186331706,1.5721288515406162,2.2108016258520613,"['SLC6A6', 'IRGQ', 'TXLNA', 'TEF', 'P3H1']",0.9994024446739713,0,0,5
51,hsa-miR-4537,0.24773167854660516,1.6703296703296704,2.330793154968639,"['IRGQ', 'TEF', 'SELENOH', 'LZTS3']",0.9994024446739713,0,0,4
52,hsa-miR-1469,0.24858116938148067,4.318181818181818,6.010847986174121,['TMSB10'],0.9994024446739713,0,0,1
53,mmu-miR-1193-5p,0.2503880705171383,1.441860465116279,1.9966065935102448,"['SLC6A6', 'FIS1', 'TXLNA', 'CLSTN2', 'MMRN1', 'HCN1', 'LZTS3']",0.9994024446739713,0,0,7
54,mmu-miR-379,0.2503880705171383,1.441860465116279,1.9966065935102448,"['SLC6A6', 'FIS1', 'TXLNA', 'CLSTN2', 'MMRN1', 'HCN1', 'LZTS3']",0.9994024446739713,0,0,7
55,mmu-miR-1186b,0.2503880705171383,1.441860465116279,1.9966065935102448,"['TIMM8B', 'TXLNA', 'MMRN1', 'RPL34', 'GALNT10', 'HCN1', 'LZTS3']",0.9994024446739713,0,0,7
56,mmu-miR-3091-5p,0.2503880705171383,1.441860465116279,1.9966065935102448,"['GADD45GIP1', 'SLC6A6', 'IRGQ', 'TXLNA', 'ADCY9', 'ADAMTS17', 'CAMK1G']",0.9994024446739713,0,0,7
57,hsa-miR-3648,0.26318573430010284,2.1712962962962963,2.898453181722539,"['ADAMTS17', 'TMUB1']",0.9994024446739713,0,0,2
58,mmu-miR-450a,0.26318573430010284,2.1712962962962963,2.898453181722539,"['LTBR', 'HCN1']",0.9994024446739713,0,0,2
59,mmu-miR-714,0.274875437966426,1.7433962264150944,2.2514868052525414,"['IRGQ', 'TXLNA', 'RPL34']",0.9994024446739713,0,0,3
60,mmu-miR-615-5p,0.27727384647066183,1.3884430176565008,1.7810247890229849,"['TXLNA', 'ADCY9', 'RPS19BP1', 'TEF', 'ADAMTS17', 'TMSB10', 'GALNT10']",0.9994024446739713,0,0,7
61,hsa-miR-1296,0.2786778532942588,1.427027027027027,1.823310737082683,"['SLC6A6', 'ADCY9', 'CLSTN2', 'LTBR', 'KIAA0319', 'GALNT10']",0.9994024446739713,0,0,6
62,hsa-miR-1908,0.2829940463682044,1.3476190476190477,1.7011391695872857,"['SLC6A6', 'IRGQ', 'ADCY9', 'TEF', 'MMRN1', 'ADAMTS17', 'TMUB1', 'TBC1D17']",0.9994024446739713,0,0,8
63,hsa-miR-663,0.2829940463682044,1.3476190476190477,1.7011391695872857,"['SLC6A6', 'IRGQ', 'ADCY9', 'TEF', 'MMRN1', 'ADAMTS17', 'TMUB1', 'TBC1D17']",0.9994024446739713,0,0,8
64,hsa-miR-1181,0.2904512153202111,3.4509090909090907,4.266426720440912,['TEF'],0.9994024446739713,0,0,1
