"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"NR5A2 (human)",0.0103046373990153,3.25945945945946,14.9125526218951,"['ARHGAP9', 'IRGQ', 'TMUB1', 'SLC4A2', 'TBC1D17', 'KIAA0319', 'CKLF', 'CAMK1G', 'GALNT10']",0.698511635142464,0,0,9,"NR5A2",0.698511635142464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLI2 (human)",0.0148364021522038,4.16666666666667,17.544464638378,"['ARHGAP9', 'IRGQ', 'TEF', 'ABCB4', 'SLC4A2']",0.698511635142464,0,0,5,"GLI2",0.698511635142464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRTC1 (human)",0.01824530804875,4.71589486858573,18.8817230556384,"['ARHGAP9', 'LRRC6', 'KIAA0319', 'CAMK1G']",0.698511635142464,0,0,4,"CRTC1",0.698511635142464,0.84848493846319,0.872338250135493,NA,NA,NA,0.975317134319077,0.999790090091945,0.410163293603008,0.808310985349435,NA,0.10491276159181
"NRF1 (human)",0.0208001694227087,4.51380552220888,17.4810396070414,"['SLC6A6', 'IRGQ', 'TEF', 'CKLF']",0.698511635142464,0,0,4,"NRF1",0.698511635142464,1.74930317265553e-05,0.0145843511041578,NA,NA,NA,0.804086977012358,0.863855289393902,NA,NA,NA,NA
"NFE2 (human)",0.0218027677748527,3.08333333333333,11.7959649282154,"['SLC6A6', 'GLRB', 'TEF', 'TUBB3', 'ABCB4', 'ADAMTS17', 'TMUB1']",0.698511635142464,0,0,7,"NFE2",0.698511635142464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREM (human)",0.0239489703477416,5.72023809523809,21.3469558323156,"['SLC6A6', 'TBC1D17', 'GALNT10']",0.698511635142464,0,0,3,"CREM",0.698511635142464,0.74544622059472,0.335967520741812,NA,NA,NA,0.824935555376482,0.681258506121637,NA,NA,NA,NA
"FOXD1 (human)",0.0279887025297013,9.35885167464115,33.4668261820155,"['TEF', 'CAMK1G']",0.699717563242532,0,0,2,"FOXD1",0.699717563242532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myf (human)",0.0411718150565213,49.4,157.586067050625,"['IRGQ']",0.847838297896695,0,0,1,"Myf",0.847838297896695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SND1 (mouse)",0.061147355839466,24.675,68.9535141447517,"['GALNT10']",0.847838297896695,0,0,1,"SND1",0.847838297896695,0.00502530873024459,0.0148249529058175,0.789481138919671,0.796735999040095,0.0469577113877908,0.950505084715365,0.986807664567576,0.740094102048453,0.850003844920546,NA,0.992979544086396
"ETV4 (human)",0.0612438358160452,3.0890756302521,8.62745484482927,"['ARHGAP9', 'IRGQ', 'ABCB4', 'TBC1D17']",0.847838297896695,0,0,4,"ETV4",0.847838297896695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2F1 (human)",0.0634767346888388,2.26904848705797,6.25595233933432,"['ARHGAP9', 'IRGQ', 'TEF', 'ADAMTS17', 'SLC4A2', 'TBC1D17', 'CKLF', 'GALNT10']",0.847838297896695,0,0,8,"E2F1",0.847838297896695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYC (human)",0.0638108563303035,3.04225352112676,8.3717704126353,"['TEF', 'TMUB1', 'SLC4A2', 'LTBR']",0.847838297896695,0,0,4,"MYC",0.847838297896695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAX (human)",0.0708102965470007,2.60318396226415,6.89258256805947,"['SLC6A6', 'TEF', 'TMUB1', 'SLC4A2', 'LTBR']",0.847838297896695,0,0,5,"MAX",0.847838297896695,0.127202484428938,0.0195539592065162,0.760687588625286,0.762234811526295,0.715062757537567,0.989359784312891,0.999790090091945,0.566822758613713,0.787723173288058,NA,0.257060886568025
"USF1 (human)",0.0718611418004832,2.9093799682035,7.66045450394691,"['TEF', 'TMUB1', 'SLC4A2', 'LTBR']",0.847838297896695,0,0,4,"USF1",0.847838297896695,0.213228899704064,0.590039205805564,NA,NA,NA,0.895933330659808,0.96662498329301,NA,NA,NA,NA
"SREBF1 (human)",0.0733407649821959,2.38591549295775,6.23353511787033,"['SLC6A6', 'IRGQ', 'TEF', 'TUBB3', 'UFSP2', 'SLC4A2']",0.847838297896695,0,0,6,"SREBF1",0.847838297896695,0.641585043621709,0.317665165816543,NA,NA,NA,0.905944969046093,0.76224961476055,NA,NA,NA,NA
