"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"NFE2L2 (human)",0.00621257233900374,347.083333333333,1763.59297618908,"['NME1']",0.247081344027905,0,0,1,"NFE2L2",0.247081344027905,0.905373851107809,0.316516857768423,NA,NA,NA,0.894659770361502,0.934890536579546,NA,NA,NA,NA
"FOXI1 (human)",0.024261538804636,82.54,306.954947709193,"['NME1']",0.247081344027905,0,0,1,"FOXI1",0.247081344027905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RXRA (mouse)",0.0369853142300516,53.2467532467532,175.567024248087,"['NME1']",0.247081344027905,0,0,1,"RXRA",0.247081344027905,0.242516644572052,0.135623902826167,NA,NA,NA,0.887170273416331,0.847190140217378,0.903059375070147,0.699804287284229,NA,0.630847161820879
"E2F1 (human)",0.0552869284838572,Inf,Inf,"['MIS12', 'NME1']",0.247081344027905,0,0,2,"E2F1",0.247081344027905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXO3A (human)",0.0783353980443583,24.1626506024096,61.5363680482875,"['NME1']",0.247081344027905,0,0,1,"FOXO3A",0.247081344027905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SP3 (mouse)",0.110671932219128,16.6244725738397,36.593539987827,"['NME1']",0.247081344027905,0,0,1,"SP3",0.247081344027905,0.0552306503950041,0.00733160661200699,NA,NA,NA,0.58817433612586,0.373120422239371,NA,NA,NA,NA
"FOS (mouse)",0.120574522563698,15.1274131274131,32.0018499398781,"['NME1']",0.247081344027905,0,0,1,"FOS",0.247081344027905,0.615668351345651,0.753222680845852,NA,NA,NA,0.804086977012358,0.795701634368207,NA,NA,NA,NA
"CRX (human)",0.121023323022873,15.0653846153846,31.8146573955493,"['NME1']",0.247081344027905,0,0,1,"CRX",0.247081344027905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NR1H3 (human)",0.125952567920131,14.4132841328413,29.8621611160832,"['NME1']",0.247081344027905,0,0,1,"NR1H3",0.247081344027905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOS (human)",0.126399993825744,14.3566176470588,29.6938474966335,"['NME1']",0.247081344027905,0,0,1,"FOS",0.247081344027905,0.615668351345651,0.753222680845852,NA,NA,NA,0.804086977012358,0.795701634368207,NA,NA,NA,NA
"IRF2 (human)",0.127294501956852,14.2445255474453,29.3615562610194,"['NME1']",0.247081344027905,0,0,1,"IRF2",0.247081344027905,0.0013612837112279,0.001518459507127,0.920965030731651,0.924035563097678,0.142192430359195,0.946536070903543,0.919580448949446,NA,NA,NA,NA
"CACYBP (human)",0.129082143679297,14.0251798561151,28.7138391421029,"['MIS12']",0.247081344027905,0,0,1,"CACYBP",0.247081344027905,0.342390016216044,0.123522544546884,NA,NA,NA,0.831681758588996,0.993562127147002,0.681136248476553,0.783264988077183,NA,0.982365551011925
"FOXF1 (human)",0.130421672222264,13.864768683274,28.242290415634,"['NME1']",0.247081344027905,0,0,1,"FOXF1",0.247081344027905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CEBPB (human)",0.133097636551938,13.5540069686411,27.3339905523386,"['NME1']",0.247081344027905,0,0,1,"CEBPB",0.247081344027905,9.63649363313663e-05,0.0499749921307438,0.918795860017275,0.921838267475664,-0.151601293266422,0.978758252982259,0.939859697265928,NA,NA,NA,NA
"FOXA1 (human)",0.139769506185569,12.8311258278146,25.2485838260744,"['NME1']",0.247081344027905,0,0,1,"FOXA1",0.247081344027905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB7A (human)",0.140657141504436,12.7401315789474,24.9888759049001,"['MIS12']",0.247081344027905,0,0,1,"ZBTB7A",0.247081344027905,0.0599548220857639,0.230033623248751,NA,NA,NA,0.996017949293844,0.986829546217603,0.184114186503812,0.898898033394353,NA,0.787845757961382
"MIR133B (human)",0.141100787343993,12.6950819672131,24.8605357798476,"['MIS12']",0.247081344027905,0,0,1,"MIR133B",0.247081344027905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXA1 (mouse)",0.141100787343993,12.6950819672131,24.8605357798476,"['NME1']",0.247081344027905,0,0,1,"FOXA1",0.247081344027905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESR1 (human)",0.141544318632653,12.6503267973856,24.7331903593481,"['NME1']",0.247081344027905,0,0,1,"ESR1",0.247081344027905,0.167948586731554,0.494487065348327,NA,NA,NA,0.498791826214212,0.619239794376691,NA,NA,NA,NA
"SMAD4 (human)",0.14464583032519,12.3450479233227,23.8687436858739,"['MIS12']",0.247081344027905,0,0,1,"SMAD4",0.247081344027905,0.376925352164113,0.816133814234988,NA,NA,NA,0.978758252982259,0.999790090091945,0.000285580676067794,0.720856604656473,0.106149133666663,0.004162226266235
