Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Synaptic vesicle cycle,0.012827246359569928,12.73103448275862,55.45872551565114,"['CACNA1A', 'STX3']",0.18953068786469895,0,0,2
2,Serotonergic synapse,0.014276881818728946,12.006506180871828,51.01700997368836,"['CACNA1A', 'ALOX15B']",0.18953068786469895,0,0,2
3,GABAergic synapse,0.015794223988724914,11.35960591133005,47.12090596518816,"['CACNA1A', 'SLC38A2']",0.18953068786469895,0,0,2
4,Glutamatergic synapse,0.02434818536119411,8.945118989800875,33.233782293480694,"['CACNA1A', 'SLC38A2']",0.21913366825074698,0,0,2
5,Pantothenate and CoA biosynthesis,0.04245458678754853,25.744444444444444,81.33494647407794,['DPYD'],0.22179231685911216,0,0,1
6,beta-Alanine metabolism,0.052001203688172064,20.58888888888889,60.87081143282103,['DPYD'],0.22179231685911216,0,0,1
7,Arachidonic acid metabolism,0.05516289216360381,19.3,55.92107054676133,['ALOX15B'],0.22179231685911216,0,0,1
8,Taste transduction,0.06458685289420282,16.24736842105263,44.51363671902764,['CACNA1A'],0.22179231685911216,0,0,1
9,Intestinal immune network for IgA production,0.0677079106705607,15.433333333333334,41.55505649954189,['IL15'],0.22179231685911216,0,0,1
10,Nicotine addiction,0.0677079106705607,15.433333333333334,41.55505649954189,['CACNA1A'],0.22179231685911216,0,0,1
11,Ras signaling pathway,0.06915866923937,4.931034482758621,13.172528137830755,"['RASAL3', 'RASGRP3']",0.22179231685911216,0,0,2
12,Protein digestion and absorption,0.08009166997690162,12.855555555555556,32.454922482568236,['SLC38A2'],0.22179231685911216,0,0,1
13,Type II diabetes mellitus,0.08009166997690162,12.855555555555556,32.454922482568236,['CACNA1A'],0.22179231685911216,0,0,1
14,SNARE interactions in vesicular transport,0.08927486946384092,11.423456790123456,27.599474255323543,['STX3'],0.22956395004987665,0,0,1
15,Pyrimidine metabolism,0.10438340270626448,9.633333333333333,21.7682949229829,['DPYD'],0.2505201664950347,0,0,1
16,MAPK signaling pathway,0.11467161098256302,3.6304564480765396,7.862417057330939,"['CACNA1A', 'RASGRP3']",0.2580111247107668,0,0,2
17,Drug metabolism,0.12219362815904757,8.10701754385965,17.04215376669344,['DPYD'],0.2587629772779831,0,0,1
18,Long-term depression,0.14253920118732383,6.840740740740741,13.326708497358407,['CACNA1A'],0.27007427593387673,0,0,1
19,Rheumatoid arthritis,0.14253920118732383,6.840740740740741,13.326708497358407,['IL15'],0.27007427593387673,0,0,1
20,B cell receptor signaling pathway,0.16802812774690382,5.6950617283950615,10.157848134018698,['RASGRP3'],0.30174746983197964,0,0,1
21,Cytokine-cytokine receptor interaction,0.1900681563846094,4.955913978494624,8.228663546565729,['IL15'],0.30174746983197964,0,0,1
22,TNF signaling pathway,0.19278310572598698,4.876719576719577,8.028004691105522,['IL15'],0.30174746983197964,0,0,1
23,Morphine addiction,0.19278310572598698,4.876719576719577,8.028004691105522,['CACNA1A'],0.30174746983197964,0,0,1
24,JAK-STAT signaling pathway,0.21154266600837468,4.385714285714286,6.812455301193131,['IL15'],0.30525640439083007,0,0,1
25,Cholinergic synapse,0.21418791952481717,4.323474178403756,6.662047936075585,['CACNA1A'],0.30525640439083007,0,0,1
26,Cell adhesion molecules,0.2220722514707529,4.146846846846847,6.239978130815881,['ALCAM'],0.30525640439083007,0,0,1
27,Pathways in cancer,0.22894230329312257,2.3014048531289912,3.3929272473306002,"['IL15', 'RASGRP3']",0.30525640439083007,0,0,2
28,Dopaminergic synapse,0.2775965999246672,3.188888888888889,4.086836307548857,['CACNA1A'],0.33658663147789,0,0,1
29,MicroRNAs in cancer,0.28967012152451854,3.0293729372937293,3.7534309832537796,['FOXP1'],0.33658663147789,0,0,1
30,Chemical carcinogenesis,0.29444465113215834,2.969902912621359,3.631194073813211,['CACNA1A'],0.33658663147789,0,0,1
31,Retrograde endocannabinoid signaling,0.29444465113215834,2.969902912621359,3.631194073813211,['CACNA1A'],0.33658663147789,0,0,1
32,Calcium signaling pathway,0.2991881168692355,2.9126984126984126,3.5147029306041033,['CACNA1A'],0.33658663147789,0,0,1
33,Spinocerebellar ataxia,0.3178552316599976,2.7041297935103246,3.0993633657844737,['CACNA1A'],0.3467511618109064,0,0,1
34,Rap1 signaling pathway,0.33604074546741547,2.523140495867769,2.751542389985386,['RASGRP3'],0.3558078481419693,0,0,1
35,Human T-cell leukemia virus 1 infection,0.39811204048220344,2.028888888888889,1.868650905705506,['IL15'],0.40948667021026636,0,0,1
36,Endocytosis,0.4904524359313046,1.5211055276381908,1.083676610102055,['RAB35'],0.4904524359313046,0,0,1
