Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-607,0.00013091392713761074,11.94793301936159,106.82611660787637,"['SLC6A6', 'ELAVL4', 'CACNA1A', 'TNPO1', 'FOXP1']",0.07737013093832795,0,0,5
2,hsa-miR-3671,0.00038010268289504054,13.463879721305464,106.02898347713496,"['SLC6A6', 'CACNA1A', 'TNPO1', 'FOXP1']",0.09965403093785946,0,0,4
3,mmu-miR-425-5p,0.0005058580250652764,6.991168831168832,53.05775958856881,"['SLC6A6', 'TNFAIP8', 'DTNA', 'SLC38A2', 'TANC2', 'PTPRG']",0.09965403093785946,0,0,6
4,mmu-miR-3059-5p,0.003317330817776147,26.597701149425287,151.83549820654198,"['ALOX15B', 'TANC2']",0.40775323076452746,0,0,2
5,hsa-miR-152-3p,0.004344100491419815,10.143225331369662,55.168359123909184,"['ALCAM', 'SLC38A2', 'FOXP1']",0.40775323076452746,0,0,3
6,hsa-miR-578,0.004848566436612034,9.737270155586987,51.890615668656345,"['ELAVL4', 'FRMD4B', 'FOXP1']",0.40775323076452746,0,0,3
7,mmu-miR-5101,0.004979992308658687,9.640756302521009,51.11844179149292,"['ELAVL4', 'ST18', 'PTPRG']",0.40775323076452746,0,0,3
8,hsa-miR-9-5p,0.0058771855998803494,6.1874039938556065,31.782697462550516,"['TNFAIP8', 'ALCAM', 'FRMD4B', 'FOXP1']",0.40775323076452746,0,0,4
9,mmu-miR-9-5p,0.008867752717860916,4.419101570264361,20.881730335487507,"['SLC6A6', 'TMED8', 'DTNA', 'TANC2', 'PTPRG']",0.40775323076452746,0,0,5
10,hsa-miR-4642,0.009303430988304322,15.169129720853858,70.95166297541786,"['SLC38A2', 'PARD3B']",0.40775323076452746,0,0,2
11,hsa-miR-27b-5p,0.012359325466102042,12.99225897255454,57.07946823136678,"['SLC6A6', 'FOXP1']",0.40775323076452746,0,0,2
12,hsa-miR-3688-5p,0.012359325466102042,12.99225897255454,57.07946823136678,"['TMED8', 'PARD3B']",0.40775323076452746,0,0,2
13,hsa-miR-148a-3p,0.01277322388369163,6.75,29.432728236524504,"['ALCAM', 'SLC38A2', 'FOXP1']",0.40775323076452746,0,0,3
14,mmu-miR-2183,0.013253223563083932,103.07777777777778,445.65826358858396,['TSHZ3'],0.40775323076452746,0,0,1
15,hsa-miR-1245b-3p,0.014276881818728946,12.006506180871828,51.01700997368836,"['TNPO1', 'SLC38A2']",0.40775323076452746,0,0,2
16,mmu-miR-1938,0.016539889375959196,77.3,317.08307546484053,['STK32B'],0.40775323076452746,0,0,1
17,hsa-miR-3911,0.01684270765657348,10.96551724137931,44.78139047212247,"['CACNA1A', 'ST18']",0.40775323076452746,0,0,2
18,mmu-miR-297c-5p,0.017377871960082926,10.778492109877265,43.68046020829864,"['SLC6A6', 'ST18']",0.40775323076452746,0,0,2
19,mmu-miR-297b-5p,0.01792024993462338,10.597701149425287,42.622088025213124,"['SLC6A6', 'ST18']",0.40775323076452746,0,0,2
20,hsa-miR-151a-3p,0.01846979090728333,10.422837761447145,41.6039952152879,"['SLC6A6', 'TNPO1']",0.40775323076452746,0,0,2
21,mmu-miR-1198-5p,0.01846979090728333,10.422837761447145,41.6039952152879,"['SLC6A6', 'ST18']",0.40775323076452746,0,0,2
22,hsa-miR-526b-5p,0.018767372649640752,5.811224489795919,23.10330988165003,"['ELAVL4', 'FRMD4B', 'FOXP1']",0.40775323076452746,0,0,3
23,hsa-miR-23a-3p,0.019351099381017128,5.741596638655462,22.650633450684868,"['SLC6A6', 'TNFAIP8', 'TNPO1']",0.40775323076452746,0,0,3
24,hsa-miR-6857-3p,0.020738579504550127,9.777188328912468,37.89403122512425,"['SLC6A6', 'SLC38A2']",0.40775323076452746,0,0,2
25,hsa-miR-138-2-3p,0.020738579504550127,9.777188328912468,37.89403122512425,"['CDC42EP3', 'RASGRP3']",0.40775323076452746,0,0,2
26,mmu-miR-1b-5p,0.02132318359118788,9.628004179728318,37.04817849370555,"['DTNA', 'ACOT11']",0.40775323076452746,0,0,2
27,mmu-miR-511-3p,0.022512934420097244,9.342799188640974,35.44345282359917,"['SLC6A6', 'ST18']",0.40775323076452746,0,0,2
28,mmu-miR-26a-5p,0.02291694000045338,4.069075210179505,15.364335244426758,"['TNPO1', 'SLC38A2', 'TANC2', 'PTPRG']",0.40775323076452746,0,0,4
29,mmu-miR-3967,0.023081472995025915,51.522222222222226,194.17308787719122,['CDC42EP3'],0.40775323076452746,0,0,1
30,hsa-miR-4789-3p,0.023391437584824638,5.326112412177986,20.001603932670747,"['SLC6A6', 'TNPO1', 'PARD3B']",0.40775323076452746,0,0,3
31,hsa-miR-7853-5p,0.023729749766215936,9.073891625615763,33.94566225707095,"['SLC6A6', 'FOXP1']",0.40775323076452746,0,0,2
