Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Regulation Of Basement Membrane Organization (GO:0110011),0.0009900764171294637,inf,inf,['LAMA2'],0.004290331140894342,0,0,1
2,Regulation Of Integrin-Mediated Signaling Pathway (GO:2001044),0.0009900764171294637,inf,inf,['LAMA2'],0.004290331140894342,0,0,1
3,Positive Regulation Of Integrin-Mediated Signaling Pathway (GO:2001046),0.0009900764171294637,inf,inf,['LAMA2'],0.004290331140894342,0,0,1
4,Regulation Of Muscle Cell Differentiation (GO:0051147),0.001980161435498018,inf,inf,['LAMA2'],0.004826654738028393,0,0,1
5,Maintenance Of Blood-Brain Barrier (GO:0035633),0.001980161435498018,inf,inf,['LAMA2'],0.004826654738028393,0,0,1
6,Regulation Of Extracellular Matrix Organization (GO:1903053),0.0029702490695559343,inf,inf,['LAMA2'],0.004826654738028393,0,0,1
7,Positive Regulation Of Muscle Cell Differentiation (GO:0051149),0.0029702490695559343,inf,inf,['LAMA2'],0.004826654738028393,0,0,1
8,Muscle Organ Development (GO:0007517),0.0029702490695559343,inf,inf,['LAMA2'],0.004826654738028393,0,0,1
9,Positive Regulation Of Cell Adhesion (GO:0045785),0.006930611378596731,inf,inf,['LAMA2'],0.0100108831024175,0,0,1
10,Regulation Of Cell Adhesion (GO:0030155),0.008910796408120116,inf,inf,['LAMA2'],0.011584035330556151,0,0,1
11,Positive Regulation Of Signal Transduction (GO:0009967),0.018811739576929352,inf,inf,['LAMA2'],0.022232055863643782,0,0,1
12,Positive Regulation Of Cell Differentiation (GO:0045597),0.021782026123232694,inf,inf,['LAMA2'],0.023597194966835416,0,0,1
13,Positive Regulation Of Cellular Process (GO:0048522),0.04851463967102369,inf,inf,['LAMA2'],0.04851463967102369,0,0,1
