pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,4.18973439502264e-18,4.48301580267423e-16,1.0959292864312,-0.853791091588496,-2.80174685919252,43,RPS15A|RPSA|RPS13|RPS18|RPS27A|RPL10A|RPS12|RPS7|RPL26|RPL21|RPL12|FAU|RPS23|RPS27|RPLP1|RPL35A|RPL23A|RPL34|RPL38|RPL7|RPL9|RPS3A|RPS10|RPL37|RPL32|RPL41|RPL36AL|RPL24|RPL35|RPL39|RPL37A|RPS9|RPS29|RPS21|RPS15|RPL22L1|RPS25|RPL19
KEGG_HUNTINGTONS_DISEASE,0.000129010463999441,0.00382308932652805,0.518848077743792,-0.692994267282377,-1.9787921275752,23,NDUFS6|NDUFB2|NDUFA7|UQCRQ|COX6C|UQCR11|ATP5F1E|COX7C|UQCR10|COX5B|NDUFAB1|POLR2K|COX7A2|COX4I1|COX7A1
KEGG_PARKINSONS_DISEASE,0.000134935226808687,0.00382308932652805,0.518848077743792,-0.712838819152021,-1.97229675915869,20,NDUFS6|NDUFB2|NDUFA7|UQCRQ|COX6C|UQCR11|ATP5F1E|COX7C|UQCR10|COX5B|NDUFAB1|COX7A2|COX4I1|COX7A1
KEGG_OXIDATIVE_PHOSPHORYLATION,0.00014932668121913,0.00382308932652805,0.518848077743792,-0.688108056620172,-1.96483992674393,23,NDUFS6|NDUFB2|ATP5MF|NDUFA7|UQCRQ|COX6C|UQCR11|ATP5F1E|COX7C|UQCR10|COX5B|NDUFAB1|COX7A2|COX4I1|COX7A1
KEGG_SPLICEOSOME,0.000205723459477579,0.00382308932652805,0.518848077743792,-0.94534408272504,-1.79201472283434,5,SNRPE|SNRPD1
KEGG_ALZHEIMERS_DISEASE,0.000214378840739891,0.00382308932652805,0.518848077743792,-0.677895607808297,-1.93567906024578,23,NDUFS6|NDUFB2|NDUFA7|UQCRQ|COX6C|UQCR11|ATP5F1E|COX7C|UQCR10|COX5B|NDUFAB1|COX7A2|COX4I1|COX7A1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.00045582232305412,0.00696756979525584,0.49849310876659,-0.631016030357486,-1.89550459857963,28,NDUFS6|NDUFB2|ATP5MF|NDUFA7|GRPEL1|UQCRQ|COX6C|TIMM8B|UQCR11|ATP5F1E|COX7C|UQCR10|COX5B|NDUFAB1|COX7A2|COX4I1
HALLMARK_MYC_TARGETS_V1,0.00399564111877951,0.053441699963676,0.310776919977249,-0.684628486606649,-1.76198792785326,15,SNRPD1|RPL34|RPS10|NME1|EEF1B2|NHP2|NDUFAB1|APEX1|RPS2|H2AZ1|IARS1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0051500223914017,0.0612280439866647,0.303779434551183,0.629605571871868,1.792227946875,19,FGF2|P3H1|LAMA2|TNFAIP3|SPP1|RHOB|IL15|VEGFA
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.00879765395894428,0.0941348973607038,0.208826601974224,-0.688845966220216,-1.7027280044303,13,UQCRQ|COX6C|UQCR11|COX7C|UQCR10|COX5B|COX7A2|COX4I1|COX7A1
