"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"E2F2","E2F2","MA0864.2","5.92883",1.4659e-09,0.786328,0.755513,0.0472205,72,"False",1.1639246e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2F4","E2F4","MA0470.2","5.41739",2.90454e-08,0.776015,0.747338,0.0527673,72,"False",1.15310238e-05,2.88262975669539e-05,0.0316609692151078,0.415241110404923,0.385769822214902,-0.131849236090215,0.981466127790838,0.881192562767297,NA,NA,NA,NA
"E2F1","E2F1","MA0024.3","5.21028",9.18743e-08,0.79841,0.7698,0.0454678,72,"False",2.34192285e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NRF1","NRF1","MA0506.1","5.16372",1.17981e-07,0.887255,0.844252,0.0693516,72,"False",2.34192285e-05,1.74930317265553e-05,0.0145843511041578,NA,NA,NA,0.804086977012358,0.863855289393902,NA,NA,NA,NA
"TFAP2C","TFAP2C","MA0815.1","4.88912",4.97647e-07,0.844289,0.809526,0.0514499,72,"False",7.4083376e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HINFP","HINFP","MA0131.2","4.86573",5.59824e-07,0.851822,0.819262,0.0498119,72,"False",7.4083376e-05,0.780500587815775,0.376726293521525,NA,NA,NA,0.989382421150606,0.999790090091945,NA,NA,NA,NA
"TFAP2A","TFAP2A","MA0872.1","4.76983",9.05538e-07,0.839008,0.804318,0.0545477,72,"False",9.742866325e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB33","ZBTB33","MA0527.1","4.75163",9.81649e-07,0.803131,0.772676,0.0598306,72,"False",9.742866325e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TFAP2B","TFAP2B","MA0813.1","4.68411",1.38311e-06,0.84791,0.816155,0.0493554,72,"False",0.000122021037777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TFDP1","TFDP1","MA1122.1","4.22641",1.17548e-05,0.882596,0.849665,0.0487704,72,"False",0.00093333112,0.0759037338027918,0.256292258822506,0.477951899073293,0.453969319341837,-0.223976996320377,0.634587825140955,0.613195471585893,NA,NA,NA,NA
