Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Ribosome,1.5228110697596484e-32,8.775777414075286,642.9324525706854,"['RPL4', 'MRPS17', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'MRPS12', 'MRPL36', 'RPL10A', 'RPL8', 'MRPL34', 'RPL9', 'MRPL35', 'RPL6', 'RPL7', 'RPS15', 'RPS4X', 'RPS14', 'RPL7A', 'MRPL2', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'MRPL9', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPSA', 'RPS3A', 'MRPS7', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'UBA52', 'RPL10', 'RPS10-NUDT3', 'RPL12', 'RPL11', 'RPL36A', 'MRPL17', 'MRPL14', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPL23A', 'MRPL21', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPL22L1', 'FAU', 'RPS21', 'RSL24D1', 'RPS24', 'RPL26L1', 'RPS23']",4.8273110911380854e-30,0,0,86
2,Coronavirus disease,2.301076344080771e-23,4.5270011463080495,235.97482459026944,"['RPL4', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPL8', 'RPL10A', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS14', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPSA', 'RPL24', 'RPL27', 'MASP2', 'RPL26', 'RPL29', 'UBA52', 'C5AR1', 'C6', 'C7', 'C9', 'JUN', 'RPL41', 'RPS26', 'SELP', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS21', 'RSL24D1', 'RPS24', 'RPS23', 'RPLP1', 'RPS4X', 'RPL7A', 'CASP1', 'RPLP2', 'SYK', 'VWF', 'RPS3A', 'F2', 'OAS2', 'IL1B', 'RPL37A', 'TLR4', 'TLR2', 'C1QB', 'C1QA', 'RPL10', 'RPS10-NUDT3', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'CCL2', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'MAPK3', 'RPL35A', 'RPL23A', 'MAS1', 'FCGR2A', 'RPL22L1', 'FAU', 'RPL26L1', 'C1QC']",3.647206005368022e-21,0,0,97
3,Oxidative phosphorylation,2.606945770998829e-18,5.4845614035087715,222.06085453816434,"['NDUFA13', 'COX7B', 'NDUFA11', 'COX4I1', 'ATP12A', 'COX6A1', 'COX7C', 'UQCRFS1', 'ATP6V1E1', 'COX8A', 'ATP6V1G1', 'ATP6V1G2', 'ATP6AP1', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS6', 'NDUFS5', 'ATP6V1B2', 'ATP6V0D1', 'ATP6V0D2', 'ATP6V0C', 'ATP6V1B1', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'COX17', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'COX5A', 'UQCRH', 'ATP5MC1', 'ATP5F1B', 'ATP6V0A4', 'CYC1', 'ATP6V0E2', 'ATP6V1D', 'ATP5MF', 'ATP5ME', 'ATP6V1F', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA1', 'COX6C', 'ATP5F1E', 'UQCRQ']",2.754672698022096e-16,0,0,63
4,Prion disease,1.180182159205456e-10,2.4686725213079446,56.43430345931188,"['RYR1', 'COX7B', 'NDUFA13', 'NDUFA11', 'COX4I1', 'NCF4', 'COX6A1', 'COX7C', 'RYR3', 'PSMD8', 'TUBB8', 'TUBA1C', 'PSMD7', 'CREB3L1', 'PSMD2', 'UQCRFS1', 'COX8A', 'CSNK2A3', 'NDUFC2', 'NDUFC1', 'TUBA4A', 'COX6B1', 'CREB3', 'TUBB2A', 'NDUFS6', 'DDIT3', 'IL1B', 'NDUFS5', 'PPIF', 'VDAC1', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'C1QB', 'C1QA', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'ITPR2', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'PSMB6', 'KLC3', 'C6', 'ATP5F1B', 'KLC2', 'C7', 'C9', 'CYC1', 'NCAM2', 'MAPK3', 'EGR1', 'ATP5PF', 'HSPA8', 'PRNP', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'CAV3', 'NDUFA5', 'CAV2', 'BAD', 'NDUFA4', 'NDUFA3', 'NDUFA1', 'COX6C', 'ATP5F1E', 'UQCRQ', 'CYCS', 'BAX', 'SLC25A31', 'HSPA1B', 'C1QC', 'HSPA1A']",9.352943611703239e-09,0,0,89
5,Parkinson disease,1.2568325543486246e-09,2.4489833479807297,50.19110831176121,"['COX7B', 'NDUFA13', 'NDUFA11', 'COX4I1', 'UBE2L6', 'COX6A1', 'COX7C', 'RYR3', 'PSMD8', 'TUBB8', 'TUBA1C', 'PSMD7', 'PSMD2', 'UQCRFS1', 'SLC18A2', 'COX8A', 'NDUFC2', 'NDUFC1', 'TUBA4A', 'COX6B1', 'TUBB2A', 'ADORA2A', 'NDUFS6', 'DDIT3', 'NDUFS5', 'PPIF', 'VDAC1', 'SLC25A5', 'UBA52', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'ITPR2', 'NDUFB1', 'UQCR11', 'COX7A2', 'TXN', 'UQCR10', 'COX5B', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'PSMB6', 'KLC3', 'ATP5F1B', 'KLC2', 'CYC1', 'RPS27A', 'DRD2', 'ATP5PF', 'NDUFA8', 'XBP1', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'SEPTIN5', 'NDUFA1', 'COX6C', 'ATP5F1E', 'PINK1', 'UQCRQ', 'CYCS', 'BAX', 'CALM3', 'SLC25A31', 'CALM1', 'CALM2']",7.96831839457028e-08,0,0,80
6,Diabetic cardiomyopathy,6.062469762467448e-08,2.4328093552047165,40.42979669285946,"['COX7B', 'NDUFA13', 'NDUFA11', 'COX4I1', 'NCF4', 'COX6A1', 'COX7C', 'GYS2', 'GYS1', 'MPC2', 'PDK4', 'UQCRFS1', 'COX8A', 'MMP2', 'NDUFC2', 'NDUFC1', 'COX6B1', 'TGFBR2', 'NDUFS6', 'NDUFS5', 'PPIF', 'VDAC1', 'PPARA', 'SLC25A5', 'GAPDH', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'ATP5F1B', 'PLN', 'CYC1', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA1', 'COX6C', 'ATP5F1E', 'COL1A2', 'UQCRQ', 'REN', 'SLC25A31']",3.2030048578369683e-06,0,0,64
7,Non-alcoholic fatty liver disease,2.4393849693852087e-07,2.585265476682183,39.36415622862323,"['NDUFA13', 'COX7B', 'GSK3A', 'NDUFA11', 'COX4I1', 'PRKAG2', 'COX6A1', 'COX7C', 'CASP7', 'LEPR', 'UQCRFS1', 'COX8A', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS6', 'DDIT3', 'IL1B', 'NDUFS5', 'PPARA', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'COX5A', 'UQCRH', 'SOCS3', 'CYC1', 'NDUFA8', 'JUN', 'XBP1', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA1', 'COX6C', 'UQCRQ', 'LEP', 'CYCS', 'BAX']",1.1046929075644445e-05,0,0,52
8,Huntington disease,1.0462038019797757e-06,1.9333463361685168,26.622840972559768,"['COX7B', 'NDUFA13', 'HIP1', 'NDUFA11', 'COX4I1', 'COX6A1', 'COX7C', 'PSMD8', 'TUBB8', 'TUBA1C', 'PSMD7', 'CREB3L1', 'PSMD2', 'UQCRFS1', 'AP2M1', 'TGM2', 'COX8A', 'GPX3', 'NDUFC2', 'NDUFC1', 'TUBA4A', 'COX6B1', 'CREB3', 'TUBB2A', 'NDUFS6', 'NDUFS5', 'PPIF', 'VDAC1', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'DCTN1', 'NDUFB5', 'DCTN3', 'DNAH6', 'NDUFB3', 'UCP1', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'PSMB6', 'KLC3', 'ATP5F1B', 'KLC2', 'ATG101', 'CLTCL1', 'POLR2E', 'CYC1', 'POLR2I', 'POLR2J', 'POLR2K', 'POLR2L', 'DNAH12', 'ATP5PF', 'NDUFA8', 'DNAH11', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'POLR2J2', 'NDUFA5', 'BDNF', 'NDUFA4', 'NDUFA3', 'NDUFA1', 'COX6C', 'ATP5F1E', 'UQCRQ', 'CYCS', 'BAX', 'SLC25A31', 'DNAL4']",4.096399228087236e-05,0,0,86
9,Thermogenesis,1.163015553715619e-06,2.1187366410158566,28.951464777094294,"['COX7B', 'NDUFA13', 'NDUFA11', 'COX4I1', 'PRKAG2', 'COX6A1', 'COX7C', 'ACTG1', 'CREB3L1', 'NPPA', 'DPF3', 'UQCRFS1', 'HRAS', 'COA7', 'PRKG1', 'COX8A', 'NDUFC2', 'NDUFC1', 'COX6B1', 'CREB3', 'ADCY9', 'NDUFS6', 'NDUFS5', 'ZNF516', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'COX17', 'NDUFB3', 'ADCY4', 'UCP1', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'ATP5F1B', 'PRDM16', 'COX14', 'CYC1', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'COA3', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA1', 'COX6C', 'ATP5F1E', 'ADCY10', 'NDUFAF8', 'UQCRQ', 'NDUFAF4']",4.096399228087236e-05,0,0,68
10,Cytokine-cytokine receptor interaction,2.22592620781166e-06,2.220082151909271,28.895118386675446,"['ACVRL1', 'CNTF', 'EDA', 'MSTN', 'CSF1', 'IL26', 'CXCL17', 'CXCL1', 'CXCL13', 'EDA2R', 'CXCL5', 'TNFSF13B', 'TNFSF10', 'LEPR', 'IL13RA1', 'IL4R', 'IL1R1', 'IL15', 'IL1R2', 'TNFRSF19', 'IL17RE', 'OSMR', 'TNFRSF1B', 'PRLR', 'IL17RB', 'TGFBR2', 'IL1B', 'LTB', 'CX3CR1', 'CSF1R', 'CCL3L1', 'CXCR5', 'CXCR4', 'CSF2RB', 'IL1RL1', 'CCL3', 'IL21R', 'CCL2', 'TNFSF18', 'GDF10', 'NGFR', 'TNFRSF10C', 'TNFRSF10B', 'TNFRSF10A', 'BMP7', 'BMP5', 'TNFRSF10D', 'IL5', 'IL7', 'LEP', 'ACKR4', 'CD27', 'TNFSF9', 'TNFSF8', 'BMPR1B', 'NODAL', 'IL18R1', 'CRLF2']",7.056186078762962e-05,0,0,58
