Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,PAX5,0.08858163590235982,4.440471240471241,10.762950570980175,"['EBF1', 'RUNX1']",0.9999761071673932,0,0,2
2,EGR1,0.104810762555859,2.7950972400139746,6.3046180258075815,"['IL1B', 'LEF1', 'NFATC1']",0.9999761071673932,0,0,3
3,KLF1,0.10986792652033615,3.847927927927928,8.498057642810592,"['RPS27A', 'FLI1']",0.9999761071673932,0,0,2
4,SOX17,0.1277023562839608,9.609712230215827,19.777297703390385,['LEF1'],0.9999761071673932,0,0,1
5,USF2,0.15569025959361793,3.0370791844476055,5.648623366980079,"['RPL3', 'S100A8']",0.9999761071673932,0,0,2
6,KLF9,0.15699805053005964,7.206834532374101,13.343611899465214,['PGR'],0.9999761071673932,0,0,1
7,MITF,0.1580893949297575,2.279213376401292,4.2042247211377255,"['HINT1', 'LEF1', 'TYR']",0.9999761071673932,0,0,3
8,NFATC1,0.21773603611047096,1.923826714801444,2.932819562077868,"['EGR1', 'EGR2', 'YWHAH']",0.9999761071673932,0,0,3
9,STAT3,0.22188291854906453,1.3512959387653984,2.0345185031503417,"['FGR', 'SOCS3', 'NR4A1', 'FLT1', 'CISH', 'LEP', 'TRIP10', 'PGR', 'GATA2', 'CD44']",0.9999761071673932,0,0,10
10,STAT4,0.2292526989254159,2.307315315315315,3.3985148589310894,"['CISH', 'ETV5']",0.9999761071673932,0,0,2
11,TCF4,0.23556858468624406,1.8417313157692603,2.6626889024911047,"['EGR1', 'NR4A1', 'LEF1']",0.9999761071673932,0,0,3
12,NR0B1,0.2920553824674324,1.922162162162162,2.3658199258953143,"['NR4A1', 'PGR']",0.9999761071673932,0,0,2
13,NR1I2,0.2920553824674324,1.922162162162162,2.3658199258953143,"['FGR', 'ATP6AP1']",0.9999761071673932,0,0,2
14,CBFB,0.2920553824674324,1.922162162162162,2.3658199258953143,"['CHGB', 'RUNX1']",0.9999761071673932,0,0,2
15,SPI1,0.31804210843560965,1.5448684889118103,1.7697572943857283,"['NFATC1', 'GATA2', 'RUNX1']",0.9999761071673932,0,0,3
16,RARG,0.34187072566838794,1.695601483836778,1.81992740760709,"['ACY3', 'H2AFZ']",0.9999761071673932,0,0,2
17,BMI1,0.34581518517502724,1.466040506638928,1.5567162753138537,"['SLC11A1', 'RPS27A', 'RUNX1']",0.9999761071673932,0,0,3
18,LMO2,0.35416697726475294,1.647052767052767,1.7096190144183305,"['GATA2', 'FLI1']",0.9999761071673932,0,0,2
19,POU2F2,0.3586326489272824,2.4010791366906474,2.4622026313438914,['PGR'],0.9999761071673932,0,0,1
20,CRX,0.3586326489272824,2.4010791366906474,2.4622026313438914,['PDC'],0.9999761071673932,0,0,1
21,GATA1,0.36427894914782305,1.417796058471918,1.4317405945656505,"['RPS27A', 'FLI1', 'RUNX1']",0.9999761071673932,0,0,3
22,JUN,0.3678038427718378,1.174976054430756,1.1752175341858078,"['EGR1', 'RPL18A', 'CITED1', 'LEF1', 'COPS7A', 'CXCL1', 'GATA2', 'ETV5', 'RUNX1']",0.9999761071673932,0,0,9
23,CREM,0.37850456596479987,1.557828098368639,1.5134722814785435,"['FHL5', 'CD34']",0.9999761071673932,0,0,2
24,PAX3,0.39052987693741875,1.516737790422001,1.4261139256672712,"['LEF1', 'MEOX2']",0.9999761071673932,0,0,2
25,ERG,0.39052987693741875,1.516737790422001,1.4261139256672712,"['RPL7A', 'FLI1']",0.9999761071673932,0,0,2
26,SMAD1,0.4063527213801637,1.1599373040752352,1.0445626608247918,"['ARL4D', 'MECOM', 'LEF1', 'FHL5', 'RPS27A', 'OAZ1', 'RUNX1']",0.9999761071673932,0,0,7
27,NOD2,0.4142581425561074,1.4407207207207207,1.269658138731544,"['SOCS3', 'CASP4']",0.9999761071673932,0,0,2
28,IRF3,0.4190124505938933,1.2903443073441456,1.122411988721965,"['CITED1', 'HMOX1', 'TLR2']",0.9999761071673932,0,0,3
29,KRT7,0.4211431391511403,1.9205035971223021,1.6608179117773376,['HSPA1A'],0.9999761071673932,0,0,1
30,RFX5,0.4405978336037807,1.8003597122302157,1.475615799119438,['MRPL53'],0.9999761071673932,0,0,1
31,MAFK,0.4405978336037807,1.8003597122302157,1.475615799119438,['NR4A3'],0.9999761071673932,0,0,1
32,TFAP2C,0.4405978336037807,1.8003597122302157,1.475615799119438,['CITED1'],0.9999761071673932,0,0,1
33,POLE,0.459399811616331,1.694350402031316,1.3179240263066825,['POLE3'],0.9999761071673932,0,0,1
34,VDR,0.46375620384648203,1.1524050632911393,0.8855037724252626,"['FGR', 'CALB1', 'CFH', 'RUNX1']",0.9999761071673932,0,0,4
35,ELK1,0.48246298129009746,1.2523305914610263,0.9127625089389798,"['EGR1', 'FLI1']",0.9999761071673932,0,0,2
36,STAT2,0.48246298129009746,1.2523305914610263,0.9127625089389798,"['ZFP36', 'CISH']",0.9999761071673932,0,0,2
37,CEBPA,0.4857701025256349,1.118629189416949,0.8076724315269307,"['PGAM1', 'GATA2', 'FUT1', 'RUNX1']",0.9999761071673932,0,0,4
38,FLI1,0.4951323311502474,1.5158084059068535,1.0655075309126605,['RUNX1'],0.9999761071673932,0,0,1
39,MYB,0.5062434156187516,1.1220638567208965,0.7638311318597463,"['LEF1', 'NBPF14', 'RUNX1']",0.9999761071673932,0,0,3
40,EED,0.52287922322827,1.093520084083535,0.7090436411428367,"['RPL7A', 'RPL3', 'RPL15']",0.9999761071673932,0,0,3
41,SRF,0.531081302502075,1.079783393501805,0.6833302927059232,"['FHL5', 'GATA2', 'FLI1']",0.9999761071673932,0,0,3
42,KDM5B,0.5354137362931679,1.1291997880233173,0.705428601246095,"['NR4A3', 'MEOX2']",0.9999761071673932,0,0,2
43,EP300,0.5425017012918333,0.9973560892000802,0.6099471367340265,"['EGR1', 'FEN1', 'CFH', 'CITED1', 'LEF1', 'NFATC1', 'GATA2', 'RUNX1', 'NR4A1', 'HIST3H2A', 'PLSCR2', 'PGR', 'CD44', 'HIST1H2AC']",0.9999761071673932,0,0,14
44,NCOA1,0.5472451486997881,1.053315136039447,0.6349998854964303,"['NR4A1', 'PGR', 'YWHAH']",0.9999761071673932,0,0,3
45,HCFC1,0.5472451486997881,1.053315136039447,0.6349998854964303,"['EGR2', 'RUNX1', 'HSPA1A']",0.9999761071673932,0,0,3
46,HTT,0.5519736759772214,0.9962661426165076,0.5920360591599683,"['F8A1', 'CHCHD2', 'CKM', 'TRIP10', 'MRFAP1', 'THY1', 'ALDOA', 'PFN2', 'TGM2']",0.9999761071673932,0,0,9
47,WT1,0.5596790273867928,1.2518767594619957,0.7265790370438237,['PAX2'],0.9999761071673932,0,0,1
48,CTCF,0.565351294845781,1.0662662662662663,0.6081001607335349,"['H2AFZ', 'FAU']",0.9999761071673932,0,0,2
49,PHC1,0.574484828982222,1.1996402877697843,0.6649385253937035,['RUNX1'],0.9999761071673932,0,0,1
50,GATA2,0.5887936471033299,1.1515827338129496,0.6099697680274018,['RUNX1'],0.9999761071673932,0,0,1
51,NEUROD1,0.5887936471033299,1.1515827338129496,0.6099697680274018,['NR4A1'],0.9999761071673932,0,0,1
52,CLOCK,0.6026221349503745,1.1072219147758715,0.5607690590985953,['PER2'],0.9999761071673932,0,0,1
53,UBTF,0.6030680330326063,0.9924821373097236,0.5019232912563771,"['LEF1', 'CHGB']",0.9999761071673932,0,0,2
54,TAL1,0.6121021035799541,0.975599328141701,0.47887895402754427,"['GATA2', 'RUNX1']",0.9999761071673932,0,0,2
55,TCF12,0.615986388545162,1.0661470823341328,0.516580685280212,['RUNX1'],0.9999761071673932,0,0,1
56,IRF8,0.6289019655286056,1.028006166495375,0.4767685889691285,['NFATC1'],0.9999761071673932,0,0,1
57,SMAD4,0.6480171263778189,0.9105470999588646,0.39503007241505383,"['CITED1', 'MECOM', 'RAB25', 'LEF1', 'PSG2', 'GATA2', 'RPS27A']",0.9999761071673932,0,0,7
58,RARA,0.6694449261398714,0.8818462701164755,0.35389053297897477,"['RBP2', 'GADD45B', 'BAG3', 'GATA2', 'RUNX1']",0.9999761071673932,0,0,5
59,SMAD2,0.6749643365472714,0.9000500923577847,0.35380557290181025,"['EIF4A2', 'ARL4D', 'MECOM', 'CISH', 'LEF1', 'PSG11', 'RPS27A', 'SLC25A5', 'CHGB', 'RUNX1', 'TGM2']",0.9999761071673932,0,0,11
60,NR4A2,0.6763708045073407,0.8992805755395683,0.35163113844208693,['RUNX1'],0.9999761071673932,0,0,1
61,NR2C2,0.6763708045073407,0.8992805755395683,0.35163113844208693,['FKBP5'],0.9999761071673932,0,0,1
62,RXRA,0.6798192037293017,0.8646752505132632,0.33370272992528094,"['NR4A1', 'GADD45B', 'TRIP10', 'GATA2']",0.9999761071673932,0,0,4
63,RAD21,0.6943740022576755,0.8619963702359347,0.31440848288872714,"['FEN1', 'RPS15A', 'RPS7', 'RPL35A', 'RPL22L1', 'RPS27A']",0.9999761071673932,0,0,6
64,CCND1,0.6956347592935098,0.8374575023658477,0.30393889310778816,"['LEF1', 'OAZ1', 'RUNX1']",0.9999761071673932,0,0,3
65,KLF5,0.6977810091001967,0.8462759204401185,0.30453236118917276,['RPS27A'],0.9999761071673932,0,0,1
66,NFKB1,0.7078493833232733,0.8555435203094778,0.2956107708353851,"['SERPINA3', 'SOCS3', 'NR4A1', 'ZFP36', 'CXCL1', 'SLC25A5', 'HSPA1A']",0.9999761071673932,0,0,7
67,PML,0.7085334066416863,0.840166539537249,0.2894861611228518,"['NR4A1', 'ADH1B', 'NFATC1', 'GATA2', 'RUNX1']",0.9999761071673932,0,0,5
68,PPARD,0.7272743344432309,0.7775131246354268,0.2476002373409603,['GADD45B'],0.9999761071673932,0,0,1
69,CTNNB1,0.7280044458862398,0.8599325288698586,0.2729839678993795,"['BTF3', 'EGR1', 'PCSK1', 'NR4A1', 'RPL41', 'HINT1', 'FLT1', 'LEF1', 'PECAM1', 'TRIP10', 'CDH17']",0.9999761071673932,0,0,11
70,STAT6,0.729126229035048,0.7771122473825176,0.24549629312523602,"['IL4R', 'CISH']",0.9999761071673932,0,0,2
71,STAT5B,0.729126229035048,0.7771122473825176,0.24549629312523602,"['CISH', 'PGR']",0.9999761071673932,0,0,2
72,ESR1,0.7294702414343979,0.8959154770530833,0.2826046259955071,"['MRPS17', 'RPL3', 'CITED1', 'LEF1', 'RPL10A', 'RPL7A', 'RPS15A', 'RPL18A', 'POF1B', 'RPL36AL', 'RPL15', 'ZNF366', 'YWHAH', 'BTF3', 'RPS7', 'CISH', 'GADD45B', 'RPSA', 'RPS26', 'PGR', 'SLC25A5', 'ALDOA', 'S100A8', 'FKBP5', 'S100A7']",0.9999761071673932,0,0,25
73,RUNX3,0.736452474636743,0.7570049223778872,0.23157581019564258,['LEF1'],0.9999761071673932,0,0,1
74,ATF2,0.7485108703640759,0.8087216584443138,0.23426204078816124,"['TPI1', 'CITED1', 'PGAM1', 'CYCS', 'ALDOA', 'CD44']",0.9999761071673932,0,0,6
75,SMAD3,0.7485799451821717,0.8387055389845729,0.24287006336199896,"['EGR1', 'SOCS3', 'NR4A1', 'RPL3', 'CFH', 'MECOM', 'LEF1', 'FLI1', 'RUNX1', 'TGM2']",0.9999761071673932,0,0,10
76,TCF3,0.7599645937664591,0.7973381730187538,0.21885611973874,"['EIF4A2', 'RPL7A', 'HIST3H2A', 'ATOH8', 'GATA2', 'RUNX1']",0.9999761071673932,0,0,6
77,BRCA1,0.7723334030467776,0.8253744510289013,0.21322637147416823,"['LDHC', 'ITIH5', 'EIF4A2', 'PGR', 'POLR2I', 'FLI1', 'PAX2', 'POLR2K', 'HIST1H2AC', 'ETV5', 'GGN']",0.9999761071673932,0,0,11
78,STAT5A,0.7726493311677067,0.709642976309643,0.183038198642011,"['CISH', 'PGR']",0.9999761071673932,0,0,2
79,PCGF2,0.7779197418282352,0.6687719591768446,0.16794998596892124,['SLC11A1'],0.9999761071673932,0,0,1
