Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-615-3p,0.0004115079582451067,4.175784753363229,32.553090866289466,"['BEX4', 'RPL3', 'TPI1', 'ALYREF', 'MRPS12', 'MRFAP1', 'UQCR11', 'RPSA', 'RASAL3', 'RPL7A', 'RPL36AL', 'TOMM7', 'RPL15', 'ALDOA', 'TMSB10', 'SEPHS2']",0.7164353553047308,0,0,16
2,hsa-miR-4768-3p,0.0009499713429028575,5.664035087719299,39.41646615697402,"['SPN', 'DUSP4', 'CPM', 'UBE2S', 'CARD6', 'CYCS', 'RPL22L1', 'SINHCAF', 'RPS27A', 'IL17RB', 'SELENOH']",0.7826414184272641,0,0,11
3,hsa-miR-6878-3p,0.001909525483461295,inf,inf,"['IFITM3', 'RPL41', 'C19ORF53', 'SDHAF1', 'CYCS']",0.7826414184272641,0,0,5
4,hsa-miR-6756-5p,0.002870015812401558,15.218884120171674,89.08279066480219,"['SLFN12', 'RNASEK', 'C19ORF53', 'NDUFB11', 'VSIR', 'LY6E']",0.7826414184272641,0,0,6
5,hsa-miR-6766-5p,0.002870015812401558,15.218884120171674,89.08279066480219,"['SLFN12', 'RNASEK', 'C19ORF53', 'NDUFB11', 'VSIR', 'LY6E']",0.7826414184272641,0,0,6
6,hsa-miR-100-5p,0.0030098788321146672,6.7994227994228,39.47646595865209,"['RPL7A', 'EGR2', 'RPS27', 'RPS15A', 'RPL26', 'RPL15', 'RPL10A', 'PFN2']",0.7826414184272641,0,0,8
7,hsa-miR-16-5p,0.0047961935296503555,2.3831272437175905,12.72573907393626,"['BTF3', 'BEX3', 'RPL3', 'TPI1', 'NDUFA4', 'TPBG', 'HGF', 'MRPS12', 'RASEF', 'MRFAP1', 'RPSA', 'TNFRSF10A', 'SLC1A5', 'MERTK', 'VSIR', 'RPS27', 'UBE2S', 'CYCS', 'EMC6', 'RHOV', 'PHLDA2']",0.7826414184272641,0,0,21
8,hsa-miR-455-3p,0.005566128188453004,3.0074074074074075,15.611619020155457,"['BTF3', 'CPM', 'RPL41', 'SIGLEC9', 'DTX3L', 'UQCR11', 'TNFRSF10A', 'ARGFX', 'RPS27', 'RPS15A', 'RPL18A', 'SDHAF1', 'SINHCAF', 'ALDOA']",0.7826414184272641,0,0,14
9,hsa-miR-6744-3p,0.0067199499855194605,inf,inf,"['IFITM3', 'RPL41', 'SDHAF1', 'CYCS']",0.7826414184272641,0,0,4
10,hsa-miR-4757-5p,0.0067199499855194605,inf,inf,"['IFITM3', 'RPL41', 'SDHAF1', 'CYCS']",0.7826414184272641,0,0,4
11,hsa-miR-27b-3p,0.006799439606387193,5.090909090909091,25.408294957927367,"['BEX3', 'HINT1', 'RPS15A', 'TIMM10', 'SLC25A5', 'ALDOA', 'TMSB10', 'RUNX1']",0.7826414184272641,0,0,8
12,hsa-miR-4722-3p,0.007880479514636819,5.9238505747126435,28.69137957179142,"['CPM', 'SIGLEC9', 'TPI1', 'CYCS', 'UQCR11', 'SLC1A5', 'ALDOA']",0.7826414184272641,0,0,7
13,hsa-miR-6727-3p,0.007880479514636819,5.9238505747126435,28.69137957179142,"['CPM', 'SIGLEC9', 'TPI1', 'CYCS', 'UQCR11', 'SLC1A5', 'ALDOA']",0.7826414184272641,0,0,7
14,hsa-miR-149-5p,0.008716735664771364,7.5965665236051505,36.026796209815586,"['RPL18A', 'DDT', 'UBE2S', 'ALYREF', 'NLRC5', 'RPL15']",0.7826414184272641,0,0,6
15,hsa-miR-3148,0.008716735664771364,7.5965665236051505,36.026796209815586,"['DUSP4', 'ARL11', 'GALNT5', 'TUSC1', 'SLC5A3', 'PAX2']",0.7826414184272641,0,0,6
16,hsa-miR-1976,0.010738226683550147,3.8217391304347825,17.32755623245692,"['CPM', 'SIGLEC9', 'TPI1', 'SDHAF1', 'CYCS', 'UQCR11', 'SLC1A5', 'ALDOA', 'LAIR1']",0.7826414184272641,0,0,9
