Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,MAX (human),0.0002116964140696077,2.1936463536463537,18.559031982717702,"['SASH3', 'SHC3', 'BNC1', 'UHRF1', 'ITGB2', 'SLC1A2', 'TNFAIP3', 'SLC1A5', 'RASAL3', 'SLC5A3', 'TRPM1', 'S100A16', 'ALDH3B1', 'SLCO2B1', 'BEND7', 'RRM2', 'SIGLEC14', 'ROM1', 'TNFSF13', 'FZD9', 'PNMA5', 'AGTRAP', 'RHOH', 'TMC8', 'AMPD2', 'PDYN', 'C20ORF197', 'TMEM154', 'APOC1', 'PLIN3', 'LTBR', 'TLCD1']",0.05588785331437643,0,0,32
2,NR5A1 (human),0.00046523836372432375,2.193548387096774,16.831010509737467,"['FLG', 'KCNG4', 'GIPR', 'NCF4', 'WDR64', 'TNFRSF11B', 'AIF1', 'SLC5A3', 'GATA1', 'SPN', 'SCGN', 'HSD11B2', 'ALDH3B1', 'CLEC5A', 'SLC17A6', 'GSN', 'SP110', 'F11', 'SNX20', 'BATF', 'FLG2', 'ACER1', 'FRMD6', 'ZNF436', 'TLCD1', 'PIK3AP1', 'S100A9', 'F2RL2']",0.05932664378415799,0,0,28
3,MYC (human),0.0006741664066381589,2.2358970426603277,16.326595294538073,"['BNC1', 'UHRF1', 'ITGB2', 'SLC1A2', 'TNFAIP3', 'SLC1A5', 'TRPM1', 'SCRT2', 'ALDH3B1', 'SLCO2B1', 'HGFAC', 'SIGLEC15', 'SIGLEC14', 'TNFSF13', 'FZD9', 'PNMA5', 'AGTRAP', 'TMC8', 'AMPD2', 'TMEM154', 'ZAP70', 'SNTN', 'APOC1', 'PLIN3', 'LTBR']",0.05932664378415799,0,0,25
4,USF1 (human),0.002070287542985336,2.0714603409933283,12.80176529372168,"['SIGLEC14', 'BNC1', 'UHRF1', 'TNFSF13', 'ITGB2', 'FZD9', 'SLC1A2', 'PNMA5', 'AGTRAP', 'RHOH', 'TNFAIP3', 'TMC8', 'AMPD2', 'SLC1A5', 'RASAL3', 'GATA1', 'TMEM154', 'PSMB9', 'ALDH3B1', 'SLCO2B1', 'APOC1', 'PLIN3', 'LTBR', 'BEND7']",0.1366389778370322,0,0,24
5,RARA (human),0.003928424442999209,2.019315326633166,11.186031254275298,"['SIGLEC10', 'FZD9', 'PNMA5', 'OR9Q1', 'SLC38A11', 'TNFRSF10A', 'SLC2A5', 'PARP9', 'TTC38', 'LDHC', 'TRPM1', 'SPN', 'SMTN', 'TYROBP', 'HEPHL1', 'COL8A2', 'PLIN3', 'ZNF304', 'CD14', 'LRP10', 'SLC13A5', 'RBMS2']",0.1536612074293763,0,0,22
6,SPI1 (human),0.004092157869270389,1.8748259509635758,10.3090733064084,"['HEPN1', 'SP100', 'CSF3R', 'SHC3', 'SERPINA1', 'GPR65', 'LST1', 'NCF4', 'NLRC5', 'SIRPB2', 'SLC38A11', 'FCGR3A', 'SLCO2B1', 'BEND7', 'PRIMA1', 'HLA-DRB5', 'SIGLEC15', 'SIGLEC10', 'AMPD2', 'PDYN', 'TLR1', 'ACER1', 'FRMD6', 'RAB13', 'RHOJ', 'OR7A5', 'LRP10']",0.1536612074293763,0,0,27
7,LTF (human),0.0046564002251326155,1.9552660416413004,10.498825672834995,"['FLG', 'LRRC25', 'SIGLEC15', 'SIGLEC14', 'SP110', 'SLC43A3', 'TNFAIP3', 'AMPD2', 'SLC1A5', 'RASAL3', 'PDYN', 'PSMB9', 'TNFRSF10D', 'SPN', 'SLFN12', 'ACER1', 'SCRT2', 'SNTN', 'SLCO2B1', 'TMEM119', 'CYTL1', 'PIK3AP1', 'ASPA']",0.1536612074293763,0,0,23
8,UBTF (human),0.0046564002251326155,1.9552660416413004,10.498825672834995,"['SASH3', 'SIGLEC9', 'SIGLEC14', 'MUSK', 'NCF4', 'FZD9', 'PNMA5', 'RHOH', 'TNFAIP3', 'CAPG', 'SLC1A5', 'FNDC9', 'C20ORF197', 'AGT', 'TMEM154', 'FAM163A', 'SLCO2B1', 'HIST1H1D', 'SUSD3', 'ZNF436', 'B4GALNT1', 'VSIG4', 'ASPA']",0.1536612074293763,0,0,23
9,RUNX2 (mouse),0.008696242521957801,1.8161170561257916,8.617228876432243,"['CCR1', 'LRRC25', 'ARL11', 'SIGLEC15', 'WFIKKN1', 'SP110', 'UNC93B1', 'GIPR', 'GPR65', 'TNFSF13', 'ITGB2', 'LAPTM5', 'SLC38A11', 'GPR37L1', 'TMEM154', 'FGD2', 'BATF', 'SPN', 'NKAIN4', 'TYROBP', 'PLSCR5', 'NKX1-2', 'ASPA', 'HGFAC']",0.2550897806440955,0,0,24
10,CEBPB (human),0.010578838670463506,1.760433903291046,8.008037122647494,"['SERPINA1', 'SIGLEC9', 'UNC93B1', 'OR9Q1', 'RASAL3', 'SLC5A3', 'SCRT2', 'PTTG1', 'SLCO2B1', 'MRC1', 'SLAMF8', 'CD14', 'HGFAC', 'CCR1', 'FOXD4', 'EGR2', 'SIGLEC10', 'PNMA5', 'WNT9A', 'TTC38', 'ZAP70', 'SNTN', 'TYROBP', 'RAB13', 'TMEM119']",0.27928134090023654,0,0,25
11,TBX5 (mouse),0.015107515139806453,1.7390488656195462,7.291071872826993,"['PFKFB1', 'CD163', 'KCNG4', 'SLC43A3', 'SLC35D2', 'TNFSF13', 'NCF4', 'SLC1A2', 'NLRC5', 'F13A1', 'TNFAIP3', 'CAPG', 'TNFRSF11B', 'PARP9', 'PDYN', 'GATA1', 'TTC16', 'SNTN', 'TYROBP', 'ABI3', 'PLIN3', 'SIGLEC1', 'SLC13A5']",0.3370292747290197,0,0,23
12,NFE2 (human),0.015319512487682714,1.526721175494727,6.379599756128458,"['FLG', 'SHC3', 'WFIKKN1', 'SLC43A3', 'UNC93B1', 'BNC1', 'ITGB2', 'TNFAIP3', 'SLA', 'SLC1A5', 'SLC5A3', 'GATA1', 'FCGR3A', 'NKAIN4', 'ALDH3B1', 'SLCO2B1', 'ZNF304', 'BEND7', 'NEFH', 'HGFAC', 'PRIMA1', 'CCR1', 'EGR2', 'RRM2', 'SP110', 'OPALIN', 'ROM1', 'PNMA5', 'AMPD2', 'CYBA', 'GPR37L1', 'TTC16', 'SLFN12', 'ZAP70', 'TYROBP', 'TMEM119', 'PLIN3', 'TRIM59', 'TLCD1', 'S100A9']",0.3370292747290197,0,0,40
13,BRCA1 (human),0.017230044283561667,1.6951873848044234,6.884326604375728,"['SP100', 'CD163', 'SERPINA1', 'SIGLEC9', 'GPR65', 'ROM1', 'PNMA5', 'RHOH', 'SLC38A11', 'OR4N2', 'PDYN', 'SLC5A3', 'PSMB9', 'ZAP70', 'HSD11B2', 'NKAIN4', 'SNTN', 'ALDH3B1', 'COL8A2', 'ITGA8', 'FOSB', 'SIGLEC1', 'BEND7', 'F2RL2']",0.34990243775848306,0,0,24
14,Sox17 (mouse),0.019508188621558887,2.8144488361879665,11.080262648505583,"['COLEC11', 'CPM', 'PFKFB1', 'PTTG1', 'PLSCR5', 'APOC1', 'ITGA8']",0.36434033136322885,0,0,7
15,SRF (human),0.020701155191092547,1.4663563267033433,5.685893104817868,"['FLG', 'CSF3R', 'SHC3', 'WFIKKN1', 'UHRF1', 'GPR65', 'NCF4', 'SLC5A3', 'NUAK2', 'PTTG1', 'HEPHL1', 'S100A16', 'ALDH3B1', 'SLCO2B1', 'B4GALNT1', 'VSIG4', 'HLA-DOA', 'EGR2', 'GSN', 'MUSK', 'SIGLEC10', 'TMC8', 'GPR37L1', 'PGA3', 'AGT', 'TTC38', 'SLFN12', 'TBX15', 'FLG2', 'ZAP70', 'SMTN', 'FRMD6', 'VNN2', 'B3GNT6', 'FAM163A', 'RAB13', 'ALOX5AP', 'RHOJ', 'APOC1', 'FOSB', 'TRIM59', 'PIK3AP1', 'RCOR2', 'ASPA']",0.36434033136322885,0,0,44
16,TBX5 (human),0.024467493605639518,5.84044233807267,21.670434686125834,"['ALDH3B1', 'SLAMF8', 'BEND7']",0.403713644493052,0,0,3
17,IKZF1 (mouse),0.03075774963240436,1.6257684426229508,5.660297025915841,"['FOXD4', 'GDF10', 'SHC3', 'WFIKKN1', 'SLC43A3', 'TMEM176A', 'TNFSF13', 'NCF4', 'LAPTM5', 'TNFRSF11B', 'RTN4RL2', 'GATA1', 'IL17RB', 'TMEM154', 'SMTN', 'HEPHL1', 'S100A16', 'B3GNT6', 'SLCO2B1', 'MRC1', 'FOSB', 'CBR3']",0.47013926239572035,0,0,22
18,NR1H3 (human),0.032054949708799116,1.6575609292602973,5.702512948924772,"['LST1', 'SIGLEC10', 'FZD9', 'PNMA5', 'OR9Q1', 'SLC38A11', 'SLC1A5', 'SLC2A5', 'TTC38', 'LDHC', 'TRPM1', 'SCRT2', 'TYROBP', 'HEPHL1', 'PLIN3', 'TRIM59', 'TLCD1', 'LRP10', 'F2RL2', 'RBMS2']",0.47013926239572035,0,0,20
19,ELF3 (human),0.03433736792907392,1.6046305668016194,5.41004577167921,"['CHGA', 'HEPN1', 'SHC3', 'SERPINA1', 'SIGLEC9', 'SP110', 'SIGLEC10', 'ITGB2', 'NCF4', 'AGTRAP', 'TMC8', 'AMPD2', 'AIF1', 'TNFRSF10D', 'SPN', 'HSD11B2', 'FCGR3A', 'TYROBP', 'ABI3', 'CYTL1', 'BEND7', 'S100A9']",0.47710869122502714,0,0,22
