pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,2.40092703996112e-32,4.70581699832379e-30,1.48156758833633,0.895821807995902,2.02981532392483,74,RPL41|RPS8|RPL22L1|RPS27|FAU|RPS15A|RPS28|RPL11|RPS27A|RPL34|RPL10|RPLP2|RPL29|RPS13|RPL21|RPS10|RPL9|RPL18A|RPL35A|RPL7A|RPL10A|RPL36A|RPS21|RPS9|RPL36AL|RPL39|RPS3A|RPS2|RPL26|RPS15|RPLP1|RPL35|RPS7|RPL12|RPL17|RPS29|RPL19|RPS12|RPL32|RPS19|RPL14|RPL30|RPS23|RSL24D1|RPS16|RPL27A|RPL22|RPL13|RPL3|RPS24|RPL18|RPL37A|RPS25|RPS4X|RPS18|RPL7|RPL36|RPL38|RPS3|RPL8|RPL23|RPS5|RPL37|RPL24|RPL23A|RPS26|RPL27|RPSA|RPL6
HALLMARK_OXIDATIVE_PHOSPHORYLATION,7.47666314984744e-14,7.3271298868505e-12,0.954541630725724,0.76614051950836,1.74073173716184,80,TIMM8B|NDUFS6|COX7A2|UQCR10|UQCRQ|NDUFB2|COX17|UQCR11|COX4I1|SURF1|ATP5MF|UQCRFS1|NDUFB1|ATP5F1E|NDUFA5|NDUFA7|NDUFB7|ATP5ME|NDUFA1|COX7C|ATP5MC1|MRPS12|TIMM13|COX6B1|UQCRH|COX5B|MRPL34|NDUFB3|NDUFA6|ATP5PF|UQCRB|BAX|ATP5MC2|COX8A|NDUFB8|TIMM10|COX6C|NDUFC1|ATP5PD|CYCS|COX7B|GPX4|IDH3B|SLC25A5|ISCU|NDUFB5|CYC1|COX6A1|NDUFA4|NDUFA8|TOMM22|COX5A|NDUFA3|ATP6V1F|ATP5MC3
KEGG_HUNTINGTONS_DISEASE,1.39342969042839e-13,9.10374064413213e-12,0.943632225232838,0.788108152000326,1.77651753772164,67,COX7A1|POLR2I|NDUFS6|COX7A2|POLR2K|UQCR10|UQCRQ|NDUFB2|UQCR11|COX4I1|UQCRFS1|NDUFB1|ATP5F1E|NDUFA5|NDUFA7|NDUFB7|NDUFA1|COX7C|ATP5MC1|COX6B1|UQCRH|NDUFB10|COX5B|NDUFB3|NDUFA6|ATP5PF|UQCRB|POLR2L|BAX|ATP5MC2|NDUFS5|COX8A|NDUFB8|COX6C|POLR2J|NDUFC1|ATP5PD|CYCS|COX7B|SLC25A5|NDUFB5|CYC1|COX6A1|NDUFA4|NDUFA8|COX5A|NDUFA3
KEGG_PARKINSONS_DISEASE,4.59879270056545e-13,2.25340842327707e-11,0.921426003494898,0.809097231629804,1.80297358938404,53,COX7A1|NDUFS6|COX7A2|UQCR10|UQCRQ|NDUFB2|UQCR11|COX4I1|UQCRFS1|NDUFB1|ATP5F1E|NDUFA5|NDUFA7|NDUFB7|NDUFA1|COX7C|ATP5MC1|COX6B1|UQCRH|NDUFB10|COX5B|NDUFB3|NDUFA6|ATP5PF|UQCRB|ATP5MC2|NDUFS5|COX8A|NDUFB8|COX6C|NDUFC1|ATP5PD|CYCS|COX7B|SLC25A5|NDUFB5|CYC1|COX6A1|NDUFA4|NDUFA8|COX5A|NDUFA3|ATP5MC3
KEGG_OXIDATIVE_PHOSPHORYLATION,9.53877430771381e-13,3.73919952862381e-11,0.910119734774459,0.785831589376668,1.7653181254236,62,COX7A1|NDUFS6|COX7A2|UQCR10|UQCRQ|NDUFB2|COX17|UQCR11|COX4I1|ATP5MF|UQCRFS1|NDUFB1|ATP5F1E|NDUFA5|NDUFA7|NDUFB7|ATP5ME|NDUFA1|COX7C|ATP5MC1|COX6B1|UQCRH|NDUFB10|COX5B|NDUFB3|NDUFA6|ATP5PF|UQCRB|ATP5MC2|NDUFS5|COX8A|NDUFB8|COX6C|NDUFC1|ATP5PD|COX7B|NDUFB5|NDUFA11|CYC1|COX6A1|NDUFA4|NDUFA8|COX5A|NDUFA3|ATP6V1F|ATP5MC3
KEGG_ALZHEIMERS_DISEASE,4.9883421132714e-12,1.62952509033532e-10,0.887074988399873,0.782515628177695,1.75694097320905,61,COX7A1|NDUFS6|COX7A2|UQCR10|UQCRQ|NDUFB2|UQCR11|COX4I1|UQCRFS1|NDUFB1|ATP5F1E|NDUFA5|NDUFA7|NDUFB7|NDUFA1|COX7C|ATP5MC1|COX6B1|UQCRH|NDUFB10|COX5B|NDUFB3|NDUFA6|ATP5PF|UQCRB|ATP5MC2|NDUFS5|COX8A|NDUFB8|COX6C|NDUFC1|ATP5PD|CYCS|COX7B|NDUFB5|CYC1|COX6A1|NDUFA4|NDUFA8|COX5A|NDUFA3|ATP5MC3
HALLMARK_MYC_TARGETS_V1,7.1094296864078e-07,1.99064031219419e-05,0.659444398037935,0.728684566973091,1.61568034268313,48,SNRPD1|LSM2|LSM7|RPL34|RPS10|RANBP1|EEF1B2|RPS2|H2AZ1|RPL14|RPL22|PSMD7|RPL18|RPS3|RPS5|VBP1|NHP2|NME1|RPL6|POLE3|MRPL9|CYC1|APEX1|ERH|SET|COX5A|NPM1|PHB1|NCBP2|PSMD8|VDAC1|AIMP2
KEGG_CARDIAC_MUSCLE_CONTRACTION,1.15510845364701e-06,2.83001571143518e-05,0.643551836150722,0.779399327767283,1.68267367419924,30,COX7A1|COX7A2|UQCR10|UQCRQ|UQCR11|COX4I1|UQCRFS1|COX7C|COX6B1|UQCRH|COX5B|UQCRB|COX8A|COX6C|COX7B|CYC1|COX6A1|COX5A
HALLMARK_DNA_REPAIR,0.000293923077053813,0.00640099145583859,0.49849310876659,0.684068520367309,1.50059124013583,39,POLR2I|POLR2K|MRPL40|COX17|SURF1|POLD4|NT5C|SNAPC5|SAC3D1|POLR2J|APRT|GMPR2|ALYREF|NME1|POLE4|GUK1|GPX4|SUPT4H1|TMED2|EIF1B
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.000801400046680862,0.0157074409149449,0.477270815362862,0.79821621725637,1.61562074463968,13,ATOX1|LAMTOR5|NDUFA6|GLRX2|TXN|GPX4|FTL
KEGG_SPLICEOSOME,0.0021997800219978,0.0391960803919608,0.310776919977249,0.749192635474296,1.55077768735771,17,SNRPD1|LSM2|LSM7|LSM3|SNRPE|PPIL1|SRSF9|ALYREF|LSM4
KEGG_PYRIMIDINE_METABOLISM,0.0027997200279972,0.0457287604572876,0.274717458595242,0.714141180461676,1.49673633025511,20,POLR2I|POLR2K|POLD4|NT5C|NME2|POLR2L|POLR2J|NME1|POLE3|POLE4|UPP2|RRM2|CDA|POLR3K
KEGG_PURINE_METABOLISM,0.0040995900409959,0.0618092036950151,0.22623238004642,0.644591401514919,1.40586469913535,35,POLR2I|POLR2K|POLD4|NT5C|NME2|POLR2L|POLR2J|APRT|GMPR2|NME1|POLE3|POLE4|GUK1
KEGG_RNA_DEGRADATION,0.0084991500849915,0.118988101189881,0.15627914647544,0.806045505310317,1.57117922260478,8,LSM2|LSM7|LSM3|EXOSC5|LSM4
HALLMARK_ADIPOGENESIS,0.0107989201079892,0.141105889411059,0.138395468894856,0.595868387153133,1.32002749929334,47,DDT|UQCR10|UQCRQ|UQCR11|NDUFA5|NDUFB7|CHCHD10|COX8A|SLC1A5|COX7B|GPX4|CYC1|COX6A1|GADD45A|SNCG|ALDOA
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.0135986401359864,0.166583341665833,0.123095330850962,0.711740907112873,1.45650838060705,15,NHLRC1|ELOB|ANAPC11|ELOC|RNF7|UBE2S|STUB1|UBE2M|FBXO2
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.0188981101889811,0.217884093943547,0.104084546739236,0.640497278496628,1.37046885598481,26,RPS14|SPCS1|POP4|EXOSC5|NHP2|IMP3|LSM4|NPM1|XBP1|EXOSC4|BANF1
KEGG_PROTEASOME,0.0333966603339666,0.363652523636525,0.0776714573195423,0.75322776374738,1.46822456609733,8,POMP|PSMB10|PSMB6|PSMD7|PSMD8|PSMB9
KEGG_RNA_POLYMERASE,0.036996300369963,0.381646045921724,0.0736532668184816,0.767350982875596,1.48215156139837,7,POLR2I|POLR2K|POLR2L|POLR2J
KEGG_PROTEIN_EXPORT,0.0435956404359564,0.427237276272373,0.0676101640365674,0.775440879761569,1.48425230212784,6,SEC61B|SPCS1|SEC61G|SRP14
KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.0848915108489151,0.792320767923208,0.0473800742322709,0.721918187038263,1.39439733837431,7,POLD4|POLE3|POLE4
HALLMARK_MYC_TARGETS_V2,0.0891910808919108,0.794611447946115,0.0461145881357585,0.624357090899535,1.29237661939589,17,EXOSC5|DCTPP1|IMP4|NPM1|PHB1|NDUFAF4|AIMP2|NOP16
KEGG_DNA_REPLICATION,0.113088691130887,0.963712324419732,0.0404101248751239,0.675599995843828,1.32986693710715,9,POLD4|POLE3|POLE4|RPA3|FEN1
KEGG_BASE_EXCISION_REPAIR,0.152284771522848,0.999700029997,0.0340433059732153,0.653134458542092,1.28564524458833,9,POLD4|POLE3|POLE4|APEX1|NEIL2
KEGG_COLORECTAL_CANCER,0.154684531546845,0.999700029997,0.0337302711597831,0.632180131403289,1.26221133675458,11,BAX|CYCS|RAC3|BAD|PIK3R5
HALLMARK_PEROXISOME,0.163683631636836,0.999700029997,0.0326146469032976,0.600003043407834,1.22784773557305,15,FIS1|PRDX5|FABP6|HRAS|HSD11B2|IDI1|CEL|HAO2
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.183481651834817,0.999700029997,0.0304375369003548,0.61988638331447,1.23766562986172,11,BAX|CYCS|SLC1A2|NEFH|BAD|CASP1
KEGG_LONG_TERM_DEPRESSION,0.211178882111789,0.999700029997,0.0278855433998514,0.600795453405547,1.20812998687706,12,CRH|HRAS
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.223677632236776,0.999700029997,0.0268795497273238,0.612020460358056,1.21436339300899,10,PHPT1|PMM1|ALDOA|PFKM|TPI1|PFKFB1|ALDOB|ALDOC|HK2|GFUS
KEGG_ACUTE_MYELOID_LEUKEMIA,0.244775522447755,0.999700029997,0.0253432361293712,0.595197416540748,1.1883716198058,11,HRAS|RUNX1|BAD|PIK3R5
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.264273572642736,0.999700029997,0.0240733246192523,0.514918712861476,1.11429798793553,31,SNRPD1|H2AZ1|HLA-DOA|FCGR3A|H2AC20|H3C6|HLA-DRB5|H2AC25|H3-3B|HLA-DRA|HLA-DPA1|CD80|C1QC|C1QA
KEGG_RENAL_CELL_CARCINOMA,0.265373462653735,0.999700029997,0.024005411352952,0.579927253232782,1.1661664562645,12,ELOB|ELOC|HRAS|PIK3R5|HGF
HALLMARK_MTORC1_SIGNALING,0.27047295270473,0.999700029997,0.0236953211013832,0.492564913059107,1.09336794870114,49,PDAP1|ATP5MC1|DDIT3|SLC1A5|SLA|SDF2L1|FKBP2|XBP1|ITGB2|ALDOA|TPI1|ARPC5L|RRM2|IDI1|PGK1|ATP6V1D|GAPDH|MLLT11|CXCR4|LDHA|NFIL3|NIBAN1|GOT1|HK2|IFI30|TUBG1
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.270572942705729,0.999700029997,0.0236893179822521,0.639064979978512,1.22321854895507,6,ALDOA|PFKM|ALDOB|ALDOC
HALLMARK_P53_PATHWAY,0.276872312768723,0.999700029997,0.0233168899785404,0.488565902081542,1.08870897549881,53,RPS12|TRIAP1|BAX|RPL18|RPL36|DDIT3|HINT1|PMM1|NUDT15|ISCU|HRAS|GADD45A
KEGG_O_GLYCAN_BIOSYNTHESIS,0.293970602939706,0.999700029997,0.0223593952170148,0.646461483981114,1.2183458083851,5,B3GNT6|GALNT15|GALNT5
KEGG_PEROXISOME,0.296870312968703,0.999700029997,0.0222041720295165,0.601122598316693,1.17173451187446,8,PEX10|PRDX5|HAO2|DDO|XDH
KEGG_ASTHMA,0.332566743325667,0.999700029997,0.0204390562293165,0.586624234883117,1.14347366650217,8,HLA-DOA|HLA-DRB5|HLA-DRA|FCER1G|HLA-DPA1|IL5
KEGG_TYPE_I_DIABETES_MELLITUS,0.332966703329667,0.999700029997,0.0204206536876808,0.569718671601947,1.13042870936432,10,HLA-DOA|HLA-DRB5|HLA-DRA|HLA-DPA1|CD80
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.364963503649635,0.999700029997,0.0190312823352534,0.597631392221381,1.14391153842856,6,AHCY|LDHC|LDHA|GOT1
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.367363263673633,0.999700029997,0.0189331368924328,0.5142428321087,1.0777783867509,20,ALDH3B1|BPGM|ALDOA|LDHC|PFKM|TPI1|PGK1|GAPDH|ALDOB|LDHA|ALDOC|HK2|ALDH1A3|ADH1B
KEGG_VIRAL_MYOCARDITIS,0.381161883811619,0.999700029997,0.0183834051745648,0.528733368217742,1.08200129319475,15,CYCS|HLA-DOA|RAC3|ITGB2|HLA-DRB5|HLA-DRA|HLA-DPA1|CD80
HALLMARK_E2F_TARGETS,0.381261873812619,0.999700029997,0.0183795090452486,0.480670344205,1.05320381308503,38,RANBP1|H2AZ1|NAA38|NME1|POLE4|UBE2S|DCTPP1|POP7|PTTG1|RRM2|CHEK2|HMMR|CDK1|JPT1|RPA3|STMN1|HMGA1|TUBG1|MELK
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.38986101389861,0.999700029997,0.0180489113734037,0.533592392401977,1.08001180596117,13,TNFSF13|HLA-DOA|LTBR|HLA-DRB5|HLA-DRA|HLA-DPA1|CD80|CXCR4|IL5|IL15
HALLMARK_ALLOGRAFT_REJECTION,0.390560943905609,0.999700029997,0.0180223829644537,0.466344337249588,1.04138109998287,55,RPL9|RPS9|RPL39|RPS3A|PSMB10|RPS19|NME1|GPR65|HLA-DOA|NCF4|NPM1|ZAP70|ITGB2|TLR1|F2|CCR1|HLA-DRA|CAPG|CD74|CD80|GBP2|PTPN6|IRF8|ELF4|LTB|HCLS1|STAB1|CD96
KEGG_HOMOLOGOUS_RECOMBINATION,0.406659334066593,0.999700029997,0.0174271778292089,0.579206999019257,1.10864586087752,6,POLD4|RPA3
HALLMARK_FATTY_ACID_METABOLISM,0.415958404159584,0.999700029997,0.0170956933435145,0.471298934137399,1.03707277442236,41,H2AZ1|ERP29|LGALS1|IDH3B|APEX1|ALDOA|CBR3|GABARAPL1|MIF|IDI1|CEL|HAO2|LTC4S|ACSM3|LDHA|HCCS|UBE2L6
KEGG_LEISHMANIA_INFECTION,0.436456354364564,0.999700029997,0.0163938864855964,0.489534428837798,1.03766293974948,23,HLA-DOA|NCF4|FCGR3A|ITGB2|CYBA|HLA-DRB5|HLA-DRA|ITGAM|HLA-DPA1|PTPN6
HALLMARK_PANCREAS_BETA_CELLS,0.451654834516548,0.999700029997,0.0158968617076129,0.501115778025376,1.03727550238488,17,SPCS1|SST|SCGN|SRP14|CHGA
KEGG_GRAFT_VERSUS_HOST_DISEASE,0.454854514548545,0.999700029997,0.0157945589999193,0.527257630401287,1.0461780389979,10,HLA-DOA|HLA-DRB5|HLA-DRA|HLA-DPA1|CD80
KEGG_P53_SIGNALING_PATHWAY,0.460653934606539,0.999700029997,0.015611103884008,0.502492753970754,1.0341351722587,16,BAX|CYCS|GADD45A|RRM2|CHEK2|CDK1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.47955204479552,0.999700029997,0.0150299349094049,0.466981821361635,1.01275547518972,32,HRAS|TNFRSF10D|FCGR3A|SHC3|ZAP70|RAC3|ITGB2|TYROBP|TNFRSF10A|PIK3R5|FCER1G|RAET1E|PTPN6|VAV1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.482651734826517,0.999700029997,0.0149369090792457,0.498655448969605,1.02044976367281,15,TNFAIP3|PYDC1|CARD18|CARD6|CASP1|NOD2|NLRC4|NFKBIA
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.491650834916508,0.999700029997,0.0146702809053536,0.550999516063732,1.03843456640965,5,ASPA|DDO|GOT1
KEGG_PPAR_SIGNALING_PATHWAY,0.4999500049995,0.999700029997,0.014428753749141,0.517763021374777,1.01917692069108,9,FABP6|FABP7|LPL
KEGG_GLUTATHIONE_METABOLISM,0.501049895010499,0.999700029997,0.0143970469252581,0.546532967681729,1.03001674008278,5,GPX4|RRM2|ODC1
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.503449655034497,0.999700029997,0.0143281086340239,0.523565660179442,1.02055712924867,8,HRAS|BAD|PIK3R5
KEGG_AUTOIMMUNE_THYROID_DISEASE,0.505449455054495,0.999700029997,0.0142709089791988,0.498524134377246,1.00903228447529,13,HLA-DOA|HLA-DRB5|HLA-DRA|HLA-DPA1|CD80|CGA|TG|IL5|HLA-E
KEGG_ALLOGRAFT_REJECTION,0.505849415058494,0.999700029997,0.0142594959435372,0.515613831114004,1.01494640398454,9,HLA-DOA|HLA-DRB5|HLA-DRA|HLA-DPA1|CD80|IL5|HLA-E
KEGG_VIBRIO_CHOLERAE_INFECTION,0.506849315068493,0.999700029997,0.0142310023106803,0.470727956009501,1.00093690533364,24,SEC61B|SEC61G|ATP6V1F|ATP6V1G1|ATP6V1E1|TCIRG1|ATP6V0E2|ATP6V1D|CFTR|ACTG1|ATP6V1G2
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.515648435156484,0.999700029997,0.0139826097512245,0.524709848041091,1.0134860551567,7,TPI1|CDIPT|PLCZ1
KEGG_MELANOMA,0.518948105189481,0.999700029997,0.0138905230977328,0.491468775051139,0.999738622635229,14,HRAS|FGF17|BAD|PIK3R5|HGF
KEGG_PHENYLALANINE_METABOLISM,0.528547145285471,0.999700029997,0.0136257837037135,0.518354254408569,1.00121011724005,7,ALDH3B1|MIF|PAH|GOT1|ALDH1A3|AOC3
HALLMARK_MYOGENESIS,0.532346765323468,0.999700029997,0.013522243010755,0.445088993917995,0.987983567987468,49,COX7A1|MYL6B|BAG1|OCEL1|PVALB|GABARAPL2|SMTN|PFKM|APLNR|GSN|STC2|SLN|ERBB3|APOD|DAPK2|TPD52L1|FOXO4|FKBP1B|ITGB5|COL3A1|ACTC1
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.533046695330467,0.999700029997,0.0135032449897621,0.46567227763207,0.987082493288001,23,DDIT3|HRAS|SLA|FGF17|PIN1|AP2M1|CDK1|CXCR4
HALLMARK_UV_RESPONSE_UP,0.534746525347465,0.999700029997,0.0134572032053626,0.451461144018893,0.989203107853146,38,PDAP1|SELENOW|POLE3|PPT1|FOSB|ATP6V1F|ALDOA|CCK|IGFBP2|GRPEL1
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.539246075392461,0.999700029997,0.0133359770379118,0.485047274852092,0.986676100476869,14,HRAS|SHC3|RUNX1|BAD|PIK3R5
KEGG_APOPTOSIS,0.543445655434457,0.999700029997,0.0132236649759377,0.464903070569456,0.981801725606448,22,BAX|CYCS|ENDOG|TNFRSF10D|BAD|TNFRSF10A|PIK3R5
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.546545345465454,0.999700029997,0.0131412711722353,0.48541176764513,0.982492342983562,13,ANAPC11|PIK3R5|PDE3A|CDK1|ANAPC13
KEGG_THYROID_CANCER,0.561843815618438,0.999700029997,0.0127405939524193,0.504925193986385,0.975271657112898,7,HRAS|PAX8
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.583041695830417,0.999700029997,0.0122005331275021,0.466717272402554,0.960508869189018,16,ANTXR2|IDI1|S100A11|LPL|NFIL3|ALDOC|ACTG1|NIBAN1
HALLMARK_XENOBIOTIC_METABOLISM,0.595440455954405,0.999700029997,0.0118919745277575,0.436333988938579,0.965838218339067,46,DDT|PSMB10|SLC1A5|PMM1|AHCY|F11|HGFAC|GABARAPL1|APOE|CDA|HSD11B1|TMEM176B|XDH|ATOH8|IRF8|TKFC|KYNU
HALLMARK_APOPTOSIS,0.621537846215379,0.999700029997,0.0112579311272932,0.430151165431191,0.955703814097506,50,BAX|CD14|DDIT3|IGFBP6|GPX4|PPT1|GADD45A|NEFH|F2|GSN|CASP1|HGF|IFITM3|ERBB3|CASP4
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.624737526247375,0.999700029997,0.0111814938879474,0.429572225067691,0.954417532534193,50,BRK1|CD14|TMSB4X|HRAS|FGF17|RAC3|ITGB2|F2|ITGA8|GSN|ARPC5L|MYL12B|PIK3R5|ITGAM|PFN2|CFL2|VAV1
KEGG_RIBOFLAVIN_METABOLISM,0.626137386261374,0.999700029997,0.0111481350468284,0.478214000720782,0.915337648561719,6,PHPT1|ACP3|ACP2
HALLMARK_G2M_CHECKPOINT,0.641835816418358,0.999700029997,0.0107772932198272,0.437844282200919,0.931014390051167,24,SNRPD1|H2AZ1|UBE2S|PTTG1|HMMR|CDK1|JPT1|STMN1|HMGA1
KEGG_HISTIDINE_METABOLISM,0.656534346565343,0.999700029997,0.0104350167099168,0.462895409753589,0.886016710625867,6,ALDH3B1|ASPA|ALDH1A3|CNDP1
HALLMARK_GLYCOLYSIS,0.657834216578342,0.999700029997,0.0104049559054249,0.422893852586389,0.943177439836149,54,HAX1|TXN|ALDOA|LDHC|MERTK|TPI1|PFKFB1|MIF|POLR3K|TPBG|ADORA2B|PGK1|HMMR|STC2|CDK1|ALDOB|CXCR4|LDHA|CLDN9|GOT1|STMN1|CHST2|EFNA3|B4GALT7|HK2|GFUS|TGFBI|CASP6|GYS1|B3GALT6|PKM|KDELR3|BIK
