pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.08073720202503e-09,9.63053979677908e-07,0.761460801445585,0.596301887007653,1.42059082622912,197,ABCB7|NDUFA5|PHYH|NDUFA7|ISCU|ATP6V1D|NDUFB5|ATP6V1E1|TIMM10|ATP6V1G1|VDAC1|TIMM17A|UQCR10|TIMM13|MRPL15|SLC25A5|ATP5PF|COX11|RHOT1|TOMM70|CYCS|MRPS12|ISCA1|IDH3B|ATP5PB|UQCRFS1|ATP5PD|ATP5MC1|COX7C|MFN2|NDUFA6|ATP6AP1|MRPS11|UQCRH|COX15|COX7A2L|ATP5MF|MDH2|NDUFB1|NDUFA1|PDHB|BDH2|SDHC|NDUFV1|UQCR11|ATP5MC3|ATP6V1F|TIMM8B|MRPL35|DLD|COX4I1|NDUFB3|GRPEL1|ETFB|UQCRB|NDUFC2|ATP5MG|COX6C|COX7A2|MGST3|COX7B|ATP5F1E|ATP5MC2|COX6B1|NDUFC1|GPX4|NDUFS6|TIMM50|BAX|NNT|ATP5F1B|NDUFB2|UQCRQ|NDUFA8|LDHA|NDUFA4|NDUFB6|NDUFS1|ATP5ME|SLC25A6|SLC25A20|UQCRC2|HCCS|HSPA9|SLC25A11|AFG3L2|TOMM22|MPC1|VDAC2|IDH3A|ATP6V1C1|MRPL34|ATP5PO|SLC25A4|MRPL11|NDUFB8|TIMM9|NDUFA3|NDUFA2|NDUFB7|NDUFB4|ECHS1|MRPS22|MRPS30
KEGG_OXIDATIVE_PHOSPHORYLATION,2.94796624809595e-08,3.47860017275322e-06,0.73376198835648,0.634518679793145,1.48231565744685,110,ATP6V0E2|NDUFA5|NDUFA7|ATP6V1D|NDUFB5|PPA2|ATP6V1E1|ATP6V1G1|UQCR10|ATP5PF|COX11|ATP6V1G2|ATP5PB|UQCRFS1|ATP5PD|ATP5MC1|COX7C|NDUFA6|ATP6V0A1|ATP6AP1|UQCRH|COX15|COX7A2L|ATP5MF|NDUFB1|ATP6V1B2|NDUFA1|SDHC|NDUFV1|UQCR11|ATP5MC3|ATP6V1F|COX4I1|NDUFB3|NDUFS5|UQCRB|NDUFC2|COX7A1|ATP5MG|COX6C|COX7A2|COX7B|ATP5F1E|ATP5MC2|COX6B1|ATP6V1A|NDUFC1|NDUFS6|ATP5F1B|NDUFB2|UQCRQ|NDUFA8|NDUFA4|NDUFB6|NDUFS1|ATP5ME|UQCRC2|NDUFB10|ATP6V1E2|ATP6V1C1|ATP5PO|ATP6V0D1|NDUFB8|NDUFA3|NDUFA2|NDUFV3|NDUFB7|NDUFB4
KEGG_HUNTINGTONS_DISEASE,1.30912026310925e-06,0.000102984127364594,0.643551836150722,0.572364852299123,1.35682833764723,167,NDUFA5|NDUFA7|CREBBP|POLR2K|NDUFB5|EP300|POLR2E|VDAC1|UQCR10|SP1|DNAL4|PPARG|SLC25A5|ATP5PF|CYCS|POLR2D|ATP5PB|AP2M1|NRF1|UQCRFS1|ATP5PD|ATP5MC1|COX7C|NDUFA6|UQCRH|COX7A2L|NDUFB1|GRM5|PLCB4|NDUFA1|SDHC|NDUFV1|UQCR11|ATP5MC3|DCTN1|COX4I1|NDUFB3|NDUFS5|UQCRB|NDUFC2|COX7A1|COX6C|COX7A2|COX7B|ATP5F1E|POLR2C|ATP5MC2|COX6B1|NDUFC1|NDUFS6|DCTN2|BAX|CLTA|PLCB3|ATP5F1B|NDUFB2|UQCRQ|SOD1|NDUFA8|NDUFA4|NDUFB6|NDUFS1|GNAQ|POLR2I|SLC25A6|POLR2L|UQCRC2|NDUFB10|HDAC1|VDAC2|ATP5PO|CREB3L1|CLTC|SLC25A4|NDUFB8|AP2S1|NDUFA3|NDUFA2|NDUFV3|NDUFB7|NDUFB4
KEGG_RIBOSOME,3.56014527542807e-06,0.000210048571250256,0.627256739718528,0.635621832878297,1.469611419218,85,RSL24D1|RPL41|RPL26L1|RPSA|RPL15|RPL10A|RPL7A|RPS8|RPL39|RPL3|RPL36AL|RPL35A|RPL9|RPL29|RPL6|RPL24|RPS2|RPS27A|RPS4X|RPL36A|RPL34|RPL35|RPL17|RPS27|RPL23|RPS23|RPS15A|RPL22|RPS7|FAU|RPL27|RPL26|RPL11|RPS18|RPL12|RPL21|RPS28|RPL37|RPL38|RPS10|RPL32|RPL22L1|RPL18|RPL30|RPS25|RPL18A|RPS12|RPLP2|RPL7|RPS24|RPS13|RPS3A|RPS26|RPL10|RPL14|RPS29|RPS17|RPS3|RPL13|RPL27A|RPS15|RPL19|UBA52|RPL37A|RPL23A|RPL28|RPLP1|RPS16|RPL8|RPS21|RPS19|RPS27L|RPL36|RPL4|RPS5|RPL13A|RPLP0
KEGG_PARKINSONS_DISEASE,1.13235689079034e-05,0.000534472452453041,0.593325476396405,0.597473267664187,1.39350667889029,106,NDUFA5|NDUFA7|NDUFB5|VDAC1|UQCR10|SLC25A5|ATP5PF|CYCS|ATP5PB|UQCRFS1|ATP5PD|ATP5MC1|COX7C|NDUFA6|UQCRH|COX7A2L|NDUFB1|NDUFA1|SDHC|NDUFV1|UQCR11|PINK1|ATP5MC3|COX4I1|NDUFB3|NDUFS5|SEPTIN5|UQCRB|NDUFC2|COX7A1|COX6C|COX7A2|COX7B|ATP5F1E|ATP5MC2|COX6B1|NDUFC1|NDUFS6|ATP5F1B|NDUFB2|UQCRQ|PRKN|NDUFA8|NDUFA4|NDUFB6|NDUFS1|SLC25A6|UQCRC2|NDUFB10|VDAC2|ATP5PO|SLC25A4|NDUFB8|LRRK2|NDUFA3|NDUFA2|NDUFV3|NDUFB7|NDUFB4|UBE2G1
HALLMARK_MYC_TARGETS_V1,0.000100961609401092,0.00397115663644296,0.538434096309916,0.530434753947507,1.26393832543477,199,ODC1|POLE3|NPM1|ACP1|PSMD8|SNRPD1|VDAC1|PSMD7|PA2G4|SNRPB2|EIF3D|TXNL4A|SRM|NCBP2|SET|UBE2E1|TOMM70|NOP56|EEF1B2|MRPL9|NHP2|ERH|APEX1|MCM4|EIF2S1|RAN|SF3A1|LSM7|XRCC6|VBP1|EIF4H|RANBP1|LSM2|YWHAQ|FAM120A|NME1|RPL6|GSPT1|RPS2|RRP9|EXOSC7|PGK1|HNRNPA1|CCT4|IMPDH2|RPL34|SNRPA1|GNL3|NOP16|RPL22|PSMD3|NOLC1|H2AZ1|EIF3J|SNRPD3|LDHA|MRPS18B|DHX15|ILF2|RPS10|EIF2S2|RPL18|GLO1|POLD2|ETF1|KARS1|SSB|DDX21|AIMP2|ORC2|SNRPG|IARS1|RPL14|CTPS1|DDX18|RPS3|HSPD1|EIF4G2|CBX3|NDUFAB1|EIF1AX|PSMA7|PSMA1|CCT7|SSBP1|RSL1D1|PHB1|RUVBL2|SMARCC1|PSMB2|MCM7|PSMB3|GOT2|SERBP1|HSPE1|RACK1|MAD2L1|CANX|COPS5|USP1|PRPS2|HSP90AB1|PWP1|CYC1|RPS5|PRDX3|RPLP0|PSMC6|VDAC3|G3BP1|PTGES3|HPRT1|SLC25A3|YWHAE|COX5A
KEGG_ALZHEIMERS_DISEASE,0.000121299887990532,0.00408953908082364,0.538434096309916,0.550020848242887,1.2989146816259,149,NDUFA5|CHP1|NDUFA7|CALM3|CAPN2|NDUFB5|UQCR10|ATP5PF|ADAM10|CYCS|ATP5PB|UQCRFS1|ATP5PD|PSEN2|ATP5MC1|COX7C|NDUFA6|UQCRH|COX7A2L|IDE|NDUFB1|PLCB4|NDUFA1|SDHC|NDUFV1|UQCR11|ATP5MC3|COX4I1|NDUFB3|NDUFS5|UQCRB|NDUFC2|COX7A1|COX6C|COX7A2|COX7B|ITPR2|ATP5F1E|ATP5MC2|COX6B1|NDUFC1|NDUFS6|PLCB3|GSK3B|ATP5F1B|NDUFB2|UQCRQ|CALM2|NDUFA8|NDUFA4|NDUFB6|NDUFS1|GNAQ|UQCRC2|NDUFB10|ATP5PO|CACNA1C|NDUFB8|BACE1|ATF6|NDUFA3|NDUFA2|NDUFV3|NDUFB7|NDUFB4
KEGG_SPLICEOSOME,0.000182515170621471,0.00538419753333338,0.518848077743792,0.557964180912384,1.309884273958,126,SNRPE|SYF2|SNRPD1|PRPF4|ZMAT2|LSM3|PPIL1|THOC2|WBP11|SNRPB2|LSM5|BCAS2|TXNL4A|LSM4|SNRPC|SNU13|NCBP2|ACIN1|MAGOH|ALYREF|PRPF38B|SF3A1|LSM7|LSM2|SLU7|CWC15|CRNKL1|HNRNPA1|SNRPF|CCDC12|SRSF9|SNRPA1|PRPF40A|PPIH|SNRPD3|RBM8A|SNRPB|DHX15|PRPF19|SF3B5
HALLMARK_UV_RESPONSE_DN,0.000508320710397255,0.0133292986281947,0.477270815362862,0.541463626287658,1.27666501597485,142,IGF1R|PDGFRB|NFKB1|CDK13|TJP1|LAMC1|INPP4B|RGS4|AMPH|TGFBR3|NIPBL|TOGARAM1|NR3C1|PHF3|DYRK1A|PPARG|DLG1|SYNJ2|RND3|SCAF8|MIOS|CDC42BPA|AKT3|AGGF1|DLC1|SCN8A|ADD3|PLCB4|ATP2B4|ATRX|BMPR1A|RUNX1|MAGI2|PTPN21|PRKAR2B|LTBP1|ANXA4|PTEN|DUSP1|PIK3R3|COL11A1|GJA1|NFIB|SIPA1L1|IRS1|PIK3CD|SFMBT1|SDC2|ACVR2A|NOTCH2|ARHGEF9|SNAI2|FYN|CELF2|DBP|MMP16|CAP2|NEK7|DDAH1|DAB2
KEGG_PURINE_METABOLISM,0.0015002671684057,0.0354063051743746,0.45505986738723,0.527592542718868,1.24665335515803,151,POLE3|GMPR2|PRIM2|POLR2K|POLR2E|GDA|POLR3GL|PDE1C|ADCY9|POLR1E|AK5|POLR2D|NUDT2|POLD1|APRT|AK4|PRPS1|POLR3K|PDE10A|NME2|POLE|NME1|PDE11A|NT5C2|PNPT1|ADCY5|FHIT|ADCY1|IMPDH2|ENPP3|DGUOK|POLR2C|PDE4D|PFAS|POLR3D|POLR2I|PDE6H|POLR2L|PKM|POLE4|POLR1H|ITPA|RRM2B|POLD4|PDE1A|POLD2|NUDT9|RRM2|PAPSS1|GMPR|POLA1|NME7|GUCY1A2|PDE9A|POLR3A|GUK1|POLR3H|ENTPD4|PDE6G|POLR3F|PDE1B|ENTPD6|POLR2J
