"Ensembl","Gene_Symbols"
"ENSG00000187961","KLHL17"
"ENSG00000169962","TAS1R3"
"ENSG00000158292","GPR153"
"ENSG00000162511","LAPTM5"
"ENSG00000225828","FAM229A"
"ENSG00000162522","KIAA1522"
"ENSG00000243749","TMEM35B"
"ENSG00000171812","COL8A2"
"ENSG00000119535","CSF3R"
"ENSG00000182183","SHISAL2A"
"ENSG00000134709","HOOK1"
"ENSG00000117226","GBP3"
"ENSG00000197147","LRRC8B"
"ENSG00000116337","AMPD2"
"ENSG00000162777","DENND2D"
"ENSG00000092607","TBX15"
"ENSG00000184260","HIST2H2AC"
"ENSG00000159208","CIART"
"ENSG00000159409","CELF3"
"ENSG00000143520","FLG2"
"ENSG00000188643","S100A16"
"ENSG00000160678","S100A1"
"ENSG00000143545","RAB13"
"ENSG00000143630","HCN3"
"ENSG00000158714","SLAMF8"
"ENSG00000143315","PIGM"
"ENSG00000186517","ARHGAP30"
"ENSG00000203747","FCGR3A"
"ENSG00000162779","AXDND1"
"ENSG00000143340","FAM163A"
"ENSG00000116701","NCF2"
"ENSG00000230426","ERVMER61-1"
"ENSG00000170075","GPR37L1"
"ENSG00000163545","NUAK2"
"ENSG00000196550","FAM72A"
"ENSG00000263528","IKBKE"
"ENSG00000143816","WNT9A"
"ENSG00000135750","KCNK1"
"ENSG00000162843","WDR64"
"ENSG00000184731","FAM110C"
"ENSG00000118004","COLEC11"
"ENSG00000243819","RN7SL832P"
"ENSG00000115307","AUP1"
"ENSG00000115325","DOK1"
"ENSG00000152292","SH2D6"
"ENSG00000118640","VAMP8"
"ENSG00000115085","ZAP70"
"ENSG00000144191","CNGA3"
"ENSG00000170500","LONRF2"
"ENSG00000115526","CHST10"
"ENSG00000155368","DBI"
"ENSG00000155744","FAM126B"
"ENSG00000163249","CCNYL1"
"ENSG00000144579","CTDSP1"
"ENSG00000067066","SP100"
"ENSG00000153551","CMTM7"
"ENSG00000114405","C3orf14"
"ENSG00000231213","PLSCR5"
"ENSG00000168421","RHOH"
"ENSG00000109158","GABRA4"
"ENSG00000174799","CEP135"
"ENSG00000163749","CCDC158"
"ENSG00000138722","MMRN1"
"ENSG00000164164","OTUD4"
"ENSG00000170006","TMEM154"
"ENSG00000088926","F11"
"ENSG00000177721","ANXA2R"
"ENSG00000164220","F2RL2"
"ENSG00000170458","CD14"
"ENSG00000256235","SMIM3"
"ENSG00000172568","FNDC9"
"ENSG00000184845","DRD1"
"ENSG00000146094","DOK3"
"ENSG00000137273","FOXF2"
"ENSG00000112242","E2F3"
"ENSG00000079689","SCGN"
"ENSG00000274750","HIST1H3E"
"ENSG00000204625","HCG9"
"ENSG00000204540","PSORS1C1"
