Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,HEY1,0.016722253870164183,17.367441860465117,71.0504630711126,"['LAPTM5', 'GATA1']",0.6269663385452064,0,0,2
2,TAL1,0.0193927887777686,6.5327102803738315,25.757522823891147,"['GATA1', 'RCOR2', 'RUNX1']",0.6269663385452064,0,0,3
3,FOXP3,0.02044455451777847,3.096180652355729,12.044262605375364,"['SASH3', 'RRM2', 'GSN', 'SP110', 'LCP1', 'RUNX1']",0.6269663385452064,0,0,6
4,BMI1,0.052467567515413135,6.941395348837209,20.46017970401506,"['HIST2H2AC', 'RUNX1']",0.7302432564250444,0,0,2
5,TFEB,0.05489479595070905,inf,inf,['TFEC'],0.7302432564250444,0,0,1
6,PML,0.059904032049028694,2.5679800221975584,7.228893199550986,"['SP100', 'RNF125', 'UHRF1', 'SLC1A2', 'RUNX1']",0.7302432564250444,0,0,5
7,RNF2,0.06277366036053646,3.726969292389853,10.317069870530242,"['LCP1', 'RUNX1', 'HIST2H2AC']",0.7302432564250444,0,0,3
8,CBX3,0.0674772208349082,5.782945736434108,15.590620500387928,"['SP100', 'RUNX1']",0.7302432564250444,0,0,2
9,JUND,0.08369623971795917,4.9554817275747505,12.292375840511445,"['FOSB', 'BATF']",0.7302432564250444,0,0,2
10,SPI1,0.10478247506654641,2.8956386292834893,6.532180676925988,"['CSF3R', 'GATA1', 'RUNX1']",0.7302432564250444,0,0,3
11,SMAD4,0.11285264845784483,2.0743486073674755,4.525548912090819,"['SASH3', 'NUAK2', 'SERPINA1', 'RAB13', 'RHOJ']",0.7302432564250444,0,0,5
12,GFI1B,0.11907135952843623,3.8521963824289407,8.197598349678396,"['GATA1', 'RCOR2']",0.7302432564250444,0,0,2
13,JUNB,0.13791977825915655,3.466046511627907,6.866526098047492,"['FOSB', 'BATF']",0.7302432564250444,0,0,2
14,PHC1,0.15584695686497776,8.643518518518519,16.067270609963675,['RUNX1'],0.7302432564250444,0,0,1
15,PAX5,0.15584695686497776,8.643518518518519,16.067270609963675,['RUNX1'],0.7302432564250444,0,0,1
16,CEBPA,0.16852305900434078,2.2631044290938642,4.029870882237918,"['CSF3R', 'SP110', 'RUNX1']",0.7302432564250444,0,0,3
17,ETS1,0.17727090158548534,2.8868217054263567,4.9944215233848555,"['SP100', 'RUNX1']",0.7302432564250444,0,0,2
18,HDAC2,0.20125432577330224,1.670899854862119,2.678763034807751,"['UHRF1', 'FOSB', 'RCOR2', 'GATA1', 'RUNX1']",0.7302432564250444,0,0,5
19,PBX3,0.2022218845027395,5.760802469135802,9.208007597070555,['AGTRAP'],0.7302432564250444,0,0,1
20,USF2,0.2022218845027395,5.760802469135802,9.208007597070555,['S100A9'],0.7302432564250444,0,0,1
21,KRT7,0.2022218845027395,5.760802469135802,9.208007597070555,['LAPTM5'],0.7302432564250444,0,0,1
22,LMO4,0.2022218845027395,5.760802469135802,9.208007597070555,['MERTK'],0.7302432564250444,0,0,1
23,KAT2A,0.21807744553581715,2.473089700996678,3.7662807317603,"['HSD11B2', 'HIST2H2AC']",0.7302432564250444,0,0,2
24,MYB,0.23878462000277628,2.3075968992248064,3.3049248294461804,"['SP100', 'RUNX1']",0.7302432564250444,0,0,2
25,HCFC1,0.23878462000277628,2.3075968992248064,3.3049248294461804,"['EGR2', 'RUNX1']",0.7302432564250444,0,0,2
26,ESR2,0.24178399575904397,1.5498652291105122,2.2003599872746538,"['FLG', 'SMTN', 'GSN', 'TRIM59', 'NEFH']",0.7302432564250444,0,0,5
27,NR4A2,0.24606022770843886,4.319444444444445,6.056634053804337,['RUNX1'],0.7302432564250444,0,0,1
28,FLI1,0.24606022770843886,4.319444444444445,6.056634053804337,['RUNX1'],0.7302432564250444,0,0,1
29,IRF4,0.24606022770843886,4.319444444444445,6.056634053804337,['BATF'],0.7302432564250444,0,0,1
30,IKZF1,0.24606022770843886,4.319444444444445,6.056634053804337,['GATA1'],0.7302432564250444,0,0,1
31,ZZZ3,0.24606022770843886,4.319444444444445,6.056634053804337,['GATA1'],0.7302432564250444,0,0,1
32,TCF3,0.26869367037710273,1.5757575757575757,2.0708343225911894,"['FLG2', 'SERPINA1', 'GATA1', 'RUNX1']",0.733020576453192,0,0,4
33,TCOF1,0.2875001217591763,3.4546296296296295,4.306306365018939,['S100A16'],0.733020576453192,0,0,1
34,TCF12,0.2875001217591763,3.4546296296296295,4.306306365018939,['RUNX1'],0.733020576453192,0,0,1
35,SMARCC2,0.3011793595426303,1.9214470284237726,2.3058311860788554,"['GATA1', 'RUNX1']",0.733020576453192,0,0,2
36,SMARCC1,0.3011793595426303,1.9214470284237726,2.3058311860788554,"['GATA1', 'RUNX1']",0.733020576453192,0,0,2
37,SMARCB1,0.3011793595426303,1.9214470284237726,2.3058311860788554,"['GATA1', 'RUNX1']",0.733020576453192,0,0,2
38,SUZ12,0.32667221341935726,2.878086419753086,3.2199973770866475,['UHRF1'],0.733020576453192,0,0,1
39,CBFB,0.32667221341935726,2.878086419753086,3.2199973770866475,['RUNX1'],0.733020576453192,0,0,1
40,TAF7,0.32667221341935726,2.878086419753086,3.2199973770866475,['GATA1'],0.733020576453192,0,0,1
41,LMO2,0.32667221341935726,2.878086419753086,3.2199973770866475,['GATA1'],0.733020576453192,0,0,1
42,CREB1,0.36269428700762124,1.64562569213732,1.6689853226815408,"['ZNF436', 'GATA1']",0.7435645764861808,0,0,2
43,E2F2,0.3637000645856319,2.4662698412698414,2.494448822453133,['GATA1'],0.7435645764861808,0,0,1
44,GATA2,0.3637000645856319,2.4662698412698414,2.494448822453133,['RUNX1'],0.7435645764861808,0,0,1
45,RUNX3,0.3637000645856319,2.4662698412698414,2.494448822453133,['SP110'],0.7435645764861808,0,0,1
46,CREM,0.39870053471791517,2.1574074074074074,1.9838325115002808,['SP100'],0.7880417486746936,0,0,1
47,NOTCH1,0.40258654551859346,1.5017189079878666,1.3663317181292867,"['DTX3L', 'RUNX1']",0.7880417486746936,0,0,2
48,NFATC1,0.4317841426218178,1.9171810699588476,1.6101051915392632,['EGR2'],0.8275862733584841,0,0,1
49,STAT3,0.445494428682681,1.1908693540553668,0.9629018741917638,"['CCR1', 'HCK', 'CSF3R', 'GATA1']",0.8364385191593195,0,0,4
50,TRIM28,0.5142607797358705,1.189093825180433,0.79077686973467,"['UHRF1', 'TNFRSF10D']",0.8748700359886314,0,0,2
51,CTCF,0.5205509351771469,1.4367283950617284,0.9379933294057371,['HIST2H2AC'],0.8748700359886314,0,0,1
52,CHD1,0.5205509351771469,1.4367283950617284,0.9379933294057371,['MRC1'],0.8748700359886314,0,0,1
53,MITF,0.5205509351771469,1.4367283950617284,0.9379933294057371,['TFEC'],0.8748700359886314,0,0,1
54,GTF2B,0.5469570761629364,1.3258547008547008,0.800000773714885,['FOXF2'],0.8748700359886314,0,0,1
55,RARA,0.5483385786186421,1.1117779444861215,0.6680254957574754,"['NRIP2', 'RUNX1']",0.8748700359886314,0,0,2
56,EP300,0.5556037548556013,1.0130410654827968,0.5953641429349289,"['HIST1H1D', 'FOSB', 'GATA1', 'HIST2H2AC', 'RUNX1']",0.8748700359886314,0,0,5
57,JUN,0.5635178108686701,1.0334579439252336,0.5927463542355725,"['FOSB', 'BATF', 'RUNX1']",0.8748700359886314,0,0,3
58,SMARCA4,0.5647415710024205,1.0767441860465117,0.6152376829168505,"['GATA1', 'RUNX1']",0.8748700359886314,0,0,2
59,EZH2,0.5719152020795784,1.2308201058201058,0.6877386385037279,['UHRF1'],0.8748700359886314,0,0,1
60,GATA1,0.5955043690753995,1.1484567901234568,0.5952986188838377,['RUNX1'],0.8748700359886314,0,0,1
61,FOS,0.5962548690605759,1.0128590971272229,0.5237363435386211,"['RUNX1', 'BATF']",0.8748700359886314,0,0,2
62,TBP,0.6177993360794835,1.0763888888888888,0.5183798183223217,['FOXF2'],0.8748700359886314,0,0,1
63,MAX,0.6177993360794835,1.0763888888888888,0.5183798183223217,['PLIN3'],0.8748700359886314,0,0,1
64,NCOA1,0.6177993360794835,1.0763888888888888,0.5183798183223217,['PSMB9'],0.8748700359886314,0,0,1
65,SMAD2,0.6181146993397939,0.9423114026625506,0.45332833910345005,"['NUAK2', 'RHOJ', 'PLIN3', 'RUNX1']",0.8748700359886314,0,0,4
66,STAT5B,0.6388707974394376,1.0127995642701526,0.45378792366086174,['HCK'],0.890547172188307,0,0,1
67,VDR,0.6587856029053119,0.956275720164609,0.39910849429377965,['RUNX1'],0.9046011263774432,0,0,1
68,SMC3,0.6953946596074636,0.8601851851851852,0.3124844088559578,['MRC1'],0.9115430105989767,0,0,1
69,TP63,0.7122052050231,0.8190035273368607,0.2779609517699914,['HIST1H1D'],0.9115430105989767,0,0,1
70,AR,0.7169102410756216,0.7989183342347215,0.2658837230246625,"['GSN', 'RUNX1']",0.9115430105989767,0,0,2
71,NCOR1,0.7280920457180537,0.7815656565656566,0.24801251219174986,['RUNX1'],0.9115430105989767,0,0,1
72,YAP1,0.7280920457180537,0.7815656565656566,0.24801251219174986,['RUNX1'],0.9115430105989767,0,0,1
73,RUNX1,0.7280920457180537,0.7815656565656566,0.24801251219174986,['GATA1'],0.9115430105989767,0,0,1
74,SP1,0.7392316406251521,0.7629974160206718,0.23053505746132422,"['GATA1', 'RUNX1']",0.9115430105989767,0,0,2
75,NANOG,0.7431057151622094,0.7473832528180354,0.2219107655304112,['UHRF1'],0.9115430105989767,0,0,1
76,TAF1,0.7707020611774811,0.6872222222222222,0.1789893724282527,['MRC1'],0.915695170223939,0,0,1
77,CCND1,0.7707020611774811,0.6872222222222222,0.1789893724282527,['RUNX1'],0.915695170223939,0,0,1
78,HSF1,0.7833726317376282,0.6606125356125356,0.16128643237828325,['PLIN3'],0.915695170223939,0,0,1
79,POU5F1,0.7973873001185624,0.6721386228910169,0.1521821122308954,"['RCOR2', 'HIST1H3E']",0.915695170223939,0,0,2
80,CEBPB,0.8066606321858012,0.6130952380952381,0.13172487867117033,['RUNX1'],0.915695170223939,0,0,1
81,STAT1,0.827455382977114,0.5719135802469136,0.10832048416404431,['CCR1'],0.915695170223939,0,0,1
82,RAD21,0.8368012968011103,0.6112956810631229,0.10891371766213072,"['HIST1H1D', 'S100A9']",0.915695170223939,0,0,2
83,BRCA1,0.8368012968011103,0.6112956810631229,0.10891371766213072,"['LDHC', 'HIST2H2AC']",0.915695170223939,0,0,2
84,MYC,0.8439552157534916,0.7214141414141414,0.12239212770255033,"['TRPM1', 'HCK', 'SMTN', 'FRMD6', 'CYBA', 'RBMS2', 'RUNX1']",0.915695170223939,0,0,7
85,POLR2A,0.8460227116199437,0.5358796296296297,0.08960393656534416,['PSMB9'],0.915695170223939,0,0,1
86,TP53,0.8892235045514602,0.607645875251509,0.07134167502930916,"['RRM2', 'PTTG1', 'TNFAIP3', 'AGT']",0.9310950579852224,0,0,4
87,SMAD1,0.890612664159778,0.4505360623781676,0.05219265037848077,['RUNX1'],0.9310950579852224,0,0,1
88,SIN3A,0.890612664159778,0.4505360623781676,0.05219265037848077,['RUNX1'],0.9310950579852224,0,0,1
89,HTT,0.9046821303229196,0.5017783857729138,0.05026396090544367,"['SLC1A2', 'NPTN']",0.9351770335922315,0,0,2
90,SMAD3,0.9372164838682893,0.4420416792509816,0.0286624174879086,"['F2RL2', 'RUNX1']",0.9532216637050339,0,0,2
91,CTNNB1,0.9428605586647618,0.43061524874889606,0.025336056512478573,"['SPN', 'WNT9A']",0.9532216637050339,0,0,2
92,ESR1,0.968779716090183,0.49472807991120976,0.015691797167161504,"['GSN', 'DSG1', 'TRIM59', 'SLC1A5', 'PSMB9']",0.968779716090183,0,0,5
