Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Interferon Gamma Response,7.338458342103917e-07,2.2050111522652562,31.145709463866613,"['IFITM3', 'CD86', 'SAMD9L', 'IFITM2', 'SECTM1', 'TNFAIP3', 'IFI30', 'IFI44L', 'IFIH1', 'CASP7', 'CASP4', 'TNFSF10', 'EPSTI1', 'PIM1', 'CASP1', 'CD38', 'CMKLR1', 'GBP6', 'BATF2', 'IL4R', 'SP110', 'IL15', 'BPGM', 'PLSCR1', 'ARL4A', 'LATS2', 'IFI27', 'OAS2', 'OAS3', 'IRF7', 'TRIM14', 'TXNIP', 'CMPK2', 'IRF8', 'LCP2', 'VAMP5', 'LY6E', 'CFH', 'C1R', 'MVP', 'FGL2', 'NLRC5', 'CSF2RB', 'DDX60', 'HELZ2', 'SOCS3', 'KLRK1', 'APOL6', 'FCGR1A', 'CD74', 'IL10RA', 'P2RY14', 'MX2', 'LYSMD2', 'IFI44', 'NMI', 'PARP14', 'PARP12', 'PSMB9', 'BST2', 'SELP', 'NFKBIA', 'IL7', 'PTPN6', 'XAF1', 'GPR18', 'HLA-DRB1']",2.374222053842016e-05,0,0,67
2,KRAS Signaling Up,1.039980457509052e-06,2.190857336114086,30.181926839411158,"['SERPINA3', 'NRP1', 'SPON1', 'ITGB2', 'F13A1', 'TNFAIP3', 'IKZF1', 'TMEM100', 'C3AR1', 'CD37', 'SOX9', 'SCN1B', 'CMKLR1', 'ST6GAL1', 'FCER1G', 'ITGA2', 'ETV1', 'BPGM', 'TNFRSF1B', 'ETV4', 'DUSP6', 'ETV5', 'ALDH1A3', 'RBP4', 'GPRC5B', 'PCP4', 'ALDH1A2', 'HKDC1', 'MALL', 'SCG5', 'PECAM1', 'IRF8', 'LCP1', 'TRIB1', 'TRIB2', 'ENG', 'PPP1R15A', 'TPH1', 'GYPC', 'CFH', 'USH1C', 'CXCR4', 'LY96', 'TFPI', 'CSF2RA', 'PCSK1N', 'IL1RL2', 'RELN', 'GPNMB', 'SPP1', 'APOD', 'IL33', 'JUP', 'PRRX1', 'TMEM176B', 'IL10RA', 'TMEM176A', 'LAPTM5', 'NAP1L2', 'KLF4', 'GNG11', 'YRDC', 'TMEM158', 'MAFB', 'TSPAN13', 'ITGBL1']",2.374222053842016e-05,0,0,66
3,TNF-alpha Signaling via NF-kB,1.4475383416753694e-06,2.147974881250294,28.880910170139618,"['TNFAIP8', 'CD83', 'CSF1', 'CD80', 'PLEK', 'TNC', 'TNFAIP3', 'CXCL1', 'SLC2A3', 'LITAF', 'ETS2', 'IFIH1', 'ZFP36', 'KYNU', 'SLC16A6', 'MAP3K8', 'CCN1', 'PHLDA2', 'JUNB', 'IER5', 'DUSP4', 'KLF10', 'DUSP5', 'DUSP2', 'SERPINB2', 'TUBB2A', 'TRIB1', 'PLPP3', 'SGK1', 'FJX1', 'CD44', 'TLR2', 'PPP1R15A', 'CEBPB', 'SDC4', 'CEBPD', 'RELB', 'SOCS3', 'SNN', 'NFIL3', 'DNAJB4', 'HES1', 'MSC', 'PDLIM5', 'STAT5A', 'ABCA1', 'EGR1', 'JUN', 'EGR2', 'EGR3', 'LAMB3', 'PLK2', 'CFLAR', 'KLF4', 'FOSL2', 'VEGFA', 'NFKBIA', 'NR4A1', 'YRDC', 'NR4A3', 'BCL6', 'BHLHE40', 'TRIP10', 'TNFSF9', 'FOSB', 'PTX3', 'NFKBIE']",2.374222053842016e-05,0,0,67
4,Interferon Alpha Response,1.899377643073613e-06,2.859793500853372,37.67487462922792,"['IFITM3', 'SAMD9L', 'IFITM2', 'CSF1', 'UBA7', 'SAMD9', 'GMPR', 'IFI30', 'DDX60', 'IFI44L', 'HELZ2', 'IFIH1', 'LAMP3', 'EPSTI1', 'CASP1', 'GBP2', 'BATF2', 'CD74', 'IL4R', 'SP110', 'IL15', 'IFI44', 'NMI', 'TENT5A', 'PARP14', 'PARP9', 'PARP12', 'PSMB9', 'BST2', 'PLSCR1', 'ELF1', 'IFI27', 'OAS1', 'IL7', 'IRF7', 'CMPK2', 'TRIM14', 'TXNIP', 'LY6E']",2.374222053842016e-05,0,0,39
5,IL-6/JAK/STAT3 Signaling,2.588444534856354e-06,3.1618539189517105,40.67552248762288,"['ACVRL1', 'CSF3R', 'CSF1', 'EBI3', 'CXCL1', 'CSF2RB', 'CXCL13', 'CSF2RA', 'PIK3R5', 'SOCS3', 'LEPR', 'PIM1', 'CD38', 'HMOX1', 'MAP3K8', 'CD14', 'IL13RA1', 'CCR1', 'JUN', 'IL4R', 'TNFRSF12A', 'IL1R1', 'IL1R2', 'OSMR', 'TNFRSF1B', 'IL17RB', 'IL17RA', 'IL7', 'LTB', 'LTBR', 'CD44', 'IL18R1', 'TLR2']",2.588444534856354e-05,0,0,33
6,Inflammatory Response,4.751181513097421e-06,2.167153888426217,26.563059268596895,"['NPFFR2', 'CSF3R', 'CSF1', 'ATP2A2', 'SLC4A4', 'CX3CL1', 'ADGRE1', 'GPR132', 'LAMP3', 'STAB1', 'CLEC5A', 'C3AR1', 'TNFSF10', 'ITGB8', 'ROS1', 'SCN1B', 'CMKLR1', 'PTGIR', 'IL4R', 'IL1R1', 'IL15', 'CYBB', 'EMP3', 'OSMR', 'TNFRSF1B', 'TLR1', 'MMP14', 'ADORA2B', 'IRF7', 'LCP2', 'TLR3', 'CHST2', 'TLR2', 'LY6E', 'CALCRL', 'EBI3', 'PTAFR', 'C5AR1', 'LPAR1', 'SLC1A2', 'NOD2', 'SLC7A2', 'PIK3R5', 'HAS2', 'CD14', 'LYN', 'ABCA1', 'IL10RA', 'TPBG', 'NMI', 'SELE', 'BST2', 'NFKBIA', 'P2RX7', 'AXL', 'TNFSF9', 'SLC28A2', 'VIP', 'IL18R1']",3.9593179275811846e-05,0,0,59
7,Pancreas Beta Cells,1.2622949594070252e-05,5.2804500903987055,59.563445360141046,"['CHGA', 'PCSK1', 'PKLR', 'VDR', 'PAX6', 'SYT13', 'SRP14', 'FOXO1', 'GCK', 'SRP9', 'NEUROD1', 'SCGN', 'SPCS1', 'MAFB', 'SST', 'INSM1', 'NKX2-2']",9.016392567193038e-05,0,0,17
8,IL-2/STAT5 Signaling,5.241982035372655e-05,1.9191197728007074,18.915277793271024,"['IFITM3', 'CD86', 'NRP1', 'CD83', 'CSF1', 'GPR65', 'RORA', 'SLC2A3', 'PTH1R', 'IKZF2', 'HK2', 'SHE', 'SPRED2', 'CCND3', 'TNFSF10', 'PIM1', 'MAP3K8', 'TGM2', 'GABARAPL1', 'PRKCH', 'IL4R', 'CISH', 'GPX4', 'IL1R2', 'FLT3LG', 'RHOH', 'TNFRSF1B', 'ETV4', 'PLSCR1', 'ARL4A', 'IRF8', 'TLR7', 'ITGA6', 'LTB', 'CD44', 'ITIH5', 'AHCY', 'AHNAK', 'ODC1', 'FGL2', 'CAPG', 'GPR83', 'SLC1A5', 'GATA1', 'IL1RL1', 'MUC1', 'NFIL3', 'PENK', 'SPP1', 'PRNP', 'XBP1', 'IL10RA', 'PTCH1', 'PRAF2', 'SPRY4', 'BATF', 'SELP', 'MYO1E', 'BHLHE40', 'IL18R1', 'F2RL2']",0.00032762387721079096,0,0,61
9,Epithelial Mesenchymal Transition,0.0002095035818123621,1.7971194624089162,15.222985128616294,"['OXTR', 'ECM2', 'ITGB5', 'WIPF1', 'TNC', 'TNFAIP3', 'LAMC2', 'CXCL1', 'ENO2', 'FGF2', 'LOXL1', 'RGS4', 'GJA1', 'CCN1', 'TGM2', 'PDGFRB', 'TNFRSF12A', 'IL15', 'MMP2', 'ITGA2', 'IGFBP2', 'BGN', 'EMP3', 'DKK1', 'ACTA2', 'TGFBR3', 'SFRP4', 'MMP14', 'VCAN', 'COL8A2', 'MYL9', 'SCG2', 'CD44', 'PFN2', 'NOTCH2', 'SDC4', 'PCOLCE2', 'HTRA1', 'CAPG', 'FBLN1', 'TNFRSF11B', 'THY1', 'THBS1', 'SERPINH1', 'SPP1', 'MSX1', 'JUN', 'MAGEE1', 'PRRX1', 'VEGFC', 'VEGFA', 'COL3A1', 'DAB2', 'COL1A2', 'FAP', 'COL5A3', 'SDC1', 'PTX3', 'TGFBI', 'VIM', 'SNTB1']",0.0011639087878464562,0,0,61
10,Hypoxia,0.00028873648253876653,1.7689837319115844,14.417210535400182,"['SRPX', 'TES', 'CDKN1B', 'CITED2', 'TNFAIP3', 'PYGM', 'RORA', 'SLC2A3', 'ENO2', 'SLC2A5', 'HK2', 'ZFP36', 'CASP6', 'STBD1', 'PIM1', 'IDS', 'CCN1', 'TGM2', 'TPI1', 'BGN', 'MIF', 'ADORA2B', 'DDIT3', 'ALDOC', 'S100A4', 'KDELR3', 'ALDOB', 'ALDOA', 'GAPDH', 'CHST2', 'CHST3', 'TMEM45A', 'PPP1R15A', 'LXN', 'SDC4', 'STC1', 'CXCR4', 'EGFR', 'PLAC8', 'LDHC', 'LDHA', 'PRDX5', 'NFIL3', 'STC2', 'HAS1', 'PGK1', 'HMOX1', 'GPC4', 'JUN', 'PKLR', 'CAVIN1', 'HSPA5', 'TPBG', 'B3GALT6', 'CP', 'GCK', 'FOSL2', 'VEGFA', 'EFNA3', 'BHLHE40', 'TGFBI']",0.0014436824126938326,0,0,61
11,Complement,0.00048161106859000554,1.7613257506151214,13.453664257661218,"['FCN1', 'DGKG', 'CDA', 'CPM', 'GMFB', 'SERPINA1', 'ITGAM', 'CPQ', 'PLEK', 'TNFAIP3', 'CXCL1', 'C4BPB', 'DOCK10', 'LGALS3', 'CASP7', 'CASP5', 'CASP10', 'KYNU', 'CASP4', 'TIMP2', 'PIM1', 'CASP1', 'DUSP5', 'SERPINB2', 'FCER1G', 'CR1', 'HPCAL4', 'DUSP6', 'F5', 'F7', 'MMP14', 'PLSCR1', 'IRF7', 'LCP2', 'S100A9', 'C1QA', 'CEBPB', 'CFH', 'C1R', 'PLG', 'PIK3R5', 'C3', 'C9', 'LYN', 'APOBEC3F', 'HSPA5', 'KCNIP3', 'PRSS36', 'CP', 'PSMB9', 'PDP1', 'APOC1', 'CALM3', 'CALM1', 'C1QC', 'CDK5R1', 'HSPA1A']",0.002189141220863662,0,0,57
12,KRAS Signaling Dn,0.0013082088092955708,1.7575223637842234,11.668360395778008,"['RYR1', 'CALCB', 'CD80', 'SERPINA10', 'ARHGDIG', 'TFCP2L1', 'CCDC106', 'ABCB11', 'KLK7', 'IFI44L', 'LFNG', 'NUDT11', 'HSD11B2', 'SNN', 'CHRNG', 'NRIP2', 'EFHD1', 'CACNG1', 'PRODH', 'SLC38A3', 'BARD1', 'SLC12A3', 'TCF7L1', 'SERPINB2', 'CKM', 'SLC30A3', 'IGFBP2', 'HTR1D', 'NGB', 'COPZ2', 'KRT5', 'TEX15', 'GPR3', 'WNT16', 'SOX10', 'DLK2', 'CYP39A1', 'TG', 'IL5', 'ACTC1', 'STAG3', 'SELENOP', 'SGK1', 'BMPR1B', 'GPRC5C', 'CHST2', 'ATP6V1B1', 'MYH7']",0.005450870038731546,0,0,48
13,Estrogen Response Late,0.0029750207095701814,1.61333179457588,9.38556461808332,"['SERPINA3', 'SERPINA1', 'LAMC2', 'CXCL14', 'AFF1', 'ZFP36', 'CYP26B1', 'TRIM29', 'CDH1', 'DUSP2', 'CISH', 'DYNLT3', 'MYOF', 'EMP2', 'LSR', 'PDZK1', 'PRLR', 'IL17RB', 'OLFM1', 'PCP4', 'RAB31', 'TST', 'PPIF', 'PGR', 'PKP3', 'SGK1', 'FKBP4', 'NBL1', 'S100A9', 'CD44', 'LLGL2', 'PTGES', 'FKBP5', 'TSTA3', 'FOXC1', 'IGSF1', 'TMPRSS3', 'ASCL1', 'ALDH3B1', 'MICB', 'XBP1', 'TFAP2C', 'EGR3', 'TPBG', 'CYP4F11', 'TPD52L1', 'KLF4', 'KLK10', 'BATF', 'TSPAN13', 'GJB3', 'NMU', 'PLXNB1', 'PTPN6']",0.010847680509645768,0,0,54
14,Allograft Rejection,0.0031019933710131386,1.6833226094122162,9.722383819648735,"['CD86', 'CSF1', 'CD80', 'GPR65', 'NCF4', 'ITGB2', 'CAPG', 'THY1', 'CXCL13', 'EGFR', 'CCND3', 'HLA-DMB', 'STAB1', 'HLA-DOA', 'GBP2', 'ELANE', 'LYN', 'CCR1', 'SRGN', 'CD74', 'FYB1', 'IL4R', 'IL15', 'CDKN2A', 'INHBB', 'CARTPT', 'HLA-E', 'TLR1', 'FGR', 'ZAP70', 'PTPRC', 'CD8B', 'IL7', 'ELF4', 'IRF7', 'HCLS1', 'HLA-DRA', 'IRF8', 'KLRD1', 'LCP2', 'PTPN6', 'TLR6', 'LTB', 'CD247', 'TLR3', 'TLR2']",0.010847680509645768,0,0,46
15,Coagulation,0.0032543041528937306,1.814549911564837,10.393336893321353,"['C1QA', 'SERPINA1', 'CFH', 'WDR1', 'PEF1', 'CPQ', 'C1R', 'CFI', 'PLEK', 'PROZ', 'HTRA1', 'PLG', 'THBS1', 'C3', 'THBD', 'C9', 'P2RY1', 'SERPINB2', 'GSN', 'VWF', 'MMP2', 'ITGA2', 'F12', 'F11', 'APOA1', 'GNG12', 'DUSP6', 'TF', 'MMP14', 'APOC2', 'APOC1', 'PECAM1', 'MASP2', 'ISCU', 'RAPGEF3', 'F2RL2']",0.010847680509645768,0,0,36
16,Apoptosis,0.016590221855661922,1.5123886890129747,6.199193218288966,"['IFITM3', 'CDKN1B', 'LEF1', 'HSPB1', 'NEDD9', 'ENO2', 'LGALS3', 'BCL2L10', 'CASP7', 'ERBB3', 'CASP6', 'CASP4', 'PEA15', 'TNFSF10', 'TIMP2', 'CASP1', 'PMAIP1', 'HMOX1', 'CD38', 'IGFBP6', 'CD14', 'NEFH', 'PDGFRB', 'BCAP31', 'JUN', 'EGR3', 'GSN', 'TNFRSF12A', 'GPX4', 'GPX3', 'BIK', 'HGF', 'MMP2', 'BGN', 'CFLAR', 'TGFBR3', 'DNAJA1', 'DDIT3', 'CDK2', 'PPT1', 'TXNIP', 'BCL2L2', 'CD44']",0.051844443298943506,0,0,43
17,Hedgehog Signaling,0.02265892234132124,2.1983435725950695,8.32557025649633,"['NRP1', 'PTCH1', 'PLG', 'THY1', 'GLI1', 'L1CAM', 'ETS2', 'VEGFA', 'HEY1', 'OPHN1', 'HEY2', 'SCG2', 'CDK5R1']",0.06664388923918012,0,0,13
