Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,IL-6/JAK/STAT3 Signaling,7.457650162914322e-07,5.555555555555555,78.38252932182976,"['ACVRL1', 'IL4R', 'IL1R2', 'CXCL1', 'OSMR', 'TNFRSF1B', 'IL17RB', 'SOCS3', 'IL1B', 'LEPR', 'HMOX1', 'LTB', 'CD44', 'IL18R1', 'TLR2']",3.654248579828018e-05,0,0,15
2,TNF-alpha Signaling via NF-kB,3.867195530488318e-05,2.8747914581247915,29.209019315027,"['DUSP4', 'EGR1', 'EGR2', 'CDKN1A', 'DUSP2', 'TNFAIP8', 'EGR3', 'GADD45B', 'BCL2A1', 'CXCL1', 'KLF4', 'SOCS3', 'NR4A1', 'ZFP36', 'SNN', 'NR4A3', 'IL1B', 'TRIP10', 'CCL2', 'PHLDA2', 'CD44', 'TLR2']",0.000947462904969638,0,0,22
3,Estrogen Response Late,0.0015195458097201282,2.3541374474053294,15.276807244361946,"['SERPINA3', 'DUSP2', 'FOXC1', 'EGR3', 'CISH', 'MYOF', 'EMP2', 'PDZK1', 'KLF4', 'PRLR', 'IL17RB', 'ZFP36', 'PCP4', 'CYP26B1', 'SFN', 'PGR', 'CD44', 'FKBP5']",0.019820649254736398,0,0,18
4,IL-2/STAT5 Signaling,0.001618012184060114,2.3394563918757467,15.034649687765247,"['ITIH5', 'PRKCH', 'IL4R', 'GADD45B', 'CISH', 'IL1R2', 'GPR65', 'SPRY4', 'TNFRSF1B', 'SELP', 'SHE', 'SPRED2', 'IL1RL1', 'PENK', 'LTB', 'CD44', 'IL18R1', 'TGM2']",0.019820649254736398,0,0,18
5,Oxidative Phosphorylation,0.019625950111697193,1.853983677217721,7.287829262973979,"['ATP6AP1', 'NDUFA4', 'MRPS12', 'ATP5MC3', 'UQCR11', 'COX7A2', 'UQCR10', 'TIMM10', 'COX7C', 'ATP5MC1', 'LDHA', 'UQCRQ', 'PDK4', 'CYCS', 'SLC25A5', 'ISCU']",0.16965999062531587,0,0,16
6,Estrogen Response Early,0.020774692729630517,1.8829810259000073,7.294705643181283,"['FOXC1', 'EGR3', 'CISH', 'MYOF', 'PDZK1', 'KLF4', 'AQP3', 'IL17RB', 'CYP26B1', 'PMAIP1', 'SFN', 'PGR', 'CD44', 'TGM2', 'FKBP5']",0.16965999062531587,0,0,15
7,Inflammatory Response,0.0345792177367563,1.8387309205066213,6.18641463328727,"['CDKN1A', 'IL4R', 'NOD2', 'OSMR', 'TNFRSF1B', 'SELE', 'IL1B', 'CCL2', 'VIP', 'SCN1B', 'IL18R1', 'TLR2', 'LY6E']",0.2420545241572941,0,0,13
8,Interferon Gamma Response,0.039675334756351856,1.7550994268148195,5.663750737248618,"['GBP6', 'CDKN1A', 'IFITM2', 'IL4R', 'VCAM1', 'CFH', 'SECTM1', 'SELP', 'SOCS3', 'CASP4', 'CASP1', 'CCL2', 'GPR18', 'LY6E']",0.2430114253826551,0,0,14
9,Allograft Rejection,0.07902338646520328,1.677471400662863,4.257441603676651,"['FGR', 'IL4R', 'IL1B', 'GPR65', 'CCL2', 'KLRD1', 'THY1', 'CARTPT', 'LTB', 'RPL9', 'TLR2']",0.4302384374216623,0,0,11
10,Epithelial Mesenchymal Transition,0.09307030316147447,1.5523631508678237,3.685931257045495,"['VCAM1', 'GADD45B', 'BDNF', 'CXCL1', 'THY1', 'DKK1', 'LOXL1', 'RGS4', 'VCAN', 'MYL9', 'CD44', 'PFN2', 'TGM2']",0.4560444854912249,0,0,13
11,KRAS Signaling Up,0.12230612523888094,1.5003592814371258,3.152597163006493,"['SERPINA3', 'PCP4', 'CFH', 'GPNMB', 'IL1B', 'PECAM1', 'TNFRSF1B', 'TFPI', 'KLF4', 'SCN1B', 'DUSP6', 'ETV5']",0.5448181942459241,0,0,12
12,Pancreas Beta Cells,0.14641386420169608,2.402097902097902,4.615193891681325,"['PCSK1', 'SCGN', 'SST']",0.5511440321971823,0,0,3
13,Apoptosis,0.1481454201698439,1.5008418796877392,2.865948998911423,"['CDKN1A', 'EGR3', 'GADD45B', 'IL1B', 'CASP4', 'LEF1', 'CASP1', 'PMAIP1', 'HMOX1', 'CD44']",0.5511440321971823,0,0,10
14,Angiogenesis,0.15746972348490923,2.312984921680574,4.2756036777028,"['VCAN', 'STC1', 'PGLYRP1']",0.5511440321971823,0,0,3
15,Notch Signaling,0.18030060442455426,2.153196129208123,3.6887044465504824,"['NOTCH3', 'HEYL', 'MAML2']",0.5889819744535439,0,0,3
16,Spermatogenesis,0.22122130166153237,1.458132450331126,2.1997265317718164,"['LDHC', 'POMC', 'ADCYAP1', 'SHE', 'GSG1', 'PAPOLB', 'ZPBP']",0.6671579405386909,0,0,7
17,Apical Junction,0.23146295896240296,1.3176530908979598,1.9281684427938228,"['CLDN5', 'VCAN', 'VCAM1', 'VWF', 'ICAM2', 'PECAM1', 'THY1', 'MYL9', 'CD34', 'ACTG1', 'YWHAH']",0.6671579405386909,0,0,11
18,Hypoxia,0.25785565974345626,1.2804380007290093,1.735448442100677,"['LDHC', 'LDHA', 'CDKN1A', 'ZFP36', 'LXN', 'TPI1', 'STC1', 'HMOX1', 'ALDOB', 'ALDOA', 'TGM2']",0.6929439179335221,0,0,11
19,Adipogenesis,0.2686925396068759,1.2661276677137665,1.6639291904159503,"['ITIH5', 'CAVIN2', 'UQCRQ', 'DDT', 'LEP', 'SQOR', 'CHCHD10', 'DNAJB9', 'UQCR11', 'UQCR10', 'ALDOA']",0.6929439179335221,0,0,11
20,KRAS Signaling Dn,0.3843891961933743,1.171965479881944,1.120515853004348,"['CYP39A1', 'HSD11B2', 'SLC12A3', 'SNN', 'CKM', 'KRT5', 'GPR3', 'ATP6V1B1']",0.8160898750495688,0,0,8
21,p53 Pathway,0.3880321844808046,1.1431055646481179,1.0821403076884029,"['CDKN1A', 'HINT1', 'CASP1', 'HMOX1', 'SFN', 'SLC7A11', 'NUDT15', 'KLF4', 'TM4SF1', 'ISCU']",0.8160898750495688,0,0,10
22,UV Response Up,0.3914236806760804,1.1636957207248984,1.0915055347609246,"['NR4A1', 'FEN1', 'POLE3', 'SELENOW', 'HMOX1', 'NPTX2', 'ALDOA', 'AQP3']",0.8160898750495688,0,0,8
23,Coagulation,0.3934840179317763,1.1998626373626373,1.119129672371265,"['CFH', 'VWF', 'CFI', 'PECAM1', 'ISCU', 'DUSP6']",0.8160898750495688,0,0,6
24,Xenobiotic Metabolism,0.39971748982019695,1.1415071421630552,1.0467589180423895,"['ENPEP', 'PINK1', 'DDT', 'ATOH8', 'PDK4', 'HMOX1', 'TYR', 'XDH', 'CYP2C18']",0.8160898750495688,0,0,9
25,Myogenesis,0.4326974685807284,1.1073811263820459,0.9276714214875478,"['EIF4A2', 'SMTN', 'CDKN1A', 'GADD45B', 'CKM', 'ATP6AP1', 'FST', 'COX7A1', 'PVALB']",0.8480870384182276,0,0,9
26,Glycolysis,0.5107951486705998,1.0331711826726244,0.6940706101445578,"['LDHC', 'LDHA', 'VCAN', 'TPI1', 'PGAM1', 'STC1', 'ALDOB', 'ALDOA', 'CD44']",0.9364665677175599,0,0,9
27,Apical Surface,0.5263423677594182,1.154312865497076,0.7408419087012467,"['ATP6V0A4', 'THY1']",0.9364665677175599,0,0,2
28,mTORC1 Signaling,0.5486341608454263,0.9996378123868164,0.600106003574545,"['LDHA', 'CDKN1A', 'FKBP2', 'TPI1', 'STC1', 'DHCR24', 'SLC7A11', 'ALDOA', 'ATP5MC1']",0.9364665677175599,0,0,9
29,Wnt-beta Catenin Signaling,0.5542353155879436,1.0934210526315788,0.6452998469842777,"['LEF1', 'DKK1']",0.9364665677175599,0,0,2
30,heme Metabolism,0.5823887393533407,0.9714117300324197,0.5251618090928575,"['CA1', 'GYPB', 'GLRX5', 'HBQ1', 'SLC7A11', 'TYR', 'AQP3', 'ABCG2']",0.9450402548752418,0,0,8
31,Interferon Alpha Response,0.5978826102271938,0.9658832914033257,0.49681254909560396,"['IFITM2', 'IL4R', 'CASP1', 'LY6E']",0.9450402548752418,0,0,4
32,Androgen Response,0.6405363661139325,0.9125228333671606,0.4064827317843278,"['TNFAIP8', 'DNAJB9', 'DHCR24', 'FKBP5']",0.9808213106119591,0,0,4
33,Bile Acid Metabolism,0.6876616839969304,0.8557517068791992,0.320443329695268,"['CYP39A1', 'SULT1B1', 'NEDD4', 'DHCR24']",0.99981397196415,0,0,4
34,Complement,0.7150162108649103,0.8488594554819721,0.28474995867421465,"['CFH', 'CASP5', 'CASP4', 'CASP1', 'CALM3', 'CXCL1', 'DUSP6']",0.99981397196415,0,0,7
35,Unfolded Protein Response,0.7302485922044497,0.805594692215078,0.2532550173116737,"['EIF4A2', 'BAG3', 'DNAJB9', 'CCL2']",0.99981397196415,0,0,4
36,Hedgehog Signaling,0.8074713757976916,0.6103810775295664,0.1305285727324436,['THY1'],0.99981397196415,0,0,1
37,Fatty Acid Metabolism,0.8109292231424544,0.7295756042197704,0.15290044229835398,"['LDHA', 'ACSM3', 'DHCR24', 'ALDOA', 'YWHAH']",0.99981397196415,0,0,5
38,DNA Repair,0.8244384720919867,0.7143442809638774,0.13790613808514704,"['SNAPC5', 'FEN1', 'ALYREF', 'POLR2I', 'POLR2K']",0.99981397196415,0,0,5
39,Pperoxisome,0.843929069381513,0.6409681757059614,0.1087638571837893,"['HSD11B2', 'DHCR24', 'YWHAH']",0.99981397196415,0,0,3
40,UV Response Dn,0.8962525477129804,0.5999388168712477,0.06571312508713645,"['RGS4', 'BDNF', 'TFPI', 'RUNX1']",0.99981397196415,0,0,4
41,Reactive Oxygen Species Pathway,0.9004910169641641,0.4319699956197985,0.04527697397890458,['LAMTOR5'],0.99981397196415,0,0,1
42,TGF-beta Signaling,0.9176009535553017,0.3986404528454463,0.03428015849815218,['SMAD6'],0.99981397196415,0,0,1
43,Myc Targets V2,0.9349167636026773,0.36355672360928604,0.02446655914545742,['DUSP2'],0.99981397196415,0,0,1
44,PI3K/AKT/mTOR  Signaling,0.9456405497996911,0.42674986435160067,0.023852223752086715,"['CDKN1A', 'SFN']",0.99981397196415,0,0,2
45,Cholesterol Homeostasis,0.9679427678222831,0.2875419769309388,0.00936878401684461,['ACTG1'],0.99981397196415,0,0,1
46,Myc Targets V1,0.9807041394135614,0.43199933691582976,0.008417271949604383,"['LDHA', 'RPL34', 'POLE3', 'RPS10']",0.99981397196415,0,0,4
47,Protein Secretion,0.9886659963108202,0.2199373724382811,0.0025070051842107847,['ATP6V1B1'],0.99981397196415,0,0,1
48,E2F Targets,0.9987678239732324,0.21773879142300195,0.00026845794659841336,"['CDKN1A', 'UBE2S']",0.99981397196415,0,0,2
49,G2-M Checkpoint,0.99981397196415,0.11358999862059953,2.1132890051557925e-05,['UBE2S'],0.99981397196415,0,0,1
