Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,FOS mouse,1.208632801246698e-05,6.775909402882635,76.72657416507664,"['POMC', 'SOCS3', 'IL1RL1', 'EGR1', 'TINAGL1', 'BDNF', 'PENK', 'CRH', 'NEFL', 'NFATC1']",0.004544459332687585,0,0,10
2,REST human,4.539724635478551e-05,7.6223776223776225,76.22422676525075,"['PCSK1', 'VGF', 'BDNF', 'PENK', 'CARTPT', 'TAC1', 'VIP', 'CHGB']",0.008534682314699676,0,0,8
3,NFKB1 mouse,0.00016511916063058382,2.8046946324200697,24.425645662844094,"['EGR2', 'CDKN1A', 'VCAM1', 'GADD45B', 'LEF1', 'CXCL1', 'SELE', 'TNFSF13B', 'PER2', 'SELP', 'HSD11B2', 'IL1B', 'PDK4', 'HMOX1', 'PMAIP1', 'CCL2', 'HAMP', 'TLR4', 'TLR2']",0.02069493479903317,0,0,19
4,REL human,0.00041228278649662074,10.447159841479525,81.42308554127386,"['CDKN1A', 'BCL2A1', 'IL1B', 'CCL2', 'SELE']",0.03324731266378217,0,0,5
5,SMARCA4 human,0.0004623806648893281,16.69868073878628,128.2312075700893,"['CDKN1A', 'MECOM', 'CD44', 'ABCG2']",0.03324731266378217,0,0,4
6,CREB1 human,0.0005305422233582262,3.6650392069832813,27.640300040782147,"['PCSK1', 'FLT1', 'NR4A3', 'BDNF', 'HMOX1', 'TRH', 'CGA', 'SMAD6', 'SLC22A8', 'VIP', 'AQP3']",0.03324731266378217,0,0,11
7,ETS1 mouse,0.0007783773578340875,4.6539935160624815,33.31467767004401,"['CDH5', 'EGR1', 'VWF', 'EBF1', 'HMOX1', 'CCL2', 'TLR4', 'FLI1']",0.03618693141563743,0,0,8
8,ATF1 human,0.0007868866780102852,8.704865697930428,62.21738613423248,"['PCSK1', 'LDHA', 'FLT1', 'SLC22A8', 'CGA']",0.03618693141563743,0,0,5
9,MSX1 human,0.0009004546897414153,31.274703557312254,219.31732116162334,"['NOTCH3', 'CGA', 'DKK1']",0.03618693141563743,0,0,3
10,ETS2 human,0.0009624183887137615,6.272619047619048,43.56999633065084,"['EGR1', 'CDKN1A', 'CD163', 'VWF', 'CGA', 'FLI1']",0.03618693141563743,0,0,6
11,ETS1 human,0.0015668410047254802,3.697211155378486,23.87915471297363,"['EGR1', 'CDKN1A', 'FLT1', 'FOXD1', 'VWF', 'CASP1', 'HMOX1', 'DUSP6', 'FLI1']",0.05030866226667526,0,0,9
12,EPAS1 mouse,0.001626192078093053,10.434696569920844,67.00655162904827,"['CDH5', 'FLT1', 'VCAM1', 'ABCG2']",0.05030866226667526,0,0,4
13,TWIST2 mouse,0.0017393952379435595,20.848484848484848,132.47581333068104,"['CDKN1A', 'CKM', 'DKK1']",0.05030866226667526,0,0,3
14,SOX9 human,0.0022212261190200067,6.526998018494056,39.87797322673894,"['CDKN1A', 'CEACAM1', 'MIA', 'KLF4', 'TYR']",0.05965578719653732,0,0,5
15,RELA mouse,0.0024896117223936055,2.9574072177267916,17.731515046389447,"['SELP', 'CLDN5', 'HSD11B2', 'VCAM1', 'PDK4', 'PECAM1', 'CCL2', 'PGLYRP1', 'GABRE', 'TNFSF13B', 'TLR2']",0.06240626717466638,0,0,11
16,TWIST1 mouse,0.0034040077676778017,5.801042125348598,32.96617255260587,"['CDKN1A', 'CKM', 'DKK1', 'FGF10', 'ABCG2']",0.07999418254042834,0,0,5
17,NFKB1 human,0.003968527192690298,2.0012457178449083,11.065608497365956,"['EGR1', 'SERPINA3', 'CDKN1A', 'VCAM1', 'VWF', 'BCL2A1', 'CFI', 'CXCL1', 'NOD2', 'SELE', 'TNFSF13B', 'RGS4', 'HSD11B2', 'SOCS3', 'CEACAM1', 'IL1B', 'PDK4', 'HMOX1', 'CCL2', 'TLR2', 'ABCG2']",0.08136656332150287,0,0,21
18,PITX2 mouse,0.004016763777244588,7.587431038618374,41.861971893045556,"['LEF1', 'FOXJ1', 'TBX6', 'TBX2']",0.08136656332150287,0,0,4
19,ERG mouse,0.004544409121679681,12.507509881422925,67.4637268061747,"['CDH5', 'VWF', 'ICAM2']",0.08136656332150287,0,0,3
20,FOXG1 mouse,0.004544409121679681,12.507509881422925,67.4637268061747,"['CDKN1A', 'EYA2', 'EBF3']",0.08136656332150287,0,0,3
21,NFIL3 human,0.004544409121679681,12.507509881422925,67.4637268061747,"['VWF', 'IL1B', 'PGR']",0.08136656332150287,0,0,3
22,HMGA1 human,0.005163312457062135,6.954705364995602,36.62470913173833,"['IL1B', 'CXCL1', 'RAG2', 'CD44']",0.08440893408066796,0,0,4
