Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,SPI1 human,0.009556379951615773,3.0313331362695832,14.097355069965483,"['CD163', 'CSF3R', 'NCF2', 'ITGB2', 'IL18', 'CYBB', 'MAPK1', 'CD68']",0.7376732801783341,0,0,8
2,MAZ human,0.014982091111427145,25.65586034912718,107.77769648214684,"['CD4', 'HRAS']",0.7376732801783341,0,0,2
3,IRF8 human,0.016117899303964553,7.703370786516854,31.798165488660157,"['NCF2', 'CYBB', 'CD68']",0.7376732801783341,0,0,3
4,CIITA human,0.0246956866971842,4.2820833333333335,15.848532863454372,"['PSMC5', 'HLA-B', 'HLA-DOA', 'HLA-DRB1']",0.7376732801783341,0,0,4
5,NEUROG2 mouse,0.028528800890874798,12.826683291770573,45.6224748783902,"['RND2', 'DLL3']",0.7376732801783341,0,0,2
6,GABPA mouse,0.028528800890874798,12.826683291770573,45.6224748783902,"['COX4I1', 'SKP2']",0.7376732801783341,0,0,2
7,RUNX3 mouse,0.028528800890874798,12.826683291770573,45.6224748783902,"['CD4', 'ITGAE']",0.7376732801783341,0,0,2
8,WWTR1 human,0.04528476502578219,8.550290939318371,26.461308860947515,"['BAX', 'LTBR']",0.9107269410740639,0,0,2
9,MBD2 human,0.04528476502578219,8.550290939318371,26.461308860947515,"['DAPK1', 'ALOX5']",0.9107269410740639,0,0,2
10,ERCC2 human,0.06471477598061467,6.412094763092269,17.5548132788987,"['BAX', 'LAMTOR5']",0.9265290014613003,0,0,2
11,RFXANK human,0.06471477598061467,6.412094763092269,17.5548132788987,"['HLA-DOA', 'HLA-DRB1']",0.9265290014613003,0,0,2
12,RFXAP human,0.06471477598061467,6.412094763092269,17.5548132788987,"['HLA-DOA', 'HLA-DRB1']",0.9265290014613003,0,0,2
13,RFX5 human,0.08634418950268577,5.129177057356609,12.563476896238072,"['HLA-DOA', 'HLA-DRB1']",0.9265290014613003,0,0,2
14,ELF1 human,0.10975297428381156,4.273898586866168,9.44327776952738,"['CYBB', 'CD68']",0.9265290014613003,0,0,2
15,NRF1 mouse,0.1345703042611811,3.6629853936587105,7.346734450215548,"['COX4I1', 'COX17']",0.9265290014613003,0,0,2
16,ILF3 human,0.13970893163558895,12.811955168119551,25.216414319776597,['HLA-DRB1'],0.9265290014613003,0,0,1
17,ETS2 mouse,0.1549836289131099,2.4047284644194757,4.483461808419426,"['CD4', 'CSF3R', 'NAB2']",0.9265290014613003,0,0,3
18,FOS mouse,0.16911619406687037,1.9736538461538462,3.5075169481240307,"['POMC', 'CRH', 'GNRH1', 'GRIK2']",0.9265290014613003,0,0,4
19,IRF1 human,0.18381401775331832,1.9003703703703703,3.218905875437045,"['NCF2', 'CYBB', 'PSMB10', 'PSMB9']",0.9265290014613003,0,0,4
20,MTF1 mouse,0.20207238848396677,6.405354919053549,10.24299064433321,['SELENOW'],0.9265290014613003,0,0,1
21,NFE2 mouse,0.20207238848396677,6.405354919053549,10.24299064433321,['HMBS'],0.9265290014613003,0,0,1
22,FOXP1 mouse,0.20207238848396677,6.405354919053549,10.24299064433321,['FGF17'],0.9265290014613003,0,0,1
23,HSF2 human,0.20207238848396677,6.405354919053549,10.24299064433321,['TXN'],0.9265290014613003,0,0,1
24,STAT6 mouse,0.20207238848396677,6.405354919053549,10.24299064433321,['TFEC'],0.9265290014613003,0,0,1
25,ING4 human,0.2144033538973304,2.563341645885287,3.947280077051779,"['BAX', 'SKP2']",0.9265290014613003,0,0,2
26,MYB mouse,0.24196800522401296,2.330083881206076,3.3062719905430615,"['CSF3R', 'H2AFZ']",0.9265290014613003,0,0,2
27,XBP1 human,0.24196800522401296,2.330083881206076,3.3062719905430615,"['DDIT3', 'ERP29']",0.9265290014613003,0,0,2
28,ESR2 human,0.24196800522401296,2.330083881206076,3.3062719905430615,"['CRH', 'CD68']",0.9265290014613003,0,0,2
29,MEF2C human,0.2599202648329042,4.269821502698215,5.753073670675001,['CPT1B'],0.9265290014613003,0,0,1
30,MEF2D human,0.2599202648329042,4.269821502698215,5.753073670675001,['CD14'],0.9265290014613003,0,0,1
31,OTX2 mouse,0.2599202648329042,4.269821502698215,5.753073670675001,['GNRH1'],0.9265290014613003,0,0,1
32,FOXP3 mouse,0.2599202648329042,4.269821502698215,5.753073670675001,['SKP2'],0.9265290014613003,0,0,1
33,HES1 human,0.2599202648329042,4.269821502698215,5.753073670675001,['CD4'],0.9265290014613003,0,0,1
34,HIVEP2 human,0.2599202648329042,4.269821502698215,5.753073670675001,['HLA-B'],0.9265290014613003,0,0,1
35,SP2 human,0.2599202648329042,4.269821502698215,5.753073670675001,['CD14'],0.9265290014613003,0,0,1
36,LMX1B human,0.2599202648329042,4.269821502698215,5.753073670675001,['COL4A1'],0.9265290014613003,0,0,1
37,MAX mouse,0.2599202648329042,4.269821502698215,5.753073670675001,['BAX'],0.9265290014613003,0,0,1
38,MBD1 human,0.2599202648329042,4.269821502698215,5.753073670675001,['ALOX5'],0.9265290014613003,0,0,1
39,MYB human,0.2704260290094531,1.7478719782090568,2.285791252345164,"['CD4', 'CSF3R', 'TK1']",0.9265290014613003,0,0,3
40,VDR human,0.2704260290094531,1.7478719782090568,2.285791252345164,"['CD14', 'SKP2', 'HLA-DRB1']",0.9265290014613003,0,0,3
41,YBX1 human,0.2704260290094531,1.7478719782090568,2.285791252345164,"['SUMO1', 'SKP2', 'MNAT1']",0.9265290014613003,0,0,3
42,SMAD1 mouse,0.29733982346237803,1.971225781699597,2.3908595524414933,"['COL4A1', 'TNFRSF11B']",0.9265290014613003,0,0,2
43,AATF mouse,0.31357914064087233,3.202054794520548,3.713434179716244,['BAX'],0.9265290014613003,0,0,1
44,POU2F2 human,0.31357914064087233,3.202054794520548,3.713434179716244,['TK1'],0.9265290014613003,0,0,1
45,POU4F1 mouse,0.31357914064087233,3.202054794520548,3.713434179716244,['BAX'],0.9265290014613003,0,0,1
46,GFI1 human,0.31357914064087233,3.202054794520548,3.713434179716244,['BAX'],0.9265290014613003,0,0,1
47,SATB1 human,0.31357914064087233,3.202054794520548,3.713434179716244,['CYBB'],0.9265290014613003,0,0,1
48,NR1I2 human,0.32484154912853,1.8302458140363378,2.057960892395745,"['CYP2C8', 'PTAFR']",0.9265290014613003,0,0,2
49,MYCN mouse,0.3633520063879323,2.5613947696139476,2.5931130333747623,['IGFBP6'],0.9265290014613003,0,0,1
50,NEUROD1 mouse,0.3633520063879323,2.5613947696139476,2.5931130333747623,['RND2'],0.9265290014613003,0,0,1
51,POU3F2 human,0.3633520063879323,2.5613947696139476,2.5931130333747623,['GNRH1'],0.9265290014613003,0,0,1
52,HDGF human,0.3633520063879323,2.5613947696139476,2.5931130333747623,['VEGFB'],0.9265290014613003,0,0,1
53,ING1 human,0.3633520063879323,2.5613947696139476,2.5931130333747623,['BAX'],0.9265290014613003,0,0,1
54,IRF9 human,0.3633520063879323,2.5613947696139476,2.5931130333747623,['SP100'],0.9265290014613003,0,0,1
55,HIF1A human,0.3829849507352389,1.256227146678446,1.2056760433199085,"['APEX1', 'ITGB2', 'ALOX5AP', 'VEGFB', 'BAX']",0.9265290014613003,0,0,5
56,CREBBP mouse,0.40521096744189816,1.506821182338272,1.3611830579597821,"['SST', 'FTH1']",0.9265290014613003,0,0,2
57,CUX1 human,0.4095199634734535,2.134288086342881,1.9054275766768767,['CYBB'],0.9265290014613003,0,0,1
58,NPM1 human,0.4095199634734535,2.134288086342881,1.9054275766768767,['RPL3'],0.9265290014613003,0,0,1
59,PPARD human,0.4095199634734535,2.134288086342881,1.9054275766768767,['TXN'],0.9265290014613003,0,0,1
60,GFI1 mouse,0.4095199634734535,2.134288086342881,1.9054275766768767,['BAX'],0.9265290014613003,0,0,1
61,PPARG human,0.4133575175307624,1.2497560975609756,1.104087527003437,"['DBI', 'TNFRSF11B', 'FGF1', 'CPT1B']",0.9265290014613003,0,0,4
62,MYCN human,0.43208839910695207,1.2807740324594257,1.0747296177121408,"['HLA-B', 'BAX', 'SKP2']",0.9265290014613003,0,0,3
63,CEBPB human,0.4516326754099786,1.2393379243687326,0.9851324825456566,"['CSF3R', 'DAPK1', 'DDIT3']",0.9265290014613003,0,0,3
64,ETS1 mouse,0.4516326754099786,1.2393379243687326,0.9851324825456566,"['CD4', 'CSF3R', 'LTBR']",0.9265290014613003,0,0,3
65,ASCL1 mouse,0.45234380305206334,1.8292118840064047,1.4511371320905255,['DLL3'],0.9265290014613003,0,0,1
66,BTF3 human,0.45234380305206334,1.8292118840064047,1.4511371320905255,['RRAS2'],0.9265290014613003,0,0,1
67,NR1H4 mouse,0.45234380305206334,1.8292118840064047,1.4511371320905255,['FABP6'],0.9265290014613003,0,0,1
68,EGR2 mouse,0.45234380305206334,1.8292118840064047,1.4511371320905255,['NAB2'],0.9265290014613003,0,0,1
69,PITX2 human,0.45234380305206334,1.8292118840064047,1.4511371320905255,['GNRH1'],0.9265290014613003,0,0,1
70,POU2AF1 mouse,0.45234380305206334,1.8292118840064047,1.4511371320905255,['LGALS1'],0.9265290014613003,0,0,1
71,HOXB7 human,0.45234380305206334,1.8292118840064047,1.4511371320905255,['DAPK1'],0.9265290014613003,0,0,1
72,SREBF2 mouse,0.45234380305206334,1.8292118840064047,1.4511371320905255,['FABP6'],0.9265290014613003,0,0,1
73,ETS2 human,0.4561810707346649,1.3479459246620291,1.0579562027180351,"['CD163', 'CSF3R']",0.9265290014613003,0,0,2
74,TCF3 human,0.4920654719243671,1.6004047322540473,1.1349166105685224,['CD4'],0.9265290014613003,0,0,1
75,TP63 human,0.4920654719243671,1.6004047322540473,1.1349166105685224,['BAX'],0.9265290014613003,0,0,1
76,NF1 human,0.4920654719243671,1.6004047322540473,1.1349166105685224,['GNRH1'],0.9265290014613003,0,0,1
77,ZEB1 mouse,0.4920654719243671,1.6004047322540473,1.1349166105685224,['CD4'],0.9265290014613003,0,0,1
78,NR4A1 human,0.4920654719243671,1.6004047322540473,1.1349166105685224,['RNF7'],0.9265290014613003,0,0,1
79,NRF1 human,0.4920654719243671,1.6004047322540473,1.1349166105685224,['PRDX5'],0.9265290014613003,0,0,1
80,PITX1 human,0.4920654719243671,1.6004047322540473,1.1349166105685224,['GNRH1'],0.9265290014613003,0,0,1
81,PPARGC1A mouse,0.4920654719243671,1.6004047322540473,1.1349166105685224,['CPT1B'],0.9265290014613003,0,0,1
82,RORA mouse,0.4920654719243671,1.6004047322540473,1.1349166105685224,['CPT1B'],0.9265290014613003,0,0,1
83,KLF5 human,0.4920654719243671,1.6004047322540473,1.1349166105685224,['ITGB2'],0.9265290014613003,0,0,1
84,STAT5A human,0.4920654719243671,1.6004047322540473,1.1349166105685224,['SUMO1'],0.9265290014613003,0,0,1
85,MECP2 human,0.4920654719243671,1.6004047322540473,1.1349166105685224,['ALOX5'],0.9265290014613003,0,0,1
86,YY1 human,0.495089602611767,1.1133695652173914,0.7827171943377068,"['SURF1', 'SURF2', 'VEGFB', 'COX7C']",0.9265290014613003,0,0,4
87,POU2F1 human,0.5045367042946849,1.2193326208288802,0.8341633555028828,"['GNRH1', 'TK1']",0.9265290014613003,0,0,2
88,USF1 human,0.5084541882289905,1.129654108834545,0.764075626347721,"['ISG20', 'APEX1', 'S100A6']",0.9265290014613003,0,0,3
89,TWIST1 human,0.5276460767166645,1.1637950578100205,0.7440485464907536,"['MAPK1', 'PFDN4']",0.9265290014613003,0,0,2
90,REST human,0.5276460767166645,1.1637950578100205,0.7440485464907536,"['KCNQ2', 'SCG3']",0.9265290014613003,0,0,2
91,ABL1 human,0.5289094321479098,1.422443614224436,0.9060084868440385,['BAX'],0.9265290014613003,0,0,1
92,TP73 human,0.5289094321479098,1.422443614224436,0.9060084868440385,['BAX'],0.9265290014613003,0,0,1
93,ATF6 human,0.5289094321479098,1.422443614224436,0.9060084868440385,['DDIT3'],0.9265290014613003,0,0,1
94,CREB5 human,0.5289094321479098,1.422443614224436,0.9060084868440385,['TNFRSF11B'],0.9265290014613003,0,0,1
95,NR1H4 human,0.5289094321479098,1.422443614224436,0.9060084868440385,['FABP6'],0.9265290014613003,0,0,1
96,GATA2 human,0.5289094321479098,1.422443614224436,0.9060084868440385,['CYBB'],0.9265290014613003,0,0,1
97,HDAC9 human,0.5289094321479098,1.422443614224436,0.9060084868440385,['IL18'],0.9265290014613003,0,0,1
98,SF1 mouse,0.5289094321479098,1.422443614224436,0.9060084868440385,['GNRH1'],0.9265290014613003,0,0,1
99,SMAD2 mouse,0.5289094321479098,1.422443614224436,0.9060084868440385,['DAPK1'],0.9265290014613003,0,0,1
100,MECP2 mouse,0.5630839235400168,1.2800747198007472,0.735180957791841,['FXYD1'],0.9265290014613003,0,0,1
101,CEBPD human,0.5630839235400168,1.2800747198007472,0.735180957791841,['DDIT3'],0.9265290014613003,0,0,1
102,NFYA human,0.5630839235400168,1.2800747198007472,0.735180957791841,['DDIT3'],0.9265290014613003,0,0,1
103,NFYA mouse,0.5630839235400168,1.2800747198007472,0.735180957791841,['MAPK1'],0.9265290014613003,0,0,1
104,FOXM1 human,0.5630839235400168,1.2800747198007472,0.735180957791841,['VEGFB'],0.9265290014613003,0,0,1
105,POU2F1 mouse,0.5630839235400168,1.2800747198007472,0.735180957791841,['GNRH1'],0.9265290014613003,0,0,1
106,GATA4 human,0.5630839235400168,1.2800747198007472,0.735180957791841,['SUMO1'],0.9265290014613003,0,0,1
107,RFX1 human,0.5630839235400168,1.2800747198007472,0.735180957791841,['FGF1'],0.9265290014613003,0,0,1
108,RXRA human,0.5630839235400168,1.2800747198007472,0.735180957791841,['CPT1B'],0.9265290014613003,0,0,1
109,IKZF1 mouse,0.5630839235400168,1.2800747198007472,0.735180957791841,['CD4'],0.9265290014613003,0,0,1
110,STAT5A mouse,0.5630839235400168,1.2800747198007472,0.735180957791841,['GRB10'],0.9265290014613003,0,0,1
111,MYC human,0.5927037003252007,0.9692987446429249,0.5070020479345745,"['DDX18', 'SURF1', 'SURF2', 'HLA-B', 'MAPK1']",0.9586431787761354,0,0,5
112,SREBF2 human,0.5947821343124454,1.163591078908638,0.6045554988402164,['FABP6'],0.9586431787761354,0,0,1
113,ATF3 human,0.624183288101307,1.0665213781652139,0.5026634948977727,['DDIT3'],0.9586431787761354,0,0,1
114,TRP73 mouse,0.624183288101307,1.0665213781652139,0.5026634948977727,['BAX'],0.9586431787761354,0,0,1
115,NR3C1 mouse,0.624183288101307,1.0665213781652139,0.5026634948977727,['CRH'],0.9586431787761354,0,0,1
116,ELK1 human,0.624183288101307,1.0665213781652139,0.5026634948977727,['SKP2'],0.9586431787761354,0,0,1
117,PML human,0.624183288101307,1.0665213781652139,0.5026634948977727,['BAX'],0.9586431787761354,0,0,1
118,EGR1 mouse,0.6276719789495528,0.9361468895587832,0.4359987826431808,"['BAX', 'GNRH1', 'TK1']",0.9586431787761354,0,0,3
119,BCL6 human,0.6514536518754953,0.9843854775361625,0.4218574371972453,['SUMO1'],0.9586431787761354,0,0,1
120,NFKBIA human,0.6514536518754953,0.9843854775361625,0.4218574371972453,['S100A6'],0.9586431787761354,0,0,1
121,ESR2 mouse,0.6514536518754953,0.9843854775361625,0.4218574371972453,['MAPK1'],0.9586431787761354,0,0,1
122,FOXO3 human,0.6514536518754953,0.9843854775361625,0.4218574371972453,['VEGFB'],0.9586431787761354,0,0,1
123,PTTG1 human,0.6514536518754953,0.9843854775361625,0.4218574371972453,['LGALS1'],0.9586431787761354,0,0,1
124,CREBBP human,0.6767474718529882,0.9139832769969757,0.35687124718318264,['PSMC5'],0.9749047636497242,0,0,1
125,PAX5 human,0.6767474718529882,0.9139832769969757,0.35687124718318264,['BAX'],0.9749047636497242,0,0,1
126,ATF1 human,0.700207841295382,0.8529680365296803,0.3039791042280403,['FTH1'],0.9749047636497242,0,0,1
127,MTA1 human,0.700207841295382,0.8529680365296803,0.3039791042280403,['MNAT1'],0.9749047636497242,0,0,1
128,ATM human,0.700207841295382,0.8529680365296803,0.3039791042280403,['BAX'],0.9749047636497242,0,0,1
129,HDAC3 human,0.700207841295382,0.8529680365296803,0.3039791042280403,['ALOX5'],0.9749047636497242,0,0,1
130,SREBF1 human,0.700207841295382,0.8529680365296803,0.3039791042280403,['FABP6'],0.9749047636497242,0,0,1
131,PPARG mouse,0.7172382077966651,0.7993298004987531,0.2656550731174301,"['DBI', 'FGF1']",0.9767175912579515,0,0,2
132,RARA human,0.7219675062662985,0.799579701120797,0.26048319408987364,['CRH'],0.9767175912579515,0,0,1
133,LEF1 human,0.7219675062662985,0.799579701120797,0.26048319408987364,['SKP2'],0.9767175912579515,0,0,1
134,CEBPA human,0.73216811714054,0.775032116678002,0.2416124826711983,"['CD163', 'CSF3R']",0.9767175912579515,0,0,2
135,TWIST2 human,0.7421496125614279,0.7524723463482529,0.22439058108394694,['PFDN4'],0.9767175912579515,0,0,1
136,SMAD4 human,0.7421496125614279,0.7524723463482529,0.22439058108394694,['BTRC'],0.9767175912579515,0,0,1
137,E2F1 mouse,0.746422475843125,0.7521637083761186,0.21998044394194485,"['SIVA1', 'TK1']",0.9767175912579515,0,0,2
138,WT1 human,0.7600206453086393,0.7306020662629141,0.20048428008064123,"['VEGFB', 'CD14']",0.9767175912579515,0,0,2
139,TP53 human,0.7608483411763725,0.8053398442357037,0.2201164766677902,"['ALKBH2', 'SIVA1', 'ALOX5', 'BAX', 'S100B', 'HRAS', 'NME1']",0.9767175912579515,0,0,7
140,TCF4 human,0.7608683998197302,0.7105991421059914,0.19420309779508088,['SKP2'],0.9767175912579515,0,0,1
141,HDAC2 human,0.7608683998197302,0.7105991421059914,0.19420309779508088,['ALOX5'],0.9767175912579515,0,0,1
142,ATF4 human,0.7943322561580581,0.6394146948941469,0.1472274373233588,['DDIT3'],0.9805780396506562,0,0,1
143,DNMT1 human,0.8092668334598627,0.6089070746604993,0.12886092484294126,['BAG1'],0.9805780396506562,0,0,1
