Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,RUNX1 (human),0.0028994477191972975,1.7253296953160528,10.081506865284855,"['C1QA', 'CPM', 'CSF3R', 'SERPINA1', 'PTAFR', 'LST1', 'ITGB2', 'NCF4', 'WDR64', 'SLA', 'GIMAP4', 'TCIRG1', 'SLC1A5', 'ARHGAP15', 'LILRA2', 'FGD2', 'FCGR3A', 'NUAK2', 'ALOX5', 'ALDH3B1', 'SLCO2B1', 'GJA4', 'STAB1', 'ARHGDIB', 'SLAMF8', 'EPSTI1', 'SUSD3', 'CYTL1', 'VSIG4', 'CLIC1', 'CCR1', 'GDF10', 'CD74', 'PCDHGC3', 'CYBB', 'CYBA', 'WNT9A', 'ZAP70', 'ABI3', 'FAM163A', 'HLA-DRA', 'C1QC']",0.36104174984090337,0,0,42
2,USF1 (human),0.0029078610508722,2.202747252747253,12.864787387940785,"['SIGLEC14', 'UHRF1', 'TNFSF13', 'ITGB2', 'PNMA5', 'RHOH', 'TMC8', 'NR2F2', 'SLC1A5', 'RASAL3', 'TMEM154', 'PSMB9', 'ALDH3B1', 'SLCO2B1', 'STAB1', 'APOC1', 'PLIN3', 'LTBR', 'C1QC']",0.36104174984090337,0,0,19
3,ETV4 (human),0.00520680914634868,1.999494438827098,10.51291798401698,"['C1QA', 'SIGLEC9', 'UNC93B1', 'ROM1', 'TNFSF13', 'SIGLEC10', 'ITGB2', 'SLA', 'TMC8', 'NR0B1', 'TCIRG1', 'NR2F2', 'AIF1', 'PSORS1C1', 'GOLGA6L10', 'ABI3', 'C7ORF31', 'ALDH3B1', 'SLAMF8', 'CYTL1', 'PIK3AP1']",0.36104174984090337,0,0,21
4,MYC (human),0.006871340393842364,2.0543450397334015,10.231451990056208,"['SIGLEC14', 'UHRF1', 'TNFSF13', 'ITGB2', 'PNMA5', 'TMC8', 'NR2F2', 'SLC1A5', 'TMEM154', 'ZAP70', 'ALDH3B1', 'SLCO2B1', 'STAB1', 'APOC1', 'PLIN3', 'LTBR', 'HGFAC', 'C1QC']",0.36104174984090337,0,0,18
5,MAX (human),0.007024158557216019,1.9104622871046228,9.472835916412837,"['SASH3', 'SIGLEC14', 'UHRF1', 'ROM1', 'TNFSF13', 'ITGB2', 'PNMA5', 'RHOH', 'TMC8', 'NR2F2', 'SLC1A5', 'RASAL3', 'C20ORF197', 'SLC5A3', 'TMEM154', 'ALDH3B1', 'SLCO2B1', 'STAB1', 'APOC1', 'PLIN3', 'LTBR', 'C1QC']",0.36104174984090337,0,0,22
6,CEBPB (human),0.009776602856151504,1.9041890233632492,8.812135910061196,"['CCR1', 'FOXD4', 'SERPINA1', 'SIGLEC9', 'UNC93B1', 'SIGLEC10', 'PNMA5', 'WNT9A', 'RASAL3', 'HIGD1B', 'SLC5A3', 'ZAP70', 'TYROBP', 'SLCO2B1', 'RAB13', 'SLAMF8', 'TMEM119', 'NPTN', 'CD14', 'HGFAC']",0.4187644890051561,0,0,20
7,NR5A1 (mouse),0.013251757032099225,2.089214966984593,9.032982331440767,"['FOXD4', 'LRRC25', 'SASH3', 'CD74', 'UHRF1', 'GPR65', 'LST1', 'ROM1', 'NR0B1', 'HEPHL1', 'APOC1', 'CYTL1', 'HCST', 'HGFAC']",0.48652879389278586,0,0,14
8,NR5A1 (human),0.016518686221850015,1.8552570274887406,7.612607591659921,"['KCNG4', 'PTAFR', 'NCF4', 'WDR64', 'TNFRSF11B', 'NR0B1', 'AIF1', 'SLC5A3', 'SPN', 'FLG2', 'SCGN', 'HSD11B2', 'FRMD6', 'ALDH3B1', 'CLEC5A', 'ZNF436', 'PIK3AP1', 'F2RL2']",0.48704338061687513,0,0,18
9,CACYBP (human),0.01705599387374271,1.848046421663443,7.523865629023333,"['LRRC25', 'SIGLEC9', 'UNC93B1', 'SIGLEC10', 'ITGB2', 'PNMA5', 'CYBA', 'TCIRG1', 'SPN', 'TYROBP', 'ALDH3B1', 'GJA4', 'STAB1', 'APOC1', 'SUSD3', 'RCOR2', 'HGFAC', 'C1QC']",0.48704338061687513,0,0,18
10,NR1H2 (human),0.02024824363264921,2.538783588338281,9.900461922373125,"['LDHC', 'C1QA', 'TYROBP', 'APOC1', 'TRIM59', 'MCM5', 'SLC2A5', 'SKA3']",0.5203798613590847,0,0,8
11,UBTF (human),0.024621555358373105,1.795774647887324,6.651788108002183,"['SASH3', 'SIGLEC9', 'SIGLEC14', 'NCF4', 'PNMA5', 'RHOH', 'CAPG', 'SLC1A5', 'C20ORF197', 'TMEM154', 'TTLL6', 'FAM163A', 'SLCO2B1', 'SUSD3', 'ZNF436', 'VSIG4', 'CKLF']",0.554767246640431,0,0,17
