Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Leishmaniasis,6.544436229572493e-05,11.150537634408602,107.42773854353051,"['FCGR3A', 'HLA-DRB5', 'ITGB2', 'NCF4', 'CYBB', 'CYBA', 'HLA-DOA']",0.007133435490234018,0,0,7
2,Phagosome,0.00029499704954763327,6.39751552795031,52.00249415716866,"['FCGR3A', 'HLA-DRB5', 'ITGB2', 'NCF4', 'CYBB', 'CYBA', 'TCIRG1', 'HLA-DOA']",0.009583421877235019,0,0,8
3,Osteoclast differentiation,0.0002970801911898554,7.7827956989247316,63.208041045892166,"['CSF1R', 'FCGR3A', 'TYROBP', 'NCF4', 'TNFRSF11B', 'CYBA', 'LILRB2']",0.009583421877235019,0,0,7
4,Staphylococcus aureus infection,0.0003987013886854227,9.455927051671733,74.0143572028263,"['C1QA', 'FCGR3A', 'HLA-DRB5', 'ITGB2', 'HLA-DOA', 'C1QC']",0.009583421877235019,0,0,6
5,Systemic lupus erythematosus,0.0004396065081300467,13.68421052631579,105.77389147521312,"['C1QA', 'FCGR3A', 'HLA-DRB5', 'HLA-DOA', 'C1QC']",0.009583421877235019,0,0,5
6,Leukocyte transendothelial migration,0.0033743739426930364,6.815789473684211,38.792375705642556,"['ITGB2', 'NCF4', 'RHOH', 'CYBB', 'CYBA']",0.06130112662559017,0,0,5
7,Neutrophil extracellular trap formation,0.00407448002866827,5.062193126022914,27.85731023136442,"['FCGR3A', 'SIGLEC9', 'ITGB2', 'NCF4', 'CYBB', 'CYBA']",0.0634454747321202,0,0,6
8,Complement and coagulation cascades,0.0048886728209314775,6.052631578947368,32.20505043136639,"['C1QA', 'SERPINA1', 'ITGB2', 'VSIG4', 'C1QC']",0.06660816718519139,0,0,5
9,Tuberculosis,0.01135261154389131,3.856070087609512,17.268667476446225,"['TLR1', 'FCGR3A', 'HLA-DRB5', 'ITGB2', 'TCIRG1', 'HLA-DOA']",0.1374927398093503,0,0,6
10,Cell adhesion molecules,0.015762534114879257,4.174089068825911,17.322968077741148,"['SPN', 'HLA-DRB5', 'ITGB2', 'HLA-DOA', 'VSIR']",0.1718116218521839,0,0,5
11,Viral myocarditis,0.02624262974119726,6.4268041237113405,23.395945577791824,"['HLA-DRB5', 'ITGB2', 'HLA-DOA']",0.2520192557233598,0,0,3
12,Hematopoietic cell lineage,0.02774523916220475,4.308333333333334,15.444043790617817,"['CSF1R', 'HLA-DRB5', 'CSF3R', 'HLA-DOA']",0.2520192557233598,0,0,4
13,Pertussis,0.036904561583998456,5.350515463917525,17.65359834948015,"['C1QA', 'ITGB2', 'C1QC']",0.27518929605412185,0,0,3
14,Allograft rejection,0.04039475905381605,10.63265306122449,34.120770902361215,"['HLA-DRB5', 'HLA-DOA']",0.27518929605412185,0,0,2
15,Asthma,0.04039475905381605,10.63265306122449,34.120770902361215,"['HLA-DRB5', 'HLA-DOA']",0.27518929605412185,0,0,2
16,Intestinal immune network for IgA production,0.04039475905381605,10.63265306122449,34.120770902361215,"['HLA-DRB5', 'HLA-DOA']",0.27518929605412185,0,0,2
17,Prion disease,0.04359008236027509,3.0,9.39877686990939,"['C1QA', 'NCF4', 'CYBB', 'CYBA', 'C1QC']",0.27948935160411675,0,0,5
18,Autoimmune thyroid disease,0.06352699574203066,7.081632653061225,19.519035627949812,"['HLA-DRB5', 'HLA-DOA']",0.3771166224846851,0,0,2
19,Toxoplasmosis,0.07978704044657296,3.556701030927835,8.992742215526846,"['HLA-DRB5', 'HLA-DOA', 'PIK3R5']",0.3771166224846851,0,0,3
20,Glyoxylate and dicarboxylate metabolism,0.08741233984879923,inf,inf,['HAO2'],0.3771166224846851,0,0,1
21,Rheumatoid arthritis,0.08963940922792502,2.6770833333333335,6.457018507143654,"['HLA-DRB5', 'ITGB2', 'TCIRG1', 'HLA-DOA']",0.3771166224846851,0,0,4
22,B cell receptor signaling pathway,0.08995442371194323,5.3061224489795915,12.779541967972571,"['LILRB2', 'PIK3AP1']",0.3771166224846851,0,0,2
23,Type I diabetes mellitus,0.08995442371194323,5.3061224489795915,12.779541967972571,"['HLA-DRB5', 'HLA-DOA']",0.3771166224846851,0,0,2
24,Central carbon metabolism in cancer,0.08995442371194323,5.3061224489795915,12.779541967972571,"['LDHC', 'SLC1A5']",0.3771166224846851,0,0,2
25,Graft-versus-host disease,0.08995442371194323,5.3061224489795915,12.779541967972571,"['HLA-DRB5', 'HLA-DOA']",0.3771166224846851,0,0,2
26,Lysosome,0.08995442371194323,5.3061224489795915,12.779541967972571,"['LAPTM5', 'TCIRG1']",0.3771166224846851,0,0,2
27,Chemokine signaling pathway,0.0973587322550991,3.197938144329897,7.449126335724278,"['CCR1', 'HCK', 'PIK3R5']",0.37900363627877864,0,0,3
28,Natural killer cell mediated cytotoxicity,0.0973587322550991,3.197938144329897,7.449126335724278,"['FCGR3A', 'TYROBP', 'ITGB2']",0.37900363627877864,0,0,3
29,Viral protein interaction with cytokine and cytokine receptor,0.11634424309094357,2.9044048734770382,6.247961194170792,"['CCR1', 'CSF1R', 'TNFRSF10D']",0.4321354378373144,0,0,3
30,Th1 and Th2 cell differentiation,0.11893635903779295,4.240816326530612,9.029405017461182,"['HLA-DRB5', 'HLA-DOA']",0.4321354378373144,0,0,2
31,Herpes simplex virus 1 infection,0.13659265847123525,2.6597938144329896,5.294990063160193,"['SP100', 'HLA-DRB5', 'HLA-DOA']",0.4446499833815553,0,0,3
32,Human T-cell leukemia virus 1 infection,0.13659265847123525,2.6597938144329896,5.294990063160193,"['HLA-DRB5', 'ITGB2', 'HLA-DOA']",0.4446499833815553,0,0,3
33,Th17 cell differentiation,0.14983428756340544,3.5306122448979593,6.701897647158022,"['HLA-DRB5', 'HLA-DOA']",0.4446499833815553,0,0,2
34,Fc gamma R-mediated phagocytosis,0.14983428756340544,3.5306122448979593,6.701897647158022,"['HCK', 'FCGR3A']",0.4446499833815553,0,0,2
35,Aldosterone-regulated sodium reabsorption,0.16725366347379603,10.535353535353535,18.839779334394624,['HSD11B2'],0.4446499833815553,0,0,1
36,Bacterial invasion of epithelial cells,0.16725366347379603,10.535353535353535,18.839779334394624,['HCLS1'],0.4446499833815553,0,0,1
37,Cysteine and methionine metabolism,0.16725366347379603,10.535353535353535,18.839779334394624,['LDHC'],0.4446499833815553,0,0,1
38,Mineral absorption,0.16725366347379603,10.535353535353535,18.839779334394624,['HEPHL1'],0.4446499833815553,0,0,1
39,Peroxisome,0.16725366347379603,10.535353535353535,18.839779334394624,['HAO2'],0.4446499833815553,0,0,1
40,Porphyrin and chlorophyll metabolism,0.16725366347379603,10.535353535353535,18.839779334394624,['HEPHL1'],0.4446499833815553,0,0,1
41,Proteasome,0.16725366347379603,10.535353535353535,18.839779334394624,['PSMB9'],0.4446499833815553,0,0,1
42,Antigen processing and presentation,0.1820999368205992,3.0233236151603498,5.149323690518596,"['HLA-DRB5', 'HLA-DOA']",0.4725926931772693,0,0,2
43,Kaposi sarcoma-associated herpesvirus infection,0.20336386063555023,2.1216494845360825,3.379275223949684,"['CCR1', 'HCK', 'PIK3R5']",0.5024692844595574,0,0,3
44,Diabetic cardiomyopathy,0.2271195098863096,1.9871134020618557,2.9454563170045627,"['NCF4', 'CYBB', 'CYBA']",0.5024692844595574,0,0,3
45,NOD-like receptor signaling pathway,0.2271195098863096,1.9871134020618557,2.9454563170045627,"['CARD6', 'CYBB', 'CYBA']",0.5024692844595574,0,0,3
46,Cytokine-cytokine receptor interaction,0.23293998871482666,1.61244019138756,2.3492841090105676,"['CCR1', 'CSF1R', 'CSF3R', 'TNFRSF11B', 'TNFRSF10D']",0.5024692844595574,0,0,5
47,Carbohydrate digestion and absorption,0.240173564047561,5.262626262626263,7.506575543868688,['SLC2A5'],0.5024692844595574,0,0,1
48,Cholesterol metabolism,0.240173564047561,5.262626262626263,7.506575543868688,['APOC1'],0.5024692844595574,0,0,1
49,Ferroptosis,0.240173564047561,5.262626262626263,7.506575543868688,['CYBB'],0.5024692844595574,0,0,1
50,Maturity onset diabetes of the young,0.240173564047561,5.262626262626263,7.506575543868688,['HHEX'],0.5024692844595574,0,0,1
51,Propanoate metabolism,0.240173564047561,5.262626262626263,7.506575543868688,['LDHC'],0.5024692844595574,0,0,1
52,HIF-1 signaling pathway,0.24892973725519357,2.3469387755102042,3.263616923144845,"['LDHC', 'CYBB']",0.5024692844595574,0,0,2
53,Inflammatory bowel disease,0.24892973725519357,2.3469387755102042,3.263616923144845,"['HLA-DRB5', 'HLA-DOA']",0.5024692844595574,0,0,2
54,Platelet activation,0.24892973725519357,2.3469387755102042,3.263616923144845,"['TBXAS1', 'PIK3R5']",0.5024692844595574,0,0,2
55,PI3K-Akt signaling pathway,0.2634231552623464,1.6314102564102564,2.176290815602088,"['CSF1R', 'CSF3R', 'PIK3AP1', 'PIK3R5']",0.522056798610832,0,0,4
56,Chagas disease,0.28275827738044823,2.110204081632653,2.665531485948036,"['C1QA', 'C1QC']",0.5503687899012296,0,0,2
57,Arachidonic acid metabolism,0.30676650161705554,3.505050505050505,4.141807428655355,['TBXAS1'],0.5667381131569331,0,0,1
58,Cholinergic synapse,0.30676650161705554,3.505050505050505,4.141807428655355,['PIK3R5'],0.5667381131569331,0,0,1
59,Fc epsilon RI signaling pathway,0.30676650161705554,3.505050505050505,4.141807428655355,['ALOX5AP'],0.5667381131569331,0,0,1
60,Ras signaling pathway,0.3164672832368678,1.9165120593692022,2.205014994207,"['CSF1R', 'RASAL3']",0.5749155645469765,0,0,2
