Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,SPI1 human,6.945942629537857e-08,18.2377972465582,300.6049134823208,"['CD163', 'CSF3R', 'NCF2', 'ITGB2', 'IL18', 'CYBB', 'MAPK1', 'CD68']",6.737564350651722e-06,0,0,8
2,CIITA human,3.7777784023164825e-05,27.465830721003133,279.7062344505824,"['HLA-B', 'HLA-DRA', 'HLA-DOA', 'HLA-DRB1']",0.001832222525123494,0,0,4
3,RFXANK human,7.949914016501271e-05,56.29623287671233,531.4231722556758,"['HLA-DRA', 'HLA-DOA', 'HLA-DRB1']",0.0019278541490015584,0,0,3
4,RFXAP human,7.949914016501271e-05,56.29623287671233,531.4231722556758,"['HLA-DRA', 'HLA-DOA', 'HLA-DRB1']",0.0019278541490015584,0,0,3
5,RFX5 human,0.000125948320205339,45.032876712328765,404.37897115595865,"['HLA-DRA', 'HLA-DOA', 'HLA-DRB1']",0.0020361645099863136,0,0,3
6,IRF8 human,0.000125948320205339,45.032876712328765,404.37897115595865,"['NCF2', 'CYBB', 'CD68']",0.0020361645099863136,0,0,3
7,ILF3 human,0.0005310850922328576,149.14285714285714,1124.6248836797529,"['HLA-DRA', 'HLA-DRB1']",0.007359321992369598,0,0,2
8,ETS2 mouse,0.0016631391207306359,14.997260273972604,95.96819474729297,"['CD4', 'CSF3R', 'NAB2']",0.02016556183885896,0,0,3
9,PPARG human,0.0025527414129269317,7.726967285587976,46.134533773518115,"['DBI', 'TNFRSF11B', 'FGF1', 'CPT1B']",0.02751287967265693,0,0,4
10,ELF1 human,0.003588526986769327,29.817687074829934,167.8739798986246,"['CYBB', 'CD68']",0.03480871177166247,0,0,2
11,IRF1 human,0.00668754198321807,8.643572181243414,43.282764529557696,"['NCF2', 'CYBB', 'PSMB9']",0.058971961124741165,0,0,3
12,RFX1 human,0.007489287558166064,18.63095238095238,91.18512752260307,"['HLA-DRA', 'FGF1']",0.06053840776184235,0,0,2
13,ETS1 mouse,0.009604109814486835,7.488356164383561,34.78763906282824,"['CD4', 'CSF3R', 'LTBR']",0.07166143476963253,0,0,3
14,ESR2 mouse,0.016725666145325505,11.459968602825745,46.88056383742834,"['MAPK1', 'PTGS1']",0.11588497257832672,0,0,2
15,ETS2 human,0.03174745349828418,7.836734693877551,27.036286132023868,"['CD163', 'CSF3R']",0.18887422782778593,0,0,2
16,HIVEP2 human,0.03969310841445235,37.0304054054054,119.48148022650835,['HLA-B'],0.18887422782778593,0,0,1
17,MAZ human,0.03969310841445235,37.0304054054054,119.48148022650835,['CD4'],0.18887422782778593,0,0,1
18,STAT6 mouse,0.03969310841445235,37.0304054054054,119.48148022650835,['TFEC'],0.18887422782778593,0,0,1
19,MYB human,0.040653954907509934,6.766233766233766,21.66994052322182,"['CD4', 'CSF3R']",0.18887422782778593,0,0,2
20,VDR human,0.04380847105366005,6.471458148476782,20.242255643356508,"['CD14', 'HLA-DRB1']",0.18887422782778593,0,0,2
21,MEF2C human,0.05257323867371361,24.684684684684683,72.70992506414203,['CPT1B'],0.18887422782778593,0,0,1
22,MEF2D human,0.05257323867371361,24.684684684684683,72.70992506414203,['CD14'],0.18887422782778593,0,0,1
23,OTX2 mouse,0.05257323867371361,24.684684684684683,72.70992506414203,['GNRH1'],0.18887422782778593,0,0,1
24,HES1 human,0.05257323867371361,24.684684684684683,72.70992506414203,['CD4'],0.18887422782778593,0,0,1
25,RUNX3 mouse,0.05257323867371361,24.684684684684683,72.70992506414203,['CD4'],0.18887422782778593,0,0,1
26,SP2 human,0.05257323867371361,24.684684684684683,72.70992506414203,['CD14'],0.18887422782778593,0,0,1
27,MBD1 human,0.05257323867371361,24.684684684684683,72.70992506414203,['ALOX5'],0.18887422782778593,0,0,1
28,WWTR1 human,0.06528176226342486,18.511824324324323,50.51955668930574,['LTBR'],0.2042687399855552,0,0,1
29,POU2F2 human,0.06528176226342486,18.511824324324323,50.51955668930574,['HLA-DRA'],0.2042687399855552,0,0,1
30,SATB1 human,0.06528176226342486,18.511824324324323,50.51955668930574,['CYBB'],0.2042687399855552,0,0,1
31,MBD2 human,0.06528176226342486,18.511824324324323,50.51955668930574,['ALOX5'],0.2042687399855552,0,0,1
32,PPARG mouse,0.0758191481620026,4.647534013605442,11.987869702252345,"['DBI', 'FGF1']",0.21871811895574123,0,0,2
33,POU3F2 human,0.0778209488022217,14.808108108108108,37.81020315885849,['GNRH1'],0.21871811895574123,0,0,1
34,KLF10 human,0.0778209488022217,14.808108108108108,37.81020315885849,['PTGS1'],0.21871811895574123,0,0,1
35,CEBPA human,0.0797294466388382,4.5062873634302205,11.396924791477387,"['CD163', 'CSF3R']",0.21871811895574123,0,0,2
36,NFKB1 human,0.08158990183769305,2.2446773120425814,5.625273076515927,"['ALOX5', 'PTAFR', 'ALOX5AP', 'IL18', 'PSMB9']",0.21871811895574123,0,0,5
37,RELA human,0.0847405985320357,2.2177021696252464,5.473644830744554,"['ALOX5', 'PTAFR', 'ALOX5AP', 'IL18', 'PSMB9']",0.21871811895574123,0,0,5
38,CUX1 human,0.09019303874463556,12.338963963963964,29.685116899855327,['CYBB'],0.21871811895574123,0,0,1
39,IRF9 human,0.09019303874463556,12.338963963963964,29.685116899855327,['SP100'],0.21871811895574123,0,0,1
40,KLF8 human,0.09019303874463556,12.338963963963964,29.685116899855327,['EPSTI1'],0.21871811895574123,0,0,1
41,TCF3 human,0.10240024341762698,10.575289575289576,24.099669854700792,['CD4'],0.2227978856852854,0,0,1
42,EGR2 mouse,0.10240024341762698,10.575289575289576,24.099669854700792,['NAB2'],0.2227978856852854,0,0,1
43,PITX2 human,0.10240024341762698,10.575289575289576,24.099669854700792,['GNRH1'],0.2227978856852854,0,0,1
44,NF1 human,0.11444474523629297,9.252533783783784,20.05637649781365,['GNRH1'],0.2227978856852854,0,0,1
45,ZEB1 mouse,0.11444474523629297,9.252533783783784,20.05637649781365,['CD4'],0.2227978856852854,0,0,1
46,PITX1 human,0.11444474523629297,9.252533783783784,20.05637649781365,['GNRH1'],0.2227978856852854,0,0,1
47,RORA mouse,0.11444474523629297,9.252533783783784,20.05637649781365,['CPT1B'],0.2227978856852854,0,0,1
48,KLF5 human,0.11444474523629297,9.252533783783784,20.05637649781365,['ITGB2'],0.2227978856852854,0,0,1
49,MECP2 human,0.11444474523629297,9.252533783783784,20.05637649781365,['ALOX5'],0.2227978856852854,0,0,1
50,CREB5 human,0.12632869806897626,8.223723723723724,17.01379929683387,['TNFRSF11B'],0.2227978856852854,0,0,1
51,NFYA mouse,0.12632869806897626,8.223723723723724,17.01379929683387,['MAPK1'],0.2227978856852854,0,0,1
52,GATA2 human,0.12632869806897626,8.223723723723724,17.01379929683387,['CYBB'],0.2227978856852854,0,0,1
53,PPARGC1A mouse,0.12632869806897626,8.223723723723724,17.01379929683387,['CPT1B'],0.2227978856852854,0,0,1
54,HDAC9 human,0.12632869806897626,8.223723723723724,17.01379929683387,['IL18'],0.2227978856852854,0,0,1
55,SF1 mouse,0.12632869806897626,8.223723723723724,17.01379929683387,['GNRH1'],0.2227978856852854,0,0,1
56,POU2F1 mouse,0.13805422750601937,7.400675675675676,14.654142425003268,['GNRH1'],0.23088379427730824,0,0,1
57,RXRA human,0.13805422750601937,7.400675675675676,14.654142425003268,['CPT1B'],0.23088379427730824,0,0,1
58,IKZF1 mouse,0.13805422750601937,7.400675675675676,14.654142425003268,['CD4'],0.23088379427730824,0,0,1
59,EGR1 human,0.1445591317313188,3.0938208616780045,5.983655715619983,"['ALOX5', 'NAB2']",0.23766501318538852,0,0,2
60,ESR2 human,0.14962343123161878,6.7272727272727275,12.779353307923781,['CD68'],0.24189121382445036,0,0,1
61,MYB mouse,0.16103837938707952,6.166103603603603,11.25999924370642,['CSF3R'],0.2560774229597822,0,0,1
62,HIF1A human,0.17283456309222564,2.748551272360796,4.82486304188753,"['ITGB2', 'ALOX5AP']",0.2704024616120304,0,0,2
63,NR1I2 human,0.18341365392365236,5.284266409266409,8.96217539994738,['PTAFR'],0.2779863192280356,0,0,1
64,SMAD1 mouse,0.18341365392365236,5.284266409266409,8.96217539994738,['TNFRSF11B'],0.2779863192280356,0,0,1
65,HDAC3 human,0.19437798593375927,4.931531531531531,8.077605200879978,['ALOX5'],0.2900717636242254,0,0,1
66,ESR1 mouse,0.21586985680152315,4.350556438791733,6.669749184396926,['PTGS1'],0.31726327439011737,0,0,1
67,SP1 mouse,0.222247528880134,1.6907523510971787,2.542829862983029,"['ALOX5', 'MAPK1', 'CD14', 'PTGS1']",0.3184743229114806,0,0,4
68,HDAC2 human,0.22640124531191444,4.108483483483483,6.102932132185998,['ALOX5'],0.3184743229114806,0,0,1
69,JUN mouse,0.22654359052466144,2.2811093668236526,3.387032019553577,"['GNRH1', 'CD14']",0.3184743229114806,0,0,2
70,MYC human,0.24640225714650651,2.148082421374347,3.0090121320191314,"['HLA-B', 'MAPK1']",0.341443127760159,0,0,2
71,SPI1 mouse,0.2571597926135227,3.5205920205920207,4.781166842156631,['NCF4'],0.3501702986985118,0,0,1
72,TWIST1 human,0.2671402278730915,3.3602579852579852,4.4354785788065,['MAPK1'],0.3501702986985118,0,0,1
73,CEBPB mouse,0.2671402278730915,3.3602579852579852,4.4354785788065,['PTGS1'],0.3501702986985118,0,0,1
74,POU2F1 human,0.2671402278730915,3.3602579852579852,4.4354785788065,['GNRH1'],0.3501702986985118,0,0,1
75,GATA1 human,0.2769874587159826,3.2138660399529964,4.12590674453401,['CYBB'],0.3582371132726708,0,0,1
76,KLF4 human,0.28670325110646816,3.0796734234234235,3.8474593099442247,['CD14'],0.36592388628062383,0,0,1
77,RUNX1 human,0.3242865473486474,2.6387548262548264,2.971575031726418,['ITGB2'],0.4069200798113435,0,0,1
78,CEBPB human,0.33337083335375495,2.5475302889095994,2.7984614999566277,['CSF3R'],0.4069200798113435,0,0,1
79,FOS mouse,0.33337083335375495,2.5475302889095994,2.7984614999566277,['GNRH1'],0.4069200798113435,0,0,1
80,SP1 human,0.33560418953512866,1.3247767857142858,1.4464215270438694,"['CD163', 'GDA', 'ALOX5', 'ITGB2', 'CD14']",0.4069200798113435,0,0,5
81,MYCN human,0.351177053025754,2.3827375762859635,2.493450901433391,['HLA-B'],0.42054535979627333,0,0,1
82,WT1 human,0.36851076012143663,2.237919737919738,2.234082529106323,['CD14'],0.4306692015877031,0,0,1
83,EP300 human,0.36851076012143663,2.237919737919738,2.234082529106323,['CYBB'],0.4306692015877031,0,0,1
84,EP300 mouse,0.3770043268435944,2.171899841017488,2.1186852858784126,['CPT1B'],0.43535023456938876,0,0,1
85,EGR1 mouse,0.44099152793298707,1.7569176319176318,1.4384404959381853,['GNRH1'],0.5032491554058793,0,0,1
86,ETS1 human,0.45594052180057676,1.6767506142506143,1.3169080486686062,['CSF3R'],0.5142584955192552,0,0,1
87,TP53 human,0.4759884714961828,1.2612361183789755,0.9362933190559343,"['ALOX5', 'S100B']",0.5246691106264743,0,0,2
88,NFKB1 mouse,0.4759884714961828,1.2612361183789755,0.9362933190559343,"['ALOX5', 'PTGS1']",0.5246691106264743,0,0,2
89,HDAC1 human,0.4915983064217037,1.5049641478212907,1.0686650278321053,['HLA-DRA'],0.5357869182348906,0,0,1
90,YY1 human,0.49844622522094406,1.4747297297297297,1.0267946853887349,['HLA-DRA'],0.5372142649603507,0,0,1
91,STAT1 human,0.511868397911695,1.4177494802494803,0.9494494202352995,['PSMB9'],0.5456179626091694,0,0,1
92,SP3 mouse,0.5376516246296766,1.3159990347490347,0.8166359188362584,['MAPK1'],0.5668718216204199,0,0,1
93,CREB1 human,0.5500312811546897,1.2703867660764212,0.7594119630581976,['CD4'],0.5736885405591925,0,0,1
94,SP3 human,0.6124610403049321,1.0667841754798277,0.5230122203746863,['CD14'],0.6306944568869997,0,0,1
95,RELA mouse,0.6176904474666491,1.0514478764478765,0.5065537734451764,['PTAFR'],0.6306944568869997,0,0,1
96,STAT3 human,0.6796215218312072,0.8857049820905243,0.3420762884894559,['FGF1'],0.6867009126836157,0,0,1
97,TRP53 mouse,0.7689381344290334,0.6855266481434705,0.18011853607266565,['MAPK1'],0.7689381344290334,0,0,1
