Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-3057-3p,8.207523351343674e-05,21.574384236453202,202.96909390604225,"['CMTM7', 'SERPINA1', 'GDA', 'CRKL']",0.13550621053068407,0,0,4
2,hsa-miR-5697,0.0021155546654191,4.904128129934581,30.201770247074375,"['SIGLEC9', 'KLHL15', 'PTAFR', 'SLC1A5', 'FAM126B', 'SLC5A3']",0.8423569122433464,0,0,6
3,hsa-miR-3156-3p,0.0029276721701944446,5.563214869281046,32.4532790431776,"['KLHL15', 'PTAFR', 'TMEM119', 'SLC1A5', 'STUM']",0.8423569122433464,0,0,5
4,hsa-miR-4301,0.004119343644389607,6.693026819923372,36.75851450070564,"['KLHL15', 'PTAFR', 'TMEM119', 'MAPK1']",0.8423569122433464,0,0,4
5,hsa-miR-455-5p,0.004431612688192423,6.546926536731634,35.47774071497434,"['KLHL15', 'RHOH', 'SLC1A5', 'CRKL']",0.8423569122433464,0,0,4
6,hsa-miR-6859-3p,0.006054489429809083,8.99013698630137,45.91222707913809,"['MAPK1', 'CYBB', 'HLA-DOA']",0.8423569122433464,0,0,3
7,hsa-miR-6885-3p,0.00620477010790324,4.607469512195122,23.417173112801144,"['OTUD4', 'NRIP2', 'LAPTM5', 'NPTX1', 'PCDH19']",0.8423569122433464,0,0,5
8,hsa-miR-6770-5p,0.007197535144611775,3.7595792637114953,18.549826693915907,"['ARL11', 'KLHL15', 'NAB2', 'SIGLEC10', 'HLA-DOA', 'CRKL']",0.8423569122433464,0,0,6
9,hsa-miR-498,0.007204142851389005,3.3283890845070423,16.419272938984125,"['OTUD4', 'SIGLEC9', 'KLHL15', 'IDH2', 'MAPK1', 'SLC1A5', 'PSMB9']",0.8423569122433464,0,0,7
10,hsa-miR-6876-3p,0.007358530413360219,8.322678843226788,40.88012491521259,"['RASSF4', 'HLA-B', 'PTGS1']",0.8423569122433464,0,0,3
11,hsa-let-7c-3p,0.007518865737277709,5.572924648786718,27.25349624449965,"['SIGLEC14', 'KLHL15', 'FAM126B', 'CRKL']",0.8423569122433464,0,0,4
12,hsa-miR-346,0.007518865737277709,5.572924648786718,27.25349624449965,"['FOXF2', 'IL18', 'STUM', 'PTGS1']",0.8423569122433464,0,0,4
13,hsa-miR-626,0.008067975451911647,8.024706457925635,38.677903100325096,"['RASSF4', 'HLA-B', 'PTGS1']",0.8423569122433464,0,0,3
14,hsa-miR-4735-5p,0.009329573826903899,4.148351648351649,19.391743334486204,"['SIGLEC9', 'NRIP2', 'ALOX5AP', 'RHOH', 'ABHD15']",0.8423569122433464,0,0,5
15,hsa-miR-4465,0.012897485087730571,3.8103254769921437,16.57767046565544,"['OTUD4', 'KLHL15', 'FAM126B', 'SLC5A3', 'TMEM154']",0.8423569122433464,0,0,5
16,hsa-miR-3065-5p,0.013687175410762724,4.625145888594164,19.84786998624415,"['SIGLEC14', 'GABRA4', 'RHOH', 'CRKL']",0.8423569122433464,0,0,4
17,hsa-miR-4527,0.01462291986174456,12.41609977324263,52.46007178339844,"['FAM163A', 'STUM']",0.8423569122433464,0,0,2
18,hsa-miR-6786-3p,0.01462291986174456,12.41609977324263,52.46007178339844,"['FOXD4', 'MAPK1']",0.8423569122433464,0,0,2
19,hsa-miR-6503-5p,0.01462291986174456,12.41609977324263,52.46007178339844,"['FAM163A', 'STUM']",0.8423569122433464,0,0,2
20,hsa-miR-1297,0.01498675584821735,3.661003236245955,15.378367768112557,"['OTUD4', 'KLHL15', 'FAM126B', 'SLC5A3', 'TMEM154']",0.8423569122433464,0,0,5
21,hsa-miR-4741,0.0151772002824264,6.2368721461187215,26.119777052021732,"['HLA-B', 'MAPK1', 'PTGS1']",0.8423569122433464,0,0,3
22,hsa-miR-335-3p,0.015568990274067215,2.840701965805528,11.824348489081359,"['FOXF2', 'ARPC1B', 'TFEC', 'FAM126B', 'PCDH19', 'HLA-DRB1', 'ABHD15']",0.8423569122433464,0,0,7
23,mmu-miR-669c-3p,0.01579661599059848,4.419878296146044,18.333476342806577,"['C8ORF48', 'SERPINA1', 'FOXF2', 'TRIM36']",0.8423569122433464,0,0,4
24,hsa-miR-4675,0.016249678157945775,6.06775268419104,24.997212581846956,"['HLA-B', 'MAPK1', 'PTGS1']",0.8423569122433464,0,0,3
25,mmu-miR-3971,0.016725666145325505,11.459968602825745,46.88056383742834,"['GOLGA7B', 'CMTM7']",0.8423569122433464,0,0,2
26,hsa-miR-4255,0.017363715989477065,5.907534246575342,23.94543708214438,"['OTUD4', 'KLHL15', 'NAB2']",0.8423569122433464,0,0,3
27,hsa-miR-6832-5p,0.017967694159562116,3.045196414323931,12.239192227696845,"['VAMP8', 'CD4', 'SERPINA1', 'PLIN3', 'ZNF226', 'ABHD15']",0.8423569122433464,0,0,6
28,hsa-miR-4726-3p,0.02117167830124152,3.3339478859390366,12.852672221635993,"['GOLGA7B', 'NAB2', 'IDH2', 'ACVR1B', 'TMEM154']",0.8423569122433464,0,0,5
29,hsa-miR-6750-5p,0.022237543109126977,5.342954990215264,20.33514396861527,"['HLA-B', 'TMEM119', 'NPTX1']",0.8423569122433464,0,0,3
30,hsa-miR-6822-5p,0.023560691718885467,5.21822236381013,19.558813534565935,"['HLA-B', 'TMEM119', 'NPTX1']",0.8423569122433464,0,0,3
31,hsa-miR-5571-5p,0.02558049404842272,3.164098972922502,11.59935006255778,"['OTUD4', 'SIGLEC9', 'KLHL15', 'CD68', 'TMEM154']",0.8423569122433464,0,0,5
32,hsa-miR-367-5p,0.0262194546288361,3.7527586206896553,13.664745840063336,"['ALOX5AP', 'SLC1A5', 'FAM126B', 'PSMB9']",0.8423569122433464,0,0,4
33,hsa-miR-3671,0.02827667535380727,3.6605550883095037,13.052507192577629,"['KLHL15', 'TDG', 'FAM126B', 'PALD1']",0.8423569122433464,0,0,4
34,hsa-miR-590-3p,0.028641970484406205,2.4879322885670834,8.83933018717688,"['SIGLEC14', 'KLHL15', 'NRIP2', 'ALOX5AP', 'RHOH', 'SLC1A5', 'ABHD15']",0.8423569122433464,0,0,7
35,hsa-miR-4796-3p,0.028926635780079285,2.7124492274192873,9.610187147413185,"['OTUD4', 'KLHL15', 'MAPK1', 'FAM126B', 'ACVR1B', 'SLC5A3']",0.8423569122433464,0,0,6
36,hsa-miR-495-5p,0.0339921030259668,4.484794520547945,15.165902443233486,"['SIGLEC14', 'HLA-B', 'SINHCAF']",0.8423569122433464,0,0,3
37,hsa-miR-6853-5p,0.03462040052176605,7.44421768707483,25.037227870224445,"['NAB2', 'MAPK1']",0.8423569122433464,0,0,2
38,mmu-miR-1965,0.03462040052176605,7.44421768707483,25.037227870224445,"['TRIM36', 'PLIN3']",0.8423569122433464,0,0,2
39,mmu-miR-1894-5p,0.03462040052176605,7.44421768707483,25.037227870224445,"['GOLGA7B', 'GDA']",0.8423569122433464,0,0,2
40,hsa-miR-6791-3p,0.03496330677721757,2.5865334665334667,8.673826548160992,"['PTAFR', 'IDH2', 'MAPK1', 'PALD1', 'TMEM154', 'PSMB9']",0.8423569122433464,0,0,6
41,hsa-miR-6829-3p,0.03496330677721757,2.5865334665334667,8.673826548160992,"['PTAFR', 'IDH2', 'MAPK1', 'PALD1', 'TMEM154', 'PSMB9']",0.8423569122433464,0,0,6
42,hsa-miR-6764-5p,0.03510448325181249,2.8934294871794872,9.69132919392432,"['FAM163A', 'NAB2', 'IDH2', 'ACVR1B', 'TMEM154']",0.8423569122433464,0,0,5
43,hsa-miR-1915-3p,0.036065508161064845,2.8710771840542835,9.538919442995134,"['FAM163A', 'NAB2', 'IDH2', 'ACVR1B', 'TMEM154']",0.8423569122433464,0,0,5
44,hsa-miR-3663-5p,0.036065508161064845,2.8710771840542835,9.538919442995134,"['PTAFR', 'PLIN3', 'SIRPB2', 'FAM126B', 'TMEM154']",0.8423569122433464,0,0,5
