Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-4285,0.4130727680917009,1.2234777150031386,1.0817151966988288,"['RPL41', 'CUEDC2', 'NDUFA11', 'RPL27A', 'CHCHD10']",0.99999549264619,0,0,5
2,mmu-miR-1946a,0.41754277553156494,1.0860517718019602,0.9485231718138857,"['RPL41', 'NXPH3', 'ST8SIA2', 'PRSS36', 'ATOX1', 'PET117', 'FGF17', 'NDUFAF8', 'NUDCD2', 'VGF', 'DDT', 'SVBP', 'POLE3', 'SRRD', 'ZNF831', 'HRAS', 'SCN1B']",0.99999549264619,0,0,17
3,mmu-miR-1901,0.43846797325615244,1.2230576441102756,1.008372509669428,"['NRN1', 'RPS19BP1', 'POLE3', 'ZNF831']",0.99999549264619,0,0,4
4,hsa-miR-3605-3p,0.5155493593930367,1.0152064152064153,0.6725968176955658,"['FIS1', 'NXPH3', 'ST8SIA2', 'TIMM13', 'PEX10', 'MRPL57', 'LOR', 'MRPL53', 'DPM2', 'VGF', 'SNRPD1', 'DDT', 'UCP3', 'CYCS', 'ELOB', 'EMC6', 'ZNF831', 'SERF2']",0.99999549264619,0,0,18
5,hsa-miR-4664-3p,0.5549193272362524,0.995108759553204,0.5860519215104365,"['NRN1', 'RPS19BP1', 'VGF', 'C19ORF53', 'ST8SIA2', 'RPL27A', 'C18ORF32', 'ZNF831', 'RNF7', 'HRAS', 'TXNDC17']",0.99999549264619,0,0,11
6,hsa-miR-4670-5p,0.5551210809475179,1.0059305385670336,0.5920595564636535,"['ADAMTS3', 'CYCS', 'COPS7A', 'PEX10', 'IGFBP6', 'OCEL1', 'NUBP2']",0.99999549264619,0,0,7
7,hsa-miR-1469,0.5922011488016299,0.9993177554153164,0.523551489402725,"['TMEM203', 'TMSB10', 'ANAPC11']",0.99999549264619,0,0,3
8,hsa-miR-615-3p,0.5969910315622943,0.961372810321185,0.49592722926364247,"['GPX4', 'SLC32A1', 'NXPH3', 'TIMM13', 'HCRTR1', 'NUBP2', 'PDRG1', 'SMDT1', 'PHOSPHO1', 'MAP1LC3A', 'BAG1', 'TOMM7', 'DCAF11']",0.99999549264619,0,0,13
9,hsa-miR-4655-5p,0.6190331013542164,0.944348682590495,0.45290635335374707,"['NT5C', 'TIMM10B', 'FNDC4', 'MAP1LC3A', 'RPL18A', 'NXPH3', 'FRMPD2', 'SDHAF1', 'PSMG3', 'SELENOW', 'NAA38', 'CISD3']",0.99999549264619,0,0,12
10,mmu-miR-3960,0.6252099381612707,0.9348052990766761,0.43904793384017854,"['CCDC85B', 'BRK1', 'RPL13A', 'PCDHA9', 'PHLDA2', 'PCDHA7']",0.99999549264619,0,0,6
