pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,3.94820255626107e-32,8.05433321477259e-30,1.47456250139425,0.890630408444905,2.03695492478239,76,RPL41|RPS27|RPS15A|RPS8|FAU|RPL22L1|RPL34|RPLP2|RPL11|RPS28|RPL10|RPL29|RPL36A|RPS27A|RPL21|RPL18A|RPL35A|RPS13|RPL9|RPL36AL|RPL12|RPL39|RPS9|RPS21|RPS10|RPL35|RPS3A|RPS29|RPLP1|RPS15|RPL10A|RPS12|RPL17|RPL26|RPS2|RPL32|RPS19|RPL30|RPL19|RPL7A|RPS7|RPS16|RPS23|RPL13|RPL37A|RPL27A|RPS24|RPL22|RPL18|RPS18|RPL36|RPL38|RPL37|RPL24|RPL23A|RPS5|RPL14|RPS3|RPL23|RPS4X|RSL24D1|RPS25|RPL7|RPL3|RPL27|RPSA|RPL6|RPL8|RPL26L1
KEGG_HUNTINGTONS_DISEASE,5.50805892825324e-11,4.01064010929302e-09,0.851339057116899,0.736134250335495,1.68360778197552,76,COX7A1|NDUFS6|POLR2I|COX7A2|UQCRQ|POLR2K|NDUFB2|UQCR10|ATP5F1E|NDUFB1|NDUFA5|COX4I1|COX7C|UQCRFS1|UQCR11|NDUFB3|NDUFA1|NDUFA7|BAX|NDUFB8|NDUFB10|UQCRH|NDUFA6|ATP5MC1|ATP5MC2|UQCRB|ATP5PF|COX5B|NDUFS5|NDUFB7|COX6C|COX6B1|COX7B|COX8A|SLC25A5|CYCS|NDUFC1|POLR2L|DCTN2|ATP5PD|ATP5PO|NDUFB5|CYC1|POLR2J|NDUFA4
KEGG_OXIDATIVE_PHOSPHORYLATION,5.89800016072503e-11,4.01064010929302e-09,0.839088935621274,0.751434713305589,1.70799498071641,66,COX7A1|NDUFS6|COX7A2|UQCRQ|NDUFB2|COX17|UQCR10|ATP5F1E|NDUFB1|NDUFA5|COX4I1|COX7C|UQCRFS1|UQCR11|NDUFB3|ATP5ME|NDUFA1|NDUFA7|NDUFB8|NDUFB10|ATP5MF|UQCRH|NDUFA6|ATP5MC1|ATP5MC2|UQCRB|ATP5PF|COX5B|NDUFS5|NDUFB7|COX6C|COX6B1|COX7B|COX8A|NDUFC1|ATP5PD|ATP5PO|NDUFB5|CYC1|NDUFA4|TCIRG1|NDUFA11|COX6A1|ATP5F1D|COX5A
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.50069845341949e-10,1.27535621124394e-08,0.814035837847908,0.714522551986885,1.6441331216628,88,TIMM8B|NDUFS6|COX7A2|UQCRQ|NDUFB2|COX17|UQCR10|ATP5F1E|NDUFB1|NDUFA5|SURF1|TIMM13|COX4I1|COX7C|UQCRFS1|UQCR11|NDUFB3|ATP5ME|MRPL34|NDUFA1|NDUFA7|BAX|NDUFB8|ATP5MF|UQCRH|NDUFA6|ATP5MC1|ATP5MC2|UQCRB|ATP5PF|COX5B|MRPS12|NDUFB7|COX6C|COX6B1|TIMM10|COX7B|COX8A|SLC25A5|CYCS|NDUFC1|IDH3B|ATP5PD|ATP5PO|ISCU|NDUFB5|GPX4|CYC1|NDUFA4|TCIRG1
KEGG_ALZHEIMERS_DISEASE,3.87901276036875e-10,1.58263720623045e-08,0.814035837847908,0.740188884782894,1.68243345377248,66,COX7A1|NDUFS6|COX7A2|UQCRQ|NDUFB2|UQCR10|ATP5F1E|NDUFB1|NDUFA5|COX4I1|COX7C|UQCRFS1|UQCR11|NDUFB3|NDUFA1|NDUFA7|NDUFB8|NDUFB10|UQCRH|NDUFA6|ATP5MC1|ATP5MC2|UQCRB|ATP5PF|COX5B|NDUFS5|NDUFB7|COX6C|COX6B1|COX7B|COX8A|CYCS|NDUFC1|ATP5PD|ATP5PO|NDUFB5|CYC1|NDUFA4|PSENEN|COX6A1|ATP5F1D|COX5A
KEGG_PARKINSONS_DISEASE,1.77455697047702e-09,6.03349369962187e-08,0.788186810800237,0.749539715535276,1.69441505990971,60,COX7A1|NDUFS6|COX7A2|UQCRQ|NDUFB2|UQCR10|ATP5F1E|NDUFB1|NDUFA5|COX4I1|COX7C|UQCRFS1|UQCR11|NDUFB3|NDUFA1|NDUFA7|NDUFB8|NDUFB10|UQCRH|NDUFA6|ATP5MC1|ATP5MC2|UQCRB|ATP5PF|COX5B|NDUFS5|NDUFB7|COX6C|COX6B1|COX7B|COX8A|SLC25A5|CYCS|NDUFC1|PARK7|ATP5PD|ATP5PO|NDUFB5|CYC1|NDUFA4
HALLMARK_MYC_TARGETS_V1,2.26639952704309e-07,6.60493576452558e-06,0.690132458796796,0.722455817092996,1.62186124020251,52,SNRPD1|LSM2|RPL34|LSM7|RPS10|EEF1B2|RPS2|RANBP1|RPL22|RPL18|PSMD7|H2AZ1|RPS5|RPL14|RPS3|RPL6|NME1|APEX1|VBP1|POLE3|NHP2|MCM5|CYC1|MRPL9|SET|NPM1|PHB1|COX5A|RPLP0|ERH
KEGG_CARDIAC_MUSCLE_CONTRACTION,3.78851830035431e-05,0.000966072166590349,0.557332238758646,0.732570484806827,1.5985848492337,32,COX7A1|COX7A2|UQCRQ|UQCR10|COX4I1|COX7C|UQCRFS1|UQCR11|UQCRH|UQCRB|COX5B|COX6C|COX6B1|COX7B|COX8A|CYC1|TPM2|COX6A1|COX5A
HALLMARK_DNA_REPAIR,5.58452904027748e-05,0.0012658265824629,0.557332238758646,0.683122615861048,1.51676888625631,43,POLR2I|POLR2K|COX17|MRPL40|POLD4|SURF1|NT5C|SNAPC5|SAC3D1|ALYREF|GMPR2|TMED2|APRT|NME1|POLE4|SUPT4H1|GPX4|GUK1|EDF1|POLR2J|BRF2|EIF1B|POLR1H
KEGG_SPLICEOSOME,0.000755606271819848,0.0154143679451249,0.477270815362862,0.760386592059233,1.59949851664572,19,SNRPD1|LSM2|LSM7|LSM3|PPIL1|SNRPE|ALYREF|SRSF9|LSM4
