"SHORT_NAME","CHEM_ID","SUPER_PATHWAY","SUB_PATHWAY","CHEMICAL_NAME","CHEMSPIDER","HMDB","PUBCHEM","KEGG_metaboAnalyst","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf","HMDB_metabolon","Match_MetaboAnalyst","HMDB_MetaboAnalyst","PubChem","ChEBI","KEGGNA","METLIN","SMILES","Comment"
"(N(1) + N(8))-acetylspermidine","100016038","Amino Acid","Polyamine Metabolism","(N(1) + N(8))-acetylspermidine",NA,"HMDB0002189,HMDB0001276",496123689,"C01029,C00612",4.48320650592669,0.191850519956559,0.00385375198655362,0.19468390480538,-0.186834098329261,-0.0435848793630803,0.0300875389626716,1,"HMDB0002189","N8-Acetylspermidine","HMDB0002189","123689","27911","C01029","6535","CC(=O)NCCCCNCCCN",1
"(R)-3-hydroxybutyrylcarnitine","100003926","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)","(R)-3-hydroxybutyrylcarnitine",NA,"HMDB0013127",53481617,NA,5.12220327955734,0.178150678440771,0.0192458054849367,0.172045967249488,-0.163398881063827,0.0709821801299215,0.0803614750301878,1,"HMDB0013127","3-Hydroxybutyrylcarnitine","HMDB0013127","53481617","72995",NA,NA,"C[C@@H](O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C",1
"(S)-3-hydroxybutyrylcarnitine","100009271","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)","(S)-3-hydroxybutyrylcarnitine",NA,"HMDB0013127",71464477,NA,4.67740844603806,0.174845372633184,0.00081202940224693,0.189671194957363,-0.174738409838744,-0.00611493730663606,0.0108041200129464,0.63744308076384,"HMDB0013127","3-Hydroxybutyrylcarnitine","HMDB0013127","53481617","72995",NA,NA,"C[C@@H](O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C",1
"1-carboxyethylisoleucine","100020427","Amino Acid","Leucine, Isoleucine and Valine Metabolism","1-carboxyethylisoleucine",NA,NA,NA,NA,0.38056511681592,0.219449496680636,0.00181358932192114,0.205274313627575,0.08151346529161,0.203748954769191,0.0197731613570569,1,NA,"1-Carboxyethylisoleucine","HMDB0242158","146171344","NA","NA","NA","[H]C(C)(N[C@]([H])(C(O)=O)[C@@]([H])(C)CC)C(O)=O",1
"1-carboxyethylleucine","100020425","Amino Acid","Leucine, Isoleucine and Valine Metabolism","1-carboxyethylleucine",NA,NA,NA,NA,6.27572587504616,0.151174400293544,0.00296073518541298,0.152009531027946,-0.00112766472143426,0.151170194404812,0.025540407918123,1,NA,"1-Carboxyethylleucine","HMDB0240626","53752255","NA","NA","NA","CC(C)C[C@H](N[C@H](C)C(O)=O)C(O)=O",1
"1-carboxyethylphenylalanine","100020419","Amino Acid","Phenylalanine Metabolism","1-carboxyethylphenylalanine",19276386,NA,59100900,NA,0.0130446149940723,0.157831965569598,0.00396115851968782,0.158925625322979,0.00205879883523945,0.157818537260104,0.0301111897052558,1,NA,"1-Carboxyethylphenylalanine","HMDB0240628","127261991","NA","NA","NA","C[C@@H](N[C@@H](CC1=CC=CC=C1)C(O)=O)C(O)=O",1
"1-carboxyethyltyrosine","100020421","Amino Acid","Tyrosine Metabolism","1-carboxyethyltyrosine",NA,NA,NA,NA,6.1173113666338,0.192195359885444,0.00022312257404109,0.197542337990661,-0.0317342098353595,0.189557369383574,0.00427198099078684,0.17515122062226,NA,"1-Carboxyethyltyrosine","HMDB0242159","146171371","NA","NA","NA","[H]C(C)(N[C@@]([H])(CC1=CC=C(O)C=C1)C(O)=O)C(O)=O",1
"1-carboxyethylvaline","100020423","Amino Acid","Leucine, Isoleucine and Valine Metabolism","1-carboxyethylvaline",NA,NA,NA,NA,0.264041057762997,0.17667900048192,0.0056008307397001,0.172045746925288,0.0461103357081824,0.170555873989051,0.0375782233390135,1,NA,"1-Carboxyethylvaline","HMDB0240627","NA","NA","NA","NA","CC(C)[C@H](N[C@H](C)C(O)=O)C(O)=O",1
"1-linoleoyl-GPG (18:2)*","100009227","Lipid","Lysophospholipid","1-linoleoyl-GPG (18:2)*",NA,NA,NA,NA,5.729851755042,0.213786556467617,0.0133671474464188,0.206087395677072,-0.112350448264388,0.181884767094644,0.0646063167010981,1,NA,"LysoPG(18:2(9Z,12Z)/0:0)","HMDB0240600","52927437",NA,NA,NA,NA,1
"1-methyl-4-imidazoleacetate","100001208","Amino Acid","Histidine Metabolism","1-methyl-4-imidazoleacetate",68319,"HMDB0002820",75810,"C05828",1.90474174877333,0.242980561663703,0.00021859325389106,0.190148686050957,0.229557464313755,-0.0796424756285716,0.00427198099078684,0.171595704304483,"HMDB0002820","Methylimidazoleacetic acid","HMDB0002820","75810","1606","C05828","3774","CN1C=NC(CC(O)=O)=C1",1
