Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-208a,5.462946885011345e-06,1.7416404384433946,21.10436666206102,"['BTG1', 'MEGF10', 'TSEN15', 'CHD9', 'HP1BP3', 'HIF3A', 'TSPAN11', 'IPO5', 'MED13', 'SCRN1', 'CDH2', 'RPS6KA2', 'CSPP1', 'EFCAB2', 'ZXDC', 'CDC27', 'KIF13B', 'PDK3', 'WDR7', 'NUDT16', 'VPS36', 'NEFH', 'CFAP44', 'SOX5', 'ANKS1B', 'VAV3', 'USP47', 'WDHD1', 'SMARCC2', 'ANKRD44', 'ELMOD2', 'SWAP70', 'VPS13C', 'TCF12', 'PRPF40A', 'PTBP2', 'ARMC2', 'AFG3L2', 'ILF3', 'ZNF718', 'MAF', 'GAS1', 'PRR18', 'CD47', 'HNRNPH3', 'CGGBP1', 'KCTD16', 'WDR26', 'UBA6', 'SYNPO2', 'SEMA3A', 'ANKRD12', 'ASAP3', 'AK3', 'TRAK1', 'LPP', 'HDAC9', 'SELENOI', 'SLC7A2', 'PURA', 'CACNG7', 'ODF2L', 'RIC8B', 'SEC14L1', 'FAM172A', 'FNIP1', 'SEC11A', 'RAB11FIP4', 'IMPG2', 'TTC14', 'CBX5', 'ATP8B2', 'PLEKHA1', 'ST8SIA1', 'PCDH7', 'CARD8', 'PCDHB13', 'NAP1L1', 'HELZ', 'ARHGAP26', 'GPR137C', 'SLC4A7', 'MAPK10', 'SDK1', 'MYO1C', 'VAPA', 'NOVA1', 'SP3', 'COL5A2', 'PHF13', 'CCSER2', 'ZNF654', 'LPIN2']",0.0017440820067639348,0,0,93
2,hsa-miR-208b,5.462946885011345e-06,1.7416404384433946,21.10436666206102,"['BTG1', 'MEGF10', 'TSEN15', 'CHD9', 'HP1BP3', 'HIF3A', 'TSPAN11', 'IPO5', 'MED13', 'SCRN1', 'CDH2', 'RPS6KA2', 'CSPP1', 'EFCAB2', 'ZXDC', 'CDC27', 'KIF13B', 'PDK3', 'WDR7', 'NUDT16', 'VPS36', 'NEFH', 'CFAP44', 'SOX5', 'ANKS1B', 'VAV3', 'USP47', 'WDHD1', 'SMARCC2', 'ANKRD44', 'ELMOD2', 'SWAP70', 'VPS13C', 'TCF12', 'PRPF40A', 'PTBP2', 'ARMC2', 'AFG3L2', 'ILF3', 'ZNF718', 'MAF', 'GAS1', 'PRR18', 'CD47', 'HNRNPH3', 'CGGBP1', 'KCTD16', 'WDR26', 'UBA6', 'SYNPO2', 'SEMA3A', 'ANKRD12', 'ASAP3', 'AK3', 'TRAK1', 'LPP', 'HDAC9', 'SELENOI', 'SLC7A2', 'PURA', 'CACNG7', 'ODF2L', 'RIC8B', 'SEC14L1', 'FAM172A', 'FNIP1', 'SEC11A', 'RAB11FIP4', 'IMPG2', 'TTC14', 'CBX5', 'ATP8B2', 'PLEKHA1', 'ST8SIA1', 'PCDH7', 'CARD8', 'PCDHB13', 'NAP1L1', 'HELZ', 'ARHGAP26', 'GPR137C', 'SLC4A7', 'MAPK10', 'SDK1', 'MYO1C', 'VAPA', 'NOVA1', 'SP3', 'COL5A2', 'PHF13', 'CCSER2', 'ZNF654', 'LPIN2']",0.0017440820067639348,0,0,93
3,mmu-miR-3079-5p,1.1244547357800543e-05,1.840276577355229,20.971105868491794,"['DHRS12', 'ANKRD33B', 'CHD9', 'HP1BP3', 'AMD1', 'TSPAN11', 'BACH1', 'C1QTNF7', 'ZXDC', 'REV3L', 'UBTF', 'VPS36', 'SOX5', 'VAV3', 'USP47', 'MECR', 'TCF12', 'GAB1', 'DYRK1A', 'ARNT', 'PRPF40A', 'KCTD7', 'CYP39A1', 'KIF2A', 'NAV3', 'HNRNPH3', 'DOCK1', 'PRKN', 'WDR26', 'SYNPO2', 'TSHZ1', 'ANKRD12', 'CACNA1A', 'HNRNPLL', 'TRAK1', 'LPP', 'HDAC9', 'JAKMIP3', 'PBLD', 'PURA', 'TMEM65', 'PTCHD1', 'CTNNA2', 'FNIP1', 'ATP6V0E2', 'RAB11FIP4', 'IMPG2', 'EXPH5', 'CBX5', 'ST8SIA1', 'CMTM4', 'KCNIP3', 'PCDH7', 'PARVA', 'NAP1L1', 'RPL23A', 'HELZ', 'TDRD6', 'ARHGAP26', 'KLF3', 'TTLL7', 'SLC4A7', 'MLLT10', 'NOVA1', 'COL5A2', 'CREBRF', 'NF1', 'PHF13', 'ZNF654', 'TNRC6A']",0.0017440820067639348,0,0,70
4,mmu-miR-714,1.3375091645714463e-05,2.320723075369895,26.043424514576444,"['SYNM', 'IGSF5', 'WDR26', 'PTPRS', 'ANAPC16', 'POGK', 'HP1BP3', 'LPP', 'SLC7A2', 'JAKMIP3', 'GNG5', 'PSD2', 'SCRN1', 'TMEM65', 'ZXDC', 'MVB12B', 'PDK3', 'HAVCR2', 'ANKS1B', 'SLC15A2', 'CBX5', 'SMARCC2', 'SWAP70', 'VPS13C', 'ATRX', 'WNT7A', 'LYRM9', 'PARVA', 'HELZ', 'ARHGAP26', 'MMS22L', 'AFG3L2', 'WDFY2', 'RCOR3', 'SLC18B1', 'ARHGEF7', 'MGLL']",0.0017440820067639348,0,0,37
5,mmu-miR-137,1.8320430715232263e-05,1.6601719322378803,18.108314872440378,"['GLTP', 'CHIC1', 'FRMPD4', 'WIPF2', 'BACH1', 'RGS5', 'HMGN4', 'NCKAP5', 'HMGN3', 'AGFG2', 'RPS13', 'SOX5', 'CADPS2', 'FBXW7', 'ANKRD44', 'CMC2', 'LDOC1', 'FTSJ1', 'MAF', 'RALGAPB', 'TBL1XR1', 'PARD3', 'SIK2', 'SHC1', 'UBA6', 'ANKRD12', 'CACNA1D', 'LPP', 'DGUOK', 'RIC8B', 'ZNF704', 'RSU1', 'HMGCLL1', 'EXPH5', 'TFAP2C', 'LRBA', 'MARCH9', 'PARVA', 'B3GALT5', 'FBXO32', 'GPR137C', 'CREBRF', 'NF1', 'RCOR3', 'ZNF654', 'ANKRD33B', 'MEGF10', 'CHD9', 'DENND1A', 'AMD1', 'SPOUT1', 'NIPBL', 'PSD2', 'NCK2', 'NEFH', 'CFAP44', 'KCND2', 'TTC33', 'DUSP1', 'ELMOD2', 'VPS13C', 'TCF12', 'PRPF40A', 'TBC1D1', 'SLC25A18', 'RPL37A', 'LCORL', 'ZMYND11', 'ARHGEF7', 'MGLL', 'DBN1', 'SYNPO2', 'SEMA3A', 'SELENOI', 'JAKMIP3', 'CACNG7', 'RMND5A', 'FAM172A', 'SNX25', 'MGAT5B', 'RICTOR', 'RBBP6', 'NCAM2', 'FNIP1', 'CMTM4', 'SWT1', 'WNT7A', 'LYRM9', 'C1ORF21', 'KLF3', 'SLC4A7', 'MAPK10', 'MYO1C', 'NOVA1', 'BMT2', 'ASXL2', 'VPS45', 'NAA15']",0.0017440820067639348,0,0,98
6,mmu-miR-499,1.9852860188575905e-05,1.656212634349345,17.932083278799624,"['CDH2', 'SLC39A9', 'RPS6KA2', 'ZXDC', 'CDC27', 'PDK3', 'NUDT16', 'HMGN3', 'SOX5', 'ANKS1B', 'WDHD1', 'ANKRD44', 'SWAP70', 'RNF40', 'KCTD7', 'DPM1', 'ILF3', 'CGGBP1', 'UQCRB', 'ANAPC16', 'ANKRD12', 'LPP', 'SEC14L1', 'ZMAT3', 'ZNF704', 'BTBD3', 'RNF170', 'RSU1', 'CDH26', 'EVI5', 'CDR2', 'EXPH5', 'SMAD2', 'ATP8B2', 'PARVA', 'BTBD7', 'HELZ', 'KLHL24', 'TDRD6', 'FBXO32', 'ARHGAP31', 'SP3', 'COL5A2', 'ACER3', 'NF1', 'PHF13', 'CCSER2', 'COLGALT2', 'ANKRD33B', 'MEGF10', 'CHD9', 'DENND1A', 'HP1BP3', 'AMD1', 'MED13', 'SCRN1', 'C1QTNF7', 'KIF13B', 'UBTF', 'WDR7', 'ERC2', 'VAV3', 'USP47', 'TCF12', 'ATRX', 'PRPF40A', 'PTBP2', 'ACOX1', 'CD47', 'HNRNPH3', 'SLC18B1', 'WDR26', 'SYNPO2', 'SEMA3A', 'GNAI3', 'ADAM22', 'TRAK1', 'SELENOI', 'SLC7A2', 'SLC25A27', 'PURA', 'RMND5A', 'OXCT1', 'RICTOR', 'NCAM2', 'FNIP1', 'ATP6V0E2', 'SEC11A', 'CMTM4', 'PCDH7', 'NAP1L1', 'KLF3', 'MLH3', 'MYO1C', 'VAPA', 'NOVA1', 'ASXL2', 'NAA15']",0.0017440820067639348,0,0,98
7,hsa-miR-770-5p,2.045843996204029e-05,1.6744879823967502,18.079639393331078,"['SEMA5B', 'ANKRD33B', 'BTG1', 'RBM26', 'CHIC1', 'FRMPD4', 'AMD1', 'ZDHHC7', 'TSPAN11', 'CYB5D2', 'RGS5', 'MED13', 'SCRN1', 'PPP2R1B', 'ZC3H7A', 'LRRTM4', 'CSPP1', 'ZXDC', 'NCK2', 'NUDT16', 'NELFA', 'ERC2', 'PAAF1', 'CFAP44', 'VAV3', 'WDHD1', 'MECR', 'SLC15A2', 'KCND2', 'TMEM178A', 'FBXW7', 'TTC33', 'SLC6A16', 'VPS13C', 'GAB1', 'ATG10', 'SLC30A1', 'TANC2', 'ILF3', 'ZNF718', 'RALGAPB', 'UPRT', 'SIK2', 'ARHGEF7', 'VAMP5', 'TRIM56', 'ZNF273', 'STX16', 'ASAP3', 'ADAM22', 'HNRNPLL', 'TRAK1', 'LPP', 'SLC7A2', 'PURA', 'ODF2L', 'FAM172A', 'ZMAT3', 'OXCT1', 'ZNF704', 'RNF170', 'RICTOR', 'CD59', 'RSU1', 'NCAM2', 'ZNF621', 'FNIP1', 'SEC11A', 'RAB11FIP4', 'EXPH5', 'TTC14', 'SMAD2', 'TFAP2C', 'CBX5', 'WSCD1', 'LGI4', 'CEP350', 'SWT1', 'C1ORF21', 'PARVA', 'A2ML1', 'NAP1L1', 'HELZ', 'FBXO32', 'PLEKHA8', 'ARHGAP31', 'VAPA', 'STK17A', 'SP3', 'COL5A2', 'NAA15', 'RCOR3', 'EIF4G3']",0.0017440820067639348,0,0,93
8,hsa-miR-4712-5p,2.045843996204029e-05,1.6744879823967502,18.079639393331078,"['SEMA5B', 'ANKRD33B', 'BTG1', 'RBM26', 'CHIC1', 'FRMPD4', 'AMD1', 'ZDHHC7', 'TSPAN11', 'CYB5D2', 'RGS5', 'MED13', 'SCRN1', 'PPP2R1B', 'ZC3H7A', 'LRRTM4', 'CSPP1', 'ZXDC', 'NCK2', 'NUDT16', 'NELFA', 'ERC2', 'PAAF1', 'CFAP44', 'VAV3', 'WDHD1', 'MECR', 'SLC15A2', 'KCND2', 'TMEM178A', 'FBXW7', 'TTC33', 'SLC6A16', 'VPS13C', 'GAB1', 'ATG10', 'SLC30A1', 'TANC2', 'ILF3', 'ZNF718', 'RALGAPB', 'UPRT', 'SIK2', 'ARHGEF7', 'VAMP5', 'TRIM56', 'ZNF273', 'STX16', 'ASAP3', 'ADAM22', 'HNRNPLL', 'TRAK1', 'LPP', 'SLC7A2', 'PURA', 'ODF2L', 'FAM172A', 'ZMAT3', 'OXCT1', 'ZNF704', 'RNF170', 'RICTOR', 'CD59', 'RSU1', 'NCAM2', 'ZNF621', 'FNIP1', 'SEC11A', 'RAB11FIP4', 'EXPH5', 'TTC14', 'SMAD2', 'TFAP2C', 'CBX5', 'WSCD1', 'LGI4', 'CEP350', 'SWT1', 'C1ORF21', 'PARVA', 'A2ML1', 'NAP1L1', 'HELZ', 'FBXO32', 'PLEKHA8', 'ARHGAP31', 'VAPA', 'STK17A', 'SP3', 'COL5A2', 'NAA15', 'RCOR3', 'EIF4G3']",0.0017440820067639348,0,0,93
9,mmu-miR-300,2.4372449096447828e-05,1.6498060941828254,17.52433469968564,"['CHIC1', 'FRMPD4', 'BACH1', 'IPO5', 'EDNRA', 'PPP2R1B', 'SLC39A9', 'ZXDC', 'PDK3', 'HMGN3', 'VPS36', 'WDHD1', 'SLC6A16', 'ANKRD44', 'DYRK1A', 'RNF40', 'TANC2', 'KCTD7', 'DPM1', 'RALGAPB', 'TBL1XR1', 'WDFY3', 'ASTN2', 'CGGBP1', 'TSHZ1', 'ANKRD12', 'CACNA1B', 'LPP', 'RIC8B', 'SEC14L1', 'EVI5', 'RAB11FIP4', 'SMAD2', 'TFAP2C', 'CBX5', 'PARVA', 'BTBD7', 'HELZ', 'KLHL24', 'FBXO32', 'GPR137C', 'NR4A2', 'IGSF11', 'SDK1', 'GOLGB1', 'CREBRF', 'CSPG5', 'RCOR3', 'RNF13', 'MEGF10', 'CHD9', 'AMD1', 'PTPRJ', 'MED13', 'PSD2', 'LRRTM4', 'NCK2', 'WDR7', 'ERC2', 'CFAP44', 'VAV3', 'PBRM1', 'KCND2', 'TTC33', 'VPS13C', 'ATRX', 'PTBP2', 'MMS22L', 'PPM1B', 'NAV3', 'CD47', 'HNRNPH3', 'LCORL', 'SLC18B1', 'ARHGEF7', 'ERGIC1', 'SYNPO2', 'GNAI3', 'ADAM22', 'TRAK1', 'RMND5A', 'TMEM65', 'PTCHD1', 'OXCT1', 'RICTOR', 'CD59', 'FNIP1', 'TTC14', 'PLEKHA1', 'CMTM4', 'LGI4', 'PCDH7', 'C1ORF21', 'PCDHB13', 'LETM1', 'NOVA1', 'BMT2']",0.001846890031530824,0,0,97
10,mmu-miR-5117,3.313616622749619e-05,1.6620124313124944,17.143467491124866,"['VPS29', 'SYNM', 'BTG1', 'CHIC1', 'RNF13', 'MEGF10', 'AMD1', 'PTPRJ', 'NIPBL', 'ARHGAP42', 'MED13', 'PPP4R1', 'CDH2', 'C1QTNF7', 'CDC27', 'KIF13B', 'PDK3', 'WDR7', 'VAV3', 'USP47', 'WDHD1', 'PPP1R12A', 'TCF12', 'ATRX', 'PRPF40A', 'SLC39A12', 'RGMB', 'ZFX', 'IL17RB', 'TANC2', 'TBC1D1', 'MMS22L', 'PPM1B', 'MAF', 'NAV3', 'ACOX1', 'WDFY3', 'CD47', 'LCORL', 'MGLL', 'KCTD16', 'SYNPO2', 'GNAI3', 'ADAM22', 'ZBTB1', 'TRAK1', 'LPP', 'HDAC9', 'SELENOI', 'SLC7A2', 'ENOX2', 'RAP1A', 'RMND5A', 'RIC8B', 'ZMAT3', 'OXCT1', 'FLRT3', 'ZNF704', 'BTBD3', 'CD59', 'FNIP1', 'EVI5', 'JAM2', 'PURG', 'TTC14', 'SPAG9', 'SMAD2', 'TFAP2C', 'LRRN2', 'CMTM4', 'PCDH7', 'PARVA', 'BTBD7', 'KLHL24', 'FBXO32', 'MLH3', 'PLEKHA8', 'GPR137C', 'SLC4A7', 'ARHGAP31', 'MYO1C', 'VAPA', 'NOVA1', 'ACER3', 'TTC3', 'CCSER2', 'NAA15', 'RCOR3', 'ZNF654', 'EIF4G3']",0.00225988653671524,0,0,90
