Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-219-5p,3.101963863875915e-05,2.2216719188109475,23.062931915420933,"['PRKN', 'MAPKBP1', 'TSEN15', 'GNAI3', 'CACNA1B', 'RTL9', 'ZBTB44', 'NR2C2', 'BACH1', 'PBLD', 'SYNGAP1', 'CHRAC1', 'SIPA1L1', 'RPS6KA2', 'GRM8', 'RNF170', 'S100PBP', 'PURG', 'LZTS3', 'SMAD2', 'WWOX', 'TCAF1', 'KCND2', 'ANKRD44', 'PCDH7', 'C1ORF21', 'BTBD7', 'RAD23B', 'ZFX', 'ENAH', 'ITPKB', 'MAF', 'RPS20', 'ERGIC1', 'TNRC6A', 'C21ORF62', 'MCPH1', 'ARHGEF6']",0.02106233463571746,0,0,38
2,hsa-miR-921,0.0008775236368747111,1.7514594313535488,12.327483737528878,"['PRKN', 'SLC35F6', 'CHD9', 'FRMPD4', 'ZBTB1', 'RRH', 'RTL9', 'ZBTB44', 'HIF3A', 'NR2C2', 'TRAK1', 'NR2C1', 'C1QTNF3', 'TMEM245', 'HEPH', 'ZMAT3', 'ZNHIT6', 'BLOC1S2', 'ZNF605', 'RNF170', 'CTNNA2', 'NUDT16', 'ZNF765', 'ZNF621', 'FNIP1', 'STX2', 'ZNF641', 'TLE4', 'SMAD2', 'CADPS2', 'MMAB', 'PCDH7', 'LRBA', 'VPS13C', 'TMA7', 'HELZ', 'ALG10', 'ZFX', 'ENAH', 'FAM167A', 'AMACR', 'MAF', 'KIF2A', 'STK17A', 'ORAI2', 'NAA15']",0.2002783991727557,0,0,46
3,mmu-miR-3066,0.0008848824705718219,1.8443422863429306,12.96582904599351,"['PRKN', 'SLC35F6', 'ITPRIP', 'MEGF10', 'UQCRB', 'FAM13C', 'FRMPD4', 'RPLP0', 'ANKRD12', 'CACNA1B', 'MFF', 'NR2C2', 'NR2C1', 'C1QTNF3', 'CHRAC1', 'LRRTM4', 'RPS6KA2', 'GRM8', 'SNX7', 'S100PBP', 'JAK1', 'LZTS3', 'SMAD2', 'CADPS2', 'RPL41', 'PCDH7', 'RAD23B', 'ZFX', 'ENAH', 'ITPKB', 'NUDT21', 'MAF', 'TFDP2', 'WNK1', 'NF1', 'NAA15', 'SSX2IP', 'ARHGEF6']",0.2002783991727557,0,0,38
4,hsa-miR-3610,0.0016251562481284297,2.907443967018929,18.672045096452727,"['ENAH', 'ITPKB', 'SMAD2', 'TMEM245', 'TFDP2', 'LRRTM4', 'RPS6KA2', 'CIRBP', 'HIF3A', 'TRAK1', 'ERGIC1', 'TNRC6A']",0.2580245166654544,0,0,12
5,mmu-miR-412-5p,0.0025239819327974116,3.3258802816901407,19.89514143497469,"['PRKN', 'ITPRIP', 'KCND2', 'FRMPD4', 'ZMAT3', 'ZNF605', 'HELZ', 'C1ORF21', 'FNIP1']",0.2580245166654544,0,0,9
6,mmu-miR-3079-5p,0.002542383077266867,1.793,10.712553579205558,"['GRAMD1C', 'PRKN', 'CHD9', 'C17ORF58', 'ANKRD12', 'CREBL2', 'HNRNPLL', 'TRAK1', 'BACH1', 'PBLD', 'SH3BGRL', 'SIPA1L1', 'GRM8', 'CTNNA2', 'FNIP1', 'ATP6V0E2', 'IMPG2', 'VAV3', 'TLE4', 'PCDH7', 'AP1B1', 'RPL23A', 'HELZ', 'TDRD6', 'ENAH', 'MLLT10', 'NUDT21', 'KIF2A', 'NF1', 'HNRNPH3', 'DOCK1', 'TNRC6A', 'ARHGEF6']",0.2580245166654544,0,0,33
7,mmu-miR-380-5p,0.002987004371659548,1.7188213172189901,9.992340701228116,"['PRKN', 'ITPRIP', 'MEGF10', 'UQCRB', 'FAM13C', 'FRMPD4', 'RPLP0', 'CACNA1B', 'MFF', 'NR2C2', 'NR2C1', 'C1QTNF3', 'TMEM245', 'SH3BGRL', 'SCRN1', 'ZNHIT6', 'RPS6KA2', 'GRM8', 'SNX7', 'S100PBP', 'JAK1', 'SMAD2', 'CADPS2', 'MARCKSL1', 'RPL41', 'KCND2', 'CRADD', 'ANKRD44', 'RAD23B', 'ZFX', 'NUDT21', 'MAF', 'TFDP2', 'WNK1', 'ORAI2', 'NAA15', 'ARHGEF6']",0.2580245166654544,0,0,37
8,hsa-miR-660,0.0030400532154987265,1.6642372455390801,9.645719797078339,"['GRAMD1C', 'MAPKBP1', 'ITPRIP', 'UQCRB', 'POGK', 'C17ORF58', 'GNAI3', 'ZBTB1', 'RTL9', 'IRS2', 'TRAK1', 'PBLD', 'C1QTNF3', 'HEPH', 'LRRTM4', 'ATXN7', 'ZMAT3', 'ZNHIT6', 'BLOC1S2', 'TBC1D13', 'TCP11L2', 'RBBP6', 'NUDT16', 'ZNF765', 'ZNF621', 'IMPG2', 'CADPS2', 'PCDH7', 'VPS13C', 'KIAA0232', 'AMACR', 'MAF', 'TFDP2', 'WNK1', 'RPL37A', 'ORAI2', 'NF1', 'RPS20', 'ASTN2', 'ZMYND11', 'SSX2IP', 'ARHGEF6']",0.2580245166654544,0,0,42
9,mmu-miR-720,0.003639245101043621,2.411892716057939,13.545138864533186,"['CRB2', 'MEGF10', 'FAM13C', 'UHRF1', 'PON2', 'CACNA1B', 'ZBTB44', 'IGSF11', 'TMEM245', 'SH3BGRL', 'WDR7', 'VPS45', 'NUDT16', 'ANKS1B']",0.27279276808567776,0,0,14
10,mmu-miR-1196,0.005104021756824756,1.656437474744335,8.74222390676886,"['CHD9', 'ANKRD12', 'ZBTB1', 'OGDHL', 'IRS2', 'HIF3A', 'HNRNPLL', 'NR2C2', 'NR2C1', 'TMEM245', 'SH3BGRL', 'ATXN7', 'CSPP1', 'EP300', 'FNIP1', 'EVI5', 'S100PBP', 'VAV3', 'TLE4', 'CADPS2', 'CADM3', 'PNPT1', 'PCDH7', 'LRBA', 'BTBD7', 'ACYP1', 'ENAH', 'MLLT10', 'FAM167A', 'MAF', 'WNK1', 'GOPC', 'NAA15', 'LCORL', 'SSX2IP', 'C21ORF62', 'MCPH1']",0.27279276808567776,0,0,37
11,mmu-miR-1941-3p,0.005253783085388902,1.6235878398358314,8.521899014572089,"['CRB2', 'MEGF10', 'UQCRB', 'FAM13C', 'POGK', 'ANKRD12', 'ZBTB1', 'ZBTB44', 'HIF3A', 'HNRNPLL', 'NR2C2', 'TMEM245', 'SH3BGRL', 'ATXN7', 'BLOC1S2', 'TBC1D13', 'EP300', 'NELFA', 'FNIP1', 'ZNF641', 'SMAD2', 'CADPS2', 'WWOX', 'ANKRD44', 'PCDH7', 'VPS13C', 'BTBD7', 'HELZ', 'ENAH', 'ITPKB', 'NFKBIA', 'MLLT10', 'MAF', 'TFDP2', 'ZADH2', 'PARD3', 'HNRNPH3', 'LCORL', 'SSX2IP', 'TNRC6A']",0.27279276808567776,0,0,40
12,hsa-miR-3144-3p,0.005442064322384391,1.6489273608122959,8.596842443206274,"['UQCRB', 'FRMPD4', 'GNAI3', 'ZBTB1', 'MFF', 'TRAK1', 'NR2C1', 'BACH1', 'CHCHD2', 'TMEM245', 'SCRN1', 'ZNF605', 'RNF170', 'CTNNA2', 'NUDT16', 'EVI5', 'ZNF641', 'IMPG2', 'VAV3', 'CADPS2', 'RABGAP1L', 'TCAF1', 'PNPT1', 'TRIM41', 'MMAB', 'PCDH7', 'C1ORF21', 'BTBD7', 'HELZ', 'TDRD6', 'RAD23B', 'ZFX', 'IGSF11', 'NUDT21', 'MAF', 'LCORL', 'EIF4G3']",0.27279276808567776,0,0,37
13,hsa-miR-1244,0.0056727991511278,1.6063770999115827,8.308298992737578,"['TDRKH', 'UQCRB', 'PON2', 'ZBTB1', 'HIF3A', 'NR2C2', 'HEPH', 'LRRTM4', 'ATXN7', 'ZMAT3', 'ZNHIT6', 'CSPP1', 'ZNF605', 'RNF170', 'RPL13', 'WDR7', 'ZNF621', 'EVI5', 'IMPG2', 'LZTS3', 'SMAD2', 'CADPS2', 'CADM3', 'ANKRD44', 'PCDH7', 'VPS13C', 'C1ORF21', 'KIAA0232', 'TDRD6', 'MAGOHB', 'MLLT10', 'NUDT21', 'AMACR', 'WNK1', 'ESYT3', 'RAB9A', 'LCORL', 'ASTN2', 'ZMYND11', 'SSX2IP', 'MCPH1']",0.27279276808567776,0,0,41
14,hsa-miR-553,0.006272306124150838,2.0291173794358506,10.290894405473804,"['CRB2', 'SMAD2', 'MEGF10', 'UHRF1', 'ANKRD12', 'WNT7A', 'C1ORF21', 'BTBD7', 'NR2C2', 'MAGOHB', 'ENAH', 'SH3BGRL', 'TFDP2', 'LRRTM4', 'ORAI2', 'ZNF547', 'FNIP1', 'DOCK1']",0.27279276808567776,0,0,18
15,mmu-miR-376b,0.0070052944932369535,1.5833537915984726,7.85515917304392,"['TDRKH', 'SLC35F6', 'ISCA2', 'EIF4A1', 'ITPRIP', 'TSEN15', 'FAM13C', 'CHD9', 'FRMPD4', 'POGK', 'PON2', 'ANKRD12', 'ZBTB1', 'RRH', 'IRS2', 'ZBTB44', 'NR2C2', 'NR2C1', 'BACH1', 'TMEM245', 'SCRN1', 'LRRTM4', 'ADAMTSL3', 'EVI5', 'S100PBP', 'SRSF11', 'TLE4', 'MMAB', 'PCDH7', 'BTBD7', 'HELZ', 'ZFX', 'ENAH', 'MLLT10', 'NUDT21', 'ZADH2', 'NAA15', 'EFHC2', 'ZMYND11', 'MCPH1', 'ARHGEF6']",0.27279276808567776,0,0,41
16,mmu-miR-101c,0.007083989618926754,1.5904194297546097,7.872445801838243,"['SLC35F6', 'ITPRIP', 'FAM13C', 'UHRF1', 'PON2', 'ANKRD12', 'ZBTB1', 'RTL9', 'ZBTB44', 'NR2C2', 'TRAK1', 'NR2C1', 'ZMYM3', 'ZMAT3', 'TBC1D13', 'C11ORF49', 'RNF170', 'EP300', 'ZNF641', 'PURG', 'ANKS1B', 'VAV3', 'ACOT9', 'RABGAP1L', 'PAQR4', 'BTBD7', 'HELZ', 'RAD23B', 'ZFX', 'ENAH', 'FAM167A', 'AMACR', 'TFDP2', 'WNK1', 'NF1', 'PTPN4', 'LCORL', 'EIF4G3', 'RIN2', 'C21ORF62']",0.27279276808567776,0,0,40
17,hsa-miR-1263,0.007759027519465346,1.650538049634435,8.019796477728724,"['ISCA2', 'MEGF10', 'UQCRB', 'FAM13C', 'UHRF1', 'C17ORF58', 'OGDHL', 'TMEM245', 'LRRTM4', 'ZMAT3', 'TMEM44', 'ZNHIT6', 'EFCAB2', 'RNF170', 'KCNN1', 'ZNF641', 'JAK1', 'IMPG2', 'ANKS1B', 'SMAD2', 'WWOX', 'LRBA', 'VPS13C', 'AP1B1', 'BTBD7', 'TDRD6', 'GOPC', 'ARHGEF2', 'NAA15', 'ASTN2', 'SSX2IP', 'RPS24', 'C21ORF62']",0.27279276808567776,0,0,33
18,hsa-miR-4782-3p,0.008334524932952591,1.6084949000360544,7.7004260668430256,"['PRKN', 'RTL9', 'CREBL2', 'ZBTB44', 'NR2C2', 'TMEM245', 'SYNGAP1', 'SIPA1L1', 'ZMAT3', 'EFCAB2', 'GRM8', 'ZNF621', 'S100PBP', 'PURG', 'ANKS1B', 'SMAD2', 'CADPS2', 'TCAF1', 'PNPT1', 'MMAB', 'ANKRD44', 'PCDH7', 'VPS13C', 'C1ORF21', 'BTBD7', 'RAD23B', 'ENAH', 'FAM167A', 'MAF', 'PARD3', 'VPS45', 'NAA15', 'LCORL', 'SSX2IP', 'ERGIC1', 'ARHGEF6']",0.27279276808567776,0,0,36
19,hsa-miR-219-5p,0.008334524932952591,1.6084949000360544,7.7004260668430256,"['PRKN', 'RTL9', 'CREBL2', 'ZBTB44', 'NR2C2', 'TMEM245', 'SYNGAP1', 'SIPA1L1', 'ZMAT3', 'EFCAB2', 'GRM8', 'ZNF621', 'S100PBP', 'PURG', 'ANKS1B', 'SMAD2', 'CADPS2', 'TCAF1', 'PNPT1', 'MMAB', 'ANKRD44', 'PCDH7', 'VPS13C', 'C1ORF21', 'BTBD7', 'RAD23B', 'ENAH', 'FAM167A', 'MAF', 'PARD3', 'VPS45', 'NAA15', 'LCORL', 'SSX2IP', 'ERGIC1', 'ARHGEF6']",0.27279276808567776,0,0,36
20,hsa-miR-1278,0.008522518372536538,1.5780867156706082,7.5196516862714144,"['TDRKH', 'UHRF1', 'FRMPD4', 'C17ORF58', 'ANKRD12', 'HNRNPLL', 'NR2C2', 'SH3BGRL', 'SCRN1', 'ZNHIT6', 'TCP11L2', 'NUDT16', 'FNIP1', 'STX2', 'ZNF641', 'JAK1', 'PURG', 'ANKS1B', 'TLE4', 'SMAD2', 'ANKRD44', 'PCDH7', 'VPS13C', 'C1ORF21', 'BTBD7', 'HELZ', 'ZFX', 'ENAH', 'MLLT10', 'NUDT21', 'TFDP2', 'STK17A', 'NF1', 'GOPC', 'LCORL', 'EIF4G3', 'SSX2IP', 'MCPH1', 'ARHGEF6']",0.27279276808567776,0,0,39
21,mmu-miR-3087,0.008942753338689066,1.5490444608204372,7.306706030124252,"['GRAMD1C', 'ITPRIP', 'MEGF10', 'CHD9', 'ANKRD12', 'CACNA1B', 'RRH', 'IRS2', 'ZBTB44', 'HIF3A', 'MFF', 'NR2C2', 'TRAK1', 'NR2C1', 'CHCHD2', 'TMEM245', 'SCRN1', 'LRRTM4', 'TMEM44', 'RNF170', 'RBBP6', 'WDR7', 'NELFA', 'FNIP1', 'S100PBP', 'ANKS1B', 'VAV3', 'SMAD2', 'TRAPPC2', 'ANKRD44', 'VPS13C', 'HELZ', 'KIAA0232', 'ENAH', 'MLLT10', 'MAF', 'ZADH2', 'NF1', 'HNRNPH3', 'LCORL', 'ERGIC1', 'ARHGEF6']",0.27279276808567776,0,0,42
22,hsa-miR-770-5p,0.009240403042666552,1.5454884195250143,7.2393301422644765,"['MAPKBP1', 'ITPRIP', 'FRMPD4', 'ZBTB44', 'HNRNPLL', 'TRAK1', 'NR2C1', 'SCRN1', 'LRRTM4', 'ZMAT3', 'ZNHIT6', 'CSPP1', 'ZNF605', 'TBC1D13', 'RNF170', 'NUDT16', 'NELFA', 'ZNF765', 'ZNF621', 'FNIP1', 'S100PBP', 'ZNF641', 'VAV3', 'SMAD2', 'TRAPPC2', 'KCND2', 'VPS13C', 'CIRBP', 'C1ORF21', 'HELZ', 'ALG10', 'RAD23B', 'ENAH', 'ZNF718', 'STK17A', 'WNK1', 'GOPC', 'NAA15', 'EIF4G3', 'SSX2IP', 'VAMP5', 'ARHGEF6']",0.27279276808567776,0,0,42
23,hsa-miR-4712-5p,0.009240403042666552,1.5454884195250143,7.2393301422644765,"['MAPKBP1', 'ITPRIP', 'FRMPD4', 'ZBTB44', 'HNRNPLL', 'TRAK1', 'NR2C1', 'SCRN1', 'LRRTM4', 'ZMAT3', 'ZNHIT6', 'CSPP1', 'ZNF605', 'TBC1D13', 'RNF170', 'NUDT16', 'NELFA', 'ZNF765', 'ZNF621', 'FNIP1', 'S100PBP', 'ZNF641', 'VAV3', 'SMAD2', 'TRAPPC2', 'KCND2', 'VPS13C', 'CIRBP', 'C1ORF21', 'HELZ', 'ALG10', 'RAD23B', 'ENAH', 'ZNF718', 'STK17A', 'WNK1', 'GOPC', 'NAA15', 'EIF4G3', 'SSX2IP', 'VAMP5', 'ARHGEF6']",0.27279276808567776,0,0,42
24,mmu-miR-1933-5p,0.010589784952952017,1.5615052161490102,7.101515585338715,"['GRAMD1C', 'MEGF10', 'UQCRB', 'CHD9', 'ANKRD12', 'FHL1', 'GNAI3', 'NR2C1', 'LRRC1', 'CACNG7', 'TMEM245', 'SCRN1', 'LRRTM4', 'ATXN7', 'ZNF605', 'RBBP6', 'WDR7', 'SRSF11', 'PAK4', 'LZTS3', 'VAV3', 'SMAD2', 'CADPS2', 'CADM3', 'TRIM41', 'KCND2', 'PCDH7', 'SOX13', 'BTBD7', 'HELZ', 'NUDT21', 'FAM167A', 'MAF', 'EFHC2', 'ASTN2', 'SSX2IP', 'TNRC6A', 'ARHGEF6']",0.2985188374755821,0,0,38
25,mmu-miR-300,0.01099112067288594,1.5197962301311754,6.855295528305914,"['MEGF10', 'CHD9', 'FRMPD4', 'ANKRD12', 'FHL1', 'GNAI3', 'CACNA1B', 'ZBTB44', 'TRAK1', 'NR2C1', 'BACH1', 'C1QTNF3', 'TMEM245', 'LRRTM4', 'TMEM44', 'WDR7', 'FNIP1', 'EVI5', 'ZNF641', 'LZTS3', 'VAV3', 'SMAD2', 'KCND2', 'PAQR4', 'ANKRD44', 'PCDH7', 'VPS13C', 'C1ORF21', 'BTBD7', 'HELZ', 'MRPL48', 'RAD23B', 'C1ORF61', 'ENAH', 'IGSF11', 'NUDT21', 'TFDP2', 'ZADH2', 'HNRNPH3', 'EFHC2', 'LCORL', 'ASTN2', 'ERGIC1']",0.2985188374755821,0,0,43
