"Query","Entrez","Symbol","Name","Comment"
"MIEF1","54471","MIEF1","mitochondrial elongation factor 1","1"
"CDIPT","10423","CDIPT","CDP-diacylglycerol--inositol 3-phosphatidyltransferase","1"
"ETV5","2119","ETV5","ETS variant transcription factor 5","1"
"NEU1","4758","NEU1","neuraminidase 1","1"
"OPRL1","4987","OPRL1","opioid related nociceptin receptor 1","1"
"PEX11B","8799","PEX11B","peroxisomal biogenesis factor 11 beta","1"
"KBTBD4","55709","KBTBD4","kelch repeat and BTB domain containing 4","1"
"FNDC4","64838","FNDC4","fibronectin type III domain containing 4","1"
"UBFD1","56061","UBFD1","ubiquitin family domain containing 1","1"
"MANEAL","149175","MANEAL","mannosidase endo-alpha like","1"
"BRF2","55290","BRF2","BRF2 RNA polymerase III transcription initiation factor subunit","1"
"COPS7A","50813","COPS7A","COP9 signalosome subunit 7A","1"
"EAF1","85403","EAF1","ELL associated factor 1","1"
"TOR1A","1861","TOR1A","torsin family 1 member A","1"
"SULT4A1","25830","SULT4A1","sulfotransferase family 4A member 1","1"
"RETREG2","79137","RETREG2","reticulophagy regulator family member 2","1"
"MCFD2","90411","MCFD2","""multiple coagulation factor deficiency 2, ER cargo receptor complex subunit""","1"
"C2CD2L","9854","C2CD2L","C2CD2 like","1"
"PNMA8A","55228","PNMA8A","PNMA family member 8A","1"
"ATP6V0E2","155066","ATP6V0E2","ATPase H+ transporting V0 subunit e2","1"
"C16orf91","283951","C16orf91","chromosome 16 open reading frame 91","1"
"LRTM2","654429","LRTM2","leucine rich repeats and transmembrane domains 2","1"
"C1orf216","127703","C1orf216","chromosome 1 open reading frame 216","1"
"ARCN1","372","ARCN1","archain 1","1"
"NRN1","51299","NRN1","neuritin 1","1"
"WDR77","79084","WDR77","WD repeat domain 77","1"
"LRP8","7804","LRP8","LDL receptor related protein 8","1"
"PGAM1","5223","PGAM1","phosphoglycerate mutase 1","1"
"GNL1","2794","GNL1","G protein nucleolar 1 (putative)","1"
"NECAP1","25977","NECAP1","NECAP endocytosis associated 1","1"
"MAL2","114569","MAL2","""mal, T cell differentiation protein 2 (gene/pseudogene)""","1"
"NSG1","27065","NSG1","neuronal vesicle trafficking associated 1","1"
"NICN1","84276","NICN1","nicolin 1","1"
"VSTM2L","128434","VSTM2L","V-set and transmembrane domain containing 2 like","1"
"GABRD","2563","GABRD","gamma-aminobutyric acid type A receptor subunit delta","1"
"MEF2D","4209","MEF2D","myocyte enhancer factor 2D","1"
"TIMM17A","10440","TIMM17A","translocase of inner mitochondrial membrane 17A","1"
"ATP6AP1","537","ATP6AP1","ATPase H+ transporting accessory protein 1","1"
"BAIAP2-DT","440465","BAIAP2-DT","BAIAP2 divergent transcript","1"
"NEIL2","252969","NEIL2","nei like DNA glycosylase 2","1"
"SLC1A6","6511","SLC1A6","solute carrier family 1 member 6","1"
"SMKR1","100287482","SMKR1","small lysine rich protein 1","1"
"C3orf80","401097","C3orf80","chromosome 3 open reading frame 80","1"
"RESF1","55196","RESF1","retroelement silencing factor 1","1"
"TGOLN2","10618","TGOLN2","trans-golgi network protein 2","1"
"TUSC2","11334","TUSC2","""tumor suppressor 2, mitochondrial calcium regulator""","1"
"ACP2","53","ACP2","""acid phosphatase 2, lysosomal""","1"
"ATP6V1D","51382","ATP6V1D","ATPase H+ transporting V1 subunit D","1"
"NSG2","51617","NSG2","neuronal vesicle trafficking associated 2","1"
"STMN3","50861","STMN3","stathmin 3","1"
"CAMKV","79012","CAMKV","CaM kinase like vesicle associated","1"
"FARSA","2193","FARSA","phenylalanyl-tRNA synthetase subunit alpha","1"
"TMX4","56255","TMX4","thioredoxin related transmembrane protein 4","1"
"PTGES2","80142","PTGES2","prostaglandin E synthase 2","1"
"MRPL49","740","MRPL49","mitochondrial ribosomal protein L49","1"
"TAF13","6884","TAF13","TATA-box binding protein associated factor 13","1"
"CDK20","23552","CDK20","cyclin dependent kinase 20","1"
"POLE3","54107","POLE3","""DNA polymerase epsilon 3, accessory subunit""","1"
"MFN2","9927","MFN2","mitofusin 2","1"
"CBLN4","140689","CBLN4","cerebellin 4 precursor","1"
"BCL2L2","599","BCL2L2","BCL2 like 2","1"
"MOCS3","27304","MOCS3","molybdenum cofactor synthesis 3","1"
"TTPAL","79183","TTPAL","alpha tocopherol transfer protein like","1"
"ATP6AP2","10159","ATP6AP2","ATPase H+ transporting accessory protein 2","1"
"ZPR1","8882","ZPR1","ZPR1 zinc finger","1"
"DNAJB9","4189","DNAJB9","DnaJ heat shock protein family (Hsp40) member B9","1"
"OTUB1","55611","OTUB1","""OTU deubiquitinase, ubiquitin aldehyde binding 1""","1"
"ARMCX3","51566","ARMCX3","armadillo repeat containing X-linked 3","1"
"NPM3","10360","NPM3","nucleophosmin/nucleoplasmin 3","1"
"FNDC5","252995","FNDC5","fibronectin type III domain containing 5","1"
"NCBP2","22916","NCBP2","nuclear cap binding protein subunit 2","1"
"SH2D5","400745","SH2D5","SH2 domain containing 5","1"
"MAP1LC3A","84557","MAP1LC3A","microtubule associated protein 1 light chain 3 alpha","1"
"C3orf18","51161","C3orf18","chromosome 3 open reading frame 18","1"
"TINF2","26277","TINF2","TERF1 interacting nuclear factor 2","1"
"RNF112","7732","RNF112","ring finger protein 112","1"
"TBCC","6903","TBCC","tubulin folding cofactor C","1"
"B3GALNT1","8706","B3GALNT1","""beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)""","1"
"LRRC47","57470","LRRC47","leucine rich repeat containing 47","1"
"MYADM","91663","MYADM","myeloid associated differentiation marker","1"
"TM2D3","80213","TM2D3","TM2 domain containing 3","1"
"CDKN2AIPNL","91368","CDKN2AIPNL","CDKN2A interacting protein N-terminal like","1"
"TMEM130","222865","TMEM130","transmembrane protein 130","1"
"USP5","8078","USP5","ubiquitin specific peptidase 5","1"
"SLC30A3","7781","SLC30A3","solute carrier family 30 member 3","1"
"ARPC5L","81873","ARPC5L","actin related protein 2/3 complex subunit 5 like","1"
"ABRACL","58527","ABRACL","ABRA C-terminal like","1"
"FAM131A","131408","FAM131A","family with sequence similarity 131 member A","1"
"PEX19","5824","PEX19","peroxisomal biogenesis factor 19","1"
"RTN4","57142","RTN4","reticulon 4","1"
"STRAP","11171","STRAP","serine/threonine kinase receptor associated protein","1"
"PPEF1","5475","PPEF1","protein phosphatase with EF-hand domain 1","1"
"GLRX5","51218","GLRX5","glutaredoxin 5","1"
"KLHDC3","116138","KLHDC3","kelch domain containing 3","1"
"ENC1","8507","ENC1","ectodermal-neural cortex 1","1"
"PINK1","65018","PINK1","PTEN induced kinase 1","1"
"PEG13","359809","PEG13","paternally expressed 13","1"
"RGS4","5999","RGS4","regulator of G protein signaling 4","1"
"PSAP","5660","PSAP","prosaposin","1"
"MOAP1","64112","MOAP1","modulator of apoptosis 1","1"
"BPGM","669","BPGM","bisphosphoglycerate mutase","1"
"MAK16","84549","MAK16","MAK16 homolog","1"
"TMEM155","132332","TMEM155","transmembrane protein 155","1"
"EFNB3","1949","EFNB3","ephrin B3","1"
"SPRED3","399473","SPRED3","sprouty related EVH1 domain containing 3","1"
"SARAF","51669","SARAF","store-operated calcium entry associated regulatory factor","1"
"PNMA8C","NA","NA","NA","0"
"DUBR","344595","DUBR","DPPA2 upstream binding RNA","1"
"B4GALT7","11285","B4GALT7","""beta-1,4-galactosyltransferase 7""","1"
"PNMA1","9240","PNMA1","PNMA family member 1","1"
"KBTBD11","9920","KBTBD11","kelch repeat and BTB domain containing 11","1"
"PPCDC","60490","PPCDC","phosphopantothenoylcysteine decarboxylase","1"
"PNMA2","10687","PNMA2","PNMA family member 2","1"
"ATP6V1B2","526","ATP6V1B2","ATPase H+ transporting V1 subunit B2","1"
"RORA","6095","RORA","RAR related orphan receptor A","1"
"FAM241B","219738","FAM241B","family with sequence similarity 241 member B","1"
"N4BP2","55728","N4BP2","NEDD4 binding protein 2","1"
"ALDH1B1","219","ALDH1B1","aldehyde dehydrogenase 1 family member B1","1"
"FRMD6","122786","FRMD6","FERM domain containing 6","1"
"TMEM151B","441151","TMEM151B","transmembrane protein 151B","1"
"SNN","8303","SNN","stannin","1"
"SEPHS2","22928","SEPHS2","selenophosphate synthetase 2","1"
"VDAC1","7416","VDAC1","voltage dependent anion channel 1","1"
"SUFU","51684","SUFU","SUFU negative regulator of hedgehog signaling","1"
"WSB2","55884","WSB2","WD repeat and SOCS box containing 2","1"
"ZNF345","25850","ZNF345","zinc finger protein 345","1"
"AP1S1","1174","AP1S1","adaptor related protein complex 1 subunit sigma 1","1"
"ISCU","23479","ISCU","iron-sulfur cluster assembly enzyme","1"
"CCDC115","84317","CCDC115","coiled-coil domain containing 115","1"
"SNAPC5","10302","SNAPC5","small nuclear RNA activating complex polypeptide 5","1"
"THY1","7070","THY1","Thy-1 cell surface antigen","1"
"FXYD6","53826","FXYD6","FXYD domain containing ion transport regulator 6","1"
"TPRG1L","127262","TPRG1L","tumor protein p63 regulated 1 like","1"
"AZIN1","51582","AZIN1","antizyme inhibitor 1","1"
"CCKBR","887","CCKBR","cholecystokinin B receptor","1"
"C15orf61","145853","C15orf61","chromosome 15 open reading frame 61","1"
"DSE","29940","DSE","dermatan sulfate epimerase","1"
"FAM32A","26017","FAM32A","family with sequence similarity 32 member A","1"
"FITM2","128486","FITM2","fat storage inducing transmembrane protein 2","1"
"MAGEL2","54551","MAGEL2","MAGE family member L2","1"
"STBD1","8987","STBD1","starch binding domain 1","1"
"SRPRA","6734","SRPRA","SRP receptor subunit alpha","1"
"RNPC3","55599","RNPC3","""RNA binding region (RNP1, RRM) containing 3""","1"
"TMEM246","NA","NA","NA","0"
"PIANP","196500","PIANP","PILR alpha associated neural protein","1"
"PELI3","246330","PELI3","pellino E3 ubiquitin protein ligase family member 3","1"
"PLK2","10769","PLK2","polo like kinase 2","1"
"NT5C3B","115024","NT5C3B","""5'-nucleotidase, cytosolic IIIB""","1"
"AAMP","14","AAMP","angio associated migratory cell protein","1"
"PPT1","5538","PPT1","palmitoyl-protein thioesterase 1","1"
"SERINC1","57515","SERINC1","serine incorporator 1","1"
"RTL6","84247","RTL6","retrotransposon Gag like 6","1"
"ODC1","4953","ODC1","ornithine decarboxylase 1","1"
"MAGEF1","64110","MAGEF1","MAGE family member F1","1"
"RASL10A","10633","RASL10A","RAS like family 10 member A","1"
"THEM6","51337","THEM6","thioesterase superfamily member 6","1"
"PRPS1","5631","PRPS1","phosphoribosyl pyrophosphate synthetase 1","1"
"CNTNAP1","8506","CNTNAP1","contactin associated protein 1","1"
"RBM41","55285","RBM41","RNA binding motif protein 41","1"
"AGPAT1","10554","AGPAT1","1-acylglycerol-3-phosphate O-acyltransferase 1","1"
"SOWAHB","345079","SOWAHB","sosondowah ankyrin repeat domain family member B","1"
"SPATA2L","124044","SPATA2L","spermatogenesis associated 2 like","1"
"PLEKHJ1","55111","PLEKHJ1","pleckstrin homology domain containing J1","1"
"UBXN6","80700","UBXN6","UBX domain protein 6","1"
"POLR2E","5434","POLR2E","RNA polymerase II subunit E","1"
"STK16","8576","STK16","serine/threonine kinase 16","1"
"ANTXR1","84168","ANTXR1","ANTXR cell adhesion molecule 1","1"
"NCBP2AS2","152217","NCBP2AS2","NCBP2 antisense 2 (head to head)","1"
"ATP6V1A","523","ATP6V1A","ATPase H+ transporting V1 subunit A","1"
"MCHR1","2847","MCHR1","melanin concentrating hormone receptor 1","1"
"TMIE","259236","TMIE","transmembrane inner ear","1"
"TMEM271","112441426","TMEM271","transmembrane protein 271","1"
"L1CAM","3897","L1CAM","L1 cell adhesion molecule","1"
"CX3CL1","6376","CX3CL1","C-X3-C motif chemokine ligand 1","1"
"CHRNB2","1141","CHRNB2","cholinergic receptor nicotinic beta 2 subunit","1"
"TMED2","10959","TMED2","transmembrane p24 trafficking protein 2","1"
"ABCF2","10061","ABCF2","ATP binding cassette subfamily F member 2","1"
"APLP2","334","APLP2","amyloid beta precursor like protein 2","1"
"BBS9","27241","BBS9","Bardet-Biedl syndrome 9","1"
"HTR5A","3361","HTR5A","5-hydroxytryptamine receptor 5A","1"
"REEP5","7905","REEP5","receptor accessory protein 5","1"
"CDK5R2","8941","CDK5R2","cyclin dependent kinase 5 regulatory subunit 2","1"
"NCKIPSD","51517","NCKIPSD","NCK interacting protein with SH3 domain","1"
"PDXP","57026","PDXP","pyridoxal phosphatase","1"
"ENO2","2026","ENO2","enolase 2","1"
"ZNF69","7620","ZNF69","zinc finger protein 69","1"
"ACLY","47","ACLY","ATP citrate lyase","1"
"TOMM20","9804","TOMM20","translocase of outer mitochondrial membrane 20","1"
"BLOC1S2","282991","BLOC1S2","biogenesis of lysosomal organelles complex 1 subunit 2","1"
"PFN2","5217","PFN2","profilin 2","1"
"COPS8","10920","COPS8","COP9 signalosome subunit 8","1"
"GOT1","2805","GOT1","glutamic-oxaloacetic transaminase 1","1"
